prev_eps_yoy,om,expansion,symbol,status,price,name,prev_eps,rev_yoy,eps_yoy,est_price,eps,prev_year,pe,gm,advice,date,prev_rev_yoy
140.33,55.59%,583.2200000000003,2451.TW,🏰 高護城河,0.0,創見,12.98,1484.6,2067.82,0.0,18.93,2025,0.0,61.62%,⚪ 數據不足,2026-03,69.84
89.09,-147.39%,582.14,3521.TWO,🔄 轉虧為盈,0.0,台鋼建設,-0.07,224.53,806.67,0.0,2.12,2025,0.0,-40.24%,⚪ 數據不足,2026-03,58.31
-68.84,4.39%,579.1500000000001,2101.TW,🚀 利潤擴張,0.0,南港,1.01,1184.49,1763.64,0.0,1.86,2025,0.0,20.96%,⚪ 數據不足,2026-03,-44.61
-197.14,-1.97%,556.87,4510.TWO,🔄 轉虧為盈,0.0,高鋒,-1.02,543.13,1100.0,0.0,0.2,2025,0.0,14.87%,⚪ 數據不足,2026-03,-2.21
-40.68,8.69%,511.73,3285.TWO,🚀 利潤擴張,0.0,微端,0.7,688.27,1200.0,0.0,0.26,2025,0.0,28.61%,⚪ 數據不足,2026-03,-19.66
222.58,N/A,487.52,6902.TW,🚀 利潤擴張,0.0,GOGOLOOK,1.58,43.25,530.77,0.0,1.64,2025,0.0,N/A,⚪ 數據不足,2026-03,20.92
74.6,N/A,484.25,6241.TWO,🔄 轉虧為盈,0.0,鑫永洋,-0.16,335.75,820.0,0.0,0.46,2025,0.0,N/A,⚪ 數據不足,2026-03,5.06
-42.59,N/A,472.41999999999996,8440.TWO,🚀 利潤擴張,0.0,綠電,0.31,727.58,1200.0,0.0,0.22,2025,0.0,N/A,⚪ 數據不足,2026-03,-6.1
-1.45,-0.34%,444.74,4590.TW,🧐 疑業外收益,0.0,富田-創,2.72,-25.82,418.92,0.0,1.21,2025,0.0,30.54%,⚪ 數據不足,2026-03,-41.11
-34.67,11.05%,412.3,2302.TW,🚀 利潤擴張,0.0,麗正,0.49,187.7,600.0,0.0,0.25,2025,0.0,36.04%,⚪ 數據不足,2026-03,11.66
576.92,15.37%,390.63,2344.TW,🚀 利潤擴張,0.0,華邦電,0.88,646.87,1037.5,0.0,2.25,2025,0.0,41.86%,⚪ 數據不足,2026-03,9.55
5.88,N/A,381.05,6908.TW,🚀 利潤擴張,0.0,宏�砦C戲-創,1.44,6.45,387.5,0.0,0.41,2025,0.0,N/A,⚪ 數據不足,2026-03,28.36
-49.65,N/A,356.01,6716.TWO,🚀 利潤擴張,0.0,應廣,2.19,359.78,715.79,0.0,1.59,2025,0.0,N/A,⚪ 數據不足,2026-03,-15.3
207.35,N/A,342.59000000000003,5210.TWO,🚀 利潤擴張,0.0,寶碩,0.73,37.41,380.0,0.0,0.24,2025,0.0,N/A,⚪ 數據不足,2026-03,9.95
90.52,N/A,339.47,5228.TWO,🔄 轉虧為盈,0.0,鈺鎧,-0.2,750.53,1090.0,0.0,0.99,2025,0.0,N/A,⚪ 數據不足,2026-03,25.85
1.73,N/A,338.21999999999997,2754.TWO,🚀 利潤擴張,0.0,亞洲藏壽司,2.35,179.43,517.65,0.0,1.42,2025,0.0,N/A,⚪ 數據不足,2026-03,5.96
170.59,14.30%,312.59000000000003,4556.TWO,🚀 利潤擴張,0.0,旭然,0.92,237.41,550.0,0.0,0.13,2025,0.0,42.07%,⚪ 數據不足,2026-03,-3.75
-29.63,7.94%,306.68,3071.TWO,🚀 利潤擴張,0.0,協禧,0.57,343.32,650.0,0.0,0.15,2025,0.0,30.11%,⚪ 數據不足,2026-03,-5.82
3.78,N/A,293.43999999999994,8299.TWO,🚀 利潤擴張,0.0,群聯,41.98,849.86,1143.3,0.0,68.8,2025,0.0,N/A,⚪ 數據不足,2026-03,23.29
-150.59,N/A,276.36999999999995,6615.TWO,🔄 轉虧為盈,0.0,慧智,-0.43,270.3,546.67,0.0,0.67,2025,0.0,N/A,⚪ 數據不足,2026-03,-14.91
550.0,N/A,268.97,6282.TW,🚀 利潤擴張,0.0,康舒,0.18,371.03,640.0,0.0,0.27,2025,0.0,N/A,⚪ 數據不足,2026-03,0.1
55.83,N/A,258.58,8489.TWO,🔄 轉虧為盈,0.0,三貝德,-0.76,186.87,445.45,0.0,0.38,2025,0.0,N/A,⚪ 數據不足,2026-03,5.03
8050.0,8.07%,228.27999999999997,4916.TW,🚀 利潤擴張,0.0,事欣科,1.77,473.51,701.79,0.0,4.49,2025,0.0,18.73%,⚪ 數據不足,2026-03,0.89
-66.67,N/A,226.35000000000002,4432.TWO,🚀 利潤擴張,0.0,銘旺實,0.88,292.4,518.75,0.0,2.97,2025,0.0,N/A,⚪ 數據不足,2026-03,-3.15
51.72,-88.29%,217.69,4702.TWO,🚀 利潤擴張,0.0,中美實,0.88,132.31,350.0,0.0,0.45,2025,0.0,35.38%,⚪ 數據不足,2026-03,-61.59
33.97,N/A,215.22999999999996,8478.TW,🚀 利潤擴張,0.0,東哥遊艇,13.25,297.67,512.9,0.0,3.8,2025,0.0,N/A,⚪ 數據不足,2026-03,5.83
-21.15,8.70%,211.49,1609.TW,🚀 利潤擴張,0.0,大亞,1.65,713.51,925.0,0.0,0.66,2025,0.0,13.61%,⚪ 數據不足,2026-03,3.39
-80.0,7.12%,186.79000000000002,3717.TW,🚀 利潤擴張,25.4500007629,聯嘉投控,0.08,26.54,213.33,0.0,0.47,2025,0.0,19.34%,⚪ 數據不足,2026-03,3.55
-280.2,N/A,185.94,8084.TWO,🔄 轉虧為盈,0.0,巨虹,-1.82,80.73,266.67,0.0,0.33,2025,0.0,N/A,⚪ 數據不足,2026-03,-10.9
25.64,14.85%,185.43999999999994,3290.TWO,🚀 利潤擴張,0.0,東浦,2.02,542.69,728.13,0.0,2.65,2025,0.0,30.40%,⚪ 數據不足,2026-03,18.23
-177.27,N/A,164.05,5460.TWO,🔄 轉虧為盈,0.0,同協,-0.17,385.95,550.0,0.0,0.09,2025,0.0,N/A,⚪ 數據不足,2026-03,-15.68
1640.0,N/A,160.65000000000003,4582.TWO,🚀 利潤擴張,0.0,未知,1.54,116.02,276.67,0.0,0.53,2025,0.0,N/A,⚪ 數據不足,2026-03,32.98
1640.0,N/A,160.65000000000003,4582.TW,🚀 利潤擴張,0.0,聚恆-創,1.54,116.02,276.67,0.0,0.53,2025,0.0,N/A,⚪ 數據不足,2026-03,32.98
-219.05,-2.91%,157.99,2426.TW,🔄 轉虧為盈,0.0,鼎元,-0.25,542.01,700.0,0.0,0.06,2025,0.0,10.78%,⚪ 數據不足,2026-03,-2.43
