=== 均線扣抵方向性回測競賽 (資料日期: 20260307) ===
代號         |    最佳參數    |      勝率 |       累計報酬 | 交易次數
2383.TW    |    MA60    |    42.9% |    366.91% |       70
7402.TWO   |    MA10    |    28.2% |    137.07% |      213
6235.TW    |    MA60    |    34.2% |    365.52% |       76
3149.TW    |    MA60    |    21.3% |    176.85% |       61
4580.TWO   |    MA20    |    33.3% |     19.77% |       78
6739.TWO   |    MA10    |    45.0% |    343.48% |       80
7702.TWO   |    MA10    |    43.8% |     14.28% |       32
2023.TW    |    MA60    |    26.4% |     57.77% |      110
3454.TW    |    MA60    |    27.1% |     78.41% |       59
3543.TW    |    MA60    |    24.7% |    173.77% |       81
2345.TW    |    MA60    |    32.9% |    353.39% |       70
3018.TW    |    MA60    |    30.8% |    221.97% |       65
6526.TW    |    MA10    |    40.5% |      6.68% |       37
6843.TWO   |    MA60    |    31.0% |    -16.00% |       29
8240.TWO   |    MA20    |    35.8% |     80.91% |      134
3686.TW    |    MA20    |    26.7% |    169.42% |      150
6933.TW    |    MA60    |    33.3% |    -38.43% |        9
1337.TW    |    MA60    |    20.2% |   -127.71% |       94
7719.TWO   |    MA60    |    25.0% |     98.74% |        8
3663.TWO   |    MA60    |    28.2% |      8.07% |      103
6588.TWO   |    MA60    |    36.1% |    282.20% |       61
4563.TWO   |    MA60    |    19.4% |    -22.51% |       62
3707.TWO   |    MA60    |    29.3% |    229.94% |       75
3064.TWO   |    MA10    |    31.9% |    161.08% |      238
8103.TW    |    MA60    |    34.1% |     63.61% |       82
3498.TWO   |    MA20    |    27.1% |    -58.83% |      140
2883.TW    |    MA60    |    27.8% |     90.87% |       90
6788.TWO   |    MA60    |    29.4% |    192.62% |       34
6793.TWO   |    MA60    |    36.4% |      9.97% |       22
2308.TW    |    MA60    |    32.9% |    182.09% |       85
6903.TWO   |    MA20    |    38.1% |    134.83% |       42
2324.TW    |    MA20    |    36.0% |     74.33% |      136
00764B.TWO |    MA60    |    23.1% |    -31.02% |       65
00965.TW   |    MA10    |    41.2% |     29.99% |       17
4513.TWO   |    MA60    |    35.6% |    146.22% |       73
6805.TW    |    MA20    |    33.3% |    189.70% |       24
5292.TW    |    MA60    |    36.1% |    128.82% |       36
3013.TW    |    MA60    |    27.2% |    160.78% |       92
3529.TWO   |    MA20    |    34.2% |    148.10% |      161
8436.TWO   |    MA60    |    27.9% |    138.65% |       68
6276.TWO   |    MA60    |    50.0% |    349.09% |       52
6182.TWO   |    MA60    |    36.0% |    213.64% |       75
6598.TW    |    MA20    |    33.1% |     17.72% |      118
4931.TWO   |    MA60    |    28.6% |    623.85% |       70
5284.TW    |    MA20    |    27.3% |    232.35% |      150
6499.TWO   |    MA60    |    27.8% |     12.04% |       79
2387.TW    |    MA60    |    22.1% |    121.23% |       77
00968B.TWO |    MA60    |    50.0% |      3.85% |        4
2609.TW    |    MA60    |    17.1% |   1271.85% |       70
3057.TW    |    MA10    |    27.9% |    -29.15% |      215
3632.TWO   |    MA60    |    18.6% |   -101.70% |       70
5013.TWO   |    MA60    |    23.7% |     26.94% |       97
