正在分析 1168 檔標的，並同步產出 TXT, CSV 與 JSON 對照表...
     Stock  Best_Period  Win_Rate%  Total_Return%  Trades Status
  4903.TWO           10      29.08         294.77     196   📈 持有
   4722.TW          120      23.26         291.77      43   📈 持有
 00673R.TW           60      30.43         291.56      69   ☁ 觀望
  3169.TWO          240      33.33         290.32      39   ☁ 觀望
  6138.TWO          120      48.65         289.07      37   📈 持有
   6426.TW           10      38.21         288.92     212   📈 持有
  3105.TWO          120      37.04         287.95      54   📈 持有
   3005.TW          240      37.50         287.62      40   📈 持有
  6560.TWO           20      31.37         285.56     102   📈 持有
  5386.TWO           10      33.18         283.37     223   📈 持有
  6588.TWO           60      36.07         282.20      61   📈 持有
   4739.TW          120      33.33         282.14      42   📈 持有
  5498.TWO           10      25.94         281.09     212   📈 持有
   2480.TW          240      25.93         279.79      27   📈 持有
   3019.TW          240      32.35         278.99      34   ☁ 觀望
  3491.TWO          120      29.69         278.56      64   📈 持有
  8299.TWO          120      31.58         278.46      57   📈 持有
   2059.TW          240      22.50         277.74      40   📈 持有
   2379.TW          120      43.18         277.72      44   ☁ 觀望
   3032.TW          240      37.50         277.28      32   ☁ 觀望
  6104.TWO           60      31.65         277.20      79   📈 持有
  4946.TWO           60      18.75         275.70      80   📈 持有
  3526.TWO          120      28.89         275.41      45   📈 持有
   1597.TW          120      28.07         274.63      57   ☁ 觀望
   1503.TW          240      31.82         274.03      22   📈 持有
   3545.TW          240      37.04         273.48      27   ☁ 觀望
  3078.TWO           60      32.81         270.07      64   ☁ 觀望
   3168.TW          120      40.43         269.71      47   ☁ 觀望
   1477.TW          120      34.38         269.47      32   📈 持有
  6125.TWO          240      29.55         269.41      44   ☁ 觀望
  6620.TWO           20      35.80         265.16      81   ☁ 觀望
   3090.TW          240      32.14         265.00      28   📈 持有
   1229.TW          240      46.67         263.20      15   ☁ 觀望
  3713.TWO           20      25.00         262.93      72   ☁ 觀望
   1802.TW          120      23.81         262.23      42   📈 持有
   2454.TW          240      21.74         262.13      23   📈 持有
 00631L.TW          240      24.00         261.74      25   📈 持有
  8444.TWO          240      30.00         260.89      10   ☁ 觀望
   1560.TW          120      32.43         260.14      37   📈 持有
   5607.TW          240      28.95         259.87      38   📈 持有
   2493.TW          240      22.22         259.26      18   📈 持有
   5222.TW          240      27.03         257.85      37   📈 持有
   1612.TW          240      33.33         256.63      21   📈 持有
   3701.TW           20      28.85         256.22     208   📈 持有
  3430.TWO          120      26.19         256.04      42   📈 持有
  1294.TWO           60      36.84         255.45      19   📈 持有
   2337.TW           60      29.59         255.43      98   📈 持有
   6213.TW          240      43.75         254.25      32   📈 持有
   2031.TW          240      33.33         254.16      12   ☁ 觀望
  6643.TWO          120      48.65         253.40      37   ☁ 觀望
   4540.TW           60      31.58         253.36      57   📈 持有
  4744.TWO           20      35.21         250.91     142   📈 持有
   2382.TW          240      35.14         249.16      37   📈 持有
   3023.TW          240      38.46         248.61      26   ☁ 觀望
  8027.TWO           60      28.75         248.53      80   ☁ 觀望
  6568.TWO           20      43.27         246.42     104   📈 持有
   2313.TW          120      29.23         245.88      65   📈 持有
   4562.TW          120      19.05         244.99      42   ☁ 觀望
   1513.TW          120      30.00         244.11      70   ☁ 觀望
   4755.TW           60      25.71         243.91      70   📈 持有
   6491.TW          120      29.55         243.85      44   ☁ 觀望
  7781.TWO          120      50.00         243.33       2   📈 持有
  6130.TWO           20      36.54         242.59     156   ☁ 觀望
   3583.TW           60      35.82         241.70      67   📈 持有
   5484.TW           10      30.37         241.67     214   ☁ 觀望
   2481.TW          120      24.32         240.44      74   📈 持有
  3374.TWO           20      36.55         240.37     145   ☁ 觀望
   1605.TW          120      23.08         240.01      52   📈 持有
   6257.TW          120      41.67         239.95      36   📈 持有
 00663L.TW           10      42.28         239.58     149   📈 持有
