正在分析 1168 檔標的，並同步產出 TXT, CSV 與 JSON 對照表...
股票代號 (Stock)  最佳週期 (Best Period)  勝率 (Win Rate%)  總報酬率 (Total Return%)  短中期多頭 (MA Bull)  成交量放大 (Vol Up)  交易次數 (Trades) 狀態 (Status)
     6438.TW                 240           52.63                150.34             True           False             19        ☁ 觀望
     6005.TW                 120           30.61                150.20             True           False             49        📈 持有
    4966.TWO                 240           35.29                149.84            False           False             34        ☁ 觀望
    6143.TWO                  20           36.22                149.64            False           False            127        ☁ 觀望
    3508.TWO                  20           31.54                149.28             True            True            130        📈 持有
    5245.TWO                 240           20.00                149.15            False           False             25        ☁ 觀望
     2328.TW                  20           29.63                148.87            False           False            162        ☁ 觀望
    6980.TWO                  20           30.77                148.11            False           False             26        ☁ 觀望
    6423.TWO                  20           26.23                147.88             True           False            122        ☁ 觀望
    5543.TWO                 240           18.00                147.83            False           False             50        📈 持有
    4510.TWO                  20           29.49                147.77            False           False            156        ☁ 觀望
    6925.TWO                 240           25.00                147.62            False           False             12        📈 持有
     2006.TW                 240           17.14                147.54             True           False             35        📈 持有
     2455.TW                 120           32.08                146.60             True           False             53        📈 持有
    4513.TWO                  60           35.62                146.22            False           False             73        ☁ 觀望
    6284.TWO                  10           35.71                146.06            False           False            196        ☁ 觀望
     9910.TW                 120           31.75                145.91            False            True             63        ☁ 觀望
     2633.TW                 120           17.19                145.82            False           False             64        ☁ 觀望
     6205.TW                  60           25.37                145.81             True           False             67        📈 持有
     9110.TW                  20           35.59                145.68            False           False            177        ☁ 觀望
     3416.TW                 240           39.39                144.37            False           False             33        ☁ 觀望
     3030.TW                  60           30.34                144.35             True            True             89        📈 持有
     2630.TW                  20           33.87                144.26            False           False            124        ☁ 觀望
    3317.TWO                  20           34.96                143.86            False           False            123        ☁ 觀望
    3093.TWO                 120           28.85                143.36             True            True             52        📈 持有
     1522.TW                  60           32.91                143.20            False           False             79        ☁ 觀望
     6431.TW                  20           34.13                142.74            False           False            126        ☁ 觀望
    6016.TWO                  10           30.00                142.48             True           False            190        📈 持有
    3709.TWO                 120           41.38                142.01             True           False             29        📈 持有
     2482.TW                  20           22.92                141.93            False           False            144        ☁ 觀望
    3372.TWO                 120           22.73                141.48             True           False             44        📈 持有
     2442.TW                 240           37.50                140.23            False            True             40        ☁ 觀望
     2349.TW                  10           31.31                139.64            False           False            198        📈 持有
     2451.TW                 120           26.76                139.50            False            True             71        📈 持有
     2352.TW                  60           21.25                139.39            False            True             80        ☁ 觀望
     6873.TW                  60           29.41                138.90            False           False             17        ☁ 觀望
     8028.TW                 240           43.59                138.67            False           False             39        📈 持有
    3323.TWO                 240           43.18                138.52            False           False             44        📈 持有
    6127.TWO                 120           40.00                138.44             True           False             60        📈 持有
     2472.TW                  20           38.41                137.89             True           False            138        ☁ 觀望
     6698.TW                  10           40.35                137.22            False           False            114        ☁ 觀望
    7402.TWO                  10           28.17                137.07            False           False            213        📈 持有
     0052.TW                  10           36.90                136.90             True           False            187        📈 持有
     2423.TW                 240           37.50                136.27            False           False             24        📈 持有
     2885.TW                 240           39.13                135.75             True           False             23        📈 持有
     3703.TW                  20           30.16                135.45            False           False            126        ☁ 觀望
     8016.TW                  60           25.00                135.11            False           False             96        📈 持有
    6903.TWO                  20           38.10                134.83             True            True             42        📈 持有
    3577.TWO                 240           29.41                134.30            False           False             51        ☁ 觀望
    8431.TWO                  20           37.23                133.15             True           False            137        📈 持有
     8131.TW                 240           44.00                133.11            False            True             25        📈 持有
    4804.TWO                  60           35.71                133.01            False           False             42        ☁ 觀望
     2374.TW                  20           30.77                132.91            False           False            143        ☁ 觀望
     2010.TW                 120           25.00                132.85             True           False             68        📈 持有
    8091.TWO                  60           28.24                132.66            False           False             85        📈 持有
     8464.TW                 240           33.33                132.40            False           False             39        ☁ 觀望
     2340.TW                 120           32.43                132.19            False           False             37        📈 持有
     3028.TW                  60           32.73                131.65             True           False             55        📈 持有
     3711.TW                 120           26.92                131.38             True           False             78        📈 持有
    6134.TWO                  60           31.58                129.91             True           False             57        📈 持有
    3587.TWO                 240           17.24                129.16             True           False             29        📈 持有
    6275.TWO                  20           33.33                127.78            False           False            150        ☁ 觀望
     2610.TW                 120           18.42                127.55            False           False             38        ☁ 觀望
    3234.TWO                 120           27.12                127.45             True           False             59        📈 持有
    5009.TWO                 240           34.48                127.25             True           False             29        ☁ 觀望
    7751.TWO                  10           33.33                126.96             True           False             27        📈 持有
     2489.TW                 120           20.00                126.89             True           False             35        📈 持有
     2406.TW                  20           27.07                125.57             True           False            133        📈 持有
    6642.TWO                 120           30.95                124.78             True           False             42        📈 持有
    4533.TWO                 120           26.56                124.16             True           False             64        📈 持有
    1785.TWO                 240           30.56                124.11            False            True             36        📈 持有
     3504.TW                  20           32.06                123.46             True           False            131        📈 持有
    5351.TWO                 120           17.50                123.46            False            True             80        📈 持有
     8499.TW                 120           26.00                122.43            False           False             50        ☁ 觀望
    6219.TWO                 240           41.18                122.15            False           False             17        ☁ 觀望
     2385.TW                  60           33.71                121.86             True           False             89        📈 持有
   00715L.TW                  20           39.77                121.16             True           False             88        📈 持有
     2023.TW                 240           32.69                120.82            False           False             52        ☁ 觀望
     1304.TW                  60           35.82                120.43             True            True             67        📈 持有
    6188.TWO                  60           31.87                120.30            False           False             91        ☁ 觀望
     2353.TW                 120           24.53                120.03             True           False             53        ☁ 觀望
     1717.TW                 120           30.36                119.70             True           False             56        📈 持有
    3066.TWO                 240           36.84                119.44             True            True             57        ☁ 觀望
     0050.TW                 120           24.24                119.04             True           False             33        📈 持有
    6418.TWO                  20           29.66                118.61            False           False            145        ☁ 觀望
     4142.TW                 240           22.86                118.29            False           False             35        ☁ 觀望
     2444.TW                  60           23.53                117.89             True           False             85        📈 持有
     3040.TW                 240           35.00                117.58            False           False             20        ☁ 觀望
     8422.TW                 120           21.05                117.41            False           False             57        📈 持有
     6541.TW                  10           23.94                117.21            False           False            188        ☁ 觀望
     3010.TW                 240           36.00                116.59            False           False             25        📈 持有
     2425.TW                  20           30.97                116.42            False           False            113        ☁ 觀望
     3308.TW                 120           42.03                115.82             True            True             69        📈 持有
     2880.TW                 120           30.23                115.62             True           False             43        📈 持有
   00877.TWO                  10           34.57                115.22             True           False             81        📈 持有
     2890.TW                 120           30.77                114.89             True           False             52        📈 持有
     2855.TW                 240           31.58                114.45             True           False             38        📈 持有
     1504.TW                 240           31.43                114.17            False           False             35        📈 持有
     4915.TW                  60           35.94                113.66            False           False             64        ☁ 觀望
    6735.TWO                  10           36.45                113.20            False           False            107        📈 持有
    2726.TWO                  60           40.58                112.85            False           False             69        ☁ 觀望
    8050.TWO                 240           44.12                112.75            False           False             34        ☁ 觀望
     2889.TW                  60           31.25                112.73            False            True             64        ☁ 觀望
    5328.TWO                  10           30.65                112.71             True            True            199        📈 持有
     2834.TW                 120           25.81                112.34            False           False             62        📈 持有
     8114.TW                 240           30.77                112.13            False            True             39        ☁ 觀望
     8103.TW                 120           32.20                111.84            False           False             59        📈 持有
     2838.TW                 240           26.47                111.77             True           False             34        📈 持有
    3564.TWO                  10           36.36                111.67            False           False            198        📈 持有
    3085.TWO                 120           26.42                111.22            False           False             53        ☁ 觀望
    00830.TW                 240           16.67                110.50            False           False             12        📈 持有
     8070.TW                  60           34.78                110.32            False           False             92        ☁ 觀望
    00735.TW                  20           37.84                110.17             True           False             74        📈 持有
     2548.TW                 240           41.67                109.90            False           False             24        📈 持有
    6203.TWO                  60           29.27                109.74            False           False             82        ☁ 觀望
    00910.TW                  20           44.12                109.21             True           False             34        📈 持有
     2401.TW                 120           27.78                108.80            False           False             72        ☁ 觀望
     2605.TW                  10           30.77                108.05             True           False            195        📈 持有
    5291.TWO                 120           32.69                107.92             True           False             52        📈 持有
     2884.TW                 240           38.71                107.80             True           False             31        📈 持有
     6869.TW                 120           40.00                107.52             True           False             10        ☁ 觀望
     8150.TW                 120           35.09                106.92             True           False             57        📈 持有
     6796.TW                  20           33.33                106.55            False           False             57        ☁ 觀望
     2607.TW                 240           29.55                106.26            False           False             44        📈 持有
    3623.TWO                  10           35.26                106.21             True           False            190        📈 持有
     3257.TW                  20           33.58                106.07            False           False            134        ☁ 觀望
   912000.TW                  20           29.91                105.99            False           False            117        ☁ 觀望
     2723.TW                 120           27.27                105.82            False           False             33        ☁ 觀望
     3034.TW                  60           27.63                105.80            False           False             76        ☁ 觀望
     5706.TW                  20           25.44                105.58            False            True            114        📈 持有
    5514.TWO                 240           42.86                104.92            False            True             14        ☁ 觀望
     4977.TW                  20           34.97                104.34             True           False            143        📈 持有
     2458.TW                  60           26.47                104.32            False           False             68        ☁ 觀望
     2612.TW                 120           31.34                104.26             True           False             67        📈 持有
     4569.TW                  10           31.82                103.93            False           False             44        📈 持有
    7712.TWO                  10           23.68                103.58             True           False             38        📈 持有
     6994.TW                   5           38.18                103.01            False            True             55        ☁ 觀望
     2231.TW                  20           31.43                102.95            False           False            140        ☁ 觀望
     2013.TW                 240           26.09                102.95             True           False             46        ☁ 觀望
    00713.TW                 120           36.36                102.83             True           False             22        📈 持有
     5880.TW                 120           29.79                101.28            False           False             47        ☁ 觀望
     6552.TW                 120           29.27                100.89            False           False             41        ☁ 觀望
    5426.TWO                 240           25.81                100.85             True           False             31        ☁ 觀望
    00770.TW                 120           42.11                100.60            False           False             19        📈 持有
    00662.TW                 120           44.00                 99.71            False           False             25        📈 持有
     6120.TW                 120           31.25                 99.55            False           False             48        📈 持有
    4971.TWO                 240           27.59                 99.44             True            True             29        📈 持有
    6877.TWO                 120           43.75                 99.22             True           False             16        📈 持有
     2012.TW                 120           39.53                 99.22            False           False             43        ☁ 觀望
    6212.TWO                 120           36.71                 98.50            False           False             79        ☁ 觀望
    00909.TW                  60           64.71                 98.00            False           False             17        ☁ 觀望
    5425.TWO                 120           26.53                 97.91            False            True             49        📈 持有
     2882.TW                  60           25.00                 97.56            False           False             84        📈 持有
    6435.TWO                 240           30.77                 97.41             True            True             39        📈 持有
     4956.TW                 240           29.63                 97.34            False           False             27        ☁ 觀望
     1443.TW                 120           22.73                 96.90            False           False             66        ☁ 觀望
     9105.TW                 240           18.18                 96.66            False           False             44        ☁ 觀望
     3702.TW                 120           22.22                 95.70             True            True             45        📈 持有
     0056.TW                 240           28.57                 95.18             True           False             14        📈 持有
     6672.TW                 120           33.33                 94.98             True           False             24        ☁ 觀望
     2393.TW                 240           17.50                 94.85             True           False             40        ☁ 觀望
     3038.TW                  60           32.53                 94.72            False           False             83        📈 持有
     6799.TW                  60           38.24                 94.63            False           False             34        ☁ 觀望
    8489.TWO                 240           56.25                 94.58            False           False             16        ☁ 觀望
     2466.TW                 120           27.27                 94.53            False           False             55        ☁ 觀望
    6616.TWO                  60           32.76                 93.49             True            True             58        📈 持有
     2887.TW                  60           28.57                 93.30             True           False             70        📈 持有
     3004.TW                 240           39.58                 92.47            False           False             48        📈 持有
    6624.TWO                 120           48.57                 92.16            False            True             35        📈 持有
    2941.TWO                 120           16.67                 91.96            False           False              6        ☁ 觀望
    6983.TWO                  10           31.58                 90.72             True           False             57        📈 持有
     1528.TW                  10           27.67                 89.83            False           False            206        📈 持有
     2069.TW                 120           21.54                 89.75            False           False             65        📈 持有
     2892.TW                 240           37.50                 89.73            False           False             16        📈 持有
    5455.TWO                 240           38.46                 89.22            False           False             39        ☁ 觀望
     4764.TW                 120           24.19                 88.96             True            True             62        📈 持有
     1708.TW                 120           26.32                 87.99             True           False             57        📈 持有
    6465.TWO                  20           34.88                 87.60            False            True            172        📈 持有
     6782.TW                  20           31.03                 87.03             True           False             58        📈 持有
    3083.TWO                  10           28.36                 86.83            False           False            201        ☁ 觀望
     3454.TW                 120           24.07                 86.01             True           False             54        📈 持有
     1203.TW                 240           29.03                 85.99             True           False             31        📈 持有
    3206.TWO                  20           33.33                 85.56             True            True            141        📈 持有
    6603.TWO                 120           26.32                 84.85            False           False             57        📈 持有
     2204.TW                 120           20.83                 84.23            False           False             48        ☁ 觀望
     4938.TW                 120           38.30                 83.43            False           False             47        📈 持有
    00904.TW                  10           43.86                 83.26             True           False             57        📈 持有
    1599.TWO                 120           22.95                 82.72             True           False             61        ☁ 觀望
    4530.TWO                 240           28.95                 82.70            False            True             38        ☁ 觀望
     6112.TW                 240           21.88                 82.29            False           False             32        ☁ 觀望
    3306.TWO                 120           42.59                 82.08            False           False             54        ☁ 觀望
     2515.TW                  10           26.89                 82.04             True           False            212        📈 持有
     6931.TW                  20           36.96                 81.99            False           False             46        ☁ 觀望
    3516.TWO                 240           39.02                 81.97            False           False             41        ☁ 觀望
     5243.TW                  20           34.01                 81.82            False           False            147        ☁ 觀望
     9945.TW                 240           20.51                 81.76            False           False             39        ☁ 觀望
    8289.TWO                 240           17.31                 81.51             True           False             52        📈 持有
    3663.TWO                 120           36.84                 81.50            False           False             57        📈 持有
    7728.TWO                 120           57.14                 81.19             True            True              7        📈 持有
    8240.TWO                  20           35.82                 80.91            False            True            134        ☁ 觀望
     2606.TW                 120           28.79                 80.88             True           False             66        📈 持有
     2820.TW                 240           57.14                 80.46             True           False             14        📈 持有
     1409.TW                 240           28.57                 80.27            False            True             42        📈 持有
     8926.TW                  60           22.73                 80.20             True           False             88        📈 持有
    6244.TWO                  20           21.94                 79.45             True           False            155        📈 持有
     1101.TW                 240           26.92                 79.36            False           False             26        ☁ 觀望
    8432.TWO                  60           28.57                 78.72            False           False             77        ☁ 觀望
     1256.TW                 120           26.67                 77.94             True           False             45        📈 持有
     1721.TW                  20           21.79                 77.65            False           False            156        ☁ 觀望
    00881.TW                  10           31.65                 77.38             True           False             79        📈 持有
    3354.TWO                 120           24.68                 76.57             True           False             77        📈 持有
     2331.TW                  60           30.00                 76.45            False           False             70        📈 持有
    3609.TWO                 120           37.25                 75.99            False           False             51        ☁ 觀望
    5347.TWO                 120           28.00                 75.38            False           False             75        📈 持有
       ^TWII                  10           36.52                 75.32             True           False            178        📈 持有
    6509.TWO                 120           19.44                 74.96             True           False             72        📈 持有
     2324.TW                  20           36.03                 74.33            False           False            136        ☁ 觀望
   00640L.TW                   5           44.02                 73.86             True           False            259        ☁ 觀望
     1308.TW                 240           17.95                 73.54             True            True             39        📈 持有
     6133.TW                 120           25.35                 73.45             True           False             71        📈 持有
    6486.TWO                 120           34.29                 73.29            False           False             35        📈 持有
     1582.TW                  20           25.87                 72.41             True            True            143        📈 持有
     6756.TW                  60           24.39                 71.76            False           False             41        ☁ 觀望
     2845.TW                 120           29.09                 71.59            False           False             55        ☁ 觀望
     2542.TW                  20           32.09                 71.48            False            True            134        ☁ 觀望
     6128.TW                 240           25.00                 71.23             True           False             24        ☁ 觀望
    2237.TWO                 240           35.14                 71.19            False            True             37        📈 持有
    6532.TWO                 120           37.50                 70.98             True            True             56        ☁ 觀望
     2392.TW                  60           35.44                 70.84            False           False             79        ☁ 觀望
     2645.TW                 120           35.00                 70.70             True           False             20        ☁ 觀望
     4958.TW                  10           32.35                 70.29            False           False            204        ☁ 觀望
    3360.TWO                  20           28.47                 69.84             True           False            144        📈 持有
     3033.TW                 120           17.74                 69.64            False           False             62        📈 持有
     2438.TW                  10           25.43                 69.16            False           False            232        📈 持有
    8277.TWO                  60           33.33                 69.11            False           False             75        📈 持有
     2485.TW                 120           26.87                 67.99             True            True             67        📈 持有
     6456.TW                  60           23.88                 67.73             True            True             67        📈 持有
     2380.TW                  60           23.53                 67.54             True            True             68        📈 持有
    3466.TWO                 240           34.62                 67.49            False           False             26        ☁ 觀望
    3290.TWO                 120           31.37                 67.37            False           False             51        📈 持有
    2948.TWO                  10           33.70                 67.14             True           False             92        📈 持有
     2420.TW                  20           37.50                 67.00             True           False            144        ☁ 觀望
    6855.TWO                 240           25.00                 66.59            False           False              4        ☁ 觀望
     2314.TW                 120           20.59                 66.56            False            True             34        ☁ 觀望
     6142.TW                  20           32.28                 65.75            False            True            127        ☁ 觀望
     6579.TW                 240            6.90                 65.11            False           False             29        ☁ 觀望
    00646.TW                 240           36.00                 64.12            False           False             25        📈 持有
    3073.TWO                 120           37.50                 63.93            False           False             56        ☁ 觀望
     4927.TW                 120           30.77                 63.87             True           False             39        📈 持有
     2323.TW                  20           28.26                 63.83             True           False            138        📈 持有
     6405.TW                  10           31.34                 63.73             True           False            201        📈 持有
     6214.TW                 120           34.78                 62.84            False           False             46        ☁ 觀望
     6243.TW                 120           35.00                 62.82            False           False             40        ☁ 觀望
    00922.TW                  10           37.78                 62.40             True           False             45        📈 持有
    5205.TWO                  10           25.56                 62.11            False           False            223        📈 持有
    6245.TWO                  20           35.25                 61.74            False           False            139        ☁ 觀望
     6451.TW                   5           30.07                 61.71             True           False            276        ☁ 觀望
     6141.TW                  60           34.25                 61.68             True            True             73        📈 持有
     1805.TW                 240           38.10                 61.29            False           False             21        ☁ 觀望
     4916.TW                 120           23.29                 61.25            False           False             73        ☁ 觀望
    5013.TWO                 120           26.09                 61.22            False           False             69        ☁ 觀望
     2397.TW                 240           36.59                 61.04            False           False             41        ☁ 觀望
     2886.TW                 240           36.36                 60.84            False           False             33        📈 持有
     1307.TW                 240           31.58                 60.64             True            True             38        ☁ 觀望
    00891.TW                  10           42.25                 60.53             True           False             71        📈 持有
     5876.TW                 240           34.29                 59.97            False           False             35        ☁ 觀望
     2616.TW                 240           24.39                 59.08             True            True             41        📈 持有
    6565.TWO                 240           20.83                 58.36            False           False             24        ☁ 觀望
    00923.TW                  10           43.24                 58.24             True           False             37        📈 持有
    4147.TWO                  10           28.50                 57.97            False           False            193        📈 持有
    6508.TWO                 240           25.93                 57.27             True           False             27        ☁ 觀望
     6789.TW                  10           25.58                 56.65             True           False             86        📈 持有
    00918.TW                 120           33.33                 56.61             True           False              6        📈 持有
     1568.TW                 120           22.45                 56.51            False           False             49        ☁ 觀望
    3664.TWO                 240           36.36                 54.01            False            True             44        ☁ 觀望
    00878.TW                 120           25.00                 53.94            False           False             16        📈 持有
     2412.TW                 120           24.39                 53.30             True           False             41        📈 持有
     6525.TW                  20           30.97                 53.13             True           False            113        ☁ 觀望
    5223.TWO                  60           29.41                 53.08             True            True             51        📈 持有
      TXF.TW                 240           23.08                 53.02             True           False             26        📈 持有
     6863.TW                 120           41.67                 52.86            False           False             12        ☁ 觀望
    4577.TWO                 120           17.39                 52.78             True           False             23        📈 持有
     6768.TW                 240           31.25                 52.18            False           False             16        ☁ 觀望
    8416.TWO                 240           28.30                 51.69            False           False             53        📈 持有
     2312.TW                  10           29.44                 51.28            False           False            214        ☁ 觀望
    4911.TWO                  20           26.28                 51.15            False           False            137        ☁ 觀望
    3684.TWO                  10           32.78                 50.80             True           False            241        📈 持有
     2434.TW                  20           27.68                 50.21            False           False            177        📈 持有
    00900.TW                 120           20.00                 50.05            False           False             10        📈 持有
    3441.TWO                 120           26.58                 49.81            False           False             79        📈 持有
     2464.TW                  10           35.48                 49.74            False           False            186        ☁ 觀望
     1809.TW                  10           30.10                 49.48             True           False            206        📈 持有
    1593.TWO                  60           27.27                 48.62             True            True             77        📈 持有
    3691.TWO                 120           39.58                 48.01             True           False             48        📈 持有
     6830.TW                  60           30.00                 47.95             True           False             30        📈 持有
   00753L.TW                 240           40.00                 47.69            False           False             15        ☁ 觀望
     1312.TW                 120           27.50                 47.25             True            True             40        📈 持有
    3088.TWO                 240           37.70                 47.09            False           False             61        ☁ 觀望
    00919.TW                  10           41.67                 46.90             True           False             48        📈 持有
    5301.TWO                  20           29.37                 46.87            False           False            143        📈 持有
     1459.TW                 120           37.93                 46.85             True           False             58        📈 持有
     2903.TW                  20           27.14                 46.57            False           False            140        📈 持有
    00947.TW                  60           45.45                 46.42            False           False             11        📈 持有
    00712.TW                  20           41.38                 45.43            False           False             87        ☁ 觀望
    6708.TWO                  10           27.42                 45.31            False           False            124        ☁ 觀望
     6152.TW                  60           25.35                 45.16             True           False             71        📈 持有
     6854.TW                  10           27.59                 45.08             True           False             58        📈 持有
    8047.TWO                 120           21.18                 44.95            False            True             85        📈 持有
     1466.TW                 240           25.93                 44.54             True            True             27        📈 持有
    6811.TWO                  60           25.64                 44.47            False           False             39        ☁ 觀望
    8349.TWO                  20           32.19                 44.15            False            True            146        ☁ 觀望
     2897.TW                 120           23.64                 43.96             True           False             55        📈 持有
     2495.TW                  60           31.03                 43.85            False           False             87        📈 持有
    7738.TWO                  20           23.08                 43.85            False           False             13        ☁ 觀望
    6894.TWO                  60           47.62                 43.74             True           False             21        📈 持有
     2426.TW                 240           30.00                 43.21             True            True             30        📈 持有
     6282.TW                 240           27.27                 43.04            False           False             33        📈 持有
    3521.TWO                  60           37.50                 42.84            False           False             80        📈 持有
    00927.TW                  10           42.50                 42.38            False           False             40        ☁ 觀望
    6279.TWO                 240           40.48                 42.27            False           False             42        ☁ 觀望
    5355.TWO                  20           25.78                 42.20             True           False            128        📈 持有
     6206.TW                 240           35.00                 42.04            False           False             40        ☁ 觀望
     3652.TW                  60           33.33                 41.67            False           False             90        ☁ 觀望
     2484.TW                  20           34.07                 41.64            False           False            135        ☁ 觀望
     6715.TW                  20           25.30                 41.34             True           False             83        📈 持有
     2103.TW                 120           30.36                 41.24             True            True             56        📈 持有
     1439.TW                  20           30.34                 41.23            False           False            145        ☁ 觀望
     4952.TW                  10           33.68                 41.14             True            True            193        📈 持有
     1301.TW                 120           36.17                 40.76             True           False             47        📈 持有
     1537.TW                 240           23.91                 40.42            False           False             46        ☁ 觀望
    6174.TWO                  60           37.11                 39.97             True           False             97        📈 持有
     3049.TW                  20           27.21                 39.02             True            True            136        📈 持有
   00650L.TW                  60           28.33                 38.83            False           False             60        ☁ 觀望
    3499.TWO                  20           25.17                 38.60             True           False            147        ☁ 觀望
    00924.TW                 240           87.50                 38.57            False           False              8        📈 持有
    4154.TWO                  60           35.23                 38.40            False           False             88        ☁ 觀望
     6414.TW                 240           35.71                 38.11            False           False             42        ☁ 觀望
     1310.TW                 240           20.00                 37.88             True           False             25        📈 持有
     8101.TW                 240           44.44                 37.57            False            True              9        ☁ 觀望
     6937.TW                  10           40.98                 37.31             True           False             61        📈 持有
     2342.TW                   5           29.60                 36.47            False           False            321        ☁ 觀望
     2049.TW                 240           26.09                 36.39             True           False             46        ☁ 觀望
     6592.TW                  60           18.87                 36.03            False            True             53        ☁ 觀望
    7556.TWO                   5           34.27                 35.72             True           False            178        📈 持有
    3597.TWO                 120           26.83                 35.66            False           False             41        ☁ 觀望
    5230.TWO                   5           33.21                 35.40            False           False            280        ☁ 觀望
     6477.TW                  60           28.57                 35.36             True           False             77        📈 持有
     9917.TW                 240           19.15                 35.36            False           False             47        ☁ 觀望
     8039.TW                 240           34.21                 35.16             True           False             38        📈 持有
     9921.TW                  20           27.33                 34.73            False           False            150        ☁ 觀望
     3022.TW                  10           30.23                 34.07            False           False            215        ☁ 觀望
     3501.TW                 240           54.55                 34.02            False           False             22        ☁ 觀望
    4541.TWO                 240           27.27                 33.69            False           False             44        📈 持有
     4576.TW                  60           25.00                 33.33             True           False             48        📈 持有
    4523.TWO                  10           27.18                 33.00             True           False            206        📈 持有
     3003.TW                  10           31.96                 32.95             True           False            194        📈 持有
     6202.TW                 240           28.89                 32.86             True           False             45        📈 持有
     2002.TW                 240           21.21                 32.68            False           False             33        ☁ 觀望
     1102.TW                 240           40.38                 32.26            False           False             52        ☁ 觀望
    00951.TW                  20           16.67                 31.90            False           False             24        📈 持有
     3002.TW                 120           34.92                 30.95            False           False             63        📈 持有
     2302.TW                  20           30.32                 30.82            False           False            155        ☁ 觀望
    6499.TWO                 120           22.00                 30.74            False           False             50        ☁ 觀望
    6140.TWO                 120           28.38                 30.64            False           False             74        ☁ 觀望
   00633L.TW                  20           32.79                 30.62            False           False            122        ☁ 觀望
     2347.TW                 120           25.71                 30.45             True           False             70        📈 持有
     2409.TW                 240           25.00                 30.14             True           False             48        📈 持有
    3558.TWO                 120           29.79                 29.63            False           False             47        ☁ 觀望
     2836.TW                 240           16.67                 29.57             True           False             54        📈 持有
    6612.TWO                  10           36.81                 29.48            False           False            163        ☁ 觀望
    6982.TWO                  60           31.25                 29.35            False           False             16        ☁ 觀望
     1723.TW                 240           33.33                 29.13            False           False             21        ☁ 觀望
    3191.TWO                   5           30.60                 29.10            False            True            317        ☁ 觀望
     9908.TW                 120           17.39                 28.99             True            True             46        📈 持有
     9907.TW                 240           17.31                 28.71             True           False             52        📈 持有
     7780.TW                 120           60.00                 28.62            False           False              5        ☁ 觀望
     2355.TW                  10           33.01                 28.21             True           False            206        📈 持有
     5203.TW                  10           30.96                 27.93            False           False            197        ☁ 觀望
     4770.TW                 120           40.54                 27.81            False           False             37        ☁ 觀望
     1216.TW                 240           31.71                 27.27            False           False             41        ☁ 觀望
     1762.TW                 240           14.63                 27.21             True           False             41        ☁ 觀望
   00655L.TW                  20           33.63                 27.15            False           False            113        ☁ 觀望
    00875.TW                 240           33.33                 27.04            False            True              9        📈 持有
    8255.TWO                 120           24.32                 26.86            False           False             74        ☁ 觀望
    7714.TWO                 120           44.44                 26.83            False           False              9        📈 持有
     4904.TW                 240           27.27                 26.65             True           False             44        📈 持有
    6844.TWO                  20           38.30                 26.50            False           False             47        ☁ 觀望
     3062.TW                  10           33.33                 26.09            False           False            198        📈 持有
    00941.TW                  60           20.00                 26.09             True           False             10        📈 持有
   00738U.TW                  10           31.20                 26.05            False           False            125        📈 持有
     2801.TW                 240           26.47                 25.34            False           False             34        📈 持有
     9926.TW                 240           28.57                 24.72             True            True             49        📈 持有
    8383.TWO                 240           43.33                 24.16            False           False             60        ☁ 觀望
     2498.TW                  10           29.09                 24.14            False            True            220        ☁ 觀望
    5516.TWO                 240           25.49                 24.05            False           False             51        ☁ 觀望
    8917.TWO                 120           18.75                 23.49            False            True             96        📈 持有
     2356.TW                  20           29.01                 23.36            False           False            162        ☁ 觀望
     6794.TW                  20           23.81                 22.78            False           False             21        ☁ 觀望
    5478.TWO                  10           30.19                 22.76             True           False            212        📈 持有
    00929.TW                  20           41.38                 22.17            False           False             29        ☁ 觀望
    6160.TWO                 120           32.73                 21.85            False           False             55        ☁ 觀望
  00740B.TWO                 120           34.62                 21.75             True            True             26        📈 持有
     8463.TW                  60           27.27                 21.57            False           False             99        📈 持有
  00722B.TWO                 120           24.14                 21.43             True           False             29        📈 持有
    00902.TW                  20           34.88                 21.39            False           False             43        ☁ 觀望
     2405.TW                 120           33.85                 21.34            False           False             65        ☁ 觀望
    00936.TW                  20           40.91                 21.12            False           False             22        ☁ 觀望
     2461.TW                 120           30.30                 21.09            False           False             66        ☁ 觀望
     1326.TW                 240           26.92                 20.63             True           False             26        📈 持有
    6762.TWO                  20           26.67                 20.60            False            True             90        📈 持有
    2740.TWO                 240           21.43                 20.32            False           False             14        📈 持有
     1525.TW                  20           25.55                 20.28            False           False            137        ☁ 觀望
     1735.TW                 120           35.38                 19.87             True           False             65        📈 持有
    4580.TWO                  20           33.33                 19.77            False           False             78        ☁ 觀望
    2066.TWO                 240           37.21                 19.68            False           False             43        ☁ 觀望
   00635U.TW                  60           38.46                 19.58             True           False             52        📈 持有
   00637L.TW                  20           31.90                 19.44            False           False            116        ☁ 觀望
     6806.TW                 120           21.05                 19.11            False           False             19        ☁ 觀望
     3016.TW                  60           32.61                 18.97            False           False             92        📈 持有
    4416.TWO                 120           30.91                 18.75            False            True             55        ☁ 觀望
     6598.TW                  20           33.05                 17.72             True           False            118        📈 持有
    7583.TWO                  10           31.71                 17.50            False           False             41        📈 持有
     2201.TW                 240           25.00                 17.44            False           False             32        ☁ 觀望
     4551.TW                  20           33.85                 17.28             True           False            130        ☁ 觀望
     1314.TW                  10           31.63                 17.21             True            True            196        📈 持有
    3289.TWO                  20           34.31                 17.18             True           False            137        📈 持有
     2104.TW                 240           21.88                 17.08             True            True             32        📈 持有
