=== 均線扣抵參數大對決 (20260307) ===
代號         |   最佳參數   |      勝率 |      總累計報酬 | 交易次數
2618.TW    |    MA10    |    32.9% |     66.00% |    219
8045.TW    |    MA60    |    25.4% |    451.24% |     63
2489.TW    |    MA60    |    24.3% |     92.48% |     70
6509.TWO   |    MA10    |    27.5% |     29.26% |    204
2838.TW    |    MA60    |    39.4% |     88.31% |     66
3501.TW    |    MA60    |    29.4% |     17.68% |     68
8039.TW    |    MA10    |    29.2% |     -5.04% |    226
3105.TWO   |    MA60    |    30.6% |    112.71% |     72
8478.TW    |    MA60    |    30.6% |    191.60% |     62
3550.TW    |    MA60    |    35.2% |     -8.04% |     91
3432.TW    |    MA20    |    27.7% |    -24.82% |    137
1514.TW    |    MA10    |    35.5% |    237.97% |    200
6209.TW    |    MA10    |    36.4% |    166.66% |    198
4912.TW    |    MA60    |    31.3% |    223.62% |     83
3015.TW    |    MA20    |    31.9% |     45.15% |    144
