=== 均線扣抵方向性回測競賽 (資料日期: 20260307) ===
代號         |    最佳參數    |      勝率 |       累計報酬 | 交易次數
3455.TWO   |    MA10    |    31.1% |     72.05% |      206
6122.TWO   |    MA10    |    25.9% |    149.96% |      205
02001L.TW  |    MA5     |     0.0% |      0.00% |        0
2880.TW    |    MA10    |    27.1% |    -25.26% |      221
6435.TWO   |    MA20    |    36.8% |    230.94% |      136
8476.TW    |    MA10    |    17.2% |  -3290.44% |      268
6530.TWO   |    MA10    |    28.5% |    -79.21% |      214
6806.TW    |    MA60    |    25.0% |     34.96% |       20
2755.TWO   |    MA20    |    32.0% |    145.77% |       75
3006.TW    |    MA20    |    37.0% |    236.17% |      135
1442.TW    |    MA60    |    29.9% |    104.92% |       77
00715L.TW  |    MA5     |    31.0% |    167.85% |      197
8349.TWO   |    MA20    |    27.4% |     60.79% |      146
2633.TW    |    MA20    |    18.3% |    -18.31% |      126
4530.TWO   |    MA5     |    21.0% |   -384.65% |      352
3693.TWO   |    MA20    |    34.5% |    378.99% |      116
2543.TW    |    MA60    |    13.3% |    963.24% |      120
1762.TW    |    MA10    |    27.4% |     91.43% |      201
2388.TW    |    MA10    |    22.8% |    336.85% |      232
1256.TW    |    MA20    |    28.3% |     68.54% |      138
3260.TWO   |    MA10    |    30.4% |    254.01% |      191
2035.TWO   |    MA60    |    12.3% |   -228.58% |      154
6418.TWO   |    MA5     |    23.0% |    -42.19% |      282
5230.TWO   |    MA5     |    30.4% |     18.93% |      280
3169.TWO   |    MA10    |    28.6% |    314.67% |      213
1516.TW    |    MA20    |    25.0% |     17.67% |      164
3413.TW    |    MA10    |    30.2% |    216.08% |      215
3516.TWO   |    MA60    |    21.4% |    -90.98% |      112
2201.TW    |    MA10    |    24.6% |   -112.50% |      211
1323.TW    |    MA60    |    14.8% |    -80.97% |      122
3071.TWO   |    MA60    |    25.3% |     91.44% |       75
00662.TW   |    MA20    |    37.8% |     61.52% |       98
2948.TWO   |    MA20    |    19.4% |    -11.73% |       67
2419.TW    |    MA20    |    26.8% |     25.19% |      157
2392.TW    |    MA5     |    26.7% |    -45.86% |      318
4966.TWO   |    MA20    |    33.3% |    -10.58% |      171
6186.TWO   |    MA20    |    30.6% |    142.93% |      124
