=== 均線扣抵參數大對決 (20260307) ===
代號         |   最佳參數   |      勝率 |      總累計報酬 | 交易次數
00949.TW   |    MA5     |    35.9% |     -1.38% |     39
2542.TW    |    MA20    |    26.9% |     75.48% |    134
6431.TW    |    MA20    |    25.6% |    114.60% |    125
7721.TW    |    MA20    |    23.1% |     -8.15% |     26
02001R.TW  |    MA5     |     0.0% |      0.00% |      0
4192.TWO   |    MA20    |    21.2% |     28.23% |    146
9917.TW    |    MA60    |    24.2% |     -7.66% |     95
8271.TW    |    MA60    |    33.9% |    161.05% |     62
7455.TWO   |    MA20    |    21.4% |     -6.41% |     14
8047.TWO   |    MA60    |    14.2% |     27.07% |    148
4540.TW    |    MA60    |    35.7% |    340.04% |     56
1309.TW    |    MA60    |    25.4% |    203.27% |     67
00904.TW   |    MA10    |    38.6% |     77.91% |     57
6756.TW    |    MA60    |    29.3% |     83.79% |     41
6919.TW    |    MA10    |    48.8% |    386.10% |     41
3211.TWO   |    MA20    |    30.8% |    198.94% |    143
2360.TW    |    MA20    |    31.4% |    136.61% |    153
8016.TW    |    MA60    |    25.3% |    124.84% |     95
3094.TW    |    MA20    |    26.4% |    -16.82% |    148
5484.TW    |    MA10    |    24.4% |    217.05% |    213
6284.TWO   |    MA10    |    33.8% |    191.64% |    195
7783.TWO   |    MA5     |    20.0% |    -19.38% |     30
3014.TW    |    MA10    |    28.6% |     95.23% |    220
3558.TWO   |    MA20    |    30.1% |      6.00% |    153
3406.TW    |    MA10    |    35.9% |    387.04% |    198
6794.TW    |    MA20    |    19.0% |     19.96% |     21
7402.TWO   |    MA10    |    26.4% |     47.45% |    212
6235.TW    |    MA60    |    29.7% |    382.05% |     74
3149.TW    |    MA20    |    30.6% |    210.44% |    121
4580.TWO   |    MA20    |    27.6% |     20.90% |     76
6739.TWO   |    MA60    |    38.5% |    390.62% |     26
7702.TWO   |    MA10    |    25.0% |    -13.27% |     32
2023.TW    |    MA60    |    23.6% |     56.68% |    110
3454.TW    |    MA60    |    25.4% |     74.69% |     59
3543.TW    |    MA60    |    22.8% |    179.62% |     79
3018.TW    |    MA60    |    27.7% |    253.88% |     65
6526.TW    |    MA10    |    35.1% |     -4.99% |     37
6843.TWO   |    MA10    |    29.2% |    -36.95% |     72
8240.TWO   |    MA20    |    34.1% |    119.14% |    132
3686.TW    |    MA20    |    21.3% |    234.68% |    150
6933.TW    |    MA5     |    23.2% |      3.87% |     56
1337.TW    |    MA60    |    20.2% |   -100.21% |     94
7719.TWO   |    MA60    |    37.5% |    101.03% |      8
3663.TWO   |    MA20    |    24.8% |     56.72% |    149
6588.TWO   |    MA60    |    20.3% |    243.60% |     59
4563.TWO   |    MA10    |    26.2% |    -18.04% |    172
3707.TWO   |    MA10    |    34.1% |    258.87% |    182
3064.TWO   |    MA20    |    20.7% |    -25.24% |    169
8103.TW    |    MA10    |    29.9% |     85.75% |    211
3498.TWO   |    MA10    |    26.7% |    -22.72% |    191
2883.TW    |    MA10    |    31.2% |     52.01% |    208
6788.TWO   |    MA60    |    37.5% |    196.89% |     32
6793.TWO   |    MA60    |    22.7% |      1.85% |     22
6903.TWO   |    MA10    |    31.5% |    125.30% |     54
2324.TW    |    MA5     |    29.4% |   -159.74% |    320
00764B.TWO |    MA20    |    24.2% |    -48.12% |     99
00965.TW   |    MA10    |    41.2% |     28.84% |     17
4513.TWO   |    MA60    |    27.4% |    146.28% |     73
6805.TW    |    MA20    |    41.7% |    190.66% |     24
5292.TW    |    MA60    |    34.3% |    121.70% |     35
3013.TW    |    MA10    |    34.6% |    102.94% |    214
3529.TWO   |    MA10    |    32.6% |    232.23% |    221
8436.TWO   |    MA60    |    24.3% |    188.00% |     70
6276.TWO   |    MA60    |    43.1% |    310.22% |     51
6182.TWO   |    MA60    |    32.9% |    207.92% |     73
6598.TW    |    MA20    |    24.6% |      4.97% |    118
4931.TWO   |    MA60    |    16.2% |    644.83% |     68
5284.TW    |    MA20    |    26.7% |    227.84% |    150
6499.TWO   |    MA5     |    27.3% |    261.39% |    256
2387.TW    |    MA60    |    20.8% |    124.86% |     77
00968B.TWO |    MA10    |    16.7% |    -10.77% |     24
2609.TW    |    MA60    |    22.9% |   1353.76% |     70
3057.TW    |    MA10    |    21.5% |     55.91% |    214
3632.TWO   |    MA60    |    18.6% |    -76.42% |     70
5013.TWO   |    MA60    |    22.1% |      9.34% |     95
6548.TWO   |    MA60    |    27.8% |    416.93% |     72
5314.TWO   |    MA60    |    27.7% |    854.65% |    101
00713.TW   |    MA60    |    22.2% |     73.88% |     45
4764.TW    |    MA10    |    21.6% |    -18.93% |    194
2887I.TW   |    MA60    |    25.0% |     -1.78% |      4
6472.TW    |    MA60    |    32.1% |    521.78% |     81
6863.TW    |    MA20    |    31.0% |     15.60% |     29
2365.TW    |    MA5     |    25.2% |     88.94% |    302
2425.TW    |    MA20    |    26.5% |    152.97% |    113
3594.TWO   |    MA10    |    30.0% |     33.61% |    207
4561.TWO   |    MA60    |    23.7% |    116.99% |     38
6128.TW    |    MA60    |    27.5% |     21.64% |     69
3008.TW    |    MA5     |    25.2% |   -153.85% |    325
5321.TWO   |    MA60    |    24.7% |    446.41% |     73
