正在分析 1168 檔標的，並同步產出 TXT, CSV 與 JSON 對照表...
股票代號 (Stock)  最佳週期 (Best Period)  勝率 (Win Rate%)  總報酬率 (Total Return%)  最大回撤 (MDD%)  夏普比率 (Sharpe Ratio)  獲利因子 (Profit Factor)  交易次數 (Trades) 狀態 (Status)
    2457.TW           60               20.83             302.33           -57.03             0.84                 2.28               72           📈 持有   
    6191.TW          240               48.57             301.85           -28.81             1.85                 5.27               35           📈 持有   
    6655.TW          120               30.56             299.73           -13.61             0.95                 7.57               36           📈 持有   
    6949.TW            5               27.91             299.69           -23.26             1.78                 4.25               43           ☁ 觀望   
    8033.TW           60               29.29             299.20           -62.72             1.05                 2.24               99           📈 持有   
   5864.TWO           60               27.27             299.20           -35.27             1.60                 3.66               88           📈 持有   
   3163.TWO          240               37.50             298.22           -41.26             0.87                 5.06               24           📈 持有   
   3264.TWO          120               30.43             297.27           -31.50             1.60                 3.50               46           📈 持有   
   8043.TWO          120               25.42             297.03           -57.54             1.15                 3.24               59           📈 持有   
    5284.TW          240               36.84             296.15           -23.96             1.27                 9.64               19           📈 持有   
   4903.TWO           10               29.08             294.77           -70.66             1.26                 1.60              196           📈 持有   
    4722.TW          120               23.26             291.77           -34.70             1.72                 5.46               43           📈 持有   
  00673R.TW           60               30.43             291.56           -69.29             0.90                 2.78               69           ☁ 觀望   
   3169.TWO          240               33.33             290.32           -32.68             0.91                 4.00               39           ☁ 觀望   
   6138.TWO          120               48.65             289.07           -27.75             1.57                 4.47               37           📈 持有   
    6426.TW           10               38.21             288.92           -58.82             1.41                 1.64              212           📈 持有   
   3105.TWO          120               37.04             287.95           -51.09             1.23                 2.69               54           📈 持有   
    3005.TW          240               37.50             287.62           -17.18             1.73                 6.73               40           📈 持有   
   6560.TWO           20               31.37             285.56           -52.24             1.35                 2.26              102           📈 持有   
   5386.TWO           10               33.18             283.37           -67.35             1.18                 1.49              223           📈 持有   
   6588.TWO           60               36.07             282.20           -51.52             1.03                 2.86               61           📈 持有   
    4739.TW          120               33.33             282.14           -51.25             1.35                 3.54               42           📈 持有   
   5498.TWO           10               25.94             281.09           -42.55             1.43                 1.68              212           📈 持有   
    2480.TW          240               25.93             279.79           -25.76             1.58                 6.64               27           📈 持有   
    3019.TW          240               32.35             278.99           -44.44             1.14                 4.11               34           ☁ 觀望   
   3491.TWO          120               29.69             278.56           -48.74             1.26                 2.37               64           📈 持有   
   8299.TWO          120               31.58             278.46           -37.73             1.06                 2.37               57           📈 持有   
    2059.TW          240               22.50             277.74           -43.05             1.20                 4.57               40           📈 持有   
    2379.TW          120               43.18             277.72           -32.40             1.56                 3.49               44           ☁ 觀望   
    3032.TW          240               37.50             277.28           -23.65             1.55                 4.12               32           ☁ 觀望   
   6104.TWO           60               31.65             277.20           -43.85             1.17                 2.23               79           📈 持有   
   4946.TWO           60               18.75             275.70           -86.44             0.83                 1.87               80           📈 持有   
   3526.TWO          120               28.89             275.41           -35.13             1.19                 3.08               45           📈 持有   
    1597.TW          120               28.07             274.63           -51.47             0.89                 2.67               57           ☁ 觀望   
    1503.TW          240               31.82             274.03           -16.57             1.03                 7.37               22           📈 持有   
    3545.TW          240               37.04             273.48           -28.18             0.89                 4.17               27           ☁ 觀望   
   3078.TWO           60               32.81             270.07           -34.43             1.28                 2.82               64           ☁ 觀望   
    3168.TW          120               40.43             269.71           -34.44             1.86                 3.43               47           ☁ 觀望   
    1477.TW          120               34.38             269.47           -23.14             1.66                 4.94               32           📈 持有   
   6125.TWO          240               29.55             269.41           -38.42             1.11                 3.64               44           ☁ 觀望   
   6620.TWO           20               35.80             265.16           -40.24             1.38                 2.31               81           ☁ 觀望   
    3090.TW          240               32.14             265.00           -30.09             1.21                 6.52               28           📈 持有   
    1229.TW          240               46.67             263.20            -5.39             1.58                17.17               15           ☁ 觀望   
   3713.TWO           20               25.00             262.93           -67.39             0.75                 2.55               72           ☁ 觀望   
    1802.TW          120               23.81             262.23           -48.69             1.30                 3.29               42           📈 持有   
    2454.TW          240               21.74             262.13           -19.66             1.14                 4.42               23           📈 持有   
  00631L.TW          240               24.00             261.74           -32.41             1.19                 4.27               25           📈 持有   
   8444.TWO          240               30.00             260.89           -40.23             0.87                 6.40               10           ☁ 觀望   
    1560.TW          120               32.43             260.14           -37.19             1.43                 3.27               37           📈 持有   
    5607.TW          240               28.95             259.87           -11.48             1.05                 6.21               38           📈 持有   
    2493.TW          240               22.22             259.26           -18.69             0.93                 6.18               18           📈 持有   
    5222.TW          240               27.03             257.85           -27.31             1.01                 2.99               37           📈 持有   
    1612.TW          240               33.33             256.63           -25.87             1.11                 5.81               21           📈 持有   
    3701.TW           20               28.85             256.22           -82.68             0.62                 1.52              208           📈 持有   
   3430.TWO          120               26.19             256.04           -48.01             1.01                 3.08               42           📈 持有   
   1294.TWO           60               36.84             255.45           -20.22             1.31                 8.99               19           📈 持有   
    2337.TW           60               29.59             255.43           -82.49             0.71                 1.89               98           📈 持有   
    6213.TW          240               43.75             254.25           -36.97             1.20                 4.80               32           📈 持有   
    2031.TW          240               33.33             254.16           -18.89             1.41                 8.68               12           ☁ 觀望   
   6643.TWO          120               48.65             253.40           -38.41             1.03                 3.65               37           ☁ 觀望   
    4540.TW           60               31.58             253.36           -55.44             0.79                 2.67               57           📈 持有   
   4744.TWO           20               35.21             250.91           -52.00             0.97                 1.89              142           📈 持有   
    2382.TW          240               35.14             249.16           -16.46             1.13                 5.11               37           📈 持有   
    3023.TW          240               38.46             248.61           -37.02             1.24                 4.36               26           ☁ 觀望   
   8027.TWO           60               28.75             248.53           -56.78             1.19                 2.04               80           ☁ 觀望   
   6568.TWO           20               43.27             246.42           -26.23             1.42                 2.25              104           📈 持有   
    2313.TW          120               29.23             245.88           -30.62             1.26                 2.89               65           📈 持有   
    4562.TW          120               19.05             244.99           -30.04             0.82                 3.86               42           ☁ 觀望   
    1513.TW          120               30.00             244.11           -42.59             1.22                 2.74               70           ☁ 觀望   
    4755.TW           60               25.71             243.91           -31.57             1.23                 3.02               70           📈 持有   
    6491.TW          120               29.55             243.85           -49.43             1.08                 3.30               44           ☁ 觀望   
   7781.TWO          120               50.00             243.33             0.00             1.30                23.32                2           📈 持有   
   6130.TWO           20               36.54             242.59           -46.11             0.95                 1.68              156           ☁ 觀望   
    3583.TW           60               35.82             241.70           -30.37             1.28                 2.28               67           📈 持有   
    5484.TW           10               30.37             241.67           -55.51             1.13                 1.57              214           ☁ 觀望   
    2481.TW          120               24.32             240.44           -58.07             1.10                 2.14               74           📈 持有   
   3374.TWO           20               36.55             240.37           -45.92             1.57                 1.68              145           ☁ 觀望   
    1605.TW          120               23.08             240.01           -35.13             1.64                 3.01               52           📈 持有   
    6257.TW          120               41.67             239.95           -18.49             1.90                 3.88               36           📈 持有   
  00663L.TW           10               42.28             239.58           -31.77             2.68                 2.14              149           📈 持有   
   6186.TWO          240               24.24             237.57           -27.65             1.09                 4.26               33           ☁ 觀望   
    6196.TW          240               30.00             236.00           -39.17             1.27                 3.41               30           📈 持有   
    5469.TW           20               37.72             235.92           -36.74             2.01                 1.96              114           ☁ 觀望   
    2365.TW          120               19.72             235.66           -53.26             0.67                 2.23               71           ☁ 觀望   
    2388.TW           10               25.43             235.25           -81.59             0.76                 1.35              232           ☁ 觀望   
   3689.TWO           10               39.31             233.80           -29.69             2.13                 1.76              173           ☁ 觀望   
   6785.TWO          240               11.11             233.39           -21.54             0.95                10.80                9           📈 持有   
    2460.TW           60               30.19             233.18           -45.69             0.86                 2.50               53           📈 持有   
    2316.TW           20               36.05             233.07           -51.99             1.35                 1.73              147           ☁ 觀望   
    4912.TW          240               39.39             232.29           -27.80             1.88                 4.67               33           ☁ 觀望   
    1773.TW           60               37.14             231.87           -20.57             1.75                 3.84               70           📈 持有   
    4919.TW          120               31.71             231.70           -46.49             1.00                 2.73               41           📈 持有   
    6515.TW          120               40.00             231.60           -43.40             1.18                 3.78               35           📈 持有   
    3042.TW          240               35.48             231.38           -11.95             1.15                 6.51               31           ☁ 觀望   
   3213.TWO          120               30.30             231.32           -30.78             1.23                 3.46               33           ☁ 觀望   
    1309.TW          240               43.75             230.46           -25.02             0.91                 4.83               16           ☁ 觀望   
   8930.TWO          120               28.30             230.45           -31.48             1.35                 3.86               53           📈 持有   
    3706.TW           10               37.10             230.21           -29.11             2.04                 1.95              186           📈 持有   
   6535.TWO          240               37.21             230.15           -68.44             0.64                 2.29               43           ☁ 觀望   
   3552.TWO           20               30.89             229.94           -70.94             0.94                 1.63              123           ☁ 觀望   
   6584.TWO           10               36.73             229.12           -47.23             1.45                 1.92              147           ☁ 觀望   
   00757.TW          240               42.86             229.05            -4.98             1.49                15.52                7           📈 持有   
   2641.TWO           60               35.14             228.64           -47.14             0.77                 2.21               74           ☁ 觀望   
    3014.TW           60               32.05             227.44           -28.45             1.39                 2.57               78           ☁ 觀望   
    2236.TW          120               30.61             226.69           -59.01             1.09                 2.34               49           📈 持有   
    1436.TW          240               34.62             226.05           -16.79             1.49                 9.44               26           ☁ 觀望   
   4768.TWO           20               43.42             225.24           -32.21             1.77                 2.52               76           📈 持有   
    3036.TW          120               34.88             224.66           -22.65             1.57                 4.09               43           📈 持有   
   1569.TWO          240               31.25             224.58           -41.13             1.09                 2.85               32           ☁ 觀望   
   3444.TWO          240               50.00             223.00           -15.75             1.86                 7.72               18           ☁ 觀望   
    2108.TW           60               33.33             222.56           -31.78             1.38                 3.09               54           📈 持有   
