     Stock       Name  Score    Close                                   BuyReason
  6616.TWO      特昇-KY    2.0    10.20                                       ADX轉強
  1785.TWO        光洋科    2.0    66.30                              【營收爆發(67.72%)】
   2376.TW         技嘉    2.0   219.00                               【營收爆發(47.4%)】
   7749.TW      意騰-KY    2.0   402.50                                       ADX轉強
   6271.TW        同欣電    2.0   159.00                                       ADX轉強
  4130.TWO         健亞    2.0    34.60                                       ADX轉強
  6535.TWO         順藥    2.0   156.50                             【營收爆發(9777.5%)】
 00680L.TW          ?    2.0     7.44                                       ADX轉強
  6613.TWO        朋億*    2.0   190.50                                       ADX轉強
  6584.TWO       南俊國際    2.0   376.50                              【營收爆發(47.92%)】
   2449.TW       京元電子    2.0   284.50                              【營收爆發(41.05%)】
00948B.TWO          ?    2.0     9.67                                       ADX轉強
   2601.TW         益航    2.0     6.79                                       ADX轉強
   6112.TW        邁達特    2.0    45.65                                       ADX轉強
   6426.TW         統新    2.0   149.00                             【營收爆發(100.66%)】
   2472.TW        立隆電    2.0   113.00                                       ADX轉強
00864B.TWO          ?    2.0    46.24                                       ADX轉強
   0052.TW       富邦科技    2.0    45.60                                       ADX轉強
   3596.TW         智易    2.0   203.00                                       ADX轉強
   5607.TW        遠雄港    2.0    52.20                              【營收爆發(41.15%)】
   2615.TW         萬海    2.0    78.60                                       ADX轉強
  3689.TWO         湧德    2.0   106.00                                       ADX轉強
  3672.TWO        康聯訊    2.0    11.85                                       ADX轉強
 00651R.TW          ?    2.0     5.32                                       ADX轉強
   2616.TW         山隆    2.0    21.75                                       ADX轉強
   3167.TW         大量    2.0   291.00                             【營收爆發(123.02%)】
   2889.TW        國票金    2.0    15.85                             【營收爆發(102.15%)】
   3003.TW        健和興    2.0    51.20                              【營收爆發(59.35%)】
   2357.TW         華碩    2.0   527.00                              【營收爆發(79.97%)】
  7781.TWO       昕力資*    2.0    18.60                              【營收爆發(42.08%)】
  3684.TWO         榮昌    2.0    60.40                              【營收爆發(30.66%)】
00780B.TWO          ?    2.0    37.99                                       ADX轉強
   1456.TW         怡華    2.0    12.95                              【營收爆發(50.81%)】
   5222.TW         全訊    2.0   138.50                                       ADX轉強
   1402.TW        遠東新    2.0    29.25                                       ADX轉強
  00939.TW   統一台灣高息動能    2.0    15.78                                       ADX轉強
   1313.TW         聯成    2.0    13.50                                       ADX轉強
  7738.TWO       東聯互動    2.0   169.00                                       ADX轉強
  4171.TWO         瑞基    2.0    20.25                              【營收爆發(84.93%)】
 00666R.TW          ?    2.0     9.19                                       ADX轉強
  6629.TWO      泰金-KY    2.0   110.50                              【營收爆發(58.57%)】
  3680.TWO         家登    2.0   396.00                              【營收爆發(62.74%)】
   2438.TW         翔耀    2.0    21.65                             【營收爆發(281.18%)】
  8088.TWO         品安    2.0    47.50                             【營收爆發(136.01%)】
00720B.TWO          ?    2.0    33.82                                       ADX轉強
   2383.TW        台光電    2.0  2360.00                              【營收爆發(45.01%)】
   2349.TW         錸德    2.0    13.30                                       ADX轉強
  3260.TWO         威剛    2.0   287.50                              【營收爆發(114.3%)】
  3360.TWO         尚立    2.0    16.40                             【營收爆發(152.72%)】
  3693.TWO         營邦    2.0   428.50                                       ADX轉強
 00715L.TW          ?    2.0    38.16                                       ADX轉強
   1303.TW         南亞    2.0    82.30                                       ADX轉強
  8038.TWO        長園科    2.0    41.00                             【營收爆發(643.82%)】
   8476.TW        台境*    2.0    19.10                             【營收爆發(126.49%)】
  8048.TWO         德勝    2.0    63.20                                       ADX轉強
   3694.TW         海華    2.0    58.20                              【營收爆發(58.57%)】
   6672.TW    騰輝電子-KY    2.0    99.50                                       ADX轉強
   6166.TW         凌華    2.0    63.00                              【營收爆發(58.39%)】
   2897.TW       王道銀行    2.0     9.83                              【營收爆發(55.65%)】
   6668.TW        中揚光    2.0    35.50                              【營收爆發(41.28%)】
   2867.TW        三商壽    2.0     8.06                                       ADX轉強
   3266.TW         昇陽    2.0    13.85                             【營收爆發(222.03%)】
  6419.TWO        京晨科    2.0    69.50                                       ADX轉強
   1773.TW         勝一    2.0   149.00                                       ADX轉強
  8489.TWO        三貝德    2.0    25.10                               【營收爆發(53.1%)】
  3357.TWO        臺慶科    2.0   159.50                                       ADX轉強
  3324.TWO         雙鴻    2.0   989.00                              【營收爆發(66.95%)】
   3563.TW         牧德    2.0   620.00                                       ADX轉強
   2401.TW         凌陽    2.0    21.65                                       ADX轉強
  7734.TWO       印能科技    2.0  1685.00                              【營收爆發(142.0%)】
  3169.TWO         亞信    2.0    97.80                                       ADX轉強
   1516.TW         川飛    2.0    22.60                                       ADX轉強
   3413.TW         京鼎    2.0   310.00                                       ADX轉強
   2345.TW         智邦    2.0  1465.00                               【營收爆發(82.7%)】
   6598.TW     ABC-KY    2.0    24.65                              【營收爆發(87.92%)】
   3013.TW        晟銘電    2.0   101.00                              【營收爆發(49.92%)】
   6805.TW        富世達    2.0  1845.00                              【營收爆發(51.13%)】
  00965.TW   元大航太防衛科技    2.0    26.40                                       ADX轉強
  6903.TWO         巨漢    2.0   314.00                             【營收爆發(586.45%)】
   2883.TW        凱基金    2.0    20.40                                       ADX轉強
  3498.TWO         陽程    2.0    61.50                                       ADX轉強
   8103.TW         瀚荃    2.0    91.50                              【營收爆發(43.57%)】
   6933.TW    AMAX-KY    2.0   132.00                                       ADX轉強
   6526.TW         達發    2.0   505.00                                       ADX轉強
  6739.TWO       竹陞科技    2.0  1050.00                              【營收爆發(90.86%)】
  3516.TWO        亞帝歐    2.0    19.60                              【營收爆發(31.89%)】
  3675.TWO         德微    2.0   181.50                                       ADX轉強
  3558.TWO         神準    2.0   131.50                                       ADX轉強
   3014.TW         聯陽    2.0   120.50                                       ADX轉強
  00941.TW    中信上游半導體    2.0    21.80                                       ADX轉強
   2360.TW         致茂    2.0  1375.00                              【營收爆發(86.04%)】
  00904.TW  新光臺灣半導體30    2.0    28.36                                       ADX轉強
   7721.TW        微程式    2.0    51.90                                       ADX轉強
  8027.TWO         鈦昇    2.0    94.00                              【營收爆發(62.78%)】
 00634R.TW          ?    2.0     3.31                                       ADX轉強
  3071.TWO         協禧    2.0    24.20                                       ADX轉強
  4161.TWO        聿新科    2.0    25.45                                       ADX轉強
  5228.TWO         鈺鎧    2.0    22.85                                       ADX轉強
   2387.TW         精元    2.0    43.85                                       ADX轉強
  3664.TWO      安瑞-KY    2.0    14.65                              【營收爆發(43.94%)】
  8472.TWO        夠麻吉    2.0    60.30                              【營收爆發(30.76%)】
  8908.TWO         欣雄    2.0    44.50                                       ADX轉強
   2884.TW        玉山金    2.0    34.00                                       ADX轉強
   3231.TW         緯創    2.0   130.50                             【營收爆發(177.37%)】
  6173.TWO        信昌電    2.0    64.10                                       ADX轉強
   4536.TW         拓凱    2.0   164.00                                       ADX轉強
   3030.TW         德律    2.0   245.00                                       ADX轉強
  6223.TWO         旺矽    2.0  2965.00                              【營收爆發(33.06%)】
