正在分析 1168 檔標的，並同步產出 TXT, CSV 與 JSON 對照表...
股票代號 (Stock)  最佳週期 (Best Period)  勝率 (Win Rate%)  總報酬率 (Total Return%)  最大回撤 (MDD%)  夏普比率 (Sharpe Ratio)  獲利因子 (Profit Factor)  交易次數 (Trades) 狀態 (Status)
    1569.TWO                  10           33.16                150.16       -53.50                 1.40                  1.33            196        📈 持有
    6532.TWO                 120           41.07                150.07       -39.02                 3.89                  2.24             56        ☁ 觀望
    8240.TWO                  20           35.82                149.65       -41.57                 2.34                  1.67            134        ☁ 觀望
     2442.TW                  20           31.39                149.43       -33.68                 2.39                  1.67            137        ☁ 觀望
     3149.TW                  20           34.43                149.35       -92.03                 1.84                  1.43            122        ☁ 觀望
     2360.TW                  60           36.11                149.11       -46.65                 3.21                  1.85             72        📈 持有
     1605.TW                  20           39.16                149.02       -87.94                 2.26                  1.60            143        ☁ 觀望
     1235.TW                   5           34.77                148.15       -49.33                 1.37                  1.37            348        ☁ 觀望
     3645.TW                  60           36.71                147.37       -70.28                 2.56                  1.62             79        📈 持有
     3305.TW                  60           40.48                147.27       -32.40                 3.17                  1.97             84        📈 持有
     1612.TW                  20           31.69                146.79       -39.66                 2.31                  1.72            142        ☁ 觀望
    6122.TWO                  10           28.78                146.74       -52.93                 1.68                  1.47            205        📈 持有
    6284.TWO                  10           35.71                146.03       -72.79                 1.52                  1.36            196        ☁ 觀望
    4749.TWO                  20           32.69                145.19       -43.99                 4.40                  2.51             52        📈 持有
    6173.TWO                  10           35.61                145.12       -44.29                 1.49                  1.37            205        📈 持有
    6186.TWO                  20           33.06                144.32       -52.15                 2.60                  1.73            124        ☁ 觀望
    6104.TWO                   5           32.99                144.20       -88.14                 1.08                  1.24            291        ☁ 觀望
    6423.TWO                  20           27.87                143.73       -59.79                 2.29                  1.64            122        ☁ 觀望
    8111.TWO                 120           40.82                143.67       -76.00                 3.91                  2.05             49        📈 持有
     2414.TW                  60           39.66                143.58       -20.17                 4.70                  2.93             58        📈 持有
     1516.TW                  60           41.57                143.46       -49.81                 2.58                  1.73             89        📈 持有
     2630.TW                  10           31.45                143.04       -50.43                 1.76                  1.50            159        📈 持有
    6134.TWO                  60           34.48                142.76       -41.38                 3.26                  1.99             58        📈 持有
     8462.TW                  20           28.00                142.70       -60.30                 2.49                  1.76            125        ☁ 觀望
     4763.TW                  20           35.04                142.45       -48.79                 2.30                  1.61            117        ☁ 觀望
     1727.TW                  10           36.67                142.28       -61.31                 1.76                  1.54            210        📈 持有
    3675.TWO                  20           32.88                141.85       -74.21                 1.61                  1.36            146        📈 持有
     2460.TW                  10           34.95                141.56       -56.03                 1.74                  1.41            186        📈 持有
    3152.TWO                  20           29.23                140.83       -43.66                 2.07                  1.51            130        ☁ 觀望
     3543.TW                 240           48.28                140.77       -11.37                 6.28                  3.33             29        📈 持有
    3357.TWO                  20           34.64                140.03       -56.09                 1.81                  1.60            153        ☁ 觀望
     2441.TW                  60           38.71                139.96       -23.66                 4.75                  2.96             62        📈 持有
     4967.TW                  20           26.58                139.84       -67.63                 1.32                  1.32            158        ☁ 觀望
    5302.TWO                 240           37.50                139.80       -30.11                 4.97                  2.43             32        📈 持有
    5245.TWO                  20           32.19                139.61       -64.97                 1.68                  1.45            146        📈 持有
     2486.TW                  20           32.59                139.03       -58.01                 1.77                  1.45            135        📈 持有
     2535.TW                 120           40.74                138.95        -7.68                 8.55                  7.71             27        📈 持有
    3483.TWO                  10           38.57                138.80       -74.11                 1.29                  1.30            210        📈 持有
     8021.TW                  10           30.73                138.51       -78.30                 1.61                  1.42            192        📈 持有
    3693.TWO                  20           38.46                137.92       -37.02                 1.94                  1.47            117        📈 持有
    7402.TWO                   5           35.42                137.00       -69.13                 1.04                  1.25            288        ☁ 觀望
    3491.TWO                  20           34.04                136.88       -33.66                 2.06                  1.52            141        📈 持有
    8048.TWO                 240           47.62                136.84       -18.91                 8.88                  6.33             21        📈 持有
    6785.TWO                   5           31.30                136.39       -76.81                 1.73                  1.41            131        ☁ 觀望
    5355.TWO                  20           26.56                135.91       -33.28                 2.03                  1.53            128        📈 持有
     2480.TW                 120           42.22                134.80       -19.16                 5.29                  3.45             45        ☁ 觀望
     6191.TW                 240           50.00                134.73       -19.98                 5.83                  3.39             36        📈 持有
     3481.TW                  10           30.85                134.65       -74.39                 1.58                  1.39            201        📈 持有
     2236.TW                  20           34.43                134.62       -89.71                 2.03                  1.53            122        ☁ 觀望
    6207.TWO                  20           39.85                133.82       -45.09                 1.97                  1.55            133        ☁ 觀望
