正在分析 1168 檔標的，並同步產出 TXT, CSV 與 JSON 對照表...
     Stock  Best_Period  Win_Rate%  Total_Return%  Trades Status
   2467.TW          120      28.36         416.00      67   📈 持有
   1435.TW          240      15.62         416.00      32   ☁ 觀望
  6684.TWO          240      30.00         409.77      10   ☁ 觀望
  3162.TWO          120      23.08         408.70      39   ☁ 觀望
   2371.TW          240      29.03         406.51      31   ☁ 觀望
   4968.TW           60      29.09         405.93      55   ☁ 觀望
   3035.TW          120      30.23         401.77      43   📈 持有
  6488.TWO          240      40.00         401.55      25   📈 持有
   6645.TW           20      21.15         400.40     104   ☁ 觀望
   2408.TW           20      31.69         398.71     142   ☁ 觀望
   6919.TW           10      51.22         398.39      41   ☁ 觀望
  6237.TWO          240      20.00         392.67      30   ☁ 觀望
  3529.TWO          120      32.61         387.53      46   📈 持有
  8089.TWO          120      21.05         384.65      19   ☁ 觀望
  8183.TWO          240      32.14         381.42      28   ☁ 觀望
   2014.TW           60      17.65         373.59      68   📈 持有
   2351.TW          120      22.22         372.36      36   ☁ 觀望
   2363.TW          240      26.83         365.83      41   ☁ 觀望
  6739.TWO           10      38.75         364.05      80   📈 持有
   1609.TW          240      23.81         362.62      21   ☁ 觀望
   2603.TW           10      33.84         358.69     198   📈 持有
   3530.TW          240      26.92         357.40      26   ☁ 觀望
  5508.TWO          120      20.75         355.50      53   ☁ 觀望
   3006.TW          240      34.62         349.70      26   📈 持有
   9105.TW           10      29.67         348.15     209   ☁ 觀望
  6265.TWO          120      25.49         347.40      51   📈 持有
   2303.TW          240      25.00         344.45      28   📈 持有
  3357.TWO          240      23.08         342.07      26   📈 持有
   8112.TW          120      37.50         341.88      40   📈 持有
   6426.TW            5      29.84         341.72     305   ☁ 觀望
  3707.TWO          120      30.43         338.59      46   📈 持有
   3563.TW           10      35.08         336.89     191   📈 持有
   2388.TW           10      22.84         336.85     232   ☁ 觀望
   9906.TW           10      27.40         335.70     219   ☁ 觀望
  5289.TWO           20      33.33         334.30     132   📈 持有
  6620.TWO           20      33.33         329.65      81   ☁ 觀望
   5234.TW           20      32.09         317.53     134   📈 持有
  8908.TWO          240      11.54         315.91      26   📈 持有
  3169.TWO           10      28.64         314.67     213   📈 持有
  3363.TWO          120      31.82         314.41      44   📈 持有
   3025.TW           10      31.84         312.73     201   📈 持有
  4946.TWO           60      15.00         312.59      80   📈 持有
   6472.TW           20      33.33         309.88     135   ☁ 觀望
  6186.TWO          120      24.07         305.27      54   ☁ 觀望
  6122.TWO          120      27.42         304.98      62   📈 持有
  5443.TWO           20      35.82         304.74     134   📈 持有
   3037.TW          240      20.51         304.05      39   📈 持有
  6568.TWO           20      40.38         302.80     104   📈 持有
  8043.TWO          120      25.42         301.03      59   📈 持有
  3483.TWO          120      26.19         300.78      42   ☁ 觀望
  4542.TWO          120      30.36         298.81      56   📈 持有
   2481.TW           10      34.16         297.30     202   📈 持有
   1597.TW          120      24.56         296.93      57   ☁ 觀望
  3105.TWO          120      35.19         294.84      54   📈 持有
  6560.TWO           20      25.49         292.58     102   📈 持有
  3526.TWO          120      31.11         292.45      45   📈 持有
  6182.TWO          120      16.98         292.03      53   📈 持有
  3491.TWO          120      28.12         289.06      64   📈 持有
 00673R.TW           60      26.09         281.05      69   ☁ 觀望
   3653.TW           10      35.48         280.84     217   📈 持有
  6125.TWO          240      31.82         280.40      44   ☁ 觀望
   6196.TW           10      37.70         279.57     191   📈 持有
  4529.TWO           10      23.61         277.51     216   📈 持有
   2457.TW           60      19.44         276.20      72   📈 持有
   1503.TW          240      31.82         273.23      22   📈 持有
   6655.TW          120      11.11         271.18      36   📈 持有
  3131.TWO           20      31.30         270.06     131   📈 持有
   1229.TW          240      40.00         268.88      15   ☁ 觀望
  5864.TWO           60      20.45         268.33      88   📈 持有
  8444.TWO          240      30.00         265.27      10   ☁ 觀望
   3545.TW          240      40.74         263.63      27   ☁ 觀望
  6499.TWO            5      27.34         261.39     256   ☁ 觀望
   5222.TW          240      21.62         260.66      37   📈 持有
   2031.TW          240      25.00         259.93      12   ☁ 觀望
 00631L.TW          240      28.00         258.79      25   📈 持有
  6104.TWO           60      25.32         258.77      79   📈 持有
   1477.TW          120      34.38         256.64      32   📈 持有
   2313.TW          120      29.23         256.56      65   📈 持有
  7781.TWO          120      50.00         256.07       2   📈 持有
   1605.TW          120      23.08         255.54      52   📈 持有
  3430.TWO          120      19.05         254.83      42   📈 持有
  3260.TWO           10      30.37         254.01     191   ☁ 觀望
   3018.TW           60      27.69         253.88      65   📈 持有
   5607.TW          240      31.58         249.09      38   📈 持有
  00757.TW          240      42.86         249.05       7   📈 持有
   3588.TW          120      19.64         248.82      56   📈 持有
   2329.TW           20      33.56         248.15     146   ☁ 觀望
  3508.TWO            5      29.58         246.20     284   📈 持有
   3168.TW          240      43.75         246.13      16   ☁ 觀望
  1569.TWO          120      24.64         245.81      69   ☁ 觀望
  3147.TWO           60      20.83         245.49      72   📈 持有
  6535.TWO          240      25.58         244.26      43   ☁ 觀望
   4912.TW           60      28.57         244.12      84   📈 持有
   2108.TW          120      22.03         243.56      59   📈 持有
   6515.TW          120      48.57         242.27      35   📈 持有
  3552.TWO          120      27.42         241.87      62   ☁ 觀望
  3713.TWO           20      15.28         241.33      72   ☁ 觀望
   4919.TW          120      34.15         241.13      41   📈 持有
   2365.TW          120      22.54         240.14      71   ☁ 觀望
 00663L.TW           10      38.26         239.57     149   📈 持有
   3023.TW          240      38.46         239.10      26   ☁ 觀望
   1471.TW           10      27.45         238.80     204   📈 持有
   4562.TW          120      21.43         238.50      42   ☁ 觀望
   2460.TW           60      32.08         238.12      53   📈 持有
  6683.TWO           10      32.14         237.68     112   📈 持有
   4755.TW           20      32.80         236.74     125   📈 持有
   6533.TW          120      23.53         236.66      51   ☁ 觀望
  6679.TWO          240      25.00         235.93       8   ☁ 觀望
  3230.TWO          120      18.75         235.70      80   ☁ 觀望
   3686.TW           20      22.00         235.62     150   ☁ 觀望
   2236.TW          120      20.41         235.30      49   📈 持有
  3152.TWO          120      32.56         233.88      43   📈 持有
   3042.TW          240      32.26         233.58      31   ☁ 觀望
  4903.TWO            5      26.03         231.56     292   ☁ 觀望
  6785.TWO          240      22.22         231.47       9   📈 持有
  5403.TWO          120      42.42         231.05      33   ☁ 觀望
  6435.TWO           20      36.76         230.94     136   📈 持有
   2369.TW          120      30.77         228.50      39   📈 持有
  4534.TWO          120      16.67         228.29      48   📈 持有
  5483.TWO           10      38.24         228.16     204   ☁ 觀望
   1309.TW          240      25.00         228.00      16   ☁ 觀望
  6643.TWO          120      45.95         227.28      37   ☁ 觀望
   3712.TW           10      28.93         227.11     121   ☁ 觀望
   8131.TW          120      28.30         226.31      53   📈 持有
  3236.TWO          120      20.37         226.29      54   📈 持有
  6716.TWO          240      44.44         225.55       9   📈 持有
   5284.TW           20      26.67         225.01     150   📈 持有
   1436.TW          240      26.92         224.89      26   ☁ 觀望
   3013.TW          120      23.44         224.87      64   ☁ 觀望
   6491.TW          120      18.18         224.69      44   ☁ 觀望
   6176.TW          120      37.50         224.31      40   ☁ 觀望
  6761.TWO          120      43.48         223.67      23   📈 持有
  3264.TWO           20      38.24         223.11     136   ☁ 觀望
   2413.TW           10      26.84         222.21     190   📈 持有
  8087.TWO          240      31.25         221.39      48   ☁ 觀望
   3450.TW          120      36.21         220.78      58   📈 持有
   3019.TW          120      33.85         220.35      65   ☁ 觀望
   2387.TW          240      32.00         219.44      25   ☁ 觀望
  6667.TWO           10      31.03         217.50     145   📈 持有
   8070.TW           20      34.92         217.40     126   ☁ 觀望
   2493.TW           20      31.45         216.18     124   ☁ 觀望
   3413.TW           10      30.23         216.08     215   📈 持有
  3444.TWO          240      33.33         215.97      18   ☁ 觀望
   1442.TW          120      31.25         215.74      32   ☁ 觀望
   3583.TW           10      32.52         215.34     206   📈 持有
   2454.TW          120      34.48         214.43      58   📈 持有
  4939.TWO          120      24.39         214.39      41   📈 持有
   3149.TW           20      30.33         212.47     122   ☁ 觀望
   2478.TW           10      27.27         211.77     220   📈 持有
  3374.TWO          240      44.44         210.75      18   📈 持有
   5292.TW          120      31.25         210.23      32   📈 持有
   2022.TW          120      28.95         209.40      38   📈 持有
  8930.TWO          120      26.42         209.33      53   📈 持有
  3178.TWO          240      32.43         208.11      37   ☁ 觀望
   1305.TW          240      33.33         205.76      21   ☁ 觀望
   1795.TW           10      30.73         203.23     205   ☁ 觀望
   6753.TW          240      45.45         200.97      11   📈 持有
  2641.TWO           60      18.92         200.93      74   ☁ 觀望
   4571.TW          120      21.43         199.89      14   ☁ 觀望
  6233.TWO          240      15.15         199.45      33   📈 持有
  8027.TWO          240      34.78         196.11      23   📈 持有
   2428.TW          240      38.24         196.00      34   📈 持有
   1590.TW          120      29.41         195.81      68   📈 持有
   5484.TW          120      36.11         195.52      36   ☁ 觀望
   2338.TW           10      30.39         195.52     204   📈 持有
  3551.TWO           10      31.73         194.47     208   📈 持有
   2376.TW           10      32.84         193.97     201   ☁ 觀望
  6203.TWO          120      31.25         193.88      48   📈 持有
  3687.TWO          240      26.67         193.74      30   ☁ 觀望
  3211.TWO           20      31.72         192.70     145   📈 持有
  6188.TWO           10      32.82         192.26     195   ☁ 觀望
   6695.TW          120      31.03         191.47      29   ☁ 觀望
   6805.TW           20      41.67         190.66      24   📈 持有
  8096.TWO           20      28.28         190.60     145   📈 持有
   1304.TW          120      22.22         188.70      36   📈 持有
  6134.TWO           20      27.20         188.63     125   📈 持有
   3135.TW           20      26.53         186.90      49   ☁ 觀望
  6127.TWO           20      32.12         186.87     137   📈 持有
  8279.TWO          240      21.43         185.55      28   ☁ 觀望
  6419.TWO          240      16.00         185.55      25   ☁ 觀望
   2206.TW          240      28.30         184.68      53   ☁ 觀望
  8034.TWO          120      28.95         184.32      38   📈 持有
   2436.TW          240      29.41         184.05      34   📈 持有
  8048.TWO          120      35.00         183.85      40   📈 持有
   2881.TW          120      31.03         183.34      29   📈 持有
   6116.TW          120      26.47         183.05      34   📈 持有
  3317.TWO           20      38.21         182.99     123   ☁ 觀望
   2211.TW          120      61.54         182.96      13   📈 持有
   4583.TW          120      33.33         182.74      24   ☁ 觀望
   3092.TW          240      35.56         182.70      45   📈 持有
   5285.TW          120      12.20         182.69      41   📈 持有
   2017.TW          120      27.50         182.52      40   📈 持有
  3265.TWO          120      34.62         182.17      52   📈 持有
   2441.TW          120      35.90         182.00      39   📈 持有
  5536.TWO           10      27.75         181.50     209   📈 持有
  6664.TWO          240      25.00         181.49      16   📈 持有
   6230.TW          240      21.88         180.50      32   ☁ 觀望
   2377.TW          240      32.35         180.07      34   ☁ 觀望
   9941.TW          120      27.12         179.79      59   ☁ 觀望
  3071.TWO          240      33.33         179.70      33   📈 持有
   6706.TW           20      29.76         179.69      84   📈 持有
   2455.TW          120      32.08         177.53      53   📈 持有
   2421.TW           10      33.18         175.25     214   ☁ 觀望
   1587.TW           60      29.33         175.18      75   ☁ 觀望
   1438.TW          240      23.53         175.13      34   ☁ 觀望
   2439.TW          120      30.91         175.08      55   ☁ 觀望
  6588.TWO           10      27.43         174.30     175   ☁ 觀望
   6770.TW          120      12.50         173.88      16   📈 持有
   5471.TW          240      19.44         173.70      36   📈 持有
  8390.TWO          120      36.96         173.24      46   📈 持有
   3029.TW          120      32.26         172.99      62   ☁ 觀望
   2618.TW          120      31.11         172.94      45   ☁ 觀望
   3533.TW          120      32.35         172.50      68   📈 持有
   5871.TW          240      29.41         171.71      34   ☁ 觀望
  6788.TWO           10      32.98         171.20      94   📈 持有
   3011.TW          240      27.59         171.19      29   ☁ 觀望
   3016.TW           20      28.28         170.07     145   ☁ 觀望
  3455.TWO          120      37.50         169.37      56   📈 持有
   1455.TW           20      27.48         169.03     131   ☁ 觀望
  3372.TWO          120      22.73         168.49      44   📈 持有
 00715L.TW            5      30.96         167.85     197   📈 持有
  3081.TWO          120      36.07         167.09      61   📈 持有
   3032.TW            5      29.12         166.93     285   ☁ 觀望
   3014.TW          120      23.64         166.78      55   ☁ 觀望
   6689.TW          120      20.69         166.73      29   ☁ 觀望
   2444.TW           60      22.35         165.72      85   📈 持有
  3085.TWO           60      20.90         165.01      67   ☁ 觀望
  3234.TWO          120      23.73         164.29      59   📈 持有
   2883.TW          120      42.86         162.24      42   📈 持有
   7799.TW           10      20.00         161.95      15   📈 持有
  8431.TWO           20      32.85         161.90     137   📈 持有
   1513.TW           20      23.53         161.79     170   ☁ 觀望
   3338.TW          240      24.00         161.12      25   📈 持有
  3581.TWO           10      27.19         159.46     228   📈 持有
   6757.TW          120      42.86         158.41       7   ☁ 觀望
  3163.TWO            5      32.47         158.13     308   ☁ 觀望
   6139.TW            5      26.59         158.09     331   ☁ 觀望
   6412.TW          240      25.00         157.96      28   ☁ 觀望
   3030.TW           20      27.08         157.50     144   📈 持有
   1313.TW          240      23.81         157.40      21   📈 持有
   2006.TW          240      11.43         156.88      35   📈 持有
   2438.TW           10      18.53         156.82     232   📈 持有
   3701.TW          120      11.69         156.27      77   📈 持有
  6629.TWO          120      16.67         154.74      24   📈 持有
   2367.TW          120      13.89         154.56      72   📈 持有
   8261.TW           10      25.63         154.30     199   📈 持有
  6925.TWO           10      28.81         154.23      59   ☁ 觀望
  8277.TWO           20      28.97         154.17     145   ☁ 觀望
  6016.TWO           10      26.84         153.82     190   📈 持有
  4768.TWO          120      36.11         153.43      36   📈 持有
   2425.TW           20      26.55         152.97     113   ☁ 觀望
 912000.TW           20      23.08         152.77     117   ☁ 觀望
  4966.TWO          240      35.29         152.65      34   ☁ 觀望
   3257.TW           20      31.34         152.12     134   ☁ 觀望
  1294.TWO          120      44.44         151.60       9   📈 持有
  4973.TWO          120      27.78         151.42      54   📈 持有
   6239.TW           10      32.85         151.03     207   ☁ 觀望
   6698.TW           10      35.09         150.94     114   ☁ 觀望
   8081.TW          120      30.65         150.65      62   📈 持有
   2482.TW           20      22.92         149.76     144   ☁ 觀望
   1560.TW           20      33.33         149.43     123   📈 持有
  6138.TWO           20      36.03         148.94     136   ☁ 觀望
   2349.TW           10      30.81         148.84     198   📈 持有
  4561.TWO          120      22.50         147.98      40   ☁ 觀望
   1773.TW           10      29.91         147.48     224   📈 持有
  4513.TWO           60      27.40         147.44      73   ☁ 觀望
   9910.TW          120      36.51         146.74      63   ☁ 觀望
   6205.TW           60      19.40         146.57      67   📈 持有
   2340.TW          120      37.84         146.02      37   📈 持有
  2755.TWO           20      32.00         145.77      75   📈 持有
   3481.TW          120      28.33         145.31      60   📈 持有
   6796.TW           20      31.58         143.21      57   ☁ 觀望
   3661.TW            5      33.44         142.48     302   ☁ 觀望
  6642.TWO          120      28.57         141.49      42   📈 持有
   4934.TW          240      26.47         141.17      34   📈 持有
   6005.TW          120      28.57         140.38      49   📈 持有
   1736.TW           60      23.46         139.95      81   ☁ 觀望
  3227.TWO          120      25.00         139.54      64   📈 持有
  3625.TWO          120      20.00         138.66      45   ☁ 觀望
   5521.TW           20      25.58         137.75     129   ☁ 觀望
   2489.TW          120      20.00         136.62      35   📈 持有
   2360.TW           20      31.37         136.61     153   📈 持有
  5455.TWO          240      30.77         136.30      39   ☁ 觀望
  4147.TWO           10      31.09         135.80     193   📈 持有
   0052.TW           20      34.56         135.33     136   📈 持有
  1785.TWO          240      33.33         134.86      36   📈 持有
  4533.TWO          120      20.31         134.48      64   📈 持有
  3546.TWO           10      31.73         133.93     208   ☁ 觀望
   2610.TW          120      23.68         133.88      38   ☁ 觀望
   2885.TW          120      31.43         133.85      35   📈 持有
   2401.TW          120      29.17         133.76      72   ☁ 觀望
   4927.TW           10      35.35         133.22     198   📈 持有
  6219.TWO          240      35.29         132.05      17   ☁ 觀望
   2472.TW           10      32.41         132.04     216   📈 持有
  3587.TWO          240      24.14         131.79      29   📈 持有
   1522.TW           60      31.65         131.27      79   ☁ 觀望
  6980.TWO           20      23.08         130.41      26   ☁ 觀望
   2342.TW           10      26.79         129.37     209   ☁ 觀望
   8028.TW           10      30.96         129.08     197   📈 持有
   2442.TW          240      25.00         128.84      40   ☁ 觀望
   4739.TW          240      37.04         127.89      27   📈 持有
  4304.TWO           20      20.99         127.73     162   📈 持有
  5009.TWO          240      31.03         126.98      29   ☁ 觀望
   2597.TW            5      27.30         126.50     315   ☁ 觀望
   3038.TW           60      30.12         126.31      83   📈 持有
  00830.TW          240      41.67         126.29      12   📈 持有
  6143.TWO           10      30.98         126.22     184   ☁ 觀望
   2633.TW          240      26.00         125.92      50   📈 持有
  2072.TWO           10      31.25         125.73      80   ☁ 觀望
   0050.TW          120      27.27         125.18      33   📈 持有
   4915.TW           20      37.86         124.84     140   ☁ 觀望
   3711.TW          120      20.51         124.55      78   📈 持有
   5269.TW          120      30.56         124.38      72   ☁ 觀望
  8099.TWO          120      24.62         124.08      65   ☁ 觀望
   3703.TW           60      32.35         124.01      68   ☁ 觀望
  5328.TWO           10      29.15         123.85     199   📈 持有
   4949.TW           20      23.81         123.82      21   📈 持有
  8050.TWO          240      47.06         123.35      34   ☁ 觀望
   3090.TW           10      28.97         123.35     214   📈 持有
   4142.TW          240      20.00         122.85      35   ☁ 觀望
   8150.TW          120      31.58         122.25      57   📈 持有
   6715.TW           10      33.33         122.04     117   📈 持有
  3083.TWO           10      27.86         121.25     201   ☁ 觀望
   2049.TW           10      35.29         120.64     204   ☁ 觀望
  6423.TWO           20      28.69         119.78     122   ☁ 觀望
   2855.TW          240      21.05         119.67      38   📈 持有
  00909.TW           10      38.89         119.33      54   📈 持有
  6903.TWO           20      40.48         118.99      42   📈 持有
   6431.TW           20      25.40         118.81     126   ☁ 觀望
  6276.TWO           20      29.37         118.25     143   ☁ 觀望
   8103.TW          120      25.42         117.19      59   📈 持有
  8091.TWO           60      31.76         116.86      85   📈 持有
   2385.TW           60      28.09         116.80      89   📈 持有
 00877.TWO           10      33.33         116.78      81   📈 持有
   4952.TW           10      35.23         116.44     193   📈 持有
   6541.TW           10      23.40         116.08     188   ☁ 觀望
  00735.TW           20      33.78         115.75      74   📈 持有
   3005.TW           10      31.48         115.48     216   📈 持有
   2353.TW          120      18.87         115.02      53   ☁ 觀望
   3706.TW            5      30.61         114.91     294   📈 持有
   2723.TW          120      27.27         114.91      33   ☁ 觀望
  5514.TWO          240      35.71         114.37      14   ☁ 觀望
   2379.TW           20      30.34         114.33     145   ☁ 觀望
   6243.TW           10      24.88         114.23     205   📈 持有
  00910.TW           20      41.18         113.84      34   📈 持有
   2548.TW          240      37.50         113.78      24   📈 持有
  3564.TWO           10      26.77         113.35     198   📈 持有
   8438.TW           20      21.77         112.89     124   📈 持有
   4764.TW          120      24.19         112.74      62   📈 持有
  5425.TWO           10      34.63         112.51     205   ☁ 觀望
   2013.TW          240      23.91         112.19      46   ☁ 觀望
   3010.TW          240      32.00         111.69      25   📈 持有
  7712.TWO           10      23.68         110.44      38   📈 持有
   6405.TW           10      27.36         109.95     201   📈 持有
  6603.TWO          120      28.07         108.46      57   📈 持有
  5351.TWO          120      13.75         108.33      80   📈 持有
   2352.TW          240      27.03         107.95      37   ☁ 觀望
   6869.TW          120      50.00         107.33      10   ☁ 觀望
  5543.TWO          240       8.00         106.97      50   📈 持有
  3466.TWO           60      27.66         106.80      94   ☁ 觀望
  4721.TWO            5      24.17         106.70     302   ☁ 觀望
   2204.TW          120      18.75         106.53      48   ☁ 觀望
  6207.TWO          120      23.33         106.47      60   ☁ 觀望
   4540.TW          120      22.50         105.94      40   📈 持有
   1256.TW          120      24.44         105.84      45   📈 持有
   9945.TW          120      24.07         105.77      54   ☁ 觀望
   6691.TW            5      30.61         105.52     196   ☁ 觀望
  4510.TWO           20      21.79         104.87     156   ☁ 觀望
   4977.TW          120      31.91         104.30      47   📈 持有
   3702.TW          120      26.67         103.85      45   📈 持有
  00713.TW          120      31.82         103.28      22   📈 持有
  5291.TWO          120      23.08         103.28      52   📈 持有
   2331.TW            5      32.07         103.25     290   ☁ 觀望
  7777.TWO            5      19.51         102.89      41   ☁ 觀望
  8088.TWO           20      27.94         102.36     136   ☁ 觀望
  6983.TWO           20      25.81         101.63      31   📈 持有
  7719.TWO           60      37.50         101.03       8   ☁ 觀望
  4123.TWO           10      31.16         100.52     199   📈 持有
   0056.TW          240      28.57         100.27      14   📈 持有
   2012.TW          120      37.21          99.06      43   ☁ 觀望
  6517.TWO           20      16.90          98.51      71   ☁ 觀望
  00770.TW          120      36.84          98.42      19   📈 持有
   1708.TW          120      26.32          97.74      57   📈 持有
   6120.TW          120      31.25          97.59      48   📈 持有
   2453.TW          120      33.33          95.65      66   ☁ 觀望
   8039.TW          120      31.15          95.38      61   📈 持有
  2941.TWO           60      20.00          95.16      25   ☁ 觀望
  5426.TWO          240      22.58          94.68      31   ☁ 觀望
   3015.TW          120      31.71          94.45      41   ☁ 觀望
  6462.TWO          240      40.00          94.15      20   ☁ 觀望
   5706.TW           10      23.58          94.02     212   ☁ 觀望
  6613.TWO           10      29.65          93.37     172   📈 持有
   2323.TW           20      29.71          91.94     138   📈 持有
  6160.TWO           20      24.66          91.68     146   ☁ 觀望
   7795.TW           20      37.50          91.61       8   📈 持有
   3308.TW          120      27.54          91.56      69   📈 持有
   2887.TW          120      30.77          91.52      39   📈 持有
   1762.TW           10      27.36          91.43     201   📈 持有
  6275.TWO          120      30.19          90.47      53   📈 持有
   2069.TW          120      15.38          90.22      65   📈 持有
   6438.TW           20      27.81          89.91     151   ☁ 觀望
  8289.TWO          240      19.23          89.12      52   📈 持有
   2606.TW          120      28.79          88.80      66   📈 持有
   3454.TW          120      25.93          88.57      54   📈 持有
  00881.TW           10      35.44          87.49      79   📈 持有
  00662.TW          120      24.00          87.44      25   📈 持有
   6525.TW           10      35.26          87.17     156   📈 持有
  3354.TWO          120      25.97          87.08      77   📈 持有
  3709.TWO           10      25.00          86.50     160   📈 持有
  6509.TWO          120      19.44          86.14      72   📈 持有
   3034.TW           60      23.68          86.13      76   ☁ 觀望
   2451.TW           20      31.72          85.70     145   ☁ 觀望
   1443.TW          120      16.67          85.67      66   ☁ 觀望
   8016.TW          120      22.08          85.48      77   ☁ 觀望
   6782.TW           20      25.86          84.93      58   📈 持有
   6994.TW            5      28.57          84.65      56   ☁ 觀望
   3028.TW           10      29.67          84.11     209   📈 持有
   8114.TW           60      23.75          84.09      80   ☁ 觀望
   6579.TW          240       6.90          84.01      29   ☁ 觀望
   4938.TW          120      25.53          83.97      47   📈 持有
   6756.TW           60      29.27          83.79      41   ☁ 觀望
   6799.TW           10      31.71          83.68      82   ☁ 觀望
  7728.TWO          120      42.86          83.39       7   📈 持有
   3004.TW           10      28.84          82.94     215   ☁ 觀望
   2882.TW          120      19.57          82.75      46   📈 持有
   2468.TW           60      17.07          82.25     123   ☁ 觀望
   4956.TW          240      22.22          81.96      27   ☁ 觀望
  3191.TWO           10      26.46          81.44     223   ☁ 觀望
   1203.TW          240      22.58          81.20      31   📈 持有
   1805.TW          120      23.08          81.14      39   ☁ 觀望
   6257.TW           20      34.15          80.92     164   ☁ 觀望
 00640L.TW          240      39.29          80.85      28   📈 持有
   2406.TW          120      21.95          80.73      41   📈 持有
   2466.TW          120      23.64          80.63      55   ☁ 觀望
   6214.TW          120      34.78          78.87      46   ☁ 觀望
   1409.TW          240      28.57          78.87      42   📈 持有
   6931.TW           20      26.09          78.57      46   ☁ 觀望
   2380.TW          240      14.63          78.46      41   📈 持有
  6486.TWO          120      31.43          78.29      35   📈 持有
  3290.TWO          120      31.37          78.10      51   📈 持有
  00904.TW           10      38.60          77.91      57   📈 持有
   2409.TW           10      29.70          77.86     202   📈 持有
     ^TWII           10      35.39          77.44     178   📈 持有
   1308.TW          240      15.38          76.62      39   📈 持有
   1582.TW           20      25.87          76.08     143   📈 持有
   1101.TW          240      23.08          76.08      26   ☁ 觀望
   2542.TW           20      26.87          75.48     134   ☁ 觀望
  3066.TWO          240      24.56          75.23      57   ☁ 觀望
   4576.TW           10      27.34          74.87     128   📈 持有
  5274.TWO           20      34.39          74.60     157   📈 持有
  3441.TWO           20      27.45          74.60     153   ☁ 觀望
