正在分析 1168 檔標的，並同步產出 TXT, CSV 與 JSON 對照表...
     Stock  Best_Period  Win_Rate%  Total_Return%    MDD%        Sharpe  Trades Status Action
   5484.TW           10      30.37         241.67  -74.64  1.230000e+00     214   ☁ 觀望 觀察/可賣出
   2481.TW          120      24.32         240.44  -83.81  2.040000e+00      74   📈 持有 觀察/可賣出
   2376.TW          240      34.21         240.11  -24.55  3.490000e+00      38   ☁ 觀望     持有
   1605.TW          120      23.08         240.01  -41.68  3.610000e+00      52   📈 持有 觀察/可賣出
   6257.TW          120      41.67         239.95  -19.72  5.020000e+00      36   📈 持有     持有
 00663L.TW           10      42.28         239.58  -37.23  3.480000e+00     149   📈 持有     持有
  6186.TWO          240      24.24         237.57  -30.42  3.000000e+00      33   ☁ 觀望 觀察/可賣出
  3689.TWO           10      39.31         233.80  -34.24  2.570000e+00     173   ☁ 觀望     持有
  6785.TWO          240      11.11         233.39  -23.52  5.030000e+00       9   📈 持有 觀察/可賣出
   2460.TW           60      30.19         233.18  -58.75  1.880000e+00      53   📈 持有 觀察/可賣出
   6196.TW           20      36.57         232.84  -45.40  2.690000e+00     134   ☁ 觀望     持有
   4912.TW          240      39.39         232.29  -30.48  5.190000e+00      33   ☁ 觀望     持有
   1773.TW           60      37.14         231.87  -22.77  3.320000e+00      70   📈 持有     持有
   6515.TW          120      40.00         231.60  -53.53  3.160000e+00      35   📈 持有 觀察/可賣出
   3042.TW          240      35.48         231.38  -12.47  3.260000e+00      31   ☁ 觀望     持有
  3213.TWO          120      30.30         231.32  -33.31  3.400000e+00      33   ☁ 觀望     持有
  4903.TWO           60      34.21         231.09  -46.99  2.540000e+00      76   📈 持有     持有
   1309.TW          240      43.75         230.46  -27.85  3.620000e+00      16   ☁ 觀望     持有
  8930.TWO          120      28.30         230.45  -36.60  2.950000e+00      53   📈 持有 觀察/可賣出
   3706.TW           10      37.10         230.21  -32.91  2.370000e+00     186   📈 持有     持有
  6535.TWO          240      37.21         230.15 -104.51  1.550000e+00      43   ☁ 觀望 觀察/可賣出
  3552.TWO           20      30.89         229.94 -115.30  1.340000e+00     123   ☁ 觀望 觀察/可賣出
  6584.TWO           10      36.73         229.12  -60.71  1.900000e+00     147   ☁ 觀望 觀察/可賣出
  00757.TW          240      42.86         229.05   -5.05  8.940000e+00       7   📈 持有     持有
  2641.TWO           60      35.14         228.64  -57.24  1.410000e+00      74   ☁ 觀望 觀察/可賣出
   2365.TW          240      27.03         228.45  -28.01  2.420000e+00      37   ☁ 觀望 觀察/可賣出
   3014.TW           60      32.05         227.44  -30.11  2.510000e+00      78   ☁ 觀望     持有
   5469.TW          240      42.86         226.92  -17.80  4.250000e+00      35   📈 持有     持有
   1436.TW          240      34.62         226.05  -18.19  4.630000e+00      26   ☁ 觀望     持有
   2236.TW          240      28.57         226.03  -29.07  3.030000e+00      28   📈 持有 觀察/可賣出
  4768.TWO           20      43.42         225.24  -36.63  3.230000e+00      76   📈 持有     持有
   3168.TW          240      43.75         224.94   -7.98  8.110000e+00      16   ☁ 觀望     持有
   3036.TW          120      34.88         224.66  -24.93  3.810000e+00      43   📈 持有     持有
  1569.TWO          240      31.25         224.58  -43.25  3.070000e+00      32   ☁ 觀望     持有
  3444.TWO          240      50.00         223.00  -15.96  6.960000e+00      18   ☁ 觀望     持有
   3588.TW          120      21.43         222.33 -118.42  1.220000e+00      56   📈 持有 觀察/可賣出
  5483.TWO           20      39.52         222.14  -25.55  2.800000e+00     124   ☁ 觀望     持有
   6176.TW          120      37.50         222.13  -24.10  3.300000e+00      40   ☁ 觀望     持有
   3018.TW           60      30.77         221.97 -166.80  1.330000e+00      65   📈 持有 觀察/可賣出
  8087.TWO          240      33.33         221.48  -55.15  1.920000e+00      48   ☁ 觀望 觀察/可賣出
   5292.TW          120      31.25         221.34  -23.60  4.330000e+00      32   📈 持有     持有
   2369.TW          120      30.77         221.04  -72.30  3.120000e+00      39   📈 持有 觀察/可賣出
   3708.TW           60      33.33         220.33  -69.67  2.070000e+00      81   📈 持有 觀察/可賣出
   6949.TW          120      66.67         217.36    0.00  2.114000e+01       3   📈 持有     持有
  5474.TWO          120      33.87         214.75  -41.81  2.550000e+00      62   ☁ 觀望     持有
   2027.TW          240      21.21         214.23  -34.01  2.410000e+00      33   ☁ 觀望 觀察/可賣出
  6190.TWO          120      32.79         214.11  -48.75  2.780000e+00      61   ☁ 觀望     持有
  6182.TWO           60      36.00         213.64  -52.48  2.300000e+00      75   📈 持有 觀察/可賣出
   2387.TW          240      28.00         212.83  -37.68  2.880000e+00      25   ☁ 觀望 觀察/可賣出
  4749.TWO           10      43.28         212.34  -23.25  3.650000e+00      67   📈 持有     持有
  6679.TWO          240      25.00         211.84   -7.20  5.980000e+00       8   ☁ 觀望 觀察/可賣出
   3025.TW          240      30.77         211.53  -29.34  2.520000e+00      39   ☁ 觀望     持有
  2072.TWO           60      37.50         210.59  -22.98  2.900000e+00      32   📈 持有     持有
  3491.TWO           20      32.86         210.57  -33.66  1.590000e+00     140   📈 持有     持有
  5371.TWO           20      31.62         210.33  -37.64  2.350000e+00     136   ☁ 觀望     持有
   3413.TW           20      37.50         209.17  -65.38  2.180000e+00     136   📈 持有 觀察/可賣出
  6517.TWO          240      23.08         208.33  -58.41  3.500000e+00      13   ☁ 觀望 觀察/可賣出
   2429.TW          240      22.50         208.06 -135.85  1.540000e+00      40   📈 持有 觀察/可賣出
  3152.TWO          120      32.56         207.63  -55.77  3.350000e+00      43   📈 持有 觀察/可賣出
   3135.TW           20      34.69         207.50  -31.36  2.120000e+00      49   ☁ 觀望     持有
   4583.TW          240       7.14         206.10  -23.66  3.720000e+00      14   ☁ 觀望 觀察/可賣出
   2428.TW          240      41.18         203.31  -20.58  3.850000e+00      34   📈 持有     持有
  6716.TWO          240      44.44         203.22  -32.56  4.990000e+00       9   📈 持有     持有
   2360.TW           60      33.80         203.20 -103.76  3.080000e+00      71   📈 持有 觀察/可賣出
