📊 全量策略掃描報告 - 日期: 20260307
==============================================================================================================
Stock           Price    Return%    Win%  Trades  T/Year   F_Sum5D Advice
3003.TW         51.20      -5.04    45.0     355    30.4        74 ✅ 續抱 
1471.TW         12.70     742.47    41.5     299    25.6        73 ✅ 續抱 
6141.TW         17.95     318.01    42.2     297    25.5        73 ✅ 續抱 [⚡爆量]
3454.TW         99.30      31.78    42.6     335    28.7        72 ✅ 續抱 
3501.TW         50.10      33.32    44.4     326    27.9        68 💤 觀望 
3684.TWO        60.40       8.55    37.8     367    31.4        68 ✅ 續抱 
6598.TW         24.65     -49.23    36.8     277    31.7        64 ✅ 續抱 
5011.TWO        15.60     -43.64    37.2     353    30.4        61 ✅ 續抱 [⚡爆量]
3609.TWO        31.50     -47.09    38.2     376    32.3        59 💤 觀望 
7721.TW         51.90       8.84    40.0      57    27.2        59 ✅ 續抱 
3206.TWO        39.55     267.75    47.5     299    25.7        58 ✅ 續抱 [⚡爆量]
6925.TWO        74.00      45.93    41.2      90    29.6        58 💤 觀望 
6541.TW         44.80      88.64    42.2     282    27.7        57 💤 觀望 
6679.TWO       244.50     102.30    45.0     229    30.3        55 ✅ 續抱 [⚡爆量]
1294.TWO        87.20     307.90    47.3      81    24.7        54 ✅ 續抱 [⚡爆量]
4523.TWO        33.85     122.44    38.2     339    29.0        53 ✅ 續抱 
6890.TW        178.00     -26.96    41.9      60    36.1        52 💤 觀望 
6805.TW       1845.00     289.85    53.9      59    26.2        51 ✅ 續抱 
3040.TW         39.75     537.93    44.3     298    25.6        51 💤 觀望 
2069.TW         18.90     156.48    41.3     306    28.6        50 💤 觀望 
5484.TW         35.60     237.53    40.3     330    28.3        49 💤 觀望 
3205.TWO        52.00     693.88    42.1     317    27.2        48 ✅ 續抱 
4171.TWO        20.25     287.40    41.6     334    28.7        48 💤 觀望 
7556.TWO       179.00     -14.80    37.1     189    31.1        47 ✅ 續抱 
6431.TW         25.00     160.14    41.0     286    26.4        47 💤 觀望 
6894.TWO       291.50      55.32    40.5      87    25.2        47 ✅ 續抱 
6560.TWO        43.30     383.63    41.2     253    25.9        45 ✅ 續抱 
4562.TW         33.60     -62.28    35.2     342    34.5        43 💤 觀望 
2432.TW         25.85     -42.92    41.6      92    34.6        42 ✅ 續抱 [⚡爆量]
00676R.TW        7.76     -35.71    39.9     220    24.2        41 💤 觀望 
1537.TW        124.00      -4.55    38.3     400    34.3        41 ✅ 續抱 
6683.TWO       907.00    1513.85    48.2     169    22.5        40 ✅ 續抱 
6720.TWO       168.50     648.69    39.5     137    20.8        39 ✅ 續抱 
3086.TWO       235.50      33.13    39.5     361    30.9        37 ✅ 續抱 
6486.TWO        85.80      97.66    45.0     307    28.2        36 ✅ 續抱 
2755.TWO       140.00     179.68    41.7     175    27.5        36 ✅ 續抱 
8099.TWO        62.30     514.32    42.2     336    28.9        34 💤 觀望 
00770.TW        52.10     188.85    55.5     164    24.0        32 💤 觀望 
4739.TW         69.90     313.75    45.7     337    28.9        32 💤 觀望 
2012.TW         16.75       0.98    38.3     408    35.0        31 💤 觀望 
3551.TWO       184.00     307.62    45.1     323    27.7        30 ✅ 續抱 
6906.TW         70.00     -35.00    38.7      48    23.3        30 💤 觀望 
7805.TWO       602.00     -27.81    38.6      40    32.9        30 ✅ 續抱 
5245.TWO        27.45     130.32    41.8     322    27.7        30 💤 觀望 
3552.TWO        48.80     790.33    45.6     294    25.2        29 💤 觀望 
3004.TW        109.00     120.82    44.5     332    28.6        29 💤 觀望 
2597.TW        168.50     644.29    44.3     322    27.7        27 💤 觀望 
4569.TW        162.50      72.97    41.1      83    33.3        27 ✅ 續抱 
5321.TWO        24.90     234.05    42.6     352    30.3        27 💤 觀望 
8462.TW        140.00     182.01    42.3     298    26.8        26 💤 觀望 
3521.TWO        15.00     -80.90    35.9     404    34.6        25 💤 觀望 
6160.TWO        16.35     120.41    40.4     330    28.3        25 💤 觀望 
5474.TWO       142.00    1193.64    46.9     300    25.7        24 💤 觀望 
00904.TW        28.36     153.48    55.2      85    21.9        24 ✅ 續抱 
7786.TW        154.00     -11.14    25.0       6     6.0        23 💤 觀望 
00686R.TW        1.39     -32.50    40.1     218    25.2        22 💤 觀望 
4580.TWO        81.70      89.88    44.4     172    24.8        22 ✅ 續抱 
2739.TW         34.00      10.17    40.1     310    28.2        22 ✅ 續抱 
6620.TWO        79.80     675.47    40.2     210    23.8        20 💤 觀望 
6534.TW         83.20      -3.72    36.8      84    39.4        19 💤 觀望 [⚡爆量]
1525.TW         62.00     103.89    43.1     322    27.6        19 💤 觀望 
6961.TWO        59.40      -5.92    40.9      60    24.0        19 ✅ 續抱 [⚡爆量]
2383.TW       2360.00    3136.06    48.2     345    29.6        19 ✅ 續抱 
2457.TW         28.80     386.18    44.8     314    26.9        19 💤 觀望 
9926.TW         52.00     -84.93    30.4     575    49.5        19 ✅ 續抱 [⚡爆量]
7709.TWO        51.80     -19.24    37.5      80    38.8        18 💤 觀望 
4946.TWO       158.00     222.99    39.5     357    30.6        18 ✅ 續抱 
6921.TW         79.10       9.58    36.4       3     3.0        17 💤 觀望 
1256.TW        166.50      92.49    41.2     315    27.1        16 ✅ 續抱 
1762.TW         26.90     128.68    44.4     307    26.3        16 ✅ 續抱 
1203.TW         39.80     -28.84    37.8     488    41.9        16 💤 觀望 
4147.TWO        53.50     181.06    44.8     292    25.2        16 💤 觀望 
5230.TWO        17.00      83.69    41.1     278    23.8        16 💤 觀望 
6934.TW         90.20       0.00     0.0       0     0.0        16 💤 觀望 
5543.TWO        26.20     -77.14    37.4     350    37.0        15 💤 觀望 
3178.TWO        57.70     191.59    40.9     343    29.4        15 ✅ 續抱 
9918.TW         55.80     -79.62    30.3     555    47.8        14 ✅ 續抱 [⚡爆量]
00651R.TW        5.32     -49.29    45.3     319    32.7        14 ✅ 續抱 
6796.TW         80.80     303.35    44.1     100    21.2        14 💤 觀望 
00664R.TW        2.28     -41.17    40.6     236    25.3        12 💤 觀望 
1623.TW        203.50       0.00     0.0       0     0.0        10 💤 觀望 
6418.TWO        32.05     447.71    35.3     284    24.4        10 💤 觀望 
8444.TWO         8.83     540.25    40.2     284    24.4         9 💤 觀望 [⚡爆量]
6124.TWO        36.45     -84.43    38.3     455    39.1         9 ✅ 續抱 
4406.TWO        10.00     -99.44    30.4     592    51.0         9 💤 觀望 
4127.TWO        36.15     104.75    39.5     348    29.9         9 💤 觀望 
2414.TW         42.10     319.85    44.4     299    25.6         9 ✅ 續抱 
6223.TWO      2965.00    4720.33    48.4     285    24.4         8 ✅ 續抱 
6859.TWO       120.50     -29.92    40.7     129    31.7         8 ✅ 續抱 [⚡爆量]
2923.TW         21.30     -90.54    38.1     429    36.7         8 💤 觀望 
3054.TW         45.00       3.87    40.0     379    32.6         7 ✅ 續抱 [⚡爆量]
3672.TWO        11.85     -84.58    36.4     385    33.1         7 💤 觀望 
6794.TW         83.90       9.08    43.7      56    32.1         7 💤 觀望 
8908.TWO        44.50     -30.12    37.2     391    33.7         7 ✅ 續抱 [⚡爆量]
3168.TW         41.10      -6.53    35.6     395    33.9         6 ✅ 續抱 
6174.TWO        22.30     -33.22    38.7     377    32.4         6 ✅ 續抱 
7744.TWO       449.00     144.79    45.7      39    28.3         6 ✅ 續抱 
6612.TWO        68.60      34.65    39.1     260    29.4         6 💤 觀望 
6735.TWO        56.80      63.37    39.0     180    29.3         6 💤 觀望 
6264.TWO         6.70     -44.70    32.9     172    14.8         6 💤 觀望 
6949.TW        564.00     897.06    45.7      32    16.7         6 💤 觀望 
6988.TW         14.65      16.90    39.7      36    27.5         6 💤 觀望 
9931.TW         46.65     -89.46    28.4     535    46.1         6 ✅ 續抱 [⚡爆量]
2254.TW         72.50     -25.57    44.0      83    36.1         6 ✅ 續抱 
6405.TW         32.20     214.50    40.6     323    27.8         5 ✅ 續抱 
6931.TW         52.60      42.17    40.3     112    36.8         5 💤 觀望 
4911.TWO        34.30      98.53    38.7     324    27.9         5 💤 觀望 
6887.TW         45.35     -17.31    26.5      28    28.0         5 💤 觀望 
00666R.TW        9.19     -49.35    45.3     315    34.0         5 ✅ 續抱 
6655.TW        131.50     191.42    43.9     231    29.0         4 ✅ 續抱 
2066.TWO        50.40     -23.95    41.9     358    30.7         4 💤 觀望 
6508.TWO        26.30      68.40    41.2     303    26.1         4 ✅ 續抱 
1459.TW         11.95       3.87    40.0     369    31.7         4 💤 觀望 
8087.TWO        35.55     -38.67    35.6     417    35.7         4 ✅ 續抱 
2482.TW         17.10     101.86    39.1     326    27.9         4 💤 觀望 
3541.TWO        24.20     319.32    45.1     260    22.4         4 💤 觀望 
6730.TWO        37.45     -72.73    34.7     222    36.5         4 ✅ 續抱 
4510.TWO        42.15     233.67    39.2     336    28.8         3 💤 觀望 
3066.TWO        17.15     -62.83    38.0     355    30.6         3 ✅ 續抱 [⚡爆量]
4513.TWO        16.85     368.09    42.4     326    27.9         3 💤 觀望 
6843.TWO        48.80     -12.35    45.7     104    27.5         3 ✅ 續抱 
5013.TWO          nan     -45.06    37.6     416    35.8         2 💤 觀望 
9929.TW         10.40     -95.62    31.5     512    44.0         2 💤 觀望 
8455.TWO        22.45     -95.16    34.9     343    35.1         2 ✅ 續抱 
6924.TW         60.00       8.12    36.8      54    44.9         2 💤 觀望 
6716.TWO        82.10     170.44    39.8     223    32.1         2 ✅ 續抱 
6884.TWO        34.80     -39.77    20.9      92    25.6         2 💤 觀望 
6865.TWO        35.40     -50.44    34.9     102    25.4         2 💤 觀望 
2067.TWO         9.10     -96.24    33.1     480    41.3         1 💤 觀望 
8477.TWO        13.00     -82.06    38.1     330    33.1         1 💤 觀望 
6708.TWO        41.80      23.67    40.2     172    29.1         1 💤 觀望 
8102.TWO        49.50     -49.74    31.9      92    40.9         1 💤 觀望 
3252.TWO        20.10     -66.48    35.7     413    35.4         1 ✅ 續抱 
4192.TWO        20.35     -40.25    38.8     330    28.4         1 💤 觀望 
2035.TWO        28.65     -91.19    32.7     529    45.3         1 ✅ 續抱 
6844.TWO        64.60       1.55    36.5     106    25.6         1 💤 觀望 
2013.TW         42.90     185.52    40.5     343    29.4         1 ✅ 續抱 
4304.TWO        29.40     -38.18    37.2     359    30.9         0 💤 觀望 
3432.TW         16.95     139.87    39.6     324    27.8         0 💤 觀望 
1213.TW          9.86     -93.25    34.2     466    39.9         0 💤 觀望 
02001R.TW        0.74       0.00     0.0       0     0.0         0 💤 觀望 
3018.TW         13.10      83.88    40.6     285    24.4         0 ✅ 續抱 
4943.TW         12.35    1361.27    42.1     281    24.1         0 ✅ 續抱 
3064.TWO        40.85     -68.73    35.2     348    30.0         0 💤 觀望 [⚡爆量]
5205.TWO        28.10     -94.07    25.1     323    27.7         0 ✅ 續抱 
4529.TWO         3.45      38.90    39.4     354    30.3         0 ✅ 續抱 
3632.TWO         9.99     -78.28    35.1     371    31.9         0 ✅ 續抱 
9110.TW          3.00     -55.05    35.4     407    35.0         0 💤 觀望 
2740.TWO        40.95     -91.39    30.7     324    30.1         0 💤 觀望 
3085.TWO        12.60     -89.28    37.1     384    33.0         0 💤 觀望 
1538.TW         17.80     -84.38    36.1     372    31.9         0 💤 觀望 
4530.TWO        28.70     -99.08    37.3     458    39.4         0 ✅ 續抱 
6225.TW         21.00     -99.40    34.2     497    42.6         0 ✅ 續抱 
8921.TWO        17.40     -96.98    19.2     384    33.1         0 💤 觀望 [⚡爆量]
8101.TW         15.60     -85.48    34.4     382    32.8         0 ✅ 續抱 [⚡爆量]
00638R.TW        7.15     -49.11    45.4     299    28.6         0 ✅ 續抱 
4804.TWO         5.91     137.07    39.7     246    22.8         0 💤 觀望 
6465.TWO        36.25     -84.09    37.5     405    36.0         0 ✅ 續抱 [⚡爆量]
00674R.TW        4.86     -36.70    44.4     258    28.4         0 💤 觀望 
6236.TWO          nan     -85.24    21.3     306    26.2         0 💤 觀望 
4609.TWO         5.00     -99.86    31.8     520    44.8         0 💤 觀望 
5607.TW         52.20     172.88    44.6     321    27.7         0 ✅ 續抱 
2724.TWO        18.75     -93.17    28.9     350    30.2         0 💤 觀望 [⚡爆量]
8291.TWO        14.50     -99.98    27.8     436    37.5         0 💤 觀望 
020030.TW       10.87       0.00     0.0       0     0.0         0 💤 觀望 
4806.TWO        11.30     -96.31    36.8     375    34.6         0 ✅ 續抱 
2321.TW         16.15     -94.58    38.0     432    37.1         0 ✅ 續抱 
8067.TWO        14.55    -100.00    27.7     656    56.4         0 💤 觀望 
00703.TW        20.45      30.22    50.6     238    28.7         0 💤 觀望 
6929.TWO        31.70     -40.89    36.4      84    27.8         0 💤 觀望 
00656R.TW        6.32     -63.32    44.4     317    32.9         0 ✅ 續抱 
02001L.TW       63.50       0.00     0.0       0     0.0         0 💤 觀望 
8077.TWO          nan     -99.58    26.6     450    38.7         0 💤 觀望 
2941.TWO          nan      25.17    33.6      98    23.4         0 💤 觀望 
3191.TWO        14.85     372.55    40.5     310    26.6         0 💤 觀望 [⚡爆量]
6762.TWO       170.00     -28.29    32.8     199    33.3         0 ✅ 續抱 
2235.TWO        33.85     -52.04    36.9     342    29.4         0 💤 觀望 
3629.TWO        18.15     -76.09    32.8     342    29.4         0 💤 觀望 
00641R.TW        4.18     -58.08    42.0     307    30.2         0 💤 觀望 
8923.TWO          nan     -99.78    21.6     574    49.4         0 💤 觀望 
8917.TWO        63.00     -84.41    22.3     463    39.9         0 ✅ 續抱 [⚡爆量]
6904.TWO       124.00      -0.59    31.2      82    23.9         0 💤 觀望 
3067.TWO        18.75     -99.97    26.1     552    47.5         0 ✅ 續抱 [⚡爆量]
6855.TWO       110.50     -43.47    34.8     144    36.9         0 💤 觀望 
7782.TWO        27.15     -49.12    27.4      58    44.3         0 💤 觀望 
3465.TWO        42.90     118.52    34.7     338    29.1         0 💤 觀望 [⚡爆量]
5546.TW         20.50     -62.41    34.8     220    39.4        -1 💤 觀望 
5301.TWO        10.95     -35.46    34.5     308    26.5        -1 💤 觀望 
00634R.TW        3.31     -71.17    42.1     351    32.2        -1 ✅ 續抱 
5516.TWO        13.95     -90.20    35.6     440    37.8        -1 💤 觀望 
5223.TWO        29.65      67.11    43.2     209    28.2        -1 ✅ 續抱 
5455.TWO          nan     -98.32    27.0     370    31.8        -1 💤 觀望 
4154.TWO          nan     -89.59    36.5     404    34.7        -1 💤 觀望 
7584.TWO        36.10     -35.26    39.7     168    36.2        -1 💤 觀望 
1435.TW         20.80     177.86    43.1     318    27.4        -2 💤 觀望 
6902.TW         79.20     -51.99    38.0      82    33.9        -2 ✅ 續抱 [⚡爆量]
4556.TWO        27.50     -57.89    32.3     384    34.9        -2 💤 觀望 
1235.TW         41.65     567.32    42.0     385    33.1        -2 💤 觀望 
8416.TWO       171.00     -46.25    37.1     416    35.8        -3 💤 觀望 
2338.TW         52.80     716.61    44.5     351    30.1        -3 ✅ 續抱 
2434.TW         30.00     -70.17    39.8     425    36.4        -3 ✅ 續抱 
6228.TWO        23.60     -88.12    37.5     438    37.5        -3 💤 觀望 
6212.TWO        34.75     -99.01    29.2     484    41.5        -3 💤 觀望 
5292.TW        178.50     385.46    38.3     144    24.3        -3 💤 觀望 
6666.TW         42.40     -55.88    41.1     238    33.9        -3 💤 觀望 
5514.TWO        15.85     -72.95    36.2     450    38.8        -4 💤 觀望 [⚡爆量]
3570.TWO       177.00      20.41    38.6     395    33.8        -4 💤 觀望 
2616.TW         21.75      74.50    41.1     365    31.4        -4 ✅ 續抱 [⚡爆量]
2948.TWO        39.95     -28.34    31.2     149    29.6        -4 ✅ 續抱 
1726.TW         76.70     -37.12    40.6     492    42.2        -4 ✅ 續抱 
3057.TW         15.60     -39.14    37.8     306    26.2        -4 💤 觀望 
7738.TWO       169.00      28.61    34.3      43    25.9        -4 💤 觀望 
4538.TWO        19.00     -85.01    34.3     419    35.9        -4 ✅ 續抱 
3083.TWO        29.50     299.94    44.3     294    25.2        -4 💤 觀望 
8472.TWO        60.30     -93.47    35.2     397    37.0        -5 ✅ 續抱 [⚡爆量]
00875.TW        38.46      25.37    51.4     165    28.7        -5 ✅ 續抱 [⚡爆量]
3556.TWO        42.25      91.28    45.2     310    26.6        -5 💤 觀望 
5487.TWO        27.70     -91.31    38.4     470    40.4        -5 💤 觀望 
3523.TWO        16.00     -86.44    37.8     360    30.9        -5 💤 觀望 
3266.TW         13.85     -60.93    36.3     419    35.9        -5 💤 觀望 
6645.TW         16.00      23.51    39.4     238    30.3        -6 💤 觀望 [⚡爆量]
1323.TW         18.70     -13.49    36.9     390    33.4        -6 ✅ 續抱 
6130.TWO        37.80     145.15    41.0     330    28.2        -6 💤 觀望 
6616.TWO        10.20     -50.04    38.3     256    32.6        -6 ✅ 續抱 
1418.TW         19.25     -90.66    30.8     428    36.8        -6 💤 觀望 
8027.TWO        94.00     409.09    44.2     338    29.0        -6 💤 觀望 
1593.TWO        34.45      76.95    41.3     339    29.1        -7 ✅ 續抱 
5355.TWO         7.40     220.16    43.3     275    23.6        -7 ✅ 續抱 
1456.TW         12.95     -82.08    35.1     416    35.8        -7 💤 觀望 [⚡爆量]
4161.TWO        25.45     -77.93    40.0     392    33.6        -8 💤 觀望 
4131.TWO        37.90     -96.22    32.8     404    34.7        -8 💤 觀望 
8279.TWO       114.50       8.86    39.9     326    29.9        -8 💤 觀望 
5289.TWO       805.00     802.67    45.4     353    30.2        -9 ✅ 續抱 
1583.TW         46.05     -69.28    38.2     436    37.4        -9 💤 觀望 
6276.TWO        34.45     153.78    40.9     304    26.2        -9 💤 觀望 
8080.TWO        30.60     -76.15    38.6     364    31.3       -10 💤 觀望 
911622.TW        3.98     -69.42    21.3     294    25.3       -10 💤 觀望 
1516.TW         22.60     -27.39    37.2     385    33.0       -11 ✅ 續抱 
3093.TWO        31.20     -13.06    38.4     397    34.2       -11 ✅ 續抱 [⚡爆量]
4563.TWO        47.80      43.61    42.6     256    27.2       -11 💤 觀望 
1438.TW         31.90     -93.32    34.4     478    41.1       -12 💤 觀望 
1805.TW         10.90     -71.27    34.0     372    32.0       -12 💤 觀望 
2380.TW          6.05      38.99    39.3     335    28.9       -12 ✅ 續抱 [⚡爆量]
1443.TW         26.25     -87.68    37.2     508    43.7       -12 💤 觀望 
3444.TWO        61.60      47.70    41.7     398    34.2       -13 💤 觀望 
7714.TWO       140.50      -7.78    42.1      64    31.0       -13 💤 觀望 
1439.TW         27.90      33.85    38.4     384    33.0       -13 💤 觀望 
3597.TWO        23.80      31.45    26.1     304    26.1       -13 💤 觀望 
4560.TW         34.35     -29.07    38.1     275    31.0       -13 ✅ 續抱 
3073.TWO        30.10     -13.67    36.2     356    30.5       -14 💤 觀望 
1340.TW          7.27     -45.02    39.0     304    26.0       -15 ✅ 續抱 [⚡爆量]
1599.TWO        27.00     123.74    42.0     320    27.5       -15 💤 觀望 
5258.TW         49.95     240.77    43.5     336    28.8       -15 💤 觀望 
4702.TWO         9.97     -79.51    35.2     386    33.1       -16 ✅ 續抱 
3664.TWO        14.65     -18.33    40.5     322    27.6       -16 ✅ 續抱 
6535.TWO       156.50     331.64    44.4     296    28.8       -17 💤 觀望 
8047.TWO        50.80     -79.47    36.0     520    44.7       -17 ✅ 續抱 [⚡爆量]
3430.TWO        71.90     505.43    40.2     275    23.6       -18 ✅ 續抱 
6642.TWO        57.10      13.90    39.9     271    33.6       -18 ✅ 續抱 
3611.TWO       192.50      60.49    42.3     344    29.5       -18 💤 觀望 
3516.TWO        19.60     -78.70    37.6     456    39.3       -19 💤 觀望 
6629.TWO       110.50      56.43    40.9     190    29.2       -20 💤 觀望 
6982.TWO        56.20      84.86    46.5      56    24.0       -23 💤 觀望 
8478.TW        165.50      68.51    39.0     294    29.2       -24 💤 觀望 
1432.TW         17.20     195.98    38.6     280    24.1       -24 💤 觀望 
6499.TWO        83.30     190.94    41.5     270    24.9       -27 💤 觀望 
2314.TW         19.05      -8.83    41.3     324    27.8       -27 💤 觀望 
4416.TWO        16.70     -91.78    29.8     414    35.6       -27 💤 觀望 [⚡爆量]
5386.TWO       260.00     934.80    42.6     397    34.0       -27 ✅ 續抱 
5274.TWO      9705.00     145.53    45.4     353    30.2       -28 ✅ 續抱 
2233.TW        227.00     278.97    45.2     304    26.0       -28 💤 觀望 
00640L.TW       90.50     134.70    52.3     312    30.7       -28 💤 觀望 
2726.TWO        10.20     -61.78    42.9     286    26.5       -29 💤 觀望 
6933.TW        132.00     -33.14    35.3      80    35.9       -29 💤 觀望 
6532.TWO        60.50     138.43    43.9     307    29.5       -29 ✅ 續抱 [⚡爆量]
3176.TWO        30.15     119.10    40.5     312    26.8       -29 💤 觀望 
3213.TWO       101.50     406.13    48.9     287    24.6       -30 ✅ 續抱 
6928.TW         50.50     -26.91    39.8      48    27.2       -30 💤 觀望 
5299.TWO        74.70     293.91    41.0     356    30.5       -30 💤 觀望 
2483.TW         22.90     114.25    40.6     339    29.2       -31 ✅ 續抱 
2466.TW         49.90     278.47    49.0     292    25.0       -31 💤 觀望 
3564.TWO        45.05     135.07    43.1     292    25.0       -31 💤 觀望 
3152.TWO       145.50     186.43    44.3     310    26.6       -32 💤 觀望 
3555.TWO       123.00     -73.78    38.2     390    33.4       -33 ✅ 續抱 
4721.TWO        64.90     691.43    44.6     298    25.5       -35 💤 觀望 
8432.TWO        52.10     -46.20    42.8     348    30.0       -35 💤 觀望 
8162.TW         39.45     -11.31    41.7      65    33.5       -35 ✅ 續抱 
8349.TWO        40.10      87.38    40.5     308    26.4       -35 💤 觀望 
4807.TW         16.85     -61.40    38.8     286    32.0       -36 💤 觀望 
6811.TWO       194.00      28.23    40.2     138    27.8       -36 💤 觀望 
6861.TW        150.50     126.66    41.1     111    27.1       -38 ✅ 續抱 
6640.TWO       891.00    1367.98    41.7     247    29.9       -39 ✅ 續抱 [⚡爆量]
3713.TWO        18.65      63.67    41.3     162    27.9       -40 💤 觀望 
3441.TWO        34.05     215.78    43.4     324    27.9       -41 💤 觀望 
6885.TW         25.85       0.23    43.8      30    25.4       -42 💤 觀望 
6128.TW         24.20      50.46    44.9     352    30.2       -44 💤 觀望 
6965.TW         79.90     -24.31    41.0      22    22.0       -44 💤 觀望 
6588.TWO        80.10     398.57    41.2     253    27.6       -46 💤 觀望 
6122.TWO        52.00     552.90    45.9     304    26.0       -46 💤 觀望 
6142.TW          9.98     268.92    42.6     276    23.6       -46 ✅ 續抱 
3652.TW         26.95     117.46    43.5     338    29.0       -46 💤 觀望 
1338.TW         17.25     -52.01    42.1     352    30.3       -47 💤 觀望 
6624.TWO        57.50     -69.78    36.9     312    36.0       -48 💤 觀望 
6203.TWO        67.10     348.42    45.5     305    26.1       -49 ✅ 續抱 
6230.TW        182.50     359.48    44.4     333    28.5       -52 ✅ 續抱 [⚡爆量]
00949.TW        19.66      -4.27    47.5      56    34.3       -55 💤 觀望 
2438.TW         21.65      74.42    39.6     380    32.6       -56 💤 觀望 
3483.TWO        89.90    1254.44    43.8     309    26.5       -56 ✅ 續抱 
5432.TWO       151.50     -41.15    38.7     438    37.7       -57 💤 觀望 [⚡爆量]
6435.TWO       155.50     286.51    44.4     343    29.4       -60 ✅ 續抱 
1466.TW         17.10     -48.26    35.6     405    34.8       -60 ✅ 續抱 
00923.TW        28.93      90.14    55.0      65    22.4       -61 ✅ 續抱 
3015.TW         53.40     216.42    46.5     298    25.5       -61 ✅ 續抱 
6695.TW         40.30      31.01    40.8     186    27.0       -61 💤 觀望 
1611.TW         12.70     -15.12    41.0     380    32.6       -65 💤 觀望 
8463.TW         26.85      24.14    39.4     338    30.5       -65 💤 觀望 
6491.TW        282.50     -42.42    40.9     404    37.5       -66 💤 觀望 
1789.TW         21.65     -27.18    41.4     348    29.9       -66 💤 觀望 
7717.TWO       658.00     120.82    65.3       2     2.0       -67 💤 觀望 
3508.TWO        39.50    1057.67    42.9     271    23.2       -68 ✅ 續抱 
4952.TW         50.80     399.62    46.5     305    26.1       -69 ✅ 續抱 [⚡爆量]
6546.TWO        81.00     596.50    42.9     217    21.2       -71 ✅ 續抱 
2239.TW         24.90      -3.37    43.5     288    28.5       -72 💤 觀望 
3169.TWO        97.80     565.26    43.7     331    28.4       -73 ✅ 續抱 
6838.TW         27.00      24.42    40.0      32    21.1       -76 💤 觀望 
3577.TWO        60.10     -48.79    42.4     348    29.8       -77 💤 觀望 
3530.TW         58.30     181.30    41.5     334    28.6       -77 💤 觀望 
6957.TW        173.00     -18.06    43.2      40    24.6       -77 💤 觀望 
3308.TW         25.20     110.27    40.8     355    30.4       -80 ✅ 續抱 [⚡爆量]
6515.TW       5250.00     880.05    47.6     153    25.2       -81 ✅ 續抱 
5403.TWO       110.00     884.94    44.5     258    22.1       -82 💤 觀望 
1723.TW         69.10     -16.30    38.4     366    31.4       -82 💤 觀望 
9933.TW         30.45      16.24    44.6     396    33.9       -82 💤 觀望 
3416.TW        145.50     258.69    45.3     330    28.3       -84 💤 觀望 
8091.TWO       135.50     194.34    44.7     334    28.6       -85 💤 觀望 
2369.TW         27.15     379.03    45.4     311    26.6       -85 ✅ 續抱 
8499.TW        265.50     208.99    43.5     236    29.6       -86 💤 觀望 
3623.TWO        26.30      25.60    40.0     334    28.7       -86 ✅ 續抱 
6517.TWO        58.30     294.33    39.5     142    13.3       -87 💤 觀望 
4585.TW        317.00     -24.31    33.3      12    12.0       -87 💤 觀望 
2428.TW        171.00     256.17    44.2     344    29.5       -88 💤 觀望 
4968.TW        114.50    1189.83    45.5     312    26.7       -89 💤 觀望 
5493.TWO        83.80     -31.61    40.8     442    37.9       -90 💤 觀望 
7610.TW        288.50     163.11    50.7       5     5.0       -92 ✅ 續抱 
4571.TW        172.00     362.82    47.0     140    22.5       -94 💤 觀望 
2059.TW       3205.00     135.43    47.6     361    30.9       -96 ✅ 續抱 
6863.TW         95.90     -19.75    43.1      84    29.6       -97 💤 觀望 
3306.TWO        46.70     135.30    43.0     320    27.4       -97 💤 觀望 
8255.TWO       121.00       3.14    42.0     352    30.2       -98 💤 觀望 
5706.TW         50.00     649.14    46.4     294    25.3      -100 💤 觀望 
5272.TWO        22.90     -15.59    43.7     323    27.7      -100 ✅ 續抱 
8431.TWO        67.20    1091.63    45.3     319    27.4      -102 ✅ 續抱 
6243.TW         34.05     316.93    43.3     310    26.6      -102 💤 觀望 
1597.TW         74.40     362.49    44.6     322    27.6      -102 💤 觀望 
4555.TW         36.10     -67.40    38.5     382    34.5      -107 💤 觀望 
6218.TWO        23.95       6.05    39.1     391    33.7      -107 ✅ 續抱 
3653.TW       3415.00     963.32    45.8     329    28.2      -109 ✅ 續抱 [⚡爆量]
3687.TWO        71.10     157.55    41.5     326    28.0      -110 💤 觀望 
3675.TWO       181.50     428.37    44.2     357    30.6      -110 ✅ 續抱 
1444.TW          6.27     -39.94    40.2     368    31.5      -110 💤 觀望 
6684.TWO        45.90      57.03    39.5     180    24.0      -111 💤 觀望 
2236.TW        113.00     675.62    43.0     288    27.7      -111 💤 觀望 
3218.TWO       140.50     327.57    43.8     328    28.1      -111 ✅ 續抱 [⚡爆量]
2365.TW         33.65     243.21    44.0     320    27.4      -112 💤 觀望 
1436.TW         54.90      89.37    39.7     382    32.9      -113 💤 觀望 
2425.TW         27.00     461.67    43.7     308    26.4      -113 💤 觀望 
2429.TW         51.00     -86.34    34.0     392    33.7      -116 💤 觀望 
6432.TWO        35.65      14.76    42.7     343    30.3      -117 ✅ 續抱 
2231.TW         89.00     256.68    45.3     302    26.0      -118 💤 觀望 
6237.TWO        38.00     792.05    43.3     332    28.4      -119 💤 觀望 
2420.TW         52.00     184.56    47.8     327    28.0      -120 ✅ 續抱 
2312.TW         23.55      61.69    43.1     344    29.5      -123 💤 觀望 
3710.TWO         6.91      64.20    39.5     290    24.9      -125 ✅ 續抱 
