prev_eps_yoy,date,eps,expansion,prev_eps,rev_yoy,advice,prev_rev_yoy,name,om,status,eps_yoy,est_price,symbol,gm,price,pe,prev_year
576.92,2026-03,2.25,390.63,0.88,646.87,⚠️ 追價風險,9.55,華邦電,15.37%,🚀 利潤擴張,1037.5,40.8,2344.TW,41.86%,171.0,62.867647058823536,2025
5.88,2026-03,0.41,381.05,1.44,6.45,⚪ 數據不足,28.36,宏�砦C戲-創,N/A,🚀 利潤擴張,387.5,0.0,6908.TW,N/A,33.5999984741,0.0,2025
-49.65,2026-03,1.59,356.01,2.19,359.78,✅ 穩健價值,-15.3,應廣,N/A,🚀 利潤擴張,715.79,81.60000000000001,6716.TWO,N/A,87.0,15.992647058823529,2025
207.35,2026-03,0.24,342.59000000000003,0.73,37.41,⚪ 中性觀察,9.95,寶碩,N/A,🚀 利潤擴張,380.0,19.499999999999996,5210.TWO,N/A,27.7999992371,21.384614797769235,2025
90.52,2026-03,0.99,339.47,-0.2,750.53,⚪ 數據不足,25.85,鈺鎧,N/A,🔄 轉虧為盈,1090.0,-8.4,5228.TWO,N/A,43.6500015259,0.0,2025
1.73,2026-03,1.42,338.21999999999997,2.35,179.43,💎 強力關注,5.96,亞洲藏壽司,N/A,🚀 利潤擴張,517.65,92.55,2754.TWO,N/A,70.4000015259,11.410048869675851,2025
170.59,2026-03,0.13,312.59000000000003,0.92,237.41,⚠️ 追價風險,-3.75,旭然,14.30%,🚀 利潤擴張,550.0,26.4,4556.TWO,42.07%,83.0999984741,47.21590822392046,2025
-29.63,2026-03,0.15,306.68,0.57,343.32,✅ 穩健價值,-5.82,協禧,7.94%,🚀 利潤擴張,650.0,25.95,3071.TWO,30.11%,26.0499992371,15.057803027225434,2025
3.78,2026-03,68.8,293.43999999999994,41.98,849.86,✅ 穩健價值,23.29,群聯,N/A,🚀 利潤擴張,1143.3,2097.2999999999997,8299.TWO,N/A,2025.0,14.482906594192533,2025
-150.59,2026-03,0.67,276.36999999999995,-0.43,270.3,⚪ 數據不足,-14.91,慧智,N/A,🔄 轉虧為盈,546.67,-2.2499999999999996,6615.TWO,N/A,33.7999992371,0.0,2025
550.0,2026-03,0.27,268.97,0.18,371.03,⚪ 數據不足,0.1,康舒,N/A,🚀 利潤擴張,640.0,-9.150000000000002,6282.TW,N/A,48.2999992371,0.0,2025
55.83,2026-03,0.38,258.58,-0.76,186.87,⚪ 數據不足,5.03,三貝德,N/A,🔄 轉虧為盈,445.45,-20.1,8489.TWO,N/A,22.8500003815,0.0,2025
8050.0,2026-03,4.49,228.27999999999997,1.77,473.51,✅ 穩健價值,0.89,事欣科,8.07%,🚀 利潤擴張,701.79,120.3,4916.TW,18.73%,108.0,13.46633416458853,2025
-66.67,2026-03,2.97,226.35000000000002,0.88,292.4,💎 強力關注,-3.15,銘旺實,N/A,🚀 利潤擴張,518.75,44.1,4432.TWO,N/A,16.0499992371,5.459183413979592,2025
51.72,2026-03,0.45,217.69,0.88,132.31,💎 強力關注,-61.59,中美實,-88.29%,🚀 利潤擴張,350.0,14.700000000000001,4702.TWO,35.38%,9.5100002289,9.704081866224488,2025
33.97,2026-03,3.8,215.22999999999996,13.25,297.67,💎 強力關注,5.83,東哥遊艇,N/A,🚀 利潤擴張,512.9,493.65000000000003,8478.TW,N/A,151.5,4.6034639927073835,2025
-21.15,2026-03,0.66,211.49,1.65,713.51,💎 強力關注,3.39,大亞,8.70%,🚀 利潤擴張,925.0,76.65,1609.TW,13.61%,35.9500007629,7.035225198219177,2025
-80.0,2026-03,0.47,186.79000000000002,0.08,26.54,⚪ 數據不足,3.55,聯嘉投控,7.12%,🚀 利潤擴張,213.33,0.0,3717.TW,19.34%,22.8999996185,0.0,2025
-280.2,2026-03,0.33,185.94,-1.82,80.73,⚪ 數據不足,-10.9,巨虹,N/A,🔄 轉虧為盈,266.67,-43.199999999999996,8084.TWO,N/A,42.4500007629,0.0,2025
25.64,2026-03,2.65,185.43999999999994,2.02,542.69,💎 強力關注,18.23,東浦,14.85%,🚀 利潤擴張,728.13,94.05,3290.TWO,30.40%,53.5999984741,8.548644094752792,2025
-177.27,2026-03,0.09,164.05,-0.17,385.95,⚪ 數據不足,-15.68,同協,N/A,🔄 轉虧為盈,550.0,-7.95,5460.TWO,N/A,15.8999996185,0.0,2025
1640.0,2026-03,0.53,160.65000000000003,1.54,116.02,⚪ 數據不足,32.98,未知,N/A,🚀 利潤擴張,276.67,0.0,4582.TWO,N/A,0.0,0.0,2025
1640.0,2026-03,0.53,160.65000000000003,1.54,116.02,⚪ 數據不足,32.98,聚恆-創,N/A,🚀 利潤擴張,276.67,0.0,4582.TW,N/A,28.3999996185,0.0,2025
-219.05,2026-03,0.06,157.99,-0.25,542.01,⚪ 數據不足,-2.43,鼎元,-2.91%,🔄 轉虧為盈,700.0,-6.6,2426.TW,10.78%,63.9000015259,0.0,2025
54.55,2026-03,0.28,156.05,-0.19,108.24,⚪ 數據不足,2.69,圓剛,8.42%,🔄 轉虧為盈,264.29,-25.049999999999997,2417.TW,56.31%,41.4000015259,0.0,2025
-125.22,2026-03,0.28,152.34,-0.29,214.33,⚠️ 追價風險,-4.25,成霖,N/A,🔄 轉虧為盈,366.67,1.050000000000001,9934.TW,N/A,10.75,153.57142857142844,2025
-77.02,2026-03,1.1,142.32,1.09,180.76,⚠️ 追價風險,7.13,六角,N/A,🚀 利潤擴張,323.08,32.250000000000014,2732.TWO,N/A,64.0,29.767441860465105,2025
-38.68,2026-03,1.03,134.17000000000002,2.88,307.94,✅ 穩健價值,5.8,醫揚,N/A,🚀 利潤擴張,442.11,96.15,6569.TWO,N/A,98.4000015259,15.351014278611544,2025
921.74,2026-03,1.57,133.17000000000002,2.35,273.28,⚠️ 追價風險,17.09,凌華,N/A,🚀 利潤擴張,406.45,85.05,6166.TW,N/A,145.0,25.57319223985891,2025
884.75,2026-03,3.44,130.47000000000003,4.66,515.18,⚠️ 追價風險,82.29,聯亞,41.27%,🏰 高護城河,645.65,183.0,3081.TWO,54.76%,2375.0,194.672131147541,2025
-20.59,2026-03,2.21,115.32000000000001,6.21,113.17,💎 強力關注,-14.96,奇偶,N/A,🚀 利潤擴張,228.49,172.05,3356.TW,N/A,56.0999984741,4.891019919276372,2025
-84.51,2026-03,0.29,114.74000000000001,0.33,268.59,⚪ 數據不足,-4.81,美達科技,N/A,🚀 利潤擴張,383.33,-7.200000000000001,6735.TWO,N/A,72.9000015259,0.0,2025
-365.71,2026-03,-0.02,109.06,-1.63,-21.56,⚪ 數據不足,-7.78,益航,-12.62%,🏰 高護城河,87.5,-33.6,2601.TW,102.69%,6.2699999809,0.0,2025
-45.51,2026-03,0.37,108.44,1.73,161.56,⚠️ 追價風險,-5.33,暉盛-創,N/A,🚀 利潤擴張,270.0,50.699999999999996,7730.TW,N/A,160.0,47.337278106508876,2025
152.83,2026-03,0.66,96.19000000000001,2.15,67.27,⚪ 數據不足,-16.81,麗嬰房,N/A,🚀 利潤擴張,163.46,-40.05,2911.TW,N/A,6.8200001717,0.0,2025
-46.91,2026-03,0.3,92.64,0.43,57.36,⚠️ 追價風險,-7.4,網龍,12.73%,🏰 高護城河,150.0,13.05,3083.TWO,87.57%,25.2999992371,29.080458893218392,2025
104.41,2026-03,0.49,89.48000000000002,1.39,990.52,✅ 穩健價值,14.16,青松健康,N/A,🚀 利潤擴張,1080.0,44.550000000000004,6931.TW,N/A,37.2999992371,12.558922302053872,2025
-169.49,2026-03,0.28,88.79000000000002,-0.84,486.21,⚪ 數據不足,-18.58,宏佳騰,-21.33%,🔄 轉虧為盈,575.0,-24.299999999999994,1599.TWO,16.92%,23.7999992371,0.0,2025
17.57,2026-03,0.06,84.69999999999999,-0.61,81.97,⚪ 數據不足,0.19,中裕,-58.34%,🔄 轉虧為盈,166.67,-18.3,4147.TWO,28.91%,58.5,0.0,2025
-51.9,2026-03,2.78,83.63,2.41,102.97,💎 強力關注,-14.02,昭輝,13.17%,🚀 利潤擴張,186.6,97.8,1339.TW,33.66%,45.0499992371,6.909509085444786,2025
78.06,2026-03,0.7,83.04000000000002,3.02,309.82,💎 強力關注,15.32,偉詮電,3.76%,🚀 利潤擴張,392.86,81.9,2436.TW,30.84%,61.4000015259,11.24542152489011,2025
-50.67,2026-03,0.64,81.14999999999999,1.11,97.11,⚠️ 追價風險,-8.83,威鋒電子,N/A,🚀 利潤擴張,178.26,45.449999999999996,6756.TW,N/A,103.0,33.993399339933994,2025
-64.44,2026-03,2.34,74.29000000000002,1.97,62.07,✅ 穩健價值,2.09,宇峻,20.17%,🏰 高護城河,136.36,77.99999999999999,3546.TWO,89.44%,75.3000030518,14.480769817653849,2025
96.29,2026-03,-0.15,73.29,-1.49,26.64,⚪ 數據不足,22.72,奧義賽博-KY創,N/A,🚀 利潤擴張,99.93,0.0,7823.TW,N/A,85.0,0.0,2025
-99.18,2026-03,-0.68,71.78,-2.43,-97.71,⚪ 數據不足,19.25,昱泉,N/A,🌑 雙重衰退,-25.93,-96.44999999999999,6169.TWO,N/A,13.3000001907,0.0,2025
-91.14,2026-03,0.3,71.62,0.14,578.38,⚪ 數據不足,0.63,冠好,N/A,🚀 利潤擴張,650.0,-17.549999999999997,8354.TWO,N/A,15.3999996185,0.0,2025
-5.15,2026-03,1.75,70.21000000000004,2.76,315.9,✅ 穩健價值,22.56,台聯電,0.20%,🚀 利潤擴張,386.11,71.25,4905.TWO,25.49%,65.6999969482,13.831578304884209,2025
44.08,2026-03,1.02,69.89999999999999,6.33,51.84,⚪ 數據不足,76.4,創新服務,N/A,🚀 利潤擴張,121.74,0.0,7828.TWO,N/A,1755.0,0.0,2025
3.28,2026-03,0.25,68.69,0.63,58.58,💎 強力關注,4.6,國票金,38.94%,🏰 高護城河,127.27,22.95,2889.TW,90.85%,15.3000001907,10.000000124640524,2025
24.43,2026-03,1.41,67.19999999999999,7.13,40.15,💎 強力關注,-4.63,麗豐-KY,20.98%,🏰 高護城河,107.35,257.1,4137.TW,82.18%,94.9000015259,5.536756215046674,2025
-31.03,2026-03,0.06,64.48,-0.38,110.52,⚪ 數據不足,-28.72,研勤,3.73%,🔄 轉虧為盈,175.0,-15.3,3632.TWO,54.59%,7.9200000763,0.0,2025
-24.06,2026-03,0.6,63.99000000000001,2.43,42.91,⚪ 數據不足,2.38,和迅,N/A,🚀 利潤擴張,106.9,0.0,6986.TWO,N/A,43.5499992371,0.0,2025
-184.44,2026-03,0.11,63.97,-1.28,111.03,⚪ 數據不足,-7.78,穎漢,-45.46%,🔄 轉虧為盈,175.0,-38.1,4562.TW,31.44%,31.6000003815,0.0,2025
-7120.0,2026-03,-0.27,63.5,-3.51,-1.0,⚪ 數據不足,-29.69,泰偉,-55.72%,🏰 高護城河,62.5,-122.4,3064.TWO,93.22%,19.6000003815,0.0,2025
17.33,2026-03,1.34,63.21000000000001,2.64,171.79,💎 強力關注,12.14,群益證,N/A,🚀 利潤擴張,235.0,101.7,6005.TW,N/A,34.5499992371,5.095870093967552,2025
152.25,2026-03,0.84,61.81999999999999,0.58,438.18,⚠️ 追價風險,19.69,車王電,N/A,🚀 利潤擴張,500.0,10.049999999999997,1533.TW,N/A,33.5499992371,50.07462572701495,2025
34.55,2026-03,0.56,61.76999999999998,0.74,538.23,✅ 穩健價值,-4.85,正隆,7.12%,🚀 利潤擴張,600.0,22.5,1904.TW,20.98%,22.2999992371,14.866666158066666,2025
-26.32,2026-03,1.9,56.41999999999999,2.52,150.03,💎 強力關注,-4.59,日揚,N/A,🚀 利潤擴張,206.45,113.85,6208.TWO,N/A,81.9000015259,10.790514035032938,2025
-36.9,2026-03,1.46,55.839999999999975,1.19,148.33,💎 強力關注,-6.81,強生,N/A,🚀 利潤擴張,204.17,72.30000000000001,4747.TWO,N/A,49.9000015259,10.352697412012448,2025
49.15,2026-03,0.13,55.43000000000001,-0.6,189.01,⚪ 數據不足,2.65,九暘,N/A,🔄 轉虧為盈,244.44,-18.45,8040.TWO,N/A,72.1999969482,0.0,2025
905.92,2026-03,2.62,54.05000000000001,12.33,185.42,💎 強力關注,-6.28,晟德,-106.23%,🚀 利潤擴張,239.47,273.29999999999995,4123.TWO,41.95%,38.75,2.1267837541163557,2025
-48.08,2026-03,-1.43,52.519999999999996,-3.92,-55.48,⚪ 數據不足,-29.22,心誠鎂,N/A,🌑 雙重衰退,-2.96,0.0,6934.TW,N/A,73.1999969482,0.0,2025
66.34,2026-03,3.29,51.74000000000001,6.82,95.63,💎 強力關注,6.51,霈方,N/A,🚀 利潤擴張,147.37,252.6,6574.TWO,N/A,141.5,8.402612826603326,2025
38.44,2026-03,7.68,47.56,13.04,91.93,⚪ 數據不足,182.72,永擎,N/A,🚀 利潤擴張,139.49,0.0,7711.TW,N/A,0.0,0.0,2025
-36.17,2026-03,1.01,46.579999999999984,1.5,359.48,✅ 穩健價值,23.54,廣寰科,N/A,🚀 利潤擴張,406.06,31.8,3287.TWO,N/A,29.7000007629,14.00943432212264,2025
544.54,2026-03,0.03,45.849999999999994,5.29,66.65,💎 強力關注,-17.0,琉園,N/A,🚀 利潤擴張,112.5,146.54999999999998,9949.TWO,N/A,23.2999992371,2.3848515084032753,2025
31.64,2026-03,0.46,39.24,4.85,15.93,💎 強力關注,108.17,漢達,N/A,🚀 利潤擴張,55.17,172.35,6620.TWO,N/A,85.9000015259,7.4760662772758915,2025
-93.75,2026-03,0.08,35.860000000000014,0.12,264.14,⚪ 數據不足,-40.0,威盛,-8.17%,🚀 利潤擴張,300.0,-30.6,2388.TW,20.64%,79.4000015259,0.0,2025
-5.7,2026-03,1.19,34.20000000000002,2.15,156.04,💎 強力關注,1.24,禾瑞亞,14.95%,🏰 高護城河,190.24,81.9,3556.TWO,50.66%,63.4000015259,11.611721891190477,2025
91.67,2026-03,0.87,32.379999999999995,2.99,10.24,⚪ 數據不足,19.28,神數,N/A,🚀 利潤擴張,42.62,0.0,7821.TW,N/A,40.1500015259,0.0,2025
-17.2,2025-12,11.94,28.590000000000003,7.56,6.33,⚪ 數據不足,15.19,未知,30.89%,🚀 利潤擴張,34.92,0.0,2072.TWO,35.24%,0.0,0.0,2025
-13.21,2026-03,-0.36,27.259999999999998,-1.89,-3.86,⚪ 數據不足,-5.58,向榮生技,N/A,🧐 疑業外收益,23.4,-70.05,6794.TW,N/A,74.5999984741,0.0,2025
-197.83,2026-03,0.11,27.04000000000002,-0.45,422.96,⚪ 數據不足,2.23,南緯,1.90%,🔄 轉虧為盈,450.0,-28.950000000000003,1467.TW,23.39%,9.9899997711,0.0,2025
-27.83,2026-03,1.62,26.23,3.24,16.63,⚪ 數據不足,3.08,頌勝科技,N/A,🚀 利潤擴張,42.86,0.0,7768.TW,N/A,263.5,0.0,2025
-27.83,2026-03,1.62,26.23,3.24,16.63,⚪ 數據不足,3.08,未知,N/A,🚀 利潤擴張,42.86,0.0,7768.TWO,N/A,0.0,0.0,2025
11.37,2026-03,4.33,25.689999999999998,13.61,12.42,⚪ 數據不足,20.5,大東電,16.93%,🚀 利潤擴張,38.11,0.0,1623.TW,21.29%,0.0,0.0,2025
-1.08,2026-03,1.08,20.689999999999998,2.74,62.36,💎 強力關注,6.4,元大金,33.03%,🏰 高護城河,83.05,105.6,2885.TW,80.00%,67.0999984741,9.531249783252841,2025
-66.0,2026-03,0.32,19.960000000000004,0.85,25.49,✅ 穩健價值,0.36,中連,N/A,🚀 利潤擴張,45.45,33.45,5604.TWO,N/A,30.3999996185,13.632286824439463,2025
-11.63,2026-03,0.89,19.539999999999964,0.76,451.29,💎 強力關注,0.56,宏遠證,N/A,🚀 利潤擴張,470.83,24.599999999999998,6015.TWO,N/A,15.5,9.451219512195122,2025
-134.86,2026-03,-0.19,18.900000000000002,-0.61,26.81,⚪ 數據不足,-8.35,力新,N/A,🚀 利潤擴張,45.71,-30.900000000000002,5202.TWO,N/A,12.3999996185,0.0,2025
13.1,2026-03,0.55,18.060000000000002,1.9,22.97,💎 強力關注,4.06,華南金,45.93%,🏰 高護城河,41.03,70.8,2880.TW,97.25%,44.0499992371,9.332626957012714,2025
35.0,2026-03,0.31,17.97999999999999,0.81,216.8,⚠️ 追價風險,13.9,博磊,8.13%,🚀 利潤擴張,234.78,9.75,3581.TWO,31.93%,122.5,188.46153846153845,2025
28.3,2026-03,0.2,17.229999999999997,0.68,16.1,💎 強力關注,14.52,高雄銀,32.37%,🏰 高護城河,33.33,25.200000000000003,2836.TW,89.95%,11.8000001907,7.0238096373214285,2025
107.11,2026-03,1.67,15.160000000000025,0.15,316.27,⚠️ 追價風險,25.43,環宇-KY,N/A,🚀 利潤擴張,331.43,11.999999999999998,4991.TWO,N/A,442.0,552.5,2025
14.12,2026-03,0.42,12.35,2.91,-1.82,⚪ 數據不足,10.14,精誠金融,N/A,🧐 疑業外收益,10.53,0.0,7819.TWO,N/A,34.4500007629,0.0,2025
-10.99,2026-03,0.69,12.0,1.74,22.04,💎 強力關注,-12.26,凱基金,39.14%,🏰 高護城河,34.04,57.14999999999999,2883.TW,78.38%,30.6000003815,8.03149616312336,2025
-14.12,2026-03,-0.53,10.350000000000001,-2.92,41.94,⚪ 數據不足,-0.97,華安,N/A,🚀 利潤擴張,52.29,-109.2,6657.TW,N/A,31.0,0.0,2025
4.19,2026-03,7.98,9.14,25.6,19.99,⚠️ 追價風險,6.74,力旺,60.64%,🏰 高護城河,29.13,947.7,3529.TWO,100.00%,2660.0,42.10193099081988,2025
-53.57,2026-03,0.23,8.629999999999995,-0.43,274.7,⚪ 數據不足,-8.31,宏亞,-4.59%,🔄 轉虧為盈,283.33,-14.25,1236.TW,24.77%,24.9500007629,0.0,2025
-827.91,2026-03,0.25,7.890000000000015,-3.35,145.6,⚪ 數據不足,-15.19,岱宇,-13.99%,🔄 轉虧為盈,153.49,-89.10000000000001,1598.TW,27.77%,20.0,0.0,2025
24.93,2026-03,0.39,7.82,4.66,48.18,✅ 穩健價值,15.86,全景軟體,N/A,🚀 利潤擴張,56.0,136.05,8272.TWO,N/A,64.3000030518,7.0893057388974645,2025
-7.32,2026-03,0.11,7.48,0.38,30.02,⚠️ 追價風險,-2.15,欣欣,20.24%,🏰 高護城河,37.5,13.5,2901.TW,84.77%,24.0,26.666666666666664,2025
14.95,2026-03,-0.19,5.7299999999999995,-0.92,-11.29,⚪ 數據不足,-3.6,未知,N/A,🌑 雙重衰退,-5.56,0.0,4178.TWO,N/A,0.0,0.0,2025
14.95,2026-03,-0.19,5.7299999999999995,-0.92,-11.29,⚪ 數據不足,-3.6,永笙-KY,N/A,🌑 雙重衰退,-5.56,0.0,4178.TW,N/A,18.8500003815,0.0,2025
-38.13,2026-03,1.5,5.1200000000000045,0.99,109.17,✅ 穩健價值,-3.57,詩肯,N/A,🚀 利潤擴張,114.29,63.6,6195.TWO,N/A,27.1499996185,6.403301796816038,2025
0.85,2026-03,0.63,4.100000000000001,2.36,12.57,✅ 穩健價值,-1.77,兆豐金,33.61%,🏰 高護城河,16.67,91.94999999999999,2886.TW,83.45%,50.2999992371,8.205546368205548,2025
41.18,2026-03,0.07,3.8000000000000025,0.25,12.87,⚠️ 追價風險,13.2,聯傑,-7.29%,🏰 高護城河,16.67,7.35,3094.TW,73.82%,35.5999984741,72.65305811040815,2025
-326.32,2026-03,0.24,3.490000000000009,-0.43,296.51,⚪ 數據不足,-8.05,亞電,N/A,🔄 轉虧為盈,300.0,-22.2,4939.TWO,N/A,61.4000015259,0.0,2025
18.52,2026-03,0.73,3.3499999999999996,2.56,2.45,⚪ 數據不足,8.14,達人網,N/A,🚀 利潤擴張,5.8,0.0,7839.TWO,N/A,45.75,0.0,2025
-16.92,2026-03,-0.25,3.0700000000000003,0.58,32.83,⚠️ 追價風險,15.88,能率亞洲,N/A,🚀 利潤擴張,35.9,12.149999999999999,7777.TWO,N/A,41.7000007629,51.48148242333333,2025
-27.47,2026-03,0.89,2.25,2.35,68.9,✅ 穩健價值,12.71,米斯特,2.03%,🏰 高護城河,71.15,100.35000000000001,2941.TWO,64.17%,31.7000007629,4.738415659626308,2025
-35.48,2026-03,0.28,2.030000000000001,0.61,36.86,✅ 穩健價值,-2.09,王道銀行,32.72%,🏰 高護城河,38.89,26.1,2897.TW,91.47%,10.1000003815,5.804597920402299,2025
