股票代碼,股票名稱,今日狀態,今日收盤,今日RSI,戰術標籤,隔天勝率,五日勝率,五日平均收益,平均洗盤深度,歷史次數,建議買進價,raw_wr5,raw_pnl
8042.TWO,金山電,無,58.5999984741,55.0,🟢 黃金標的,50.00%,100.00%,4.33%,-5.26%,2,0.0,1.0,0.0433
00947.TW,台新臺灣IC設計,無,31.0900001526,86.78,🟢 黃金標的,75.00%,100.00%,4.19%,-2.51%,4,0.0,1.0,0.0419
3324.TWO,雙鴻,無,1140.0,63.64,🟢 黃金標的,25.00%,100.00%,4.34%,-7.28%,4,0.0,1.0,0.0434
3521.TWO,台鋼建設,無,13.8999996185,50.65,🟢 黃金標的,0.00%,100.00%,4.02%,-5.88%,1,0.0,1.0,0.0402
1203.TW,味王,無,43.5999984741,74.42,🟢 黃金標的,100.00%,100.00%,4.02%,0.12%,5,0.0,1.0,0.0402
3226.TWO,龍鋒,無,42.0,46.92,🟢 黃金標的,100.00%,100.00%,10.45%,-1.40%,6,0.0,1.0,0.1045
2755.TWO,揚秦,無,135.0,22.22,🟢 黃金標的,50.00%,100.00%,8.38%,-0.26%,4,0.0,1.0,0.0838
00994A.TW,主動第一金台股優,無,16.8199996948,92.0,🟢 黃金標的,100.00%,100.00%,7.11%,0.17%,4,0.0,1.0,0.0711
3149.TW,正達,無,47.2999992371,65.13,🟢 黃金標的,100.00%,100.00%,7.31%,-0.91%,3,0.0,1.0,0.0731
6933.TW,AMAX-KY,無,164.5,42.29,🟢 黃金標的,100.00%,100.00%,10.11%,2.81%,1,0.0,1.0,0.1011
7833.TWO,綠岩能源,無,30.0499992371,27.03,🟢 黃金標的,100.00%,100.00%,3.48%,-5.30%,1,0.0,1.0,0.0348
6588.TWO,東典光電,無,140.5,49.37,🟢 黃金標的,66.67%,100.00%,10.28%,-4.82%,3,0.0,1.0,0.1028
6155.TW,鈞寶,無,46.0499992371,50.52,🟢 黃金標的,0.00%,100.00%,3.46%,-9.39%,1,0.0,1.0,0.0346
00965.TW,元大航太防衛科技,無,25.6399993896,47.84,🟢 黃金標的,100.00%,100.00%,5.15%,-0.36%,1,0.0,1.0,0.0515
2073.TWO,雄順,無,26.2999992371,43.48,🟢 黃金標的,0.00%,100.00%,3.77%,0.00%,1,0.0,1.0,0.0377
6650.TWO,帝圖,無,34.5,63.45,🟢 黃金標的,33.33%,100.00%,7.96%,-2.95%,3,0.0,1.0,0.0796
3490.TWO,單井,無,30.5,67.94,🟢 黃金標的,0.00%,100.00%,5.68%,-3.12%,2,0.0,1.0,0.0568
7740.TW,熙特爾-創,無,190.0,58.86,🟢 黃金標的,50.00%,100.00%,4.56%,-5.56%,2,0.0,1.0,0.0456
6282.TW,康舒,無,47.3499984741,53.61,🟢 黃金標的,66.67%,100.00%,13.84%,-1.16%,6,0.0,1.0,0.1384
6148.TWO,驊宏資,無,31.0499992371,41.81,🟢 黃金標的,0.00%,100.00%,6.05%,-6.85%,1,0.0,1.0,0.0605
3593.TW,力銘,無,19.8500003815,84.55,🟢 黃金標的,100.00%,100.00%,14.34%,-0.56%,4,0.0,1.0,0.1434
00989A.TW,主動摩根美國科技,無,15.720000267,80.08,🟢 黃金標的,100.00%,100.00%,3.78%,0.82%,4,0.0,1.0,0.0378
7850.TWO,寶泰生醫,無,22.0499992371,50.48,🟢 黃金標的,0.00%,100.00%,9.20%,-7.16%,1,0.0,1.0,0.092
00909.TW,國泰數位支付服務,無,41.4300003052,72.36,🟢 黃金標的,100.00%,100.00%,3.44%,-0.05%,1,0.0,1.0,0.0344
5516.TWO,雙喜,無,11.75,34.21,🟢 黃金標的,100.00%,100.00%,5.25%,1.64%,1,0.0,1.0,0.0525
00770.TW,國泰北美科技,無,58.9500007629,88.54,🟢 黃金標的,100.00%,100.00%,3.39%,0.27%,1,0.0,1.0,0.0339
5225.TW,東科-KY,無,76.5999984741,38.24,🟢 黃金標的,100.00%,100.00%,6.97%,0.00%,1,0.0,1.0,0.0697
7704.TWO,明遠精密,無,65.0999984741,63.77,🟢 黃金標的,0.00%,100.00%,4.56%,-3.91%,1,0.0,1.0,0.0456
6441.TWO,廣錠,無,29.3999996185,76.12,🟢 黃金標的,100.00%,100.00%,9.13%,-3.91%,1,0.0,1.0,0.0913
3131.TWO,弘塑,無,2950.0,42.47,🟢 黃金標的,50.00%,100.00%,10.09%,-2.42%,6,0.0,1.0,0.1009
5386.TWO,青雲,無,379.0,57.49,🟢 黃金標的,85.71%,100.00%,35.74%,-1.85%,7,0.0,1.0,0.3574
6680.TWO,鑫創電子,無,52.7000007629,42.61,🟢 黃金標的,100.00%,100.00%,10.64%,-0.94%,1,0.0,1.0,0.1064
6542.TWO,隆中,無,49.0,28.5,🟢 黃金標的,100.00%,100.00%,5.29%,0.56%,2,0.0,1.0,0.0529
00640L.TW,富邦日本正2,無,90.8499984741,44.59,🟢 黃金標的,100.00%,100.00%,7.52%,5.23%,1,0.0,1.0,0.0752
1471.TW,首利,無,11.3000001907,40.54,🟢 黃金標的,100.00%,100.00%,8.91%,8.33%,2,0.0,1.0,0.0891
1452.TW,宏益,無,11.3999996185,25.0,🟢 黃金標的,100.00%,100.00%,3.88%,-1.72%,1,0.0,1.0,0.0388
00987A.TW,主動台新優勢成長,無,16.4599990845,86.98,🟢 黃金標的,100.00%,100.00%,5.78%,-0.48%,3,0.0,1.0,0.0578
00910.TW,第一金太空衛星,無,64.3499984741,45.85,🟢 黃金標的,100.00%,100.00%,7.38%,1.67%,2,0.0,1.0,0.0738
00985A.TW,主動野村台灣50,無,19.9200000763,86.86,🟢 黃金標的,100.00%,100.00%,3.32%,-0.43%,3,0.0,1.0,0.0332
2610.TW,華航,無,17.8999996185,43.75,🟢 黃金標的,83.33%,100.00%,3.43%,-0.79%,6,0.0,1.0,0.0343
00981A.TW,主動統一台股增長,無,28.2800006866,90.68,🟢 黃金標的,66.67%,100.00%,7.03%,-0.90%,3,0.0,1.0,0.0703
3702.TW,大聯大,無,101.0,67.4,🟢 黃金標的,66.67%,100.00%,3.64%,-2.60%,6,0.0,1.0,0.0364
2468.TW,華經,無,33.5,47.83,🟢 黃金標的,0.00%,100.00%,3.94%,-6.11%,1,0.0,1.0,0.0394
6949.TW,沛爾生醫-創,無,771.0,65.05,🟢 黃金標的,85.71%,100.00%,19.12%,0.26%,7,0.0,1.0,0.1912
6547.TWO,高端疫苗,無,49.3499984741,29.84,🟢 黃金標的,100.00%,100.00%,7.34%,-6.61%,1,0.0,1.0,0.0734
3467.TWO,台灣精材,無,61.2999992371,75.57,🟢 黃金標的,100.00%,100.00%,18.95%,4.84%,1,0.0,1.0,0.1895
6220.TWO,岳豐,無,29.5499992371,29.19,🟢 黃金標的,60.00%,100.00%,5.70%,-1.89%,10,0.0,1.0,0.057
2429.TW,銘旺科,無,52.0999984741,70.11,🟢 黃金標的,100.00%,100.00%,19.30%,9.92%,1,0.0,1.0,0.193
4194.TWO,禾生技,無,7.7199997902,57.79,🟢 黃金標的,0.00%,100.00%,5.16%,-7.92%,1,0.0,1.0,0.0516
00670L.TW,富邦NASDAQ正2,無,177.6499938965,85.12,🟢 黃金標的,100.00%,100.00%,3.22%,0.09%,1,0.0,1.0,0.0322
2740.TWO,華軒,無,41.1500015259,62.67,🟢 黃金標的,80.00%,100.00%,19.73%,-3.95%,5,0.0,1.0,0.1973
3296.TW,勝德,無,19.5,11.54,🟢 黃金標的,0.00%,100.00%,3.67%,-0.41%,1,0.0,1.0,0.0367
3230.TWO,錦明,無,35.5,39.81,🟢 黃金標的,100.00%,100.00%,8.09%,-3.80%,1,0.0,1.0,0.0809
3491.TWO,昇達科,無,1550.0,29.77,🟢 黃金標的,75.00%,100.00%,9.52%,-1.02%,4,0.0,1.0,0.0952
5381.TWO,光譜,無,23.5,28.99,🟢 黃金標的,50.00%,100.00%,8.77%,-5.69%,2,0.0,1.0,0.0877
6891.TWO,樂迦再生,無,80.0999984741,81.17,🟢 黃金標的,100.00%,100.00%,42.42%,-5.57%,7,0.0,1.0,0.4242
3617.TW,碩天,無,186.5,64.0,🟢 黃金標的,100.00%,100.00%,3.72%,-0.27%,1,0.0,1.0,0.0372
3178.TWO,公準,無,72.3000030518,62.24,🟢 黃金標的,66.67%,100.00%,5.52%,-4.27%,3,0.0,1.0,0.0552
00905.TW,FT臺灣SMART,無,23.0599994659,87.64,🟢 黃金標的,80.00%,100.00%,3.38%,-0.57%,5,0.0,1.0,0.0338
7561.TWO,光晟生技,無,21.3500003815,39.34,🟢 黃金標的,0.00%,100.00%,12.36%,-3.37%,1,0.0,1.0,0.1236
6838.TW,台新藥,無,27.8999996185,30.72,🟢 黃金標的,75.00%,100.00%,7.04%,-0.92%,4,0.0,1.0,0.0704
1519.TW,華城,無,888.0,68.32,🟢 黃金標的,50.00%,100.00%,10.76%,-1.14%,2,0.0,1.0,0.1076
1235.TW,興泰,無,42.2000007629,43.49,🟢 黃金標的,100.00%,100.00%,5.47%,-0.23%,1,0.0,1.0,0.0547
00887.TWO,永豐中國科技50大,無,14.5799999237,87.5,🟢 黃金標的,100.00%,100.00%,3.87%,0.52%,1,0.0,1.0,0.0387
3711.TW,日月光投控,無,478.0,77.78,🟢 黃金標的,100.00%,100.00%,11.55%,1.04%,2,0.0,1.0,0.1155
1590.TW,亞德客-KY,無,1455.0,82.69,🟢 黃金標的,72.73%,90.91%,7.76%,-1.94%,11,0.0,0.9091,0.0776
8155.TWO,博智,無,416.0,72.49,🟢 黃金標的,80.00%,90.00%,10.10%,-1.99%,10,0.0,0.9,0.101
2360.TW,致茂,無,2120.0,65.02,🟢 黃金標的,44.44%,88.89%,3.32%,-3.92%,9,0.0,0.8889,0.0332
6285.TW,啟��,無,216.0,47.11,🟢 黃金標的,62.50%,87.50%,12.91%,-1.57%,8,0.0,0.875,0.1291
4956.TW,光鋐,無,47.25,65.49,🟢 黃金標的,62.50%,87.50%,6.18%,-5.08%,8,0.0,0.875,0.0618
3093.TWO,港建*,無,58.5,44.54,🟢 黃金標的,62.50%,87.50%,21.96%,-2.19%,8,0.0,0.875,0.2196
7856.TWO,漢測,無,3090.0,40.82,🟢 黃金標的,62.50%,87.50%,11.69%,-4.09%,8,0.0,0.875,0.1169
3576.TW,聯合再生,無,16.0,37.6,🟢 黃金標的,85.71%,85.71%,10.72%,-2.05%,7,0.0,0.8571,0.1072
8436.TWO,大江,無,118.5,35.42,🟢 黃金標的,100.00%,85.71%,7.95%,-1.01%,7,0.0,0.8571,0.0795
3105.TWO,穩懋,無,536.0,60.11,🟢 黃金標的,57.14%,85.71%,5.35%,-6.96%,7,0.0,0.8571,0.0535
2426.TW,鼎元,無,57.2999992371,63.3,🟢 黃金標的,85.71%,85.71%,34.34%,0.13%,7,0.0,0.8571,0.3434
6217.TWO,中探針,無,278.0,61.89,🟢 黃金標的,71.43%,85.71%,9.94%,-4.48%,7,0.0,0.8571,0.0994
6798.TWO,展逸,無,49.5,65.82,🟢 黃金標的,42.86%,85.71%,5.19%,-2.02%,7,0.0,0.8571,0.0519
7709.TWO,榮田,無,69.1999969482,44.91,🟢 黃金標的,85.71%,85.71%,15.10%,-1.74%,14,0.0,0.8571,0.151
6638.TWO,沅聖,無,44.8499984741,70.12,🟢 黃金標的,50.00%,83.33%,8.55%,-4.12%,6,0.0,0.8333,0.0855
3081.TWO,聯亞,無,2640.0,59.21,🟢 黃金標的,83.33%,83.33%,15.92%,-4.06%,6,0.0,0.8333,0.1592
6231.TWO,系微,無,309.5,64.89,🟢 黃金標的,83.33%,83.33%,9.98%,-1.59%,6,0.0,0.8333,0.0998
6515.TW,穎崴,無,10385.0,74.09,🟢 黃金標的,50.00%,83.33%,7.76%,-3.31%,6,0.0,0.8333,0.0776
6415.TW,矽力*-KY,無,427.0,79.09,🟢 黃金標的,50.00%,83.33%,6.65%,-1.85%,6,0.0,0.8333,0.0665
7742.TWO,天弘化,無,192.5,51.94,🟢 黃金標的,77.78%,83.33%,36.03%,-6.45%,18,0.0,0.8333,0.3603
