pe,eps,om,rev_yoy,prev_year,date,status,prev_eps,advice,symbol,gm,prev_eps_yoy,est_price,eps_yoy,price,name,prev_rev_yoy,expansion
0.0,1.74,25.89%,7.93,2025,2025-12,🔄 轉虧為盈,-0.9,⚪ 數據不足,1438.TW,29.82%,10.89,-2.4000000000000004,237.01,20.6000003815,三地開發,-98.23,229.07999999999998
9.829931843061223,3.41,248.16%,-20.46,2025,2025-12,🔄 轉虧為盈,-0.9,💎 強力關注,1456.TW,46.73%,15.89,22.050000000000004,207.21,14.4499998093,怡華,-26.31,227.67000000000002
31.100478468899524,1.74,14.09%,6.6,2025,2025-12,🚀 利潤擴張,0.47,⚠️ 追價風險,3530.TW,31.94%,-50.0,31.349999999999998,230.83,65.0,晶相光,-5.41,224.23000000000002
21.354166666666668,0.21,-1.87%,-13.63,2025,2025-12,🧐 疑業外收益,0.33,⚪ 中性觀察,2034.TW,5.45%,94.12,14.399999999999999,200.0,20.5,允強,-4.98,213.63
3.7274367542418774,1.72,9.56%,-1.28,2025,2025-12,🧐 疑業外收益,1.43,💎 強力關注,4167.TWO,30.12%,237.21,83.1,203.51,20.6499996185,松瑞藥,-6.23,204.79
7.911963710406321,2.51,14.38%,12.21,2025,2025-12,🚀 利潤擴張,1.0,💎 強力關注,4744.TWO,42.43%,400.0,66.44999999999999,216.0,35.0499992371,皇將,14.04,203.79
68.42105263157895,1.58,N/A,20.92,2025,2025-12,🚀 利潤擴張,0.23,⚠️ 追價風險,6902.TW,N/A,119.47,31.349999999999998,222.58,143.0,GOGOLOOK,20.7,201.66000000000003
5.342290467050543,13.38,-7.46%,12.25,2025,2025-12,🚀 利潤擴張,10.81,💎 強力關注,2316.TW,5.71%,260.07,468.90000000000003,212.47,167.0,楠梓電,8.72,200.22
26.962964093259263,0.7,10.64%,29.92,2025,2025-12,🚀 利潤擴張,0.31,⚠️ 追價風險,1796.TWO,31.84%,150.0,20.249999999999996,229.63,36.4000015259,金穎生技,36.52,199.70999999999998
20.381231671554254,1.58,N/A,8.46,2025,2025-12,🚀 利潤擴張,1.18,⚪ 中性觀察,6840.TWO,N/A,76.12,51.15,205.88,69.5,東研信超,5.51,197.42
41.666666666666664,0.51,-10.81%,-7.75,2025,2025-12,🧐 疑業外收益,0.55,⚠️ 追價風險,3191.TWO,29.43%,219.57,7.2,189.47,20.0,雲嘉南,-1.51,197.22
16.410891844504956,2.01,1.71%,2.05,2025,2025-12,🚀 利潤擴張,1.14,⚪ 中性觀察,3048.TW,3.50%,153.27,60.59999999999999,195.71,66.3000030518,益登,5.31,193.66
24.122807017543863,0.76,N/A,22.23,2025,2025-12,🚀 利潤擴張,0.62,⚠️ 追價風險,6202.TW,N/A,191.04,34.199999999999996,213.64,55.0,盛群,31.27,191.41
0.0,0.41,3.38%,3.52,2025,2025-12,🔄 轉虧為盈,-0.25,⚪ 數據不足,2413.TW,17.05%,62.12,-9.6,193.18,51.0999984741,環科,8.02,189.66
1049.999999999999,0.04,-14.33%,-87.0,2025,2025-12,🧐 疑業外收益,0.1,⚠️ 追價風險,1516.TW,5.36%,-70.59,0.30000000000000027,100.65,21.0,川飛,-90.58,187.65
13.333333333333334,1.82,N/A,18.84,2025,2025-12,🚀 利潤擴張,1.2,✅ 穩健價值,6112.TW,N/A,-3.23,56.25,203.33,50.0,邁達特,20.56,184.49
21.7567572722973,1.14,N/A,6.56,2025,2025-12,🔄 轉虧為盈,-0.04,⚪ 中性觀察,6246.TWO,N/A,97.79,11.099999999999998,186.36,16.1000003815,臺龍,11.15,179.8
7.7551021520262395,3.67,21.37%,2.54,2025,2025-12,🚀 利潤擴張,2.44,💎 強力關注,4746.TW,41.59%,39.43,102.89999999999999,180.15,53.2000007629,台耀,4.96,177.61
2.5504586456055045,6.42,-11.23%,70.72,2025,2025-12,🚀 利潤擴張,7.31,💎 強力關注,3609.TWO,8.05%,314.37,163.5,248.27,27.7999992371,三一東林,27.17,177.55
11.666666943115942,1.23,N/A,-13.43,2025,2025-12,🧐 疑業外收益,1.61,💎 強力關注,6573.TW,N/A,228.8,20.7,163.4,16.1000003815,虹揚-KY,-11.95,176.83
16.795774647887324,6.58,N/A,23.89,2025,2025-12,🚀 利潤擴張,4.25,⚪ 中性觀察,6719.TW,N/A,89.73,213.00000000000003,198.64,238.5,力智,22.77,174.75
37.79999923705001,0.47,N/A,-1.13,2025,2025-12,🧐 疑業外收益,0.91,⚠️ 追價風險,6127.TWO,N/A,275.0,29.999999999999996,173.44,75.5999984741,九豪,-0.97,174.57
26.484848947212118,0.92,14.30%,-3.75,2025,2025-12,🧐 疑業外收益,0.49,⚠️ 追價風險,4556.TWO,42.07%,172.22,24.750000000000004,170.59,43.7000007629,旭然,-8.55,174.34
16.055555343666665,0.53,N/A,5.62,2025,2025-12,🚀 利潤擴張,0.09,⚪ 中性觀察,5703.TWO,N/A,175.0,13.5,178.95,14.4499998093,亞都,4.04,173.32999999999998
57.82894837230262,0.92,N/A,50.65,2025,2025-12,🚀 利潤擴張,0.49,⚠️ 追價風險,6209.TW,N/A,190.57,22.800000000000004,222.67,87.9000015259,今國光,39.08,172.01999999999998
27.4660636936199,0.89,N/A,12.23,2025,2025-12,🚀 利潤擴張,0.81,⚠️ 追價風險,6841.TWO,N/A,1700.0,33.150000000000006,183.87,60.7000007629,長佳智能,2.1,171.64000000000001
