prev_eps,symbol,prev_year,eps_yoy,rev_yoy,est_price,expansion,om,name,eps,status,pe,date,gm,advice,prev_eps_yoy,prev_rev_yoy,price
0.15,4711.TWO,2025,2200.0,974.97,7.65,1225.03,2.47%,永純,0.23,🚀 利潤擴張,31.27450943,2026-03,14.61%,⚠️ 追價風險,50.0,-4.5,15.9499998093
0.09,1718.TW,2025,1300.0,142.36,6.15,1157.6399999999999,18.72%,中纖,0.17,🚀 利潤擴張,24.17073133512195,2026-03,41.46%,⚠️ 追價風險,250.0,-0.24,9.9099998474
1.52,3219.TWO,2025,1275.0,120.91,67.5,1154.09,-15.39%,倚強科,0.48,🏰 高護城河,15.42222256131111,2026-03,69.49%,✅ 穩健價值,406.67,49.68,69.4000015259
0.31,5291.TWO,2025,1600.0,536.39,11.1,1063.6100000000001,N/A,邑昇,0.17,🚀 利潤擴張,75.81080874878378,2026-03,N/A,⚠️ 追價風險,-17.95,9.81,56.0999984741
3.45,3025.TW,2025,1100.0,117.67,78.44999999999999,982.33,43.45%,星通,0.6,🏰 高護城河,10.229445506692162,2026-03,68.55%,💎 強力關注,-6.25,4.27,53.5
13.06,4967.TW,2025,2600.0,1792.89,669.75,807.1099999999999,N/A,十銓,27.0,🚀 利潤擴張,6.270996640537514,2026-03,N/A,💎 強力關注,110.31,2.46,280.0
1.23,2359.TW,2025,1014.29,280.55,17.699999999999996,733.74,2.82%,所羅門,0.78,🚀 利潤擴張,121.61016949152545,2026-03,24.10%,⚠️ 追價風險,46.43,21.27,143.5
-4.39,1762.TW,2025,1211.11,496.76,-85.05,714.3499999999999,-143.69%,中化生,1.64,🔄 轉虧為盈,0.0,2026-03,-78.82%,⚪ 數據不足,-566.18,-40.26,35.75
0.87,3006.TW,2025,2666.67,2018.02,36.29999999999999,648.6500000000001,20.25%,晶豪科,7.22,🚀 利潤擴張,105.99173553719011,2026-03,32.33%,⚠️ 追價風險,-51.41,8.08,256.5
-0.84,2464.TW,2025,1100.0,510.23,-26.55,589.77,-3.37%,盟立,0.24,🔄 轉虧為盈,0.0,2026-03,17.62%,⚪ 數據不足,-266.0,-10.95,173.5
12.98,2451.TW,2025,2067.82,1484.6,586.95,583.2200000000003,55.59%,創見,18.93,🏰 高護城河,7.59008433427038,2026-03,61.62%,💎 強力關注,140.33,69.84,297.0
-0.07,3521.TWO,2025,806.67,224.53,29.400000000000006,582.14,-147.39%,台鋼建設,2.12,🔄 轉虧為盈,6.249999999999999,2026-03,-40.24%,💎 強力關注,89.09,58.31,12.25
1.01,2101.TW,2025,1763.64,1184.49,30.6,579.1500000000001,4.39%,南港,1.86,🚀 利潤擴張,17.401960784313726,2026-03,20.96%,⚪ 中性觀察,-68.84,-44.61,35.5
-1.02,4510.TWO,2025,1100.0,543.13,-36.6,556.87,-1.97%,高鋒,0.2,🔄 轉虧為盈,0.0,2026-03,14.87%,⚪ 數據不足,-197.14,-2.21,40.0999984741
0.7,3285.TWO,2025,1200.0,688.27,15.75,511.73,8.69%,微端,0.26,🚀 利潤擴張,37.52381097704762,2026-03,28.61%,⚠️ 追價風險,-40.68,-19.66,39.4000015259
1.58,6902.TW,2025,530.77,43.25,52.05,487.52,N/A,GOGOLOOK,1.64,🚀 利潤擴張,34.726224783861674,2026-03,N/A,⚠️ 追價風險,222.58,20.92,120.5
-0.16,6241.TWO,2025,820.0,335.75,-7.499999999999999,484.25,N/A,鑫永洋,0.46,🔄 轉虧為盈,0.0,2026-03,N/A,⚪ 數據不足,74.6,5.06,15.8500003815
0.31,8440.TWO,2025,1200.0,727.58,8.850000000000001,472.41999999999996,N/A,綠電,0.22,🚀 利潤擴張,33.13559192728813,2026-03,N/A,⚠️ 追價風險,-42.59,-6.1,19.5499992371
2.72,4590.TW,2025,418.92,-25.82,0.0,444.74,-0.34%,富田-創,1.21,🧐 疑業外收益,0.0,2026-03,30.54%,⚪ 數據不足,-1.45,-41.11,83.0999984741
0.49,2302.TW,2025,600.0,187.7,17.400000000000002,412.3,11.05%,麗正,0.25,🚀 利潤擴張,36.98275993612069,2026-03,36.04%,⚠️ 追價風險,-34.67,11.66,42.9000015259
0.88,2344.TW,2025,1037.5,646.87,40.8,390.63,15.37%,華邦電,2.25,🚀 利潤擴張,60.110294117647065,2026-03,41.86%,⚠️ 追價風險,576.92,9.55,163.5
1.44,6908.TW,2025,387.5,6.45,0.0,381.05,N/A,宏�砦C戲-創,0.41,🚀 利潤擴張,0.0,2026-03,N/A,⚪ 數據不足,5.88,28.36,32.2999992371
2.19,6716.TWO,2025,715.79,359.78,81.60000000000001,356.01,N/A,應廣,1.59,🚀 利潤擴張,17.591911203713234,2026-03,N/A,⚪ 中性觀察,-49.65,-15.3,95.6999969482
0.73,5210.TWO,2025,380.0,37.41,19.499999999999996,342.59000000000003,N/A,寶碩,0.24,🚀 利潤擴張,21.730769230769234,2026-03,N/A,⚪ 中性觀察,207.35,9.95,28.25
-0.2,5228.TWO,2025,1090.0,750.53,-8.4,339.47,N/A,鈺鎧,0.99,🔄 轉虧為盈,0.0,2026-03,N/A,⚪ 數據不足,90.52,25.85,40.25
2.35,2754.TWO,2025,517.65,179.43,92.55,338.21999999999997,N/A,亞洲藏壽司,1.42,🚀 利潤擴張,11.52350056306321,2026-03,N/A,💎 強力關注,1.73,5.96,71.0999984741
0.92,4556.TWO,2025,550.0,237.41,26.4,312.59000000000003,14.30%,旭然,0.13,🚀 利潤擴張,47.15909090909091,2026-03,42.07%,⚠️ 追價風險,170.59,-3.75,83.0
0.57,3071.TWO,2025,650.0,343.32,25.95,306.68,7.94%,協禧,0.15,🚀 利潤擴張,15.028901734104046,2026-03,30.11%,✅ 穩健價值,-29.63,-5.82,26.0
41.98,8299.TWO,2025,1143.3,849.86,2097.2999999999997,293.43999999999994,N/A,群聯,68.8,🚀 利潤擴張,14.447146330996997,2026-03,N/A,✅ 穩健價值,3.78,23.29,2020.0
-0.43,6615.TWO,2025,546.67,270.3,-2.2499999999999996,276.36999999999995,N/A,慧智,0.67,🔄 轉虧為盈,0.0,2026-03,N/A,⚪ 數據不足,-150.59,-14.91,34.0499992371
0.18,6282.TW,2025,640.0,371.03,-9.150000000000002,268.97,N/A,康舒,0.27,🚀 利潤擴張,0.0,2026-03,N/A,⚪ 數據不足,550.0,0.1,47.1500015259
-0.76,8489.TWO,2025,445.45,186.87,-20.1,258.58,N/A,三貝德,0.38,🔄 轉虧為盈,0.0,2026-03,N/A,⚪ 數據不足,55.83,5.03,22.8999996185
1.77,4916.TW,2025,701.79,473.51,120.3,228.27999999999997,8.07%,事欣科,4.49,🚀 利潤擴張,13.46633416458853,2026-03,18.73%,✅ 穩健價值,8050.0,0.89,108.0
0.88,4432.TWO,2025,518.75,292.4,44.1,226.35000000000002,N/A,銘旺實,2.97,🚀 利潤擴張,5.425170003163265,2026-03,N/A,💎 強力關注,-66.67,-3.15,15.9499998093
0.88,4702.TWO,2025,350.0,132.31,14.700000000000001,217.69,-88.29%,中美實,0.45,🚀 利潤擴張,9.836735044183673,2026-03,35.38%,💎 強力關注,51.72,-61.59,9.6400003433
13.25,8478.TW,2025,512.9,297.67,493.65000000000003,215.22999999999996,N/A,東哥遊艇,3.8,🚀 利潤擴張,4.6034639927073835,2026-03,N/A,💎 強力關注,33.97,5.83,151.5
1.65,1609.TW,2025,925.0,713.51,76.65,211.49,8.70%,大亞,0.66,🚀 利潤擴張,7.250489087495108,2026-03,13.61%,💎 強力關注,-21.15,3.39,37.0499992371
0.08,3717.TW,2025,213.33,26.54,0.0,186.79000000000002,7.12%,聯嘉投控,0.47,🚀 利潤擴張,0.0,2026-03,19.34%,⚪ 數據不足,-80.0,3.55,24.0499992371
-1.82,8084.TWO,2025,266.67,80.73,-43.199999999999996,185.94,N/A,巨虹,0.33,🔄 轉虧為盈,0.0,2026-03,N/A,⚪ 數據不足,-280.2,-10.9,44.4000015259
2.02,3290.TWO,2025,728.13,542.69,94.05,185.43999999999994,14.85%,東浦,2.65,🚀 利潤擴張,8.532695374800639,2026-03,30.40%,💎 強力關注,25.64,18.23,53.5
-0.17,5460.TWO,2025,550.0,385.95,-7.95,164.05,N/A,同協,0.09,🔄 轉虧為盈,0.0,2026-03,N/A,⚪ 數據不足,-177.27,-15.68,15.8500003815
1.54,4582.TWO,2025,276.67,116.02,0.0,160.65000000000003,N/A,未知,0.53,🚀 利潤擴張,0.0,2026-03,N/A,⚪ 數據不足,1640.0,32.98,0.0
1.54,4582.TW,2025,276.67,116.02,0.0,160.65000000000003,N/A,聚恆-創,0.53,🚀 利潤擴張,0.0,2026-03,N/A,⚪ 數據不足,1640.0,32.98,29.0
-0.25,2426.TW,2025,700.0,542.01,-6.6,157.99,-2.91%,鼎元,0.06,🔄 轉虧為盈,0.0,2026-03,10.78%,⚪ 數據不足,-219.05,-2.43,67.8000030518
-0.19,2417.TW,2025,264.29,108.24,-25.049999999999997,156.05,8.42%,圓剛,0.28,🔄 轉虧為盈,0.0,2026-03,56.31%,⚪ 數據不足,54.55,2.69,42.9500007629
-0.29,9934.TW,2025,366.67,214.33,1.050000000000001,152.34,N/A,成霖,0.28,🔄 轉虧為盈,156.42856870428557,2026-03,N/A,⚠️ 追價風險,-125.22,-4.25,10.9499998093
1.09,2732.TWO,2025,323.08,180.76,32.250000000000014,142.32,N/A,六角,1.1,🚀 利潤擴張,29.767441860465105,2026-03,N/A,⚠️ 追價風險,-77.02,7.13,64.0
2.88,6569.TWO,2025,442.11,307.94,96.15,134.17000000000002,N/A,醫揚,1.03,🚀 利潤擴張,15.257410772511701,2026-03,N/A,✅ 穩健價值,-38.68,5.8,97.8000030518
2.35,6166.TW,2025,406.45,273.28,85.05,133.17000000000002,N/A,凌華,1.57,🚀 利潤擴張,24.867724867724867,2026-03,N/A,⚠️ 追價風險,921.74,17.09,141.0
4.66,3081.TWO,2025,645.65,515.18,183.0,130.47000000000003,41.27%,聯亞,3.44,🏰 高護城河,188.9344262295082,2026-03,54.76%,⚠️ 追價風險,884.75,82.29,2305.0
6.21,3356.TW,2025,228.49,113.17,172.05,115.32000000000001,N/A,奇偶,2.21,🚀 利潤擴張,4.864864798352223,2026-03,N/A,💎 強力關注,-20.59,-14.96,55.7999992371
0.33,6735.TWO,2025,383.33,268.59,-7.200000000000001,114.74000000000001,N/A,美達科技,0.29,🚀 利潤擴張,0.0,2026-03,N/A,⚪ 數據不足,-84.51,-4.81,65.6999969482
-1.63,2601.TW,2025,87.5,-21.56,-33.6,109.06,-12.62%,益航,-0.02,🏰 高護城河,0.0,2026-03,102.69%,⚪ 數據不足,-365.71,-7.78,6.25
1.73,7730.TW,2025,270.0,161.56,50.699999999999996,108.44,N/A,暉盛-創,0.37,🚀 利潤擴張,45.26627218934912,2026-03,N/A,⚠️ 追價風險,-45.51,-5.33,153.0
2.15,2911.TW,2025,163.46,67.27,-40.05,96.19000000000001,N/A,麗嬰房,0.66,🚀 利潤擴張,0.0,2026-03,N/A,⚪ 數據不足,152.83,-16.81,6.8000001907
0.43,3083.TWO,2025,150.0,57.36,13.05,92.64,12.73%,網龍,0.3,🏰 高護城河,29.252874440114944,2026-03,87.57%,⚠️ 追價風險,-46.91,-7.4,25.4500007629
1.39,6931.TW,2025,1080.0,990.52,44.550000000000004,89.48000000000002,N/A,青松健康,0.49,🚀 利潤擴張,12.777778034646463,2026-03,N/A,✅ 穩健價值,104.41,14.16,37.9500007629
-0.84,1599.TWO,2025,575.0,486.21,-24.299999999999994,88.79000000000002,-21.33%,宏佳騰,0.28,🔄 轉虧為盈,0.0,2026-03,16.92%,⚪ 數據不足,-169.49,-18.58,23.7999992371
-0.61,4147.TWO,2025,166.67,81.97,-18.3,84.69999999999999,-58.34%,中裕,0.06,🔄 轉虧為盈,0.0,2026-03,28.91%,⚪ 數據不足,17.57,0.19,56.7999992371
2.41,1339.TW,2025,186.6,102.97,97.8,83.63,13.17%,昭輝,2.78,🚀 利潤擴張,6.901840490797547,2026-03,33.66%,💎 強力關注,-51.9,-14.02,45.0
3.02,2436.TW,2025,392.86,309.82,81.9,83.04000000000002,3.76%,偉詮電,0.7,🚀 利潤擴張,11.282051002582417,2026-03,30.84%,💎 強力關注,78.06,15.32,61.5999984741
1.11,6756.TW,2025,178.26,97.11,45.449999999999996,81.14999999999999,N/A,威鋒電子,0.64,🚀 利潤擴張,32.83828382838284,2026-03,N/A,⚠️ 追價風險,-50.67,-8.83,99.5
1.97,3546.TWO,2025,136.36,62.07,77.99999999999999,74.29000000000002,20.17%,宇峻,2.34,🏰 高護城河,14.346153552711542,2026-03,89.44%,✅ 穩健價值,-64.44,2.09,74.5999984741
-1.49,7823.TW,2025,99.93,26.64,0.0,73.29,N/A,奧義賽博-KY創,-0.15,🚀 利潤擴張,0.0,2026-03,N/A,⚪ 數據不足,96.29,22.72,85.0999984741
-2.43,6169.TWO,2025,-25.93,-97.71,-96.44999999999999,71.78,N/A,昱泉,-0.68,🌑 雙重衰退,0.0,2026-03,N/A,⚪ 數據不足,-99.18,19.25,12.8000001907
0.14,8354.TWO,2025,650.0,578.38,-17.549999999999997,71.62,N/A,冠好,0.3,🚀 利潤擴張,0.0,2026-03,N/A,⚪ 數據不足,-91.14,0.63,15.1499996185
2.76,4905.TWO,2025,386.11,315.9,71.25,70.21000000000004,0.20%,台聯電,1.75,🚀 利潤擴張,14.021052310336843,2026-03,25.49%,✅ 穩健價值,-5.15,22.56,66.5999984741
6.33,7828.TWO,2025,121.74,51.84,0.0,69.89999999999999,N/A,創新服務,1.02,🚀 利潤擴張,0.0,2026-03,N/A,⚪ 數據不足,44.08,76.4,1710.0
0.63,2889.TW,2025,127.27,58.58,22.95,68.69,38.94%,國票金,0.25,🏰 高護城河,10.000000124640524,2026-03,90.85%,💎 強力關注,3.28,4.6,15.3000001907
7.13,4137.TW,2025,107.35,40.15,257.1,67.19999999999999,20.98%,麗豐-KY,1.41,🏰 高護城河,5.57759617701867,2026-03,82.18%,💎 強力關注,24.43,-4.63,95.5999984741
-0.38,3632.TWO,2025,175.0,110.52,-15.3,64.48,3.73%,研勤,0.06,🔄 轉虧為盈,0.0,2026-03,54.59%,⚪ 數據不足,-31.03,-28.72,8.0
2.43,6986.TWO,2025,106.9,42.91,0.0,63.99000000000001,N/A,和迅,0.6,🚀 利潤擴張,0.0,2026-03,N/A,⚪ 數據不足,-24.06,2.38,44.0999984741
-1.28,4562.TW,2025,175.0,111.03,-38.1,63.97,-45.46%,穎漢,0.11,🔄 轉虧為盈,0.0,2026-03,31.44%,⚪ 數據不足,-184.44,-7.78,32.5999984741
-3.51,3064.TWO,2025,62.5,-1.0,0.0,63.5,-55.72%,泰偉,-0.27,🏰 高護城河,0.0,2026-03,93.22%,⚪ 數據不足,-7120.0,-29.69,0.0
2.64,6005.TW,2025,235.0,171.79,101.7,63.21000000000001,N/A,群益證,1.34,🚀 利潤擴張,4.992625143672566,2026-03,N/A,💎 強力關注,17.33,12.14,33.8499984741
0.58,1533.TW,2025,500.0,438.18,10.049999999999997,61.81999999999999,N/A,車王電,0.84,🚀 利潤擴張,49.92537427298508,2026-03,N/A,⚠️ 追價風險,152.25,19.69,33.4500007629
0.74,1904.TW,2025,600.0,538.23,22.5,61.76999999999998,7.12%,正隆,0.56,🚀 利潤擴張,15.1999994914,2026-03,20.98%,✅ 穩健價值,34.55,-4.85,22.7999992371
2.52,6208.TWO,2025,206.45,150.03,113.85,56.41999999999999,N/A,日揚,1.9,🚀 利潤擴張,10.737812911725955,2026-03,N/A,💎 強力關注,-26.32,-4.59,81.5
1.19,4747.TWO,2025,204.17,148.33,72.30000000000001,55.839999999999975,N/A,強生,1.46,🚀 利潤擴張,10.331950049190871,2026-03,N/A,💎 強力關注,-36.9,-6.81,49.7999992371
-0.6,8040.TWO,2025,244.44,189.01,-18.45,55.43000000000001,N/A,九暘,0.13,🔄 轉虧為盈,0.0,2026-03,N/A,⚪ 數據不足,49.15,2.65,73.0
12.33,4123.TWO,2025,239.47,185.42,273.29999999999995,54.05000000000001,-106.23%,晟德,2.62,🚀 利潤擴張,2.145993330082327,2026-03,41.95%,💎 強力關注,905.92,-6.28,39.0999984741
-3.92,6934.TW,2025,-2.96,-55.48,0.0,52.519999999999996,N/A,心誠鎂,-1.43,🌑 雙重衰退,0.0,2026-03,N/A,⚪ 數據不足,-48.08,-29.22,72.3000030518
6.82,6574.TWO,2025,147.37,95.63,252.6,51.74000000000001,N/A,霈方,3.29,🚀 利潤擴張,8.31353919239905,2026-03,N/A,💎 強力關注,66.34,6.51,140.0
13.04,7711.TW,2025,139.49,91.93,0.0,47.56,N/A,永擎,7.68,🚀 利潤擴張,0.0,2026-03,N/A,⚪ 數據不足,38.44,182.72,0.0
1.5,3287.TWO,2025,406.06,359.48,31.8,46.579999999999984,N/A,廣寰科,1.01,🚀 利潤擴張,13.962264330896225,2026-03,N/A,✅ 穩健價值,-36.17,23.54,29.6000003815
5.29,9949.TWO,2025,112.5,66.65,146.54999999999998,45.849999999999994,N/A,琉園,0.03,🚀 利潤擴張,2.410440044738997,2026-03,N/A,💎 強力關注,544.54,-17.0,23.5499992371
4.85,6620.TWO,2025,55.17,15.93,172.35,39.24,N/A,漢達,0.46,🚀 利潤擴張,7.354221061792863,2026-03,N/A,💎 強力關注,31.64,108.17,84.5
0.12,2388.TW,2025,300.0,264.14,-30.6,35.860000000000014,-8.17%,威盛,0.08,🚀 利潤擴張,0.0,2026-03,20.64%,⚪ 數據不足,-93.75,-40.0,77.9000015259
2.15,3556.TWO,2025,190.24,156.04,81.9,34.20000000000002,14.95%,禾瑞亞,1.19,🏰 高護城河,11.684981545256411,2026-03,50.66%,💎 強力關注,-5.7,1.24,63.7999992371
2.99,7821.TW,2025,42.62,10.24,0.0,32.379999999999995,N/A,神數,0.87,🚀 利潤擴張,0.0,2026-03,N/A,⚪ 數據不足,91.67,19.28,40.5999984741
7.56,2072.TWO,2025,34.92,6.33,0.0,28.590000000000003,30.89%,未知,11.94,🚀 利潤擴張,0.0,2025-12,35.24%,⚪ 數據不足,-17.2,15.19,0.0
-1.89,6794.TW,2025,23.4,-3.86,-70.05,27.259999999999998,N/A,向榮生技,-0.36,🧐 疑業外收益,0.0,2026-03,N/A,⚪ 數據不足,-13.21,-5.58,74.4000015259
-0.45,1467.TW,2025,450.0,422.96,-28.950000000000003,27.04000000000002,1.90%,南緯,0.11,🔄 轉虧為盈,0.0,2026-03,23.39%,⚪ 數據不足,-197.83,2.23,9.8500003815
3.24,7768.TW,2025,42.86,16.63,0.0,26.23,N/A,頌勝科技,1.62,🚀 利潤擴張,0.0,2026-03,N/A,⚪ 數據不足,-27.83,3.08,257.0
3.24,7768.TWO,2025,42.86,16.63,0.0,26.23,N/A,未知,1.62,🚀 利潤擴張,0.0,2026-03,N/A,⚪ 數據不足,-27.83,3.08,0.0
13.61,1623.TW,2025,38.11,12.42,0.0,25.689999999999998,16.93%,大東電,4.33,🚀 利潤擴張,0.0,2026-03,21.29%,⚪ 數據不足,11.37,20.5,0.0
2.74,2885.TW,2025,83.05,62.36,105.6,20.689999999999998,33.03%,元大金,1.08,🏰 高護城河,9.616476839232954,2026-03,80.00%,💎 強力關注,-1.08,6.4,67.6999969482
0.85,5604.TWO,2025,45.45,25.49,33.45,19.960000000000004,N/A,中連,0.32,🚀 利潤擴張,13.67713004484305,2026-03,N/A,✅ 穩健價值,-66.0,0.36,30.5
0.76,6015.TWO,2025,470.83,451.29,24.599999999999998,19.539999999999964,N/A,宏遠證,0.89,🚀 利潤擴張,9.329268408963415,2026-03,N/A,💎 強力關注,-11.63,0.56,15.3000001907
-0.61,5202.TWO,2025,45.71,26.81,-30.900000000000002,18.900000000000002,N/A,力新,-0.19,🚀 利潤擴張,0.0,2026-03,N/A,⚪ 數據不足,-134.86,-8.35,12.25
1.9,2880.TW,2025,41.03,22.97,70.8,18.060000000000002,45.93%,華南金,0.55,🏰 高護城河,9.406779984300849,2026-03,97.25%,💎 強力關注,13.1,4.06,44.4000015259
0.81,3581.TWO,2025,234.78,216.8,9.75,17.97999999999999,8.13%,博磊,0.31,🚀 利潤擴張,170.0,2026-03,31.93%,⚠️ 追價風險,35.0,13.9,110.5
0.68,2836.TW,2025,33.33,16.1,25.200000000000003,17.229999999999997,32.37%,高雄銀,0.2,🏰 高護城河,7.0535716556547605,2026-03,89.95%,💎 強力關注,28.3,14.52,11.8500003815
0.15,4991.TWO,2025,331.43,316.27,11.999999999999998,15.160000000000025,N/A,環宇-KY,1.67,🚀 利潤擴張,581.25,2026-03,N/A,⚠️ 追價風險,107.11,25.43,465.0
2.91,7819.TWO,2025,10.53,-1.82,0.0,12.35,N/A,精誠金融,0.42,🧐 疑業外收益,0.0,2026-03,N/A,⚪ 數據不足,14.12,10.14,34.7999992371
1.74,2883.TW,2025,34.04,22.04,57.14999999999999,12.0,39.14%,凱基金,0.69,🏰 高護城河,8.097112961023623,2026-03,78.38%,💎 強力關注,-10.99,-12.26,30.8500003815
-2.92,6657.TW,2025,52.29,41.94,-109.2,10.350000000000001,N/A,華安,-0.53,🚀 利潤擴張,0.0,2026-03,N/A,⚪ 數據不足,-14.12,-0.97,31.2000007629
25.6,3529.TWO,2025,29.13,19.99,947.7,9.14,60.64%,力旺,7.98,🏰 高護城河,43.13073757518202,2026-03,100.00%,⚠️ 追價風險,4.19,6.74,2725.0
-0.43,1236.TW,2025,283.33,274.7,-14.25,8.629999999999995,-4.59%,宏亞,0.23,🔄 轉虧為盈,0.0,2026-03,24.77%,⚪ 數據不足,-53.57,-8.31,25.5
-3.35,1598.TW,2025,153.49,145.6,-89.10000000000001,7.890000000000015,-13.99%,岱宇,0.25,🔄 轉虧為盈,0.0,2026-03,27.77%,⚪ 數據不足,-827.91,-15.19,20.2999992371
4.66,8272.TWO,2025,56.0,48.18,136.05,7.82,N/A,全景軟體,0.39,🚀 利潤擴張,7.100330928985667,2026-03,N/A,✅ 穩健價值,24.93,15.86,64.4000015259
0.38,2901.TW,2025,37.5,30.02,13.5,7.48,20.24%,欣欣,0.11,🏰 高護城河,26.666666666666664,2026-03,84.77%,⚠️ 追價風險,-7.32,-2.15,24.0
-0.92,4178.TWO,2025,-5.56,-11.29,0.0,5.7299999999999995,N/A,未知,-0.19,🌑 雙重衰退,0.0,2026-03,N/A,⚪ 數據不足,14.95,-3.6,0.0
-0.92,4178.TW,2025,-5.56,-11.29,0.0,5.7299999999999995,N/A,永笙-KY,-0.19,🌑 雙重衰退,0.0,2026-03,N/A,⚪ 數據不足,14.95,-3.6,18.3999996185
0.99,6195.TWO,2025,114.29,109.17,63.6,5.1200000000000045,N/A,詩肯,1.5,🚀 利潤擴張,6.403301796816038,2026-03,N/A,✅ 穩健價值,-38.13,-3.57,27.1499996185
2.36,2886.TW,2025,16.67,12.57,91.94999999999999,4.100000000000001,33.61%,兆豐金,0.63,🏰 高護城河,8.30342602380098,2026-03,83.45%,✅ 穩健價值,0.85,-1.77,50.9000015259
0.25,3094.TW,2025,16.67,12.87,7.35,3.8000000000000025,-7.29%,聯傑,0.07,🏰 高護城河,71.1224458655102,2026-03,73.82%,⚠️ 追價風險,41.18,13.2,34.8499984741
-0.43,4939.TWO,2025,300.0,296.51,-22.2,3.490000000000009,N/A,亞電,0.24,🔄 轉虧為盈,0.0,2026-03,N/A,⚪ 數據不足,-326.32,-8.05,60.7999992371
2.56,7839.TWO,2025,5.8,2.45,0.0,3.3499999999999996,N/A,達人網,0.73,🚀 利潤擴張,0.0,2026-03,N/A,⚪ 數據不足,18.52,8.14,45.0
0.58,7777.TWO,2025,35.9,32.83,12.149999999999999,3.0700000000000003,N/A,能率亞洲,-0.25,🚀 利潤擴張,49.81481293098766,2026-03,N/A,⚠️ 追價風險,-16.92,15.88,40.3499984741
2.35,2941.TWO,2025,71.15,68.9,0.0,2.25,2.03%,米斯特,0.89,🏰 高護城河,0.0,2026-03,64.17%,⚪ 數據不足,-27.47,12.71,0.0
0.61,2897.TW,2025,38.89,36.86,26.1,2.030000000000001,32.72%,王道銀行,0.28,🏰 高護城河,5.83333311408046,2026-03,91.47%,✅ 穩健價值,-35.48,-2.09,10.1499996185
-1.59,4190.TW,2025,43.18,42.24,-73.20000000000002,0.9399999999999977,N/A,佐登-KY,-0.26,🚀 利潤擴張,0.0,2026-03,N/A,⚪ 數據不足,67.52,1.27,25.5
