股票代號,前第5天,前第4天,前第3天,前第2天,前第1天,後第1天,後第2天,後第3+天,後第4天,後第5天
1313.TW,+5.37%,+1.16%,+0.46%,+1.82%,-2.68%,-2.68%,-1.38%,-1.17%,+0.94%,+1.17%
3450.TW,+0.38%,+1.52%,+1.87%,-1.29%,+0.19%,+0.19%,-2.04%,-0.19%,+0.57%,-0.38%
3003.TW,+4.38%,+0.47%,+1.39%,-1.15%,-0.12%,-0.12%,-3.13%,+0.00%,+0.96%,+0.12%
00688L.TW,-2.98%,-1.78%,+0.00%,+0.18%,-2.58%,-2.58%,+0.84%,-0.42%,-2.69%,+1.43%
4555.TW,+0.00%,+0.19%,+0.19%,+0.76%,+0.56%,+0.56%,+0.19%,+0.93%,+2.04%,+0.18%
2444.TW,+3.33%,+1.61%,+1.59%,-3.52%,+0.81%,+0.81%,-2.01%,-1.23%,+2.90%,-1.21%
2323.TW,+5.29%,+0.00%,+3.65%,-1.76%,-1.35%,-1.35%,-3.18%,+0.00%,+5.16%,-1.34%
2368.TW,+5.18%,+3.91%,-0.36%,-2.07%,+0.25%,+0.25%,+0.50%,-1.48%,+3.14%,-0.61%
1476.TW,-3.28%,+1.53%,+1.84%,+0.82%,-2.11%,-2.11%,-2.66%,+0.17%,+1.19%,-0.84%
3058.TW,+3.93%,+2.06%,+1.68%,-1.32%,-1.01%,-1.01%,-3.39%,+0.35%,+1.75%,+0.34%
9933.TW,+3.52%,-0.13%,+0.00%,+0.63%,+0.38%,+0.38%,+0.37%,+1.12%,+0.86%,+0.24%
6277.TW,-0.24%,+0.12%,+0.12%,-0.24%,-0.12%,-0.12%,-0.49%,+0.00%,+0.25%,+0.00%
5607.TW,+0.15%,+4.44%,-1.76%,-1.04%,+0.00%,+0.00%,-2.26%,-1.39%,-0.16%,-2.66%
6152.TW,+0.46%,+3.64%,+1.75%,-4.31%,-1.80%,-1.80%,-4.59%,-0.48%,+0.97%,-0.96%
2890.TW,+3.65%,+1.76%,+0.86%,-0.29%,-0.57%,-0.57%,+0.29%,-0.86%,+0.87%,+0.00%
2486.TW,+4.31%,+4.91%,+0.32%,+1.27%,+0.84%,+0.84%,-3.43%,+0.75%,+2.24%,+0.10%
2454.TW,+2.33%,-0.45%,+3.20%,+2.65%,-0.86%,-0.86%,-3.91%,-0.45%,+2.73%,+0.00%
00875.TW,+2.13%,+0.29%,+1.58%,+1.76%,-1.14%,-1.14%,-0.98%,-0.99%,+1.22%,-0.95%
6257.TW,+1.24%,+0.52%,+2.61%,+0.51%,-0.67%,-0.67%,-1.87%,+0.17%,+1.21%,+0.34%
6414.TW,+2.84%,+1.61%,+3.17%,-0.44%,-1.77%,-1.77%,-4.04%,-0.94%,+2.36%,-1.85%
4739.TW,+0.37%,+2.93%,+3.91%,-2.05%,+0.35%,+0.35%,+0.35%,-0.69%,+1.40%,-0.34%
1626.TW,+1.42%,+2.80%,-1.14%,-0.46%,-0.69%,-0.69%,+0.00%,-0.70%,+0.00%,+0.23%
2482.TW,+5.50%,+5.21%,+0.00%,-1.55%,+1.26%,+1.26%,-2.48%,+2.87%,+0.31%,-1.85%
6869.TW,-0.11%,-0.11%,+1.46%,-0.22%,-1.89%,-1.89%,-1.59%,+0.00%,+0.23%,-0.11%
3168.TW,+0.00%,+1.74%,+0.24%,+5.36%,+6.47%,+6.47%,-1.19%,+0.66%,+0.76%,+4.01%
2236.TW,+0.93%,-0.73%,-0.55%,+0.00%,-0.37%,-0.37%,+1.49%,-1.47%,-0.19%,-0.56%
1225.TW,+2.22%,+0.36%,+0.90%,+3.04%,+0.00%,+0.00%,+0.52%,+1.21%,+1.36%,+1.01%
