📈 回測總表 (起點: 2026-01-01)
--------------------------------------------------------------------------------
6925.TWO   | 次數: 1    | 勝率:   0.00% | 累計:   -1.07%
6285.TW    | 次數: 2    | 勝率: 100.00% | 累計:   68.21%
4744.TWO   | 次數: 3    | 勝率:  66.67% | 累計:   -9.73%
00642U.TW  | 次數: 2    | 勝率:  50.00% | 累計:   33.06%
6994.TW    | 次數: 3    | 勝率:   0.00% | 累計:  -28.31%
3576.TW    | 次數: 2    | 勝率: 100.00% | 累計:   64.63%
8112.TW    | 次數: 2    | 勝率:   0.00% | 累計:   -5.53%
4121.TWO   | 次數: 2    | 勝率:  50.00% | 累計:    0.65%
00773B.TWO | 次數: 2    | 勝率:  50.00% | 累計:   -1.19%
8042.TWO   | 次數: 1    | 勝率: 100.00% | 累計:   13.50%
1535.TW    | 次數: 1    | 勝率:   0.00% | 累計:   -1.69%
6642.TWO   | 次數: 3    | 勝率:  66.67% | 累計:    1.01%
4402.TWO   | 次數: 1    | 勝率:   0.00% | 累計:   -3.15%
00885.TW   | 次數: 3    | 勝率:  33.33% | 累計:   -2.51%
8034.TWO   | 次數: 2    | 勝率:   0.00% | 累計:  -11.89%
6589.TW    | 次數: 1    | 勝率:   0.00% | 累計:   -5.62%
4306.TW    | 次數: 1    | 勝率:   0.00% | 累計:   -1.38%
8105.TW    | 次數: 2    | 勝率: 100.00% | 累計:   11.91%
1721.TW    | 次數: 2    | 勝率:   0.00% | 累計:   -5.53%
8024.TWO   | 次數: 1    | 勝率:   0.00% | 累計:   -3.93%
1434.TW    | 次數: 4    | 勝率:   0.00% | 累計:  -16.37%
6902.TW    | 次數: 1    | 勝率: 100.00% | 累計:    5.43%
2461.TW    | 次數: 2    | 勝率:  50.00% | 累計:   -0.61%
6461.TWO   | 次數: 1    | 勝率:   0.00% | 累計:   -8.16%
7805.TWO   | 次數: 1    | 勝率:   0.00% | 累計:  -15.41%
6961.TWO   | 次數: 1    | 勝率:   0.00% | 累計:   -2.83%
3339.TWO   | 次數: 2    | 勝率:  50.00% | 累計:   55.80%
8131.TW    | 次數: 2    | 勝率:   0.00% | 累計:   -6.82%
7752.TWO   | 次數: 1    | 勝率:   0.00% | 累計:   -2.55%
6026.TWO   | 次數: 2    | 勝率:  50.00% | 累計:    2.88%
4538.TWO   | 次數: 3    | 勝率: 100.00% | 累計:    1.64%
2719.TWO   | 次數: 3    | 勝率:  33.33% | 累計:    1.14%
6492.TWO   | 次數: 1    | 勝率: 100.00% | 累計:   28.27%
7631.TW    | 次數: 1    | 勝率: 100.00% | 累計:   25.76%
6962.TW    | 次數: 1    | 勝率:   0.00% | 累計:   -2.58%
3323.TWO   | 次數: 1    | 勝率:   0.00% | 累計:   -4.61%
8091.TWO   | 次數: 3    | 勝率:  66.67% | 累計:    4.05%
2064.TWO   | 次數: 2    | 勝率:   0.00% | 累計:   -5.43%
7810.TWO   | 次數: 1    | 勝率:   0.00% | 累計:   -4.67%
7610.TW    | 次數: 4    | 勝率:  75.00% | 累計:   87.34%
00870B.TWO | 次數: 1    | 勝率:   0.00% | 累計:   -0.81%
4952.TW    | 次數: 3    | 勝率:  66.67% | 累計:   -0.96%
1219.TW    | 次數: 2    | 勝率:   0.00% | 累計:   -7.53%
6187.TWO   | 次數: 3    | 勝率:  66.67% | 累計:   11.11%
00980A.TW  | 次數: 1    | 勝率: 100.00% | 累計:    0.97%
00929.TW   | 次數: 2    | 勝率: 100.00% | 累計:    5.08%
8249.TW    | 次數: 2    | 勝率:  50.00% | 累計:    4.11%
5288.TW    | 次數: 1    | 勝率: 100.00% | 累計:    3.69%
2252.TWO   | 次數: 3    | 勝率:  33.33% | 累計:    7.46%
2034.TW    | 次數: 1    | 勝率:   0.00% | 累計:   -3.79%
00947.TW   | 次數: 1    | 勝率: 100.00% | 累計:   20.52%
2483.TW    | 次數: 3    | 勝率:  66.67% | 累計:    3.00%
8941.TWO   | 次數: 1    | 勝率: 100.00% | 累計:    0.32%
3285.TWO   | 次數: 1    | 勝率:   0.00% | 累計:   -2.28%
3581.TWO   | 次數: 3    | 勝率:  33.33% | 累計:   16.02%
3380.TW    | 次數: 1    | 勝率:   0.00% | 累計:   -2.55%
5488.TWO   | 次數: 2    | 勝率:  50.00% | 累計:   -4.55%
8938.TWO   | 次數: 1    | 勝率: 100.00% | 累計:    3.42%
5310.TWO   | 次數: 1    | 勝率:   0.00% | 累計:   -9.76%
1795.TW    | 次數: 2    | 勝率:  50.00% | 累計:    1.85%
2406.TW    | 次數: 3    | 勝率:   0.00% | 累計:  -26.32%
4401.TWO   | 次數: 1    | 勝率:   0.00% | 累計:   -1.45%
6147.TWO   | 次數: 2    | 勝率: 100.00% | 累計:   10.73%
8032.TWO   | 次數: 1    | 勝率:   0.00% | 累計:   -3.29%
00934.TW   | 次數: 1    | 勝率: 100.00% | 累計:    6.33%
6667.TWO   | 次數: 2    | 勝率:   0.00% | 累計:   -3.89%
6231.TWO   | 次數: 1    | 勝率: 100.00% | 累計:   20.83%
00674R.TW  | 次數: 1    | 勝率:   0.00% | 累計:   -4.96%
00751B.TWO | 次數: 1    | 勝率: 100.00% | 累計:    0.03%
5015.TWO   | 次數: 4    | 勝率:   0.00% | 累計:   -7.99%
6657.TW    | 次數: 2    | 勝率:  50.00% | 累計:   11.37%
6689.TW    | 次數: 1    | 勝率: 100.00% | 累計:    4.09%
2427.TW    | 次數: 1    | 勝率:   0.00% | 累計:   -0.55%
1536.TW    | 次數: 1    | 勝率: 100.00% | 累計:    3.99%
6716.TWO   | 次數: 2    | 勝率: 100.00% | 累計:   25.07%
3665.TW    | 次數: 1    | 勝率: 100.00% | 累計:    6.27%
3714.TW    | 次數: 5    | 勝率:  60.00% | 累計:   54.99%
3218.TWO   | 次數: 1    | 勝率:   0.00% | 累計:   -5.60%
6698.TW    | 次數: 2    | 勝率:   0.00% | 累計:   -8.07%
5228.TWO   | 次數: 2    | 勝率: 100.00% | 累計:   16.58%
5880.TW    | 次數: 1    | 勝率:   0.00% | 累計:   -2.07%
2243.TW    | 次數: 1    | 勝率: 100.00% | 累計:    4.24%
5452.TWO   | 次數: 3    | 勝率:   0.00% | 累計:  -20.71%
3591.TW    | 次數: 2    | 勝率:  50.00% | 累計:   -1.61%
7734.TWO   | 次數: 5    | 勝率:  40.00% | 累計:   52.34%
2401.TW    | 次數: 3    | 勝率:  33.33% | 累計:   -9.48%
3259.TWO   | 次數: 1    | 勝率:   0.00% | 累計:   -9.74%
8104.TW    | 次數: 2    | 勝率:  50.00% | 累計:    2.15%
3563.TW    | 次數: 4    | 勝率:  50.00% | 累計:   15.56%
6279.TWO   | 次數: 1    | 勝率:   0.00% | 累計:   -2.33%
3324.TWO   | 次數: 1    | 勝率: 100.00% | 累計:    2.50%
2910.TW    | 次數: 2    | 勝率:  50.00% | 累計:    1.34%
3357.TWO   | 次數: 3    | 勝率:   0.00% | 累計:  -11.67%
2254.TW    | 次數: 1    | 勝率:   0.00% | 累計:   -2.22%
2369.TW    | 次數: 1    | 勝率:   0.00% | 累計:   -1.44%
6146.TWO   | 次數: 4    | 勝率:  75.00% | 累計:    4.50%
7751.TWO   | 次數: 3    | 勝率:  66.67% | 累計:   19.53%
8489.TWO   | 次數: 1    | 勝率:   0.00% | 累計:    0.00%
1773.TW    | 次數: 2    | 勝率:  50.00% | 累計:    0.32%
4956.TW    | 次數: 3    | 勝率:  66.67% | 累計:    4.82%
5876.TW    | 次數: 1    | 勝率:   0.00% | 累計:   -0.62%
4977.TW    | 次數: 2    | 勝率:  50.00% | 累計:   -1.58%
8935.TWO   | 次數: 3    | 勝率:   0.00% | 累計:  -31.13%
8342.TWO   | 次數: 2    | 勝率:  50.00% | 累計:    6.06%
3704.TW    | 次數: 1    | 勝率: 100.00% | 累計:    0.84%
8213.TW    | 次數: 4    | 勝率:  25.00% | 累計:   -5.22%
5227.TWO   | 次數: 1    | 勝率:   0.00% | 累計:   -2.50%
3521.TWO   | 次數: 1    | 勝率:   0.00% | 累計:   -7.40%
3564.TWO   | 次數: 1    | 勝率:   0.00% | 累計:   -1.11%
6419.TWO   | 次數: 2    | 勝率:   0.00% | 累計:   -8.65%
2845.TW    | 次數: 2    | 勝率:   0.00% | 累計:   -0.77%
3266.TW    | 次數: 1    | 勝率:   0.00% | 累計:    0.00%
00959B.TWO | 次數: 2    | 勝率:   0.00% | 累計:   -2.06%
1324.TW    | 次數: 2    | 勝率:  50.00% | 累計:    1.14%
00932.TW   | 次數: 1    | 勝率: 100.00% | 累計:    1.07%
4906.TW    | 次數: 3    | 勝率:  33.33% | 累計:   -4.06%
00787B.TWO | 次數: 3    | 勝率:  33.33% | 累計:   -0.52%
1712.TW    | 次數: 1    | 勝率: 100.00% | 累計:    3.60%
1203.TW    | 次數: 1    | 勝率: 100.00% | 累計:    3.84%
2002.TW    | 次數: 2    | 勝率:   0.00% | 累計:   -6.37%
2478.TW    | 次數: 3    | 勝率:  66.67% | 累計:    2.19%
6015.TWO   | 次數: 2    | 勝率:  50.00% | 累計:    7.64%
4560.TW    | 次數: 1    | 勝率:   0.00% | 累計:   -1.52%
8291.TWO   | 次數: 1    | 勝率: 100.00% | 累計:    1.49%
6865.TWO   | 次數: 1    | 勝率: 100.00% | 累計:    0.94%
4532.TW    | 次數: 3    | 勝率:  66.67% | 累計:    1.36%
6988.TW    | 次數: 1    | 勝率: 100.00% | 累計:   14.85%
6582.TW    | 次數: 2    | 勝率:  50.00% | 累計:  -16.82%
