prev_year,symbol,om,prev_rev_yoy,status,rev_yoy,advice,pe,name,prev_eps,date,eps,expansion,price,prev_eps_yoy,eps_yoy,est_price,gm
2025,4590.TW,-0.34%,-41.11,🧐 疑業外收益,-25.82,⚪ 數據不足,0.0,富田-創,2.72,2026-03,1.21,444.74,89.0999984741,-1.45,418.92,0.0,30.54%
2025,2302.TW,11.05%,11.66,🚀 利潤擴張,187.7,⚠️ 追價風險,36.034482100948274,麗正,0.49,2026-03,0.25,412.3,41.7999992371,-34.67,600.0,17.400000000000002,36.04%
2025,2344.TW,15.37%,9.55,🚀 利潤擴張,646.87,⚠️ 追價風險,69.11764705882354,華邦電,0.88,2026-03,2.25,390.63,188.0,576.92,1037.5,40.8,41.86%
2025,6908.TW,N/A,28.36,🚀 利潤擴張,6.45,⚪ 數據不足,0.0,宏�砦C戲-創,1.44,2026-03,0.41,381.05,30.3999996185,5.88,387.5,0.0,N/A
2025,6716.TWO,N/A,-15.3,🚀 利潤擴張,359.78,⚪ 中性觀察,21.691176470588236,應廣,2.19,2026-03,1.59,356.01,118.0,-49.65,715.79,81.60000000000001,N/A
2025,5210.TWO,N/A,9.95,🚀 利潤擴張,37.41,⚪ 中性觀察,21.923076923076927,寶碩,0.73,2026-03,0.24,342.59000000000003,28.5,207.35,380.0,19.499999999999996,N/A
2025,5228.TWO,N/A,25.85,🔄 轉虧為盈,750.53,⚪ 數據不足,0.0,鈺鎧,-0.2,2026-03,0.99,339.47,41.5,90.52,1090.0,-8.4,N/A
2025,2754.TWO,N/A,5.96,🚀 利潤擴張,179.43,💎 強力關注,11.021069692058347,亞洲藏壽司,2.35,2026-03,1.42,338.21999999999997,68.0,1.73,517.65,92.55,N/A
2025,4556.TWO,14.30%,-3.75,🚀 利潤擴張,237.41,⚠️ 追價風險,44.03409090909091,旭然,0.92,2026-03,0.13,312.59000000000003,77.5,170.59,550.0,26.4,42.07%
2025,3071.TWO,7.94%,-5.82,🚀 利潤擴張,343.32,✅ 穩健價值,14.132948417861272,協禧,0.57,2026-03,0.15,306.68,24.4500007629,-29.63,650.0,25.95,30.11%
2025,8299.TWO,N/A,23.29,🚀 利潤擴張,849.86,✅ 穩健價值,14.912029752538979,群聯,41.98,2026-03,68.8,293.43999999999994,2085.0,3.78,1143.3,2097.2999999999997,N/A
2025,6615.TWO,N/A,-14.91,🔄 轉虧為盈,270.3,⚪ 數據不足,0.0,慧智,-0.43,2026-03,0.67,276.36999999999995,33.9000015259,-150.59,546.67,-2.2499999999999996,N/A
2025,6282.TW,N/A,0.1,🚀 利潤擴張,371.03,⚪ 數據不足,0.0,康舒,0.18,2026-03,0.27,268.97,43.25,550.0,640.0,-9.150000000000002,N/A
2025,8489.TWO,N/A,5.03,🔄 轉虧為盈,186.87,⚪ 數據不足,0.0,三貝德,-0.76,2026-03,0.38,258.58,22.0,55.83,445.45,-20.1,N/A
2025,4916.TW,8.07%,0.89,🚀 利潤擴張,473.51,💎 強力關注,11.88279339798005,事欣科,1.77,2026-03,4.49,228.27999999999997,95.3000030518,8050.0,701.79,120.3,18.73%
2025,4432.TWO,N/A,-3.15,🚀 利潤擴張,292.4,💎 強力關注,5.323129121938776,銘旺實,0.88,2026-03,2.97,226.35000000000002,15.6499996185,-66.67,518.75,44.1,N/A
2025,4702.TWO,-88.29%,-61.59,🚀 利潤擴張,132.31,💎 強力關注,9.571428688163264,中美實,0.88,2026-03,0.45,217.69,9.3800001144,51.72,350.0,14.700000000000001,35.38%
2025,8478.TW,N/A,5.83,🚀 利潤擴張,297.67,💎 強力關注,4.299604983287754,東哥遊艇,13.25,2026-03,3.8,215.22999999999996,141.5,33.97,512.9,493.65000000000003,N/A
2025,1609.TW,8.70%,3.39,🚀 利潤擴張,713.51,💎 強力關注,7.358121032113502,大亞,1.65,2026-03,0.66,211.49,37.5999984741,-21.15,925.0,76.65,13.61%
2025,3717.TW,7.12%,3.55,🚀 利潤擴張,26.54,⚪ 數據不足,0.0,聯嘉投控,0.08,2026-03,0.47,186.79000000000002,21.3999996185,-80.0,213.33,0.0,19.34%
2025,8084.TWO,N/A,-10.9,🔄 轉虧為盈,80.73,⚪ 數據不足,0.0,巨虹,-1.82,2026-03,0.33,185.94,45.2999992371,-280.2,266.67,-43.199999999999996,N/A
2025,3290.TWO,14.85%,18.23,🚀 利潤擴張,542.69,💎 強力關注,7.22488026110048,東浦,2.02,2026-03,2.65,185.43999999999994,45.2999992371,25.64,728.13,94.05,30.40%
2025,5460.TWO,N/A,-15.68,🔄 轉虧為盈,385.95,⚪ 數據不足,0.0,同協,-0.17,2026-03,0.09,164.05,17.1499996185,-177.27,550.0,-7.95,N/A
2025,4582.TWO,N/A,32.98,🚀 利潤擴張,116.02,⚪ 數據不足,0.0,未知,1.54,2026-03,0.53,160.65000000000003,0.0,1640.0,276.67,0.0,N/A
2025,4582.TW,N/A,32.98,🚀 利潤擴張,116.02,⚪ 數據不足,0.0,聚恆-創,1.54,2026-03,0.53,160.65000000000003,23.0,1640.0,276.67,0.0,N/A
2025,2426.TW,-2.91%,-2.43,🔄 轉虧為盈,542.01,⚪ 數據不足,0.0,鼎元,-0.25,2026-03,0.06,157.99,97.5,-219.05,700.0,-6.6,10.78%
2025,2417.TW,8.42%,2.69,🔄 轉虧為盈,108.24,⚪ 數據不足,0.0,圓剛,-0.19,2026-03,0.28,156.05,38.2999992371,54.55,264.29,-25.049999999999997,56.31%
2025,9934.TW,N/A,-4.25,🔄 轉虧為盈,214.33,⚠️ 追價風險,154.28571700999987,成霖,-0.29,2026-03,0.28,152.34,10.8000001907,-125.22,366.67,1.050000000000001,N/A
2025,2732.TWO,N/A,7.13,🚀 利潤擴張,180.76,⚠️ 追價風險,29.348836499581385,六角,1.09,2026-03,1.1,142.32,63.0999984741,-77.02,323.08,32.250000000000014,N/A
2025,6569.TWO,N/A,5.8,🚀 利潤擴張,307.94,✅ 穩健價值,14.14976551453978,醫揚,2.88,2026-03,1.03,134.17000000000002,90.6999969482,-38.68,442.11,96.15,N/A
2025,6166.TW,N/A,17.09,🚀 利潤擴張,273.28,⚪ 中性觀察,20.19400352733686,凌華,2.35,2026-03,1.57,133.17000000000002,114.5,921.74,406.45,85.05,N/A
2025,3081.TWO,41.27%,82.29,🏰 高護城河,515.18,⚠️ 追價風險,234.8360655737705,聯亞,4.66,2026-03,3.44,130.47000000000003,2865.0,884.75,645.65,183.0,54.76%
2025,3356.TW,N/A,-14.96,🚀 利潤擴張,113.17,💎 強力關注,5.196163772807323,奇偶,6.21,2026-03,2.21,115.32000000000001,59.5999984741,-20.59,228.49,172.05,N/A
2025,6735.TWO,N/A,-4.81,🚀 利潤擴張,268.59,⚪ 數據不足,0.0,美達科技,0.33,2026-03,0.29,114.74000000000001,62.0999984741,-84.51,383.33,-7.200000000000001,N/A
2025,2601.TW,-12.62%,-7.78,🏰 高護城河,-21.56,⚪ 數據不足,0.0,益航,-1.63,2026-03,-0.02,109.06,6.8000001907,-365.71,87.5,-33.6,102.69%
2025,7730.TW,N/A,-5.33,🚀 利潤擴張,161.56,⚠️ 追價風險,51.03550295857988,暉盛-創,1.73,2026-03,0.37,108.44,172.5,-45.51,270.0,50.699999999999996,N/A
2025,2911.TW,N/A,-16.81,🚀 利潤擴張,67.27,⚪ 數據不足,0.0,麗嬰房,2.15,2026-03,0.66,96.19000000000001,6.4200000763,152.83,163.46,-40.05,N/A
2025,3083.TWO,12.73%,-7.4,🏰 高護城河,57.36,⚠️ 追價風險,26.091954899885057,網龍,0.43,2026-03,0.3,92.64,22.7000007629,-46.91,150.0,13.05,87.57%
2025,6931.TW,N/A,14.16,🚀 利潤擴張,990.52,✅ 穩健價值,13.68686920063973,青松健康,1.39,2026-03,0.49,89.48000000000002,40.6500015259,104.41,1080.0,44.550000000000004,N/A
2025,1599.TWO,-21.33%,-18.58,🔄 轉虧為盈,486.21,⚪ 數據不足,0.0,宏佳騰,-0.84,2026-03,0.28,88.79000000000002,22.9500007629,-169.49,575.0,-24.299999999999994,16.92%
2025,4147.TWO,-58.34%,0.19,🔄 轉虧為盈,81.97,⚪ 數據不足,0.0,中裕,-0.61,2026-03,0.06,84.69999999999999,65.3000030518,17.57,166.67,-18.3,28.91%
2025,1339.TW,13.17%,-14.02,🚀 利潤擴張,102.97,💎 強力關注,6.587423429892638,昭輝,2.41,2026-03,2.78,83.63,42.9500007629,-51.9,186.6,97.8,33.66%
2025,2436.TW,3.76%,15.32,🚀 利潤擴張,309.82,✅ 穩健價值,12.289377009908426,偉詮電,3.02,2026-03,0.7,83.04000000000002,67.0999984741,78.06,392.86,81.9,30.84%
