prev_rev_yoy,prev_eps_yoy,date,om,advice,prev_year,eps_yoy,name,gm,est_price,symbol,pe,status,eps,prev_eps,price,expansion,rev_yoy
25.85,90.52,2026-03,N/A,⚪ 數據不足,2025,1090.0,鈺鎧,N/A,-8.4,5228.TWO,0.0,🔄 轉虧為盈,0.99,-0.2,38.7999992371,339.47,750.53
5.96,1.73,2026-03,N/A,💎 強力關注,2025,517.65,亞洲藏壽司,N/A,92.55,2754.TWO,11.231767107260941,🚀 利潤擴張,1.42,2.35,69.3000030518,338.21999999999997,179.43
-3.75,170.59,2026-03,14.30%,⚠️ 追價風險,2025,550.0,旭然,42.07%,26.4,4556.TWO,48.29545454545455,🚀 利潤擴張,0.13,0.92,85.0,312.59000000000003,237.41
-5.82,-29.63,2026-03,7.94%,✅ 穩健價值,2025,650.0,協禧,30.11%,25.95,3071.TWO,13.179190310462428,🚀 利潤擴張,0.15,0.57,22.7999992371,306.68,343.32
23.29,3.78,2026-03,N/A,✅ 穩健價值,2025,1143.3,群聯,N/A,2097.2999999999997,8299.TWO,13.731941067086254,🚀 利潤擴張,68.8,41.98,1920.0,293.43999999999994,849.86
-14.91,-150.59,2026-03,N/A,⚪ 數據不足,2025,546.67,慧智,N/A,-2.2499999999999996,6615.TWO,0.0,🔄 轉虧為盈,0.67,-0.43,33.7000007629,276.36999999999995,270.3
0.1,550.0,2026-03,N/A,⚪ 數據不足,2025,640.0,康舒,N/A,-9.150000000000002,6282.TW,0.0,🚀 利潤擴張,0.27,0.18,41.5499992371,268.97,371.03
5.03,55.83,2026-03,N/A,⚪ 數據不足,2025,445.45,三貝德,N/A,-20.1,8489.TWO,0.0,🔄 轉虧為盈,0.38,-0.76,21.6000003815,258.58,186.87
0.89,8050.0,2026-03,8.07%,💎 強力關注,2025,701.79,事欣科,18.73%,120.3,4916.TW,11.508728560074815,🚀 利潤擴張,4.49,1.77,92.3000030518,228.27999999999997,473.51
-3.15,-66.67,2026-03,N/A,💎 強力關注,2025,518.75,銘旺實,N/A,44.1,4432.TWO,5.357142857142858,🚀 利潤擴張,2.97,0.88,15.75,226.35000000000002,292.4
-61.59,51.72,2026-03,-88.29%,💎 強力關注,2025,350.0,中美實,35.38%,14.700000000000001,4702.TWO,9.438775510204081,🚀 利潤擴張,0.45,0.88,9.25,217.69,132.31
5.83,33.97,2026-03,N/A,💎 強力關注,2025,512.9,東哥遊艇,N/A,493.65000000000003,8478.TW,4.299604983287754,🚀 利潤擴張,3.8,13.25,141.5,215.22999999999996,297.67
3.39,-21.15,2026-03,8.70%,💎 強力關注,2025,925.0,大亞,13.61%,76.65,1609.TW,7.279843593522504,🚀 利潤擴張,0.66,1.65,37.2000007629,211.49,713.51
3.55,-80.0,2026-03,7.12%,⚪ 數據不足,2025,213.33,聯嘉投控,19.34%,0.0,3717.TW,0.0,🚀 利潤擴張,0.47,0.08,21.0,186.79000000000002,26.54
-10.9,-280.2,2026-03,N/A,⚪ 數據不足,2025,266.67,巨虹,N/A,-43.199999999999996,8084.TWO,0.0,🔄 轉虧為盈,0.33,-1.82,41.1500015259,185.94,80.73
