prev_eps_yoy,symbol,advice,prev_eps,prev_year,price,est_price,rev_yoy,gm,eps_yoy,date,pe,om,expansion,prev_rev_yoy,name,status,eps
228.8,6573.TW,💎 強力關注,1.61,2025,12.6999998093,20.7,-13.43,N/A,163.4,2025-12,9.202898412536232,N/A,176.83,-11.95,虹揚-KY,🧐 疑業外收益,1.23
89.73,6719.TW,💎 強力關注,4.25,2025,170.0,213.00000000000003,23.89,N/A,198.64,2025-12,11.971830985915492,N/A,174.75,22.77,力智,🚀 利潤擴張,6.58
275.0,6127.TWO,⚠️ 追價風險,0.91,2025,44.0999984741,29.999999999999996,-1.13,N/A,173.44,2025-12,22.049999237050002,N/A,174.57,-0.97,九豪,🧐 疑業外收益,0.47
172.22,4556.TWO,⚪ 中性觀察,0.49,2025,35.7999992371,24.750000000000004,-3.75,42.07%,170.59,2025-12,21.696969234606062,14.30%,174.34,-8.55,旭然,🧐 疑業外收益,0.92
175.0,5703.TWO,✅ 穩健價值,0.09,2025,14.0,13.5,5.62,N/A,178.95,2025-12,15.555555555555555,N/A,173.32999999999998,4.04,亞都,🚀 利潤擴張,0.53
190.57,6209.TW,⚠️ 追價風險,0.49,2025,62.2999992371,22.800000000000004,50.65,N/A,222.67,2025-12,40.98684160335526,N/A,172.01999999999998,39.08,今國光,🚀 利潤擴張,0.92
1700.0,6841.TWO,⚠️ 追價風險,0.81,2025,58.7999992371,33.150000000000006,12.23,N/A,183.87,2025-12,26.606334496425337,N/A,171.64000000000001,2.1,長佳智能,🚀 利潤擴張,0.89
3.33,7610.TW,⚪ 數據不足,1.75,2025,0.0,0.0,27.9,N/A,194.08,2025-12,0.0,N/A,166.18,-4.54,聯友金屬-創,🚀 利潤擴張,5.45
155.81,1587.TW,⚠️ 追價風險,0.24,2025,31.7000007629,10.35,23.11,18.05%,188.1,2025-12,45.942030091159424,2.96%,164.99,19.92,吉茂,🚀 利潤擴張,0.37
300.0,2486.TW,⚠️ 追價風險,0.16,2025,270.5,4.65,10.09,15.86%,175.0,2025-12,872.5806451612904,1.35%,164.91,13.26,一詮,🚀 利潤擴張,0.22
47.95,6994.TW,⚪ 數據不足,1.13,2025,0.0,0.0,164.5,N/A,328.87,2025-12,0.0,N/A,164.37,21.0,富威電力,🚀 利潤擴張,6.34
241.37,6596.TWO,💎 強力關注,17.41,2025,100.0,693.9,78.68,N/A,242.99,2025-12,2.16169476869866,N/A,164.31,97.52,寬宏藝術,🚀 利潤擴張,18.83
-271.43,6265.TWO,⚪ 數據不足,-0.24,2025,39.7999992371,-11.25,62.85,N/A,223.81,2025-12,0.0,N/A,160.96,25.19,方土昶,🔄 轉虧為盈,0.68
280.8,5439.TWO,✅ 穩健價值,9.52,2025,382.5,435.15,130.83,N/A,291.45,2025-12,13.185108583247157,N/A,160.61999999999998,130.37,高技,🚀 利潤擴張,13.74
23.53,3489.TWO,⚪ 數據不足,-0.13,2025,22.1000003815,-4.95,-69.84,10.14%,89.89,2025-12,0.0,3.61%,159.73000000000002,-54.34,森寶,🧐 疑業外收益,-0.09
271.05,4526.TW,💎 強力關注,2.61,2025,36.75,106.8,-6.62,7.66%,150.56,2025-12,5.161516853932584,-21.47%,157.18,-1.22,東台,🧐 疑業外收益,1.81
219.44,3630.TWO,💎 強力關注,2.19,2025,27.3500003815,91.05,19.21,4.18%,173.02,2025-12,4.505766125453048,-22.27%,153.81,18.28,新鉅科,🚀 利潤擴張,1.86
203.85,6684.TWO,💎 強力關注,3.24,2025,47.9500007629,189.75000000000003,-15.36,N/A,137.2,2025-12,3.7905138943003944,N/A,152.56,-15.66,安格,🧐 疑業外收益,1.57
77.78,6838.TW,⚪ 數據不足,-0.24,2025,27.8999996185,-13.5,-93.38,N/A,58.65,2025-12,0.0,N/A,152.03,-95.44,台新藥,🧐 疑業外收益,-0.55
-1000.0,4157.TWO,⚪ 數據不足,-0.22,2025,10.0,-5.8500000000000005,72.24,98.33%,220.0,2025-12,0.0,81.17%,147.76,-79.84,太景*-KY,🔄 轉虧為盈,0.06
54.55,3252.TWO,⚠️ 追價風險,-0.1,2025,19.25,2.4,-3.71,43.11%,141.94,2025-12,120.3125,22.84%,145.65,-4.86,海灣,🔄 轉虧為盈,0.13
292.31,3162.TWO,⚪ 中性觀察,1.25,2025,73.1999969482,67.05000000000001,65.48,11.59%,209.26,2025-12,16.375838243445187,1.68%,143.77999999999997,89.71,精確,🚀 利潤擴張,1.7
55.15,3673.TW,💎 強力關注,2.56,2025,60.4000015259,107.1,-8.77,5.83%,133.62,2025-12,8.459383967212887,-0.68%,142.39000000000001,-8.66,TPK-KY,🧐 疑業外收益,2.71
111.11,6236.TWO,⚠️ 追價風險,0.05,2025,19.0499992371,4.050000000000001,-20.68,N/A,119.51,2025-12,70.55555272999999,N/A,140.19,-18.24,中湛,🧐 疑業外收益,0.08
119.23,6708.TWO,⚠️ 追價風險,0.05,2025,40.2000007629,6.449999999999999,42.33,N/A,180.65,2025-12,93.4883738672093,N/A,138.32,48.16,天擎,🚀 利潤擴張,0.25
199.67,5227.TWO,⚠️ 追價風險,2.99,2025,21.8999996185,9.450000000000005,-32.24,N/A,104.91,2025-12,34.76190415634919,N/A,137.15,-19.06,立凱-KY,🧐 疑業外收益,0.17
70.64,6485.TWO,⚠️ 追價風險,-0.32,2025,87.5999984741,18.9,16.84,N/A,152.21,2025-12,69.52380831277777,N/A,135.37,14.7,點序,🔄 轉虧為盈,0.71
