expansion,eps_yoy,date,om,prev_eps,est_price,pe,symbol,prev_year,prev_rev_yoy,gm,name,eps,status,advice,prev_eps_yoy,price,rev_yoy
157.99,700.0,2026-03,-2.91%,-0.25,-6.6,0.0,2426.TW,2025,-2.43,10.78%,鼎元,0.06,🔄 轉虧為盈,⚪ 數據不足,-219.05,96.0999984741,542.01
156.05,264.29,2026-03,8.42%,-0.19,-25.049999999999997,0.0,2417.TW,2025,2.69,56.31%,圓剛,0.28,🔄 轉虧為盈,⚪ 數據不足,54.55,44.1500015259,108.24
152.34,366.67,2026-03,N/A,-0.29,1.050000000000001,158.57143402142842,9934.TW,2025,-4.25,N/A,成霖,0.28,🔄 轉虧為盈,⚠️ 追價風險,-125.22,11.1000003815,214.33
142.32,323.08,2026-03,N/A,1.09,32.250000000000014,30.13953630316278,2732.TWO,2025,7.13,N/A,六角,1.1,🚀 利潤擴張,⚠️ 追價風險,-77.02,64.8000030518,180.76
134.17000000000002,442.11,2026-03,N/A,2.88,96.15,14.446177609063962,6569.TWO,2025,5.8,N/A,醫揚,1.03,🚀 利潤擴張,✅ 穩健價值,-38.68,92.5999984741,307.94
133.17000000000002,406.45,2026-03,N/A,2.35,85.05,20.54673721340388,6166.TW,2025,17.09,N/A,凌華,1.57,🚀 利潤擴張,⚪ 中性觀察,921.74,116.5,273.28
130.47000000000003,645.65,2026-03,41.27%,4.66,183.0,270.9016393442623,3081.TWO,2025,82.29,54.76%,聯亞,3.44,🏰 高護城河,⚠️ 追價風險,884.75,3305.0,515.18
115.32000000000001,228.49,2026-03,N/A,6.21,172.05,5.396687142624237,3356.TW,2025,-14.96,N/A,奇偶,2.21,🚀 利潤擴張,💎 強力關注,-20.59,61.9000015259,113.17
114.74000000000001,383.33,2026-03,N/A,0.33,-7.200000000000001,0.0,6735.TWO,2025,-4.81,N/A,美達科技,0.29,🚀 利潤擴張,⚪ 數據不足,-84.51,63.9000015259,268.59
109.06,87.5,2026-03,-12.62%,-1.63,-33.6,0.0,2601.TW,2025,-7.78,102.69%,益航,-0.02,🏰 高護城河,⚪ 數據不足,-365.71,6.7800002098,-21.56
108.44,270.0,2026-03,N/A,1.73,50.699999999999996,52.366863905325445,7730.TW,2025,-5.33,N/A,暉盛-創,0.37,🚀 利潤擴張,⚠️ 追價風險,-45.51,177.0,161.56
96.19000000000001,163.46,2026-03,N/A,2.15,-40.05,0.0,2911.TW,2025,-16.81,N/A,麗嬰房,0.66,🚀 利潤擴張,⚪ 數據不足,152.83,6.4600000381,67.27
