prev_rev_yoy,eps_yoy,rev_yoy,gm,prev_eps_yoy,pe,expansion,prev_eps,prev_year,status,price,name,advice,symbol,date,est_price,eps,om
-3.75,550.0,237.41,42.07%,170.59,48.12499826602272,312.59000000000003,0.92,2025,🚀 利潤擴張,84.6999969482,旭然,⚠️ 追價風險,4556.TWO,2026-03,26.4,0.13,14.30%
-5.82,650.0,343.32,30.11%,-29.63,14.277457088381503,306.68,0.57,2025,🚀 利潤擴張,24.7000007629,協禧,✅ 穩健價值,3071.TWO,2026-03,25.95,0.15,7.94%
23.29,1143.3,849.86,N/A,3.78,14.912029752538979,293.43999999999994,41.98,2025,🚀 利潤擴張,2085.0,群聯,✅ 穩健價值,8299.TWO,2026-03,2097.2999999999997,68.8,N/A
-14.91,546.67,270.3,N/A,-150.59,0.0,276.36999999999995,-0.43,2025,🔄 轉虧為盈,33.6500015259,慧智,⚪ 數據不足,6615.TWO,2026-03,-2.2499999999999996,0.67,N/A
0.1,640.0,371.03,N/A,550.0,0.0,268.97,0.18,2025,🚀 利潤擴張,46.5499992371,康舒,⚪ 數據不足,6282.TW,2026-03,-9.150000000000002,0.27,N/A
5.03,445.45,186.87,N/A,55.83,0.0,258.58,-0.76,2025,🔄 轉虧為盈,22.75,三貝德,⚪ 數據不足,8489.TWO,2026-03,-20.1,0.38,N/A
0.89,701.79,473.51,18.73%,8050.0,12.967581047381547,228.27999999999997,1.77,2025,🚀 利潤擴張,104.0,事欣科,✅ 穩健價值,4916.TW,2026-03,120.3,4.49,8.07%
-3.15,518.75,292.4,N/A,-66.67,5.49319714914966,226.35000000000002,0.88,2025,🚀 利潤擴張,16.1499996185,銘旺實,💎 強力關注,4432.TWO,2026-03,44.1,2.97,N/A
-61.59,350.0,132.31,35.38%,51.72,9.897958989081632,217.69,0.88,2025,🚀 利潤擴張,9.6999998093,中美實,💎 強力關注,4702.TWO,2026-03,14.700000000000001,0.45,-88.29%
5.83,512.9,297.67,N/A,33.97,4.299604983287754,215.22999999999996,13.25,2025,🚀 利潤擴張,141.5,東哥遊艇,💎 強力關注,8478.TW,2026-03,493.65000000000003,3.8,N/A
3.39,925.0,713.51,13.61%,-21.15,7.328767272583169,211.49,1.65,2025,🚀 利潤擴張,37.4500007629,大亞,💎 強力關注,1609.TW,2026-03,76.65,0.66,8.70%
