股票代碼         名稱              收盤價       最佳均線        實戰勝率%          區間報酬%     交易次數       外資5日買超 目前狀態                
00982A.TW    主動群益台灣強棒      16.46          5         50.0           4.51        1         1684 📈 持有 → 繼續持有         
00982D.TW    主動富邦動態入息      10.03         14          0.0            0.0        0          336 📉 建議賣出              
00983A.TW    主動中信ARK創新     10.87         16          0.0            0.0        0        -2255 📈 持有 → 繼續持有         
00984B.TWO   大華優利美A債15      16.3          3         50.0          -1.07        8        -9453 📉 建議賣出              
00985A.TW    主動野村台灣50      16.27          6        69.23          11.36        4          504 📈 持有 → 繼續持有         
00985B.TW    群益ESG投等債0-5    10.32          4        52.94           0.46        6        -7346 📉 建議賣出              
00987A.TW    主動台新優勢成長      11.99         16        100.0           3.54        0         2370 📈 持有 → 繼續持有         
00988A.TW    主動統一全球創新       12.8          5        57.14           2.88        1         1505 📈 持有 → 繼續持有         
00989A.TW    未知            14.08         19        100.0           0.07        0         1527 📉 建議賣出              
00990A.TW    主動元大AI新經濟     12.11          5        53.33           9.95        5        11393 📈 持有 → 繼續持有         
00991A.TW    主動復華未來50      12.88         15        100.0           4.72        0        27118 📈 持有 → 繼續持有         
00992A.TW    主動群益科技創新      13.23          5         75.0           8.65        1         6981 📈 持有 → 繼續持有         
00993A.TW    主動安聯台灣         10.7          5         75.0           7.36        1        24096 📈 持有 → 繼續持有         
00995A.TW    主動中信台灣卓越      11.91          3        72.22          11.78        4         5156 📈 持有 → 繼續持有         
02001L.TW    未知            67.45          5        66.67           5.72        0            0 📈 持有 → 繼續持有         
02001R.TW    未知             0.71          6          0.0            0.0        0            0 📉 建議賣出              
020030.TW    統一智慧電動車N      11.54          3        100.0           3.59        0            0 📈 持有 → 繼續持有         
1101.TW      台泥            24.45          4        57.14           9.02        4        -4556 📉 建議賣出              
1102.TW      亞泥             34.6         13         60.0          -0.57        1       -16173 📉 建議賣出              
1110.TW      東泥            15.45         15         37.5          -3.03        2         -190 📉 建議賣出              
1203.TW      味王             38.6          5        47.06          -0.81        6          -99 📉 建議賣出              
1210.TW      大成             54.1         19        71.43           4.44        2         3124 📈 持有 → 繼續持有         
1213.TW      大飲             10.0         20          0.0          -3.65        1            0 📈 持有 → 繼續持有         
1216.TW      統一             70.9          6        36.36          -3.16        5        -6475 📈 持有 → 繼續持有         
1218.TW      泰山            19.15          9        56.25           4.08        3         3299 📈 持有 → 繼續持有         
1219.TW      福壽            13.55          3        46.67           1.13        8          -70 📉 建議賣出              
1220.TW      台榮             12.8          4         50.0           1.22        6           25 📉 建議賣出              
1225.TW      福懋油            31.0          6         50.0           7.57        6          -62 📉 建議賣出              
1229.TW      聯華             44.4          7        33.33           -3.1        4        -3354 📈 持有 → 繼續持有         
1235.TW      興泰             36.3          6         50.0           3.01        3          -44 📉 建議賣出              
1256.TW      鮮活果汁-KY       156.0          4        38.89          -5.46        7          -77 📉 建議賣出              
1259.TWO     安心              nan          3        42.86           1.66        7            1 📉 建議賣出              
1294.TWO     漢田生技           87.3          3        56.25           11.6        6           81 📈 持有 → 繼續持有         
1295.TWO     生合             71.3         19          0.0            0.0        0          -34 📉 建議賣出              
1301.TW      台塑            46.45          4        56.52          11.92        7        -8363 📈 持有 → 繼續持有         
1303.TW      南亞             85.5          9        47.62          20.36        4       -32212 📈 持有 → 繼續持有         
1304.TW      台聚            12.95         15        45.45           4.58        1        -4238 📈 持有 → 繼續持有         
