eps,price,date,advice,est_price,prev_year,rev_yoy,prev_eps,om,status,symbol,prev_rev_yoy,pe,eps_yoy,prev_eps_yoy,name,expansion,gm
2.78,46.0499992371,2026-03,💎 強力關注,97.8,2025,102.97,2.41,13.17%,🚀 利潤擴張,1339.TW,-14.02,7.06288331857362,186.6,-51.9,昭輝,83.63,33.66%
0.7,67.5999984741,2026-03,✅ 穩健價值,81.9,2025,309.82,3.02,3.76%,🚀 利潤擴張,2436.TW,15.32,12.380952101483517,392.86,78.06,偉詮電,83.04000000000002,30.84%
0.64,98.1999969482,2026-03,⚠️ 追價風險,45.449999999999996,2025,97.11,1.11,N/A,🚀 利潤擴張,6756.TW,-8.83,32.40923991689769,178.26,-50.67,威鋒電子,81.14999999999999,N/A
2.34,73.5999984741,2026-03,✅ 穩健價值,77.99999999999999,2025,62.07,1.97,20.17%,🏰 高護城河,3546.TWO,2.09,14.153845860403848,136.36,-64.44,宇峻,74.29000000000002,89.44%
-0.15,85.4000015259,2026-03,⚪ 數據不足,0.0,2025,26.64,-1.49,N/A,🚀 利潤擴張,7823.TW,22.72,0.0,99.93,96.29,奧義賽博-KY創,73.29,N/A
-0.68,13.0,2026-03,⚪ 數據不足,-96.44999999999999,2025,-97.71,-2.43,N/A,🌑 雙重衰退,6169.TWO,19.25,0.0,-25.93,-99.18,昱泉,71.78,N/A
0.3,18.2000007629,2026-03,⚪ 數據不足,-17.549999999999997,2025,578.38,0.14,N/A,🚀 利潤擴張,8354.TWO,0.63,0.0,650.0,-91.14,冠好,71.62,N/A
1.75,70.0,2026-03,✅ 穩健價值,71.25,2025,315.9,2.76,0.20%,🚀 利潤擴張,4905.TWO,22.56,14.736842105263158,386.11,-5.15,台聯電,70.21000000000004,25.49%
1.02,1760.0,2026-03,⚪ 數據不足,0.0,2025,51.84,6.33,N/A,🚀 利潤擴張,7828.TWO,76.4,0.0,121.74,44.08,創新服務,69.89999999999999,N/A
0.25,15.1999998093,2026-03,💎 強力關注,22.95,2025,58.58,0.63,38.94%,🏰 高護城河,2889.TW,4.6,9.934640398235294,127.27,3.28,國票金,68.69,90.85%
1.41,94.0999984741,2026-03,💎 強力關注,257.1,2025,40.15,7.13,20.98%,🏰 高護城河,4137.TW,-4.63,5.490081591254376,107.35,24.43,麗豐-KY,67.19999999999999,82.18%
0.06,7.5599999428,2026-03,⚪ 數據不足,-15.3,2025,110.52,-0.38,3.73%,🔄 轉虧為盈,3632.TWO,-28.72,0.0,175.0,-31.03,研勤,64.48,54.59%
0.6,44.0,2026-03,⚪ 數據不足,0.0,2025,42.91,2.43,N/A,🚀 利潤擴張,6986.TWO,2.38,0.0,106.9,-24.06,和迅,63.99000000000001,N/A
0.11,33.5,2026-03,⚪ 數據不足,-38.1,2025,111.03,-1.28,-45.46%,🔄 轉虧為盈,4562.TW,-7.78,0.0,175.0,-184.44,穎漢,63.97,31.44%
-0.27,19.6000003815,2026-03,⚪ 數據不足,-122.4,2025,-1.0,-3.51,-55.72%,🏰 高護城河,3064.TWO,-29.69,0.0,62.5,-7120.0,泰偉,63.5,93.22%
