=== 殖利率掃描報告 (20260603) ===
基準條件: 10日新高 或 歷史分位 > 80%
[💎 歷史高位] 4114.TWO: 5.44% (歷史分位: 96.2%)
[💎 歷史高位] 4538.TWO: 5.43% (歷史分位: 90.4%)
[💎 歷史高位] 8467.TW: 5.33% (歷史分位: 91.4%)
[💎 歷史高位] 6662.TWO: 5.33% (歷史分位: 85.9%)
[💎 歷史高位] 8462.TW: 5.31% (歷史分位: 93.3%)
[💎 歷史高位] 4116.TWO: 5.26% (歷史分位: 92.9%)
[💎 歷史高位] 7736.TW: 5.21% (歷史分位: 94.0%)
[💎 歷史高位] 1788.TWO: 5.2% (歷史分位: 96.2%)
[💎 歷史高位] 1734.TW: 5.18% (歷史分位: 87.5%)
[💎 歷史高位] 2501.TW: 5.18% (歷史分位: 86.8%)
[💎 歷史高位] 6469.TWO: 5.16% (歷史分位: 88.5%)
[💎 歷史高位] 8279.TWO: 5.15% (歷史分位: 90.4%)
[💎 歷史高位] 8432.TWO: 5.15% (歷史分位: 89.7%)
[💎 歷史高位] 2596.TWO: 5.13% (歷史分位: 92.3%)
[💎 歷史高位] 4129.TWO: 5.07% (歷史分位: 98.7%)
[💎 歷史高位] 6865.TWO: 5.03% (歷史分位: 92.9%)
[💎 歷史高位] 1783.TW: 5.02% (歷史分位: 86.8%)
[💎 歷史高位] 2801.TW: 4.98% (歷史分位: 86.8%)
[💎 歷史高位] 9925.TW: 4.95% (歷史分位: 84.9%)
[💎 歷史高位] 8464.TW: 4.94% (歷史分位: 93.4%)
[💎 歷史高位] 6666.TW: 4.91% (歷史分位: 85.3%)
[💎 歷史高位] 6843.TWO: 4.88% (歷史分位: 98.7%)
[💎 歷史高位] 1752.TW: 4.87% (歷史分位: 94.0%)
[💎 歷史高位] 3310.TWO: 4.86% (歷史分位: 80.8%)
[💎 歷史高位] 3164.TW: 4.82% (歷史分位: 95.4%)
[💎 歷史高位] 4205.TWO: 4.81% (歷史分位: 95.5%)
[💎 歷史高位] 5902.TWO: 4.79% (歷史分位: 98.7%)
[💎 歷史高位] 4107.TWO: 4.78% (歷史分位: 94.9%)
[💎 歷史高位] 6994.TW: 4.75% (歷史分位: 93.3%)
[💎 歷史高位] 3492.TWO: 4.72% (歷史分位: 91.7%)
[💎 歷史高位] 8923.TWO: 4.71% (歷史分位: 96.2%)
[💎 歷史高位] 5457.TWO: 4.69% (歷史分位: 92.9%)
[💎 歷史高位] 4560.TW: 4.66% (歷史分位: 98.7%)
[💎 歷史高位] 7786.TW: 4.52% (歷史分位: 91.7%)
[💎 歷史高位] 4506.TWO: 4.51% (歷史分位: 84.0%)
[💎 歷史高位] 5880.TW: 4.49% (歷史分位: 81.6%)
[💎 歷史高位] 2892.TW: 4.48% (歷史分位: 94.7%)
[💎 歷史高位] 2633.TW: 4.47% (歷史分位: 94.7%)
[💎 歷史高位] 1737.TW: 4.44% (歷史分位: 85.5%)
[💎 歷史高位] 2755.TWO: 4.43% (歷史分位: 83.3%)
[💎 歷史高位] 5014.TWO: 4.42% (歷史分位: 90.4%)
[💎 歷史高位] 2613.TW: 4.41% (歷史分位: 84.9%)
[💎 歷史高位] 1445.TW: 4.29% (歷史分位: 95.4%)
[💎 歷史高位] 9926.TW: 4.26% (歷史分位: 88.8%)
[💎 歷史高位] 2886.TW: 4.2% (歷史分位: 85.5%)
[💎 歷史高位] 6133.TW: 4.14% (歷史分位: 82.2%)
[💎 歷史高位] 2207.TW: 4.12% (歷史分位: 82.9%)
[💎 歷史高位] 8478.TW: 4.11% (歷史分位: 90.1%)
[💎 歷史高位] 6614.TW: 4.1% (歷史分位: 86.1%)
[💎 歷史高位] 9908.TW: 4.1% (歷史分位: 92.8%)
[💎 歷史高位] 1213.TW: 4.06% (歷史分位: 93.4%)
[💎 歷史高位] 1529.TW: 4.06% (歷史分位: 81.6%)
[💎 歷史高位] 2947.TWO: 4.01% (歷史分位: 98.7%)
[💎 歷史高位] 1907.TW: 3.99% (歷史分位: 80.9%)
[💎 歷史高位] 8917.TWO: 3.98% (歷史分位: 82.7%)
[💎 歷史高位] 7714.TWO: 3.95% (歷史分位: 91.7%)
[💎 歷史高位] 7780.TW: 3.93% (歷史分位: 96.6%)
[💎 歷史高位] 9937.TW: 3.93% (歷史分位: 92.8%)
[💎 歷史高位] 6183.TW: 3.91% (歷史分位: 98.0%)
[💎 歷史高位] 6516.TWO: 3.91% (歷史分位: 89.7%)
[💎 歷史高位] 1219.TW: 3.88% (歷史分位: 93.4%)
[💎 歷史高位] 1736.TW: 3.88% (歷史分位: 99.3%)
[💎 歷史高位] 2511.TW: 3.75% (歷史分位: 82.2%)
[💎 歷史高位] 2849.TW: 3.64% (歷史分位: 94.7%)
[💎 歷史高位] 8473.TW: 3.52% (歷史分位: 81.6%)
[💎 歷史高位] 7703.TWO: 3.39% (歷史分位: 87.2%)
[💎 歷史高位] 1225.TW: 3.37% (歷史分位: 94.7%)
[💎 歷史高位] 1760.TW: 3.31% (歷史分位: 94.0%)
[💎 歷史高位] 4728.TWO: 3.19% (歷史分位: 98.7%)
[💎 歷史高位] 6741.TWO: 3.19% (歷史分位: 80.1%)
[💎 歷史高位] 7747.TWO: 3.16% (歷史分位: 80.8%)
