pe,est_price,symbol,date,advice,om,eps,prev_eps_yoy,status,prev_rev_yoy,prev_year,prev_eps,price,eps_yoy,rev_yoy,expansion,name,gm
5.35548709828439,194.10000000000002,9914.TW,2025-12,💎 強力關注,N/A,4.01,-18.34,🧐 疑業外收益,-8.55,2025,4.81,69.3000030518,271.37,-9.71,281.08,美利達,N/A
4.716242736095889,153.3,6165.TW,2025-12,💎 強力關注,N/A,4.02,410.34,🚀 利潤擴張,12.63,2025,3.02,48.2000007629,288.24,12.97,275.27,浪凡,N/A
53.31807780320366,65.55,4576.TW,2025-12,⚠️ 追價風險,13.23%,2.01,447.83,🚀 利潤擴張,19.84,2025,1.26,233.0,294.12,20.44,273.68,大銀微系統,38.42%
0.0,-8.100000000000001,2466.TW,2025-12,⚪ 數據不足,-53.06%,0.25,230.67,🧐 疑業外收益,-6.66,2025,0.98,47.0499992371,241.18,-14.27,255.45000000000002,冠西電,-4.21%
3.3877903289681863,174.45,1608.TW,2025-12,💎 強力關注,6.96%,5.5,241.94,🚀 利潤擴張,-0.36,2025,4.75,39.4000015259,254.81,0.02,254.79,華榮,9.17%
33.84615457961539,3.9000000000000004,1718.TW,2025-12,⚠️ 追價風險,18.72%,0.09,-11.76,🧐 疑業外收益,4.96,2025,0.19,8.8000001907,250.0,-0.24,250.24,中纖,41.46%
22.197802197802197,68.25,4949.TW,2025-12,⚠️ 追價風險,N/A,1.91,180.87,🧐 疑業外收益,-1.75,2025,1.48,101.0,240.74,-0.48,241.22,有成精密,N/A
0.0,-2.4000000000000004,1438.TW,2025-12,⚪ 數據不足,25.89%,1.74,10.89,🔄 轉虧為盈,-98.23,2025,-0.9,19.6000003815,237.01,7.93,229.07999999999998,三地開發,29.82%
9.149659734217686,22.050000000000004,1456.TW,2025-12,💎 強力關注,248.16%,3.41,15.89,🔄 轉虧為盈,-26.31,2025,-0.9,13.4499998093,207.21,-20.46,227.67000000000002,怡華,46.73%
32.72727345736842,31.349999999999998,3530.TW,2025-12,⚠️ 追價風險,14.09%,1.74,-50.0,🚀 利潤擴張,-5.41,2025,0.47,68.4000015259,230.83,6.6,224.23000000000002,晶相光,31.94%
21.354166666666668,14.399999999999999,2034.TW,2025-12,⚪ 中性觀察,-1.87%,0.21,94.12,🧐 疑業外收益,-4.98,2025,0.33,20.5,200.0,-13.63,213.63,允強,5.45%
3.63718404666065,83.1,4167.TWO,2025-12,💎 強力關注,9.56%,1.72,237.21,🧐 疑業外收益,-6.23,2025,1.43,20.1499996185,203.51,-1.28,204.79,松瑞藥,30.12%
8.115124325711061,66.44999999999999,4744.TWO,2025-12,💎 強力關注,14.38%,2.51,400.0,🚀 利潤擴張,14.04,2025,1.0,35.9500007629,216.0,12.21,203.79,皇將,42.43%
70.33492822966508,31.349999999999998,6902.TW,2025-12,⚠️ 追價風險,N/A,1.58,119.47,🚀 利潤擴張,20.7,2025,0.23,147.0,222.58,20.92,201.66000000000003,GOGOLOOK,N/A
5.326295585412668,468.90000000000003,2316.TW,2025-12,💎 強力關注,-7.46%,13.38,260.07,🚀 利潤擴張,8.72,2025,10.81,166.5,212.47,12.25,200.22,楠梓電,5.71%
