status,prev_year,prev_rev_yoy,price,eps_yoy,gm,advice,rev_yoy,pe,eps,name,om,expansion,prev_eps,prev_eps_yoy,symbol,est_price,date
🔄 轉虧為盈,2025,5.03,22.7000007629,445.45,N/A,⚪ 數據不足,186.87,0.0,0.38,三貝德,N/A,258.58,-0.76,55.83,8489.TWO,-20.1,2026-03
🚀 利潤擴張,2025,0.89,100.5,701.79,18.73%,✅ 穩健價值,473.51,12.531172069825438,4.49,事欣科,8.07%,228.27999999999997,1.77,8050.0,4916.TW,120.3,2026-03
🚀 利潤擴張,2025,-3.15,15.6000003815,518.75,N/A,💎 強力關注,292.4,5.306122578741497,2.97,銘旺實,N/A,226.35000000000002,0.88,-66.67,4432.TWO,44.1,2026-03
🚀 利潤擴張,2025,-61.59,9.7700004578,350.0,35.38%,💎 強力關注,132.31,9.969388222244897,0.45,中美實,-88.29%,217.69,0.88,51.72,4702.TWO,14.700000000000001,2026-03
🚀 利潤擴張,2025,5.83,138.0,512.9,N/A,💎 強力關注,297.67,4.193254329990884,3.8,東哥遊艇,N/A,215.22999999999996,13.25,33.97,8478.TW,493.65000000000003,2026-03
🚀 利潤擴張,2025,3.39,36.7999992371,925.0,13.61%,💎 強力關注,713.51,7.201565408434442,0.66,大亞,8.70%,211.49,1.65,-21.15,1609.TW,76.65,2026-03
🚀 利潤擴張,2025,3.55,22.2000007629,213.33,19.34%,⚪ 數據不足,26.54,0.0,0.47,聯嘉投控,7.12%,186.79000000000002,0.08,-80.0,3717.TW,0.0,2026-03
🔄 轉虧為盈,2025,-10.9,50.4000015259,266.67,N/A,⚪ 數據不足,80.73,0.0,0.33,巨虹,N/A,185.94,-1.82,-280.2,8084.TWO,-43.199999999999996,2026-03
🚀 利潤擴張,2025,18.23,50.9000015259,728.13,30.40%,💎 強力關注,542.69,8.118022571913876,2.65,東浦,14.85%,185.43999999999994,2.02,25.64,3290.TWO,94.05,2026-03
🔄 轉虧為盈,2025,-15.68,16.0,550.0,N/A,⚪ 數據不足,385.95,0.0,0.09,同協,N/A,164.05,-0.17,-177.27,5460.TWO,-7.95,2026-03
🚀 利潤擴張,2025,32.98,0.0,276.67,N/A,⚪ 數據不足,116.02,0.0,0.53,未知,N/A,160.65000000000003,1.54,1640.0,4582.TWO,0.0,2026-03
🚀 利潤擴張,2025,32.98,23.5,276.67,N/A,⚪ 數據不足,116.02,0.0,0.53,聚恆-創,N/A,160.65000000000003,1.54,1640.0,4582.TW,0.0,2026-03
🔄 轉虧為盈,2025,-2.43,68.0,700.0,10.78%,⚪ 數據不足,542.01,0.0,0.06,鼎元,-2.91%,157.99,-0.25,-219.05,2426.TW,-6.6,2026-03
🔄 轉虧為盈,2025,2.69,45.6500015259,264.29,56.31%,⚪ 數據不足,108.24,0.0,0.28,圓剛,8.42%,156.05,-0.19,54.55,2417.TW,-25.049999999999997,2026-03
🔄 轉虧為盈,2025,-4.25,11.25,366.67,N/A,⚠️ 追價風險,214.33,160.71428571428558,0.28,成霖,N/A,152.34,-0.29,-125.22,9934.TW,1.050000000000001,2026-03
🚀 利潤擴張,2025,7.13,64.4000015259,323.08,N/A,⚠️ 追價風險,180.76,29.95348908181394,1.1,六角,N/A,142.32,1.09,-77.02,2732.TWO,32.250000000000014,2026-03
