price,advice,symbol,gm,eps,prev_year,prev_rev_yoy,status,prev_eps_yoy,pe,est_price,eps_yoy,prev_eps,om,date,name,expansion,rev_yoy
67.1999969482,⚠️ 追價風險,3054.TW,62.07%,1.96,2025,24.16,🏰 高護城河,288.57,25.846152672384612,39.0,590.0,0.66,-188.65%,2025-12,立萬利,563.39,26.61
24.0,💎 強力關注,9949.TWO,N/A,5.29,2025,-19.03,🧐 疑業外收益,1270.21,2.5263157894736845,142.49999999999997,544.54,5.5,N/A,2025-12,琉園,561.54,-17.0
58.2999992371,⚪ 數據不足,6282.TW,N/A,0.18,2025,-4.33,🔄 轉虧為盈,-90.0,0.0,-13.950000000000003,550.0,-0.38,N/A,2025-12,康舒,549.9,0.1
34.4000015259,⚠️ 追價風險,2491.TW,43.42%,1.43,2025,-12.66,🧐 疑業外收益,179.03,202.35295015235278,2.5500000000000025,457.5,0.49,-66.51%,2025-12,吉祥全,467.93,-10.43
31.1499996185,⚠️ 追價風險,3297.TWO,30.70%,0.47,2025,18.74,🚀 利潤擴張,2600.0,25.74380133760331,18.15,461.54,0.54,-18.51%,2025-12,杭特,440.95000000000005,20.59
202.0,⚪ 數據不足,3555.TWO,18.45%,1.28,2025,310.97,🔄 轉虧為盈,7.84,0.0,-9.599999999999998,752.94,-0.58,4.44%,2025-12,博士旺,418.37000000000006,334.57
40.9000015259,⚠️ 追價風險,2243.TW,22.27%,1.22,2025,-10.45,🔄 轉虧為盈,38.89,46.47727446125001,13.199999999999998,408.33,-0.11,15.14%,2025-12,宏旭-KY,417.34999999999997,-9.02
839.0,⚠️ 追價風險,3167.TW,42.12%,8.13,2025,119.15,🚀 利潤擴張,790.16,47.64338444065871,264.15000000000003,474.47,5.45,18.24%,2025-12,大量,379.12,95.35
9.5799999237,💎 強力關注,1413.TW,2.52%,0.45,2025,-6.34,🧐 疑業外收益,326.32,8.709090839727274,16.499999999999996,364.71,0.43,0.23%,2025-12,宏洲,374.26,-9.55
278.0,⚠️ 追價風險,4764.TW,23.49%,1.22,2025,6.23,🚀 利潤擴張,187.32,107.33590733590734,38.849999999999994,377.27,0.62,7.74%,2025-12,雙鍵,371.81,5.46
29.2999992371,💎 強力關注,5490.TWO,N/A,1.69,2025,13.03,🚀 利潤擴張,916.67,6.4254384291885955,68.4,382.35,1.26,N/A,2025-12,同亨,370.34000000000003,12.01
16.6000003815,💎 強力關注,8940.TW,N/A,0.55,2025,-10.3,🧐 疑業外收益,103.23,5.9285715648214286,42.0,358.33,0.02,N/A,2025-12,新天地,364.75,-6.42
74.8000030518,⚪ 中性觀察,3219.TWO,69.49%,1.52,2025,43.11,🏰 高護城河,179.66,18.793970616030155,59.699999999999996,406.67,1.65,-15.39%,2025-12,倚強科,356.99,49.68
24.1000003815,💎 強力關注,2409.TW,10.73%,0.9,2025,-0.15,🚀 利潤擴張,185.25,9.488189126574802,38.1,327.5,0.52,-2.70%,2025-12,友達,327.09,0.41
89.1999969482,💎 強力關注,4439.TW,15.60%,7.73,2025,30.37,🚀 利潤擴張,114.76,4.156570221258154,321.90000000000003,346.24,7.71,0.97%,2025-12,冠星-KY,316.98,29.26
48.0,⚪ 數據不足,2399.TW,8.40%,0.15,2025,-14.04,🔄 轉虧為盈,-222.22,0.0,-2.7000000000000006,275.0,-0.11,-12.67%,2025-12,映泰,289.09,-14.09
45.9000015259,💎 強力關注,2498.TW,34.44%,7.21,2025,-0.73,🧐 疑業外收益,352.24,1.9164927568225472,359.25,275.85,7.88,-79.17%,2025-12,宏達電,281.70000000000005,-5.85
73.6999969482,💎 強力關注,9914.TW,N/A,4.01,2025,-8.55,🧐 疑業外收益,-18.34,5.695517538500772,194.10000000000002,271.37,4.81,N/A,2025-12,美利達,281.08,-9.71
48.7999992371,💎 強力關注,6165.TW,N/A,4.02,2025,12.63,🚀 利潤擴張,410.34,4.77495100167319,153.3,288.24,3.02,N/A,2025-12,浪凡,275.27,12.97
215.0,⚠️ 追價風險,4576.TW,38.42%,2.01,2025,19.84,🚀 利潤擴張,447.83,49.19908466819222,65.55,294.12,1.26,13.23%,2025-12,大銀微系統,273.68,20.44
47.9500007629,⚪ 數據不足,2466.TW,-4.21%,0.25,2025,-6.66,🧐 疑業外收益,230.67,0.0,-8.100000000000001,241.18,0.98,-53.06%,2025-12,冠西電,255.45000000000002,-14.27
35.25,💎 強力關注,1608.TW,9.17%,5.5,2025,-0.36,🚀 利潤擴張,241.94,3.0309544282029237,174.45,254.81,4.75,6.96%,2025-12,華榮,254.79,0.02
9.279999733,⚠️ 追價風險,1718.TW,41.46%,0.09,2025,4.96,🧐 疑業外收益,-11.76,35.69230666538461,3.9000000000000004,250.0,0.19,18.72%,2025-12,中纖,250.24,-0.24
88.0999984741,⚪ 中性觀察,4949.TW,N/A,1.91,2025,-1.75,🧐 疑業外收益,180.87,19.362637027274726,68.25,240.74,1.48,N/A,2025-12,有成精密,241.22,-0.48
22.5,⚪ 數據不足,1438.TW,29.82%,1.74,2025,-98.23,🔄 轉虧為盈,10.89,0.0,-2.4000000000000004,237.01,-0.9,25.89%,2025-12,三地開發,229.07999999999998,7.93
14.6000003815,💎 強力關注,1456.TW,46.73%,3.41,2025,-26.31,🔄 轉虧為盈,15.89,9.931973048639454,22.050000000000004,207.21,-0.9,248.16%,2025-12,怡華,227.67000000000002,-20.46
65.1999969482,⚠️ 追價風險,3530.TW,31.94%,1.74,2025,-5.41,🚀 利潤擴張,-50.0,31.19617078861244,31.349999999999998,230.83,0.47,14.09%,2025-12,晶相光,224.23000000000002,6.6
20.7999992371,⚪ 中性觀察,2034.TW,5.45%,0.21,2025,-4.98,🧐 疑業外收益,94.12,21.666665871979166,14.399999999999999,200.0,0.33,-1.87%,2025-12,允強,213.63,-13.63
19.9500007629,💎 強力關注,4167.TWO,30.12%,1.72,2025,-6.23,🧐 疑業外收益,237.21,3.601083170198556,83.1,203.51,1.43,9.56%,2025-12,松瑞藥,204.79,-1.28
