代號,名稱,Date,現價,上週估買(張),這週估買(張),淨增進貨(張),增長倍數,5D股價漲跌,自營商,投信,外資,狀態
6405.TW,悅城,20260529,79.8,-110,1081,1192,新進/轉買,27.07%,-9,0,163,▲ 順勢追意
6603.TWO,富強鑫,20260529,25.55,-270,890,1161,新進/轉買,14.06%,-1,0,589,▲ 順勢追意
9136.TW,巨騰-DR,20260529,11.1,-908,174,1083,新進/轉買,1.37%,0,0,-188,★ 壓低偷買
7740.TW,熙特爾-創,20260529,185.0,-22,1004,1026,新進/轉買,1.37%,-2,0,494,▲ 順勢追意
6588.TWO,東典光電,20260529,112.5,-545,442,988,新進/轉買,-13.79%,0,0,143,★ 壓低偷買
6913.TWO,鴻呈,20260529,141.0,216,1163,946,5.4x,0.71%,-8,0,73,★ 壓低偷買
6469.TWO,大樹,20260529,71.4,-816,73,889,新進/轉買,-0.14%,0,0,224,▲ 順勢追意
8155.TWO,博智,20260529,399.0,-553,293,846,新進/轉買,-3.51%,-78,0,-69,★ 壓低偷買
6679.TWO,鈺太,20260529,314.5,-407,428,835,新進/轉買,-4.45%,-52,0,-68,★ 壓低偷買
6451.TW,訊芯-KY,20260529,570.0,3879,4693,813,1.2x,8.78%,-13,0,173,★ 壓低偷買
8109.TWO,博大,20260529,125.5,-757,34,792,新進/轉買,0.40%,3,0,18,▲ 順勢追意
8213.TW,志超,20260529,39.0,69,798,728,11.4x,1.17%,-7,0,-210,★ 壓低偷買
6781.TW,AES-KY,20260529,1160.0,175,863,687,4.9x,-4.13%,-14,0,47,★ 壓低偷買
8454.TW,富邦媒,20260529,231.0,-397,250,648,新進/轉買,20.63%,51,-22,256,▲ 順勢追意
6515.TW,穎崴,20260529,8665.0,-243,388,632,新進/轉買,-0.40%,-62,-120,40,★ 壓低偷買
6691.TW,洋基工程,20260529,650.0,-59,552,611,新進/轉買,3.50%,-60,0,-239,★ 壓低偷買
6546.TWO,正基,20260529,84.5,2265,2856,590,1.3x,7.10%,18,0,275,▲ 順勢追意
6438.TW,迅得,20260529,175.0,596,1086,489,1.8x,3.55%,13,0,205,▲ 順勢追意
6223.TWO,旺矽,20260529,5960.0,5,481,476,89.4x,-1.24%,-13,-31,-116,★ 壓低偷買
6757.TW,台灣虎航,20260529,56.7,118,577,458,4.9x,4.81%,0,0,1023,▲ 順勢追意
8092.TWO,建暐,20260529,17.8,-365,18,383,新進/轉買,-2.73%,0,0,29,▲ 順勢追意
6259.TWO,百徽,20260529,27.0,335,694,358,2.1x,7.14%,0,0,101,▲ 順勢追意
6902.TW,GOGOLOOK,20260529,143.0,-30,328,358,新進/轉買,10.42%,0,0,82,▲ 順勢追意
6996.TWO,力領科技,20260529,191.5,-277,80,358,新進/轉買,-1.29%,0,0,54,▲ 順勢追意
7828.TWO,創新服務,20260529,1410.0,106,452,346,4.2x,21.03%,25,0,113,▲ 順勢追意
7721.TW,微程式,20260529,72.8,108,403,294,3.7x,-9.00%,1,0,-13,★ 壓低偷買
6806.TW,森崴能源,20260529,6.71,-232,3,235,新進/轉買,-27.62%,0,0,5,★ 壓低偷買
6669.TW,緯穎,20260529,5445.0,-129,86,215,新進/轉買,-1.45%,-106,-192,191,▲ 順勢追意
6231.TWO,系微,20260529,284.5,251,454,203,1.8x,-3.07%,-23,0,127,★ 壓低偷買
6573.TW,虹揚-KY,20260529,16.3,-26,165,192,新進/轉買,23.95%,7,0,79,▲ 順勢追意
8942.TWO,森鉅,20260529,41.7,-57,120,178,新進/轉買,2.21%,0,0,286,▲ 順勢追意
8935.TWO,邦泰,20260529,21.0,111,279,168,2.5x,5.00%,0,0,217,▲ 順勢追意
7704.TWO,明遠精密,20260529,60.1,-102,64,167,新進/轉買,-8.38%,0,0,-5,★ 壓低偷買
6870.TWO,騰雲,20260529,266.0,-97,69,166,新進/轉買,13.19%,7,0,21,▲ 順勢追意
