symbol,prev_eps,name,price,est_price,expansion,eps,eps_yoy,gm,rev_yoy,om,prev_eps_yoy,status,prev_rev_yoy,advice,pe,prev_year,date
1796.TWO,0.31,金穎生技,35.9000015259,20.249999999999996,199.70999999999998,0.7,229.63,31.84%,29.92,10.64%,150.0,🚀 利潤擴張,36.52,⚠️ 追價風險,26.592593722888893,2025,2025-12
6840.TWO,1.18,東研信超,63.4000015259,51.15,197.42,1.58,205.88,N/A,8.46,N/A,76.12,🚀 利潤擴張,5.51,⚪ 中性觀察,18.592375814046925,2025,2025-12
3191.TWO,0.55,雲嘉南,26.4500007629,7.2,197.22,0.51,189.47,29.43%,-7.75,-10.81%,219.57,🧐 疑業外收益,-1.51,⚠️ 追價風險,55.10416825604166,2025,2025-12
3048.TW,1.14,益登,72.0,60.59999999999999,193.66,2.01,195.71,3.50%,2.05,1.71%,153.27,🚀 利潤擴張,5.31,⚪ 中性觀察,17.821782178217827,2025,2025-12
6202.TW,0.62,盛群,58.7000007629,34.199999999999996,191.41,0.76,213.64,N/A,22.23,N/A,191.04,🚀 利潤擴張,31.27,⚠️ 追價風險,25.745614369692984,2025,2025-12
2413.TW,-0.25,環科,51.2000007629,-9.6,189.66,0.41,193.18,17.05%,3.52,3.38%,62.12,🔄 轉虧為盈,8.02,⚪ 數據不足,0.0,2025,2025-12
1516.TW,0.1,川飛,20.7000007629,0.30000000000000027,187.65,0.04,100.65,5.36%,-87.0,-14.33%,-70.59,🧐 疑業外收益,-90.58,⚠️ 追價風險,1035.000038144999,2025,2025-12
6112.TW,1.2,邁達特,42.7999992371,56.25,184.49,1.82,203.33,N/A,18.84,N/A,-3.23,🚀 利潤擴張,20.56,💎 強力關注,11.413333129893335,2025,2025-12
6246.TWO,-0.04,臺龍,15.1499996185,11.099999999999998,179.8,1.14,186.36,N/A,6.56,N/A,97.79,🔄 轉虧為盈,11.15,⚪ 中性觀察,20.472972457432437,2025,2025-12
4746.TW,2.44,台耀,0.0,0.0,177.61,3.67,180.15,41.59%,2.54,21.37%,39.43,🚀 利潤擴張,4.96,⚪ 數據不足,0.0,2025,2025-12
3609.TWO,7.31,三一東林,28.0499992371,163.5,177.55,6.42,248.27,8.05%,70.72,-11.23%,314.37,🚀 利潤擴張,27.17,💎 強力關注,2.5733944254220185,2025,2025-12
6573.TW,1.61,虹揚-KY,16.2999992371,20.7,176.83,1.23,163.4,N/A,-13.43,N/A,228.8,🧐 疑業外收益,-11.95,💎 強力關注,11.811593650072464,2025,2025-12
6719.TW,4.25,力智,247.0,213.00000000000003,174.75,6.58,198.64,N/A,23.89,N/A,89.73,🚀 利潤擴張,22.77,⚪ 中性觀察,17.394366197183096,2025,2025-12
6127.TWO,0.91,九豪,67.3000030518,29.999999999999996,174.57,0.47,173.44,N/A,-1.13,N/A,275.0,🧐 疑業外收益,-0.97,⚠️ 追價風險,33.65000152590001,2025,2025-12
