gm,symbol,om,est_price,prev_eps,expansion,prev_eps_yoy,prev_rev_yoy,name,status,eps_yoy,pe,advice,date,eps,price,prev_year,rev_yoy
4.40%,2013.TW,2.40%,111.9,2.27,11.79,13.5,10.09,中鋼構,🚀 利潤擴張,18.15,5.6501342528016085,💎 強力關注,2025-12,3.19,42.1500015259,2025,6.36
49.56%,4142.TW,23.11%,-48.6,-1.09,11.74,-137.78,-35.17,國光生,🧐 疑業外收益,1.75,0.0,⚪ 數據不足,2025-12,-0.57,17.6000003815,2025,-9.99
37.66%,2449.TW,28.21%,374.69999999999993,7.17,11.590000000000003,52.55,27.65,京元電子,🚀 利潤擴張,41.67,11.44915932746197,💎 強力關注,2025-12,9.01,286.0,2025,30.08
N/A,6016.TWO,N/A,29.849999999999998,1.11,11.55,-23.97,-12.49,康和證,🚀 利潤擴張,13.14,11.281407418542715,💎 強力關注,2025-12,1.98,22.4500007629,2025,1.59
16.83%,3055.TW,-125.48%,-99.60000000000001,-1.73,11.239999999999998,-19.72,-39.2,蔚華科,🌑 雙重衰退,-20.55,0.0,⚪ 數據不足,2025-12,-2.68,116.5,2025,-31.79
N/A,6788.TWO,N/A,610.05,12.09,11.120000000000001,34.48,19.97,華景電,🚀 利潤擴張,31.09,10.019670518809935,💎 強力關注,2025-12,17.36,407.5,2025,19.97
N/A,8074.TWO,N/A,41.1,0.81,10.98,-10.99,4.12,鉅橡,🚀 利潤擴張,15.38,27.189781021897808,⚠️ 追價風險,2025-12,1.35,74.5,2025,4.4
33.66%,2368.TW,24.30%,656.4,13.61,10.75,50.06,49.83,金像電,🚀 利潤擴張,64.8,29.364716636197443,⚠️ 追價風險,2025-12,19.47,1285.0,2025,54.05
25.47%,3044.TW,17.08%,717.1500000000001,14.75,10.400000000000002,25.96,11.61,健鼎,🚀 利潤擴張,21.94,10.20706965070069,💎 強力關注,2025-12,19.45,488.0,2025,11.54
11.41%,2468.TW,4.34%,41.85,0.77,10.27,32.76,25.51,華經,🚀 利潤擴張,30.21,12.007168458781361,✅ 穩健價值,2025-12,1.25,33.5,2025,19.94
61.03%,2527.TW,12.48%,1.1999999999999993,0.6,10.25,-55.04,-70.82,宏璟,🏰 高護城河,-80.68,416.8749809262502,⚠️ 追價風險,2025-12,0.93,33.3499984741,2025,-90.93
16.49%,1218.TW,2.59%,0.0,1.07,10.05,-16.8,-6.62,泰山,🧐 疑業外收益,4.73,0.0,⚪ 數據不足,2025-12,1.59,0.0,2025,-5.32
3.74%,3036.TW,1.75%,402.59999999999997,8.11,10.049999999999997,41.71,19.83,文曄,🚀 利潤擴張,32.83,10.860655737704919,💎 強力關注,2025-12,11.61,291.5,2025,22.78
28.44%,3357.TWO,14.20%,384.15,7.84,9.989999999999998,58.06,20.14,臺慶科,🚀 利潤擴張,30.29,9.918000780944944,✅ 穩健價值,2025-12,10.26,254.0,2025,20.3
45.11%,3257.TW,18.06%,123.75,2.65,9.86,26.19,22.45,虹冠電,🚀 利潤擴張,39.18,6.848484848484849,✅ 穩健價值,2025-12,3.42,56.5,2025,29.32
91.14%,2884.TW,40.48%,79.95,1.62,9.619999999999997,23.66,15.61,玉山金,🏰 高護城河,30.06,5.9193244347279546,✅ 穩健價值,2025-12,2.12,31.5499992371,2025,20.44
5.75%,1471.TW,-72.91%,3.3,-0.05,9.369999999999997,-117.24,-27.03,首利,🔄 轉虧為盈,-25.0,47.72727272727273,⚠️ 追價風險,2025-12,0.03,10.5,2025,-34.37
15.94%,2006.TW,10.83%,232.95,4.55,9.21,-0.44,-2.5,東和鋼鐵,🧐 疑業外收益,5.37,4.217643271088217,✅ 穩健價值,2025-12,6.47,65.5,2025,-3.84
N/A,6138.TWO,N/A,453.15000000000003,9.27,9.05,24.31,21.32,茂達,🚀 利潤擴張,31.94,9.996689837802052,✅ 穩健價值,2025-12,13.04,302.0,2025,22.89
97.25%,2880.TW,45.93%,68.39999999999999,1.43,9.04,10.0,1.87,華南金,🏰 高護城河,13.1,7.028508604627194,✅ 穩健價值,2025-12,1.9,32.0499992371,2025,4.06
N/A,6928.TW,N/A,-7.05,-0.1,8.95,79.17,5.88,攸泰科技,🧐 疑業外收益,6.41,0.0,⚪ 數據不足,2025-12,-0.73,46.5,2025,-2.54
N/A,5381.TWO,N/A,32.55,0.65,8.32,12.28,-6.16,光譜,🧐 疑業外收益,2.44,11.658985823548388,✅ 穩健價值,2025-12,0.72,25.2999992371,2025,-5.88
N/A,5520.TWO,N/A,383.4,7.92,8.3,17.13,3.98,力泰,🚀 利潤擴張,10.9,3.215962321917058,✅ 穩健價值,2025-12,9.97,82.1999969482,2025,2.6
-7.81%,4804.TWO,-65.06%,-39.300000000000004,-0.65,8.24,55.65,8.04,大略-KY,🚀 利潤擴張,15.65,0.0,⚪ 數據不足,2025-12,-1.54,3.2699999809,2025,7.41
N/A,6470.TWO,N/A,118.8,2.27,8.06,14.07,12.82,宇智,🧐 疑業外收益,7.5,6.085858682184343,✅ 穩健價值,2025-12,3.87,48.2000007629,2025,-0.56
N/A,5478.TWO,N/A,290.85,5.84,8.03,-5.4,-8.2,智冠,🧐 疑業外收益,4.25,5.121196650428056,✅ 穩健價值,2025-12,7.93,99.3000030518,2025,-3.78
15.35%,2329.TW,8.19%,74.1,1.41,8.0,-2.16,19.58,華泰,🚀 利潤擴張,28.92,10.708502333178139,✅ 穩健價值,2025-12,2.45,52.9000015259,2025,20.92
41.25%,3653.TW,31.26%,1360.5,26.92,7.960000000000001,62.75,52.19,健策,🚀 利潤擴張,49.96,36.71444321940463,⚠️ 追價風險,2025-12,36.75,3330.0,2025,42.0
32.53%,3611.TWO,8.38%,690.6,13.9,7.640000000000001,23.16,40.71,鼎翰,🚀 利潤擴張,38.68,4.072545612510861,✅ 穩健價值,2025-12,19.63,187.5,2025,31.04
N/A,5212.TWO,N/A,121.2,2.82,7.530000000000001,-1.4,17.89,凌網,🚀 利潤擴張,23.44,5.7549504950495045,✅ 穩健價值,2025-12,4.74,46.5,2025,15.91
30.40%,3290.TWO,14.85%,59.1,1.22,7.41,-0.64,15.97,東浦,🚀 利潤擴張,25.64,11.99238578680203,✅ 穩健價值,2025-12,2.02,47.25,2025,18.23
15.28%,3511.TWO,-5.62%,-45.89999999999999,-1.0,7.279999999999999,11.5,1.3,矽瑪,🧐 疑業外收益,6.35,0.0,⚪ 數據不足,2025-12,-1.18,19.9500007629,2025,-0.93
4.90%,1605.TW,-1.88%,25.95,0.52,7.18,-41.67,-0.21,華新,🧐 疑業外收益,4.35,20.520231213872833,⚪ 中性觀察,2025-12,0.75,35.5,2025,-2.83
17.19%,2404.TW,13.88%,1659.9,34.07,7.150000000000006,52.4,30.93,漢唐,🚀 利潤擴張,46.52,9.940357852882704,✅ 穩健價值,2025-12,48.08,1100.0,2025,39.37
17.62%,3026.TW,5.81%,241.20000000000002,4.75,7.09,5.79,5.39,禾伸堂,🚀 利潤擴張,12.1,26.958955223880594,⚠️ 追價風險,2025-12,6.58,433.5,2025,5.01
N/A,8279.TWO,N/A,395.85,8.62,6.99,28.46,7.66,生展,🚀 利潤擴張,13.09,3.694581280788177,✅ 穩健價值,2025-12,10.02,97.5,2025,6.1
21.72%,2301.TW,10.49%,239.70000000000002,4.94,6.98,28.23,23.16,光寶科,🚀 利潤擴張,28.09,12.797246558197747,✅ 穩健價值,2025-12,6.64,204.5,2025,21.11
N/A,6662.TWO,N/A,52.5,0.99,6.709999999999999,3.13,-7.37,樂斯科,🌑 雙重衰退,-3.49,8.285714285714286,✅ 穩健價值,2025-12,1.66,29.0,2025,-10.2
32.08%,3652.TW,2.52%,45.3,0.94,6.61,10.59,0.48,精聯,🚀 利潤擴張,7.2,10.016556291390728,✅ 穩健價值,2025-12,1.34,30.25,2025,0.59
N/A,5876.TW,N/A,122.85000000000002,2.56,6.409999999999999,17.51,3.26,上海商銀,🚀 利潤擴張,10.11,4.902320088632478,✅ 穩健價值,2025-12,3.06,40.1500015259,2025,3.7
N/A,6706.TW,N/A,-168.45000000000002,-3.69,6.380000000000001,7.98,38.55,惠特,🧐 疑業外收益,2.97,0.0,⚪ 數據不足,2025-12,-3.92,168.5,2025,-3.41
N/A,8069.TWO,N/A,355.8,8.17,6.300000000000001,75.65,29.4,元太,🚀 利潤擴張,18.59,9.717537942664418,✅ 穩健價值,2025-12,9.14,230.5,2025,12.29
N/A,6703.TWO,N/A,327.6,5.77,6.289999999999999,-23.43,-15.54,軒郁,🌑 雙重衰退,-2.0,5.265567765567765,✅ 穩健價值,2025-12,9.9,115.0,2025,-8.29
17.17%,4532.TW,6.80%,81.89999999999999,1.5,6.26,2.8,-0.93,瑞智,🧐 疑業外收益,0.5,4.285714215842492,✅ 穩健價值,2025-12,2.05,23.3999996185,2025,-5.76
N/A,6415.TW,N/A,213.00000000000003,4.31,6.200000000000001,19.44,0.55,矽力*-KY,🚀 利潤擴張,8.14,39.225352112676056,⚠️ 追價風險,2025-12,6.4,557.0,2025,1.94
N/A,5534.TW,N/A,151.04999999999998,2.24,6.09,-17.65,-38.06,長虹,🌑 雙重衰退,-23.57,7.52730914119166,✅ 穩健價值,2025-12,6.0,75.8000030518,2025,-29.66
31.02%,3005.TW,14.37%,315.15000000000003,6.36,6.070000000000002,15.04,9.96,神基,🚀 利潤擴張,16.67,4.854831032841504,✅ 穩健價值,2025-12,8.43,102.0,2025,10.6
N/A,5601.TWO,N/A,15.75,0.32,5.880000000000001,0.0,1.76,台聯櫃,🚀 利潤擴張,7.69,33.42856997533333,⚠️ 追價風險,2025-12,0.42,35.0999984741,2025,1.81
-19.71%,1337.TW,-65.33%,-62.85000000000001,-1.24,5.83,-18.1,-18.71,再生-KY,🌑 雙重衰退,-12.99,0.0,⚪ 數據不足,2025-12,-1.74,4.7699999809,2025,-18.82
29.22%,1712.TW,5.88%,104.69999999999999,2.07,5.68,6.7,-2.3,興農,🧐 疑業外收益,4.0,5.7593124302149,✅ 穩健價值,2025-12,2.6,40.2000007629,2025,-1.68
N/A,6122.TWO,N/A,173.55,3.44,5.67,-0.87,-2.12,擎邦,🚀 利潤擴張,7.03,4.114088027147796,✅ 穩健價值,2025-12,4.78,47.5999984741,2025,1.36
25.16%,3284.TWO,13.35%,70.80000000000001,1.21,5.66,-53.6,-29.91,太普高,🌑 雙重衰退,-12.16,3.5805083937499997,✅ 穩健價值,2025-12,2.31,16.8999996185,2025,-17.82
46.23%,2617.TW,41.07%,0.0,2.36,5.529999999999999,0.43,-5.48,台航,🧐 疑業外收益,3.25,0.0,⚪ 數據不足,2025-12,3.18,0.0,2025,-2.28
N/A,6761.TWO,N/A,275.55,5.51,5.21,1.73,2.55,穩得,🧐 疑業外收益,2.89,10.642351660315732,✅ 穩健價值,2025-12,7.34,195.5,2025,-2.32
N/A,6005.TW,N/A,87.6,1.87,5.189999999999998,5.65,6.33,群益證,🚀 利潤擴張,17.33,5.410958969434931,✅ 穩健價值,2025-12,2.64,31.6000003815,2025,12.14
88.90%,2801.TW,38.59%,57.900000000000006,1.2,5.18,20.0,7.51,彰銀,🏰 高護城河,13.53,5.259067159870466,✅ 穩健價值,2025-12,1.51,20.2999992371,2025,8.35
N/A,9931.TW,N/A,91.95000000000002,1.86,5.170000000000002,-6.06,-27.73,欣高,🌑 雙重衰退,-14.34,5.5220225895758555,✅ 穩健價值,2025-12,2.45,33.8499984741,2025,-19.51
N/A,8114.TW,N/A,798.15,15.84,4.989999999999995,86.67,69.45,振樺電,🚀 利潤擴張,35.66,4.548017289983086,✅ 穩健價值,2025-12,18.5,242.0,2025,30.67
N/A,9937.TW,N/A,85.8,1.74,4.94,-1.14,-6.0,全國,🌑 雙重衰退,-1.26,9.772727539493008,✅ 穩健價值,2025-12,2.36,55.9000015259,2025,-6.2
5.88%,2317.TW,3.28%,498.75,10.38,4.890000000000001,34.73,16.23,鴻海,🚀 利潤擴張,23.02,7.443609022556391,✅ 穩健價值,2025-12,13.61,247.5,2025,18.13
19.71%,3045.TW,10.58%,176.54999999999998,3.49,4.89,1.8,-0.87,台灣大,🧐 疑業外收益,4.58,9.643160577740018,✅ 穩健價值,2025-12,4.77,113.5,2025,-0.31
N/A,6290.TWO,N/A,316.65,6.2,4.739999999999998,42.86,28.79,良維,🚀 利潤擴張,31.08,12.908574135480816,✅ 穩健價值,2025-12,8.73,272.5,2025,26.34
N/A,6515.TW,N/A,1807.6499999999999,33.4,4.730000000000004,39.53,32.04,穎崴,🚀 利潤擴張,40.24,78.91461289519543,⚠️ 追價風險,2025-12,46.93,9510.0,2025,35.51
32.24%,1538.TW,-58.77%,-31.050000000000004,-0.36,4.57,64.0,22.91,正峰,🚀 利潤擴張,6.47,0.0,⚪ 數據不足,2025-12,-1.59,12.3999996185,2025,1.9
27.24%,3492.TWO,-0.96%,74.55,1.63,4.569999999999999,26.36,7.91,長盛,🚀 利潤擴張,9.26,4.507042176760564,✅ 穩健價值,2025-12,1.77,22.3999996185,2025,4.69
25.09%,3171.TWO,7.94%,151.05,3.11,4.509999999999998,36.4,23.81,炎洲流通,🚀 利潤擴張,36.94,6.643495682810327,✅ 穩健價值,2025-12,4.3,66.9000015259,2025,32.43
N/A,8155.TWO,N/A,188.55,3.35,4.480000000000004,1.87,35.15,博智,🚀 利潤擴張,41.38,32.85600636435959,⚠️ 追價風險,2025-12,6.88,413.0,2025,36.9
44.02%,4749.TWO,23.34%,411.90000000000003,8.49,4.48,32.29,32.03,新應材,🚀 利潤擴張,32.78,39.69410050983248,⚠️ 追價風險,2025-12,11.33,1090.0,2025,28.3
94.34%,2838.TW,35.36%,44.85,0.91,4.4399999999999995,-1.98,-0.7,聯邦銀,🏰 高護城河,8.94,6.722408154347826,✅ 穩健價值,2025-12,1.29,20.1000003815,2025,4.5
49.04%,1442.TW,34.02%,132.89999999999998,2.49,4.43,-57.58,-63.75,名軒,🌑 雙重衰退,-57.74,2.9514672255643344,✅ 穩健價值,2025-12,3.03,26.1499996185,2025,-62.17
33.35%,4571.TW,18.52%,370.65,7.33,4.3500000000000005,7.67,4.55,鈞興-KY,🚀 利潤擴張,4.45,8.741400242816674,✅ 穩健價值,2025-12,9.61,216.0,2025,0.1
15.77%,3037.TW,6.82%,114.89999999999999,2.06,4.32,-37.88,12.28,欣興,🚀 利潤擴張,18.07,118.14621409921672,⚠️ 追價風險,2025-12,4.38,905.0,2025,13.75
N/A,6220.TWO,N/A,8.700000000000001,0.45,4.299999999999999,-25.0,-20.23,岳豐,🌑 雙重衰退,-12.9,52.84482692844827,⚠️ 追價風險,2025-12,0.81,30.6499996185,2025,-17.2
15.43%,1210.TW,5.11%,0.0,2.67,4.28,-9.42,-1.43,大成,🧐 疑業外收益,2.79,0.0,⚪ 數據不足,2025-12,4.33,0.0,2025,-1.49
17.90%,3388.TWO,6.27%,150.60000000000002,3.06,4.16,2.0,-2.28,崇越電,🧐 疑業外收益,1.47,9.651394574292826,✅ 穩健價值,2025-12,4.15,96.9000015259,2025,-2.69
8.77%,3010.TW,5.39%,309.75000000000006,6.28,4.14,-5.56,-2.77,華立,🧐 疑業外收益,1.84,6.537530266343825,✅ 穩健價值,2025-12,8.84,135.0,2025,-2.3
15.17%,3349.TWO,-15.09%,-35.1,-0.64,3.9399999999999995,48.21,28.56,寶德,🚀 利潤擴張,9.52,0.0,⚪ 數據不足,2025-12,-1.02,19.0,2025,5.58
N/A,8162.TW,N/A,64.2,1.53,3.830000000000002,96.15,28.35,微矽電子-創,🚀 利潤擴張,23.62,12.920560569415889,✅ 穩健價值,2025-12,1.57,55.2999992371,2025,19.79
15.29%,3596.TW,6.31%,469.49999999999994,9.52,3.51,12.4,8.39,智易,🚀 利潤擴張,11.7,5.878594249201279,✅ 穩健價值,2025-12,12.6,184.0,2025,8.19
N/A,6689.TW,N/A,72.9,1.15,3.44,-34.29,2.81,伊雲谷,🧐 疑業外收益,1.77,13.744856595020575,✅ 穩健價值,2025-12,2.31,66.8000030518,2025,-1.67
N/A,6121.TWO,N/A,1094.85,21.26,3.3400000000000003,3.45,-0.37,新普,🚀 利潤擴張,5.99,5.226743389505412,✅ 穩健價值,2025-12,30.6,381.5,2025,2.65
N/A,6697.TWO,N/A,124.19999999999999,2.54,3.3100000000000005,27.0,14.74,東捷資訊,🚀 利潤擴張,16.48,4.96376793165459,✅ 穩健價值,2025-12,3.04,41.0999984741,2025,13.17
N/A,8432.TWO,N/A,133.49999999999997,3.01,3.2600000000000016,11.48,18.72,東生華,🚀 利潤擴張,23.05,5.7303370786516865,✅ 穩健價值,2025-12,3.63,51.0,2025,19.79
N/A,5902.TWO,N/A,86.55000000000001,1.79,3.25,1.13,3.96,德記,🚀 利潤擴張,6.16,6.499133448873483,✅ 穩健價值,2025-12,2.24,37.5,2025,2.91
N/A,6417.TWO,N/A,168.9,3.25,3.1999999999999993,9.43,8.43,韋僑,🚀 利潤擴張,11.03,11.545293072824157,✅ 穩健價值,2025-12,4.83,130.0,2025,7.83
26.27%,4931.TWO,15.45%,103.64999999999999,1.55,3.16,-8.33,4.97,新盛力,🚀 利潤擴張,26.02,27.930535455861072,⚠️ 追價風險,2025-12,3.13,193.0,2025,22.86
N/A,6492.TWO,N/A,-105.60000000000001,-2.06,3.09,13.87,10.67,生華科,🚀 利潤擴張,10.09,0.0,⚪ 數據不足,2025-12,-2.97,46.3499984741,2025,7.0
30.45%,3031.TW,11.22%,42.3,0.89,3.04,-8.25,-7.8,佰鴻,🌑 雙重衰退,0.0,11.914893075921986,✅ 穩健價值,2025-12,1.09,33.5999984741,2025,-3.04
14.20%,1714.TW,8.91%,17.250000000000004,0.37,3.0100000000000016,5.71,15.96,和桐,🚀 利潤擴張,19.51,8.521739296260868,✅ 穩健價值,2025-12,0.5,9.8000001907,2025,16.5
27.00%,1513.TW,17.59%,292.80000000000007,5.99,2.960000000000001,6.72,9.03,中興電,🚀 利潤擴張,10.14,7.914959016393442,✅ 穩健價值,2025-12,8.07,154.5,2025,7.18
N/A,5455.TWO,N/A,159.6,3.53,2.9299999999999997,44.67,62.0,昇益,🌑 雙重衰退,-40.65,2.274436161926692,✅ 穩健價值,2025-12,3.46,24.2000007629,2025,-43.58
N/A,6173.TWO,N/A,105.30000000000001,2.12,2.8200000000000003,-7.86,10.39,信昌電,🚀 利潤擴張,11.72,24.928774928774928,⚠️ 追價風險,2025-12,3.26,175.0,2025,8.9
83.45%,2886.TW,33.61%,90.6,1.91,2.62,-3.54,-5.03,兆豐金,🏰 高護城河,0.85,6.655629265380794,✅ 穩健價值,2025-12,2.36,40.2000007629,2025,-1.77
N/A,9933.TW,N/A,-15.600000000000001,-0.23,2.4899999999999984,-112.85,-23.49,中鼎,🔄 轉虧為盈,-20.92,0.0,⚪ 數據不足,2025-12,1.91,39.5999984741,2025,-23.41
N/A,8401.TWO,N/A,89.25,1.71,2.41,-0.58,0.54,白紗科,🧐 疑業外收益,1.54,3.865546218487395,✅ 穩健價值,2025-12,2.63,23.0,2025,-0.87
27.39%,2945.TW,1.25%,73.05,1.44,2.4000000000000004,-2.04,3.48,三商家購,🚀 利潤擴張,5.94,8.234085928973306,✅ 穩健價值,2025-12,2.14,40.0999984741,2025,3.54
34.09%,3684.TWO,7.78%,117.44999999999999,2.55,2.3900000000000006,50.0,31.38,榮昌,🚀 利潤擴張,25.0,7.726692209450831,✅ 穩健價值,2025-12,3.5,60.5,2025,22.61
37.11%,3583.TW,15.14%,491.70000000000005,9.71,2.3900000000000006,15.18,20.22,辛耘,🚀 利潤擴張,19.76,26.266015863331297,⚠️ 追價風險,2025-12,13.82,861.0,2025,17.37
29.80%,2321.TW,-5.26%,-29.1,-0.3,2.3599999999999994,67.57,19.86,東訊,🚀 利潤擴張,18.37,0.0,⚪ 數據不足,2025-12,-0.76,12.6999998093,2025,16.01
14.36%,3558.TWO,0.40%,247.80000000000004,4.87,2.3000000000000007,73.93,38.81,神準,🚀 利潤擴張,27.76,7.263922518159805,✅ 穩健價值,2025-12,5.2,120.0,2025,25.46
N/A,6796.TW,N/A,-18.75,-0.68,2.280000000000001,22.73,36.23,晉弘,🔄 轉虧為盈,25.0,0.0,⚪ 數據不足,2025-12,0.2,62.9000015259,2025,22.72
17.29%,2063.TWO,2.75%,63.9,1.27,2.219999999999999,-13.01,-10.3,世鎧,🌑 雙重衰退,-10.88,5.892018868896714,✅ 穩健價值,2025-12,1.72,25.1000003815,2025,-13.1
N/A,6530.TWO,N/A,69.45,1.4,2.219999999999999,20.69,18.97,創威,🚀 利潤擴張,18.9,22.67818574514039,⚠️ 追價風險,2025-12,1.95,105.0,2025,16.68
N/A,5347.TWO,N/A,170.70000000000002,3.35,2.17,4.1,10.75,世界,🚀 利潤擴張,12.47,14.367311072056237,✅ 穩健價值,2025-12,4.3,163.5,2025,10.3
N/A,6192.TW,N/A,384.9,7.66,2.0,6.98,-4.9,巨路,🌑 雙重衰退,-4.01,5.105222135619642,✅ 穩健價值,2025-12,10.06,131.0,2025,-6.01
17.20%,1503.TW,7.03%,271.95000000000005,5.46,1.9100000000000001,9.86,5.13,士電,🚀 利潤擴張,7.92,10.397131825703253,✅ 穩健價值,2025-12,6.27,188.5,2025,6.01
85.36%,4911.TWO,42.63%,86.25000000000001,1.76,1.8800000000000026,46.67,35.41,德英,🏰 高護城河,26.01,5.434782608695651,✅ 穩健價值,2025-12,2.18,31.25,2025,24.13
N/A,6933.TW,N/A,184.65,3.69,1.759999999999998,86.8,36.49,AMAX-KY,🚀 利潤擴張,28.97,12.997562956945572,✅ 穩健價值,2025-12,5.04,160.0,2025,27.21
78.77%,4129.TWO,11.96%,221.10000000000002,4.47,1.7200000000000024,29.11,24.04,聯合,🏰 高護城河,23.26,6.160108755210311,✅ 穩健價值,2025-12,5.83,90.8000030518,2025,21.54
16.53%,1612.TW,13.07%,105.75,2.19,1.7100000000000009,14.06,22.35,宏泰,🚀 利潤擴張,16.39,5.191489145262411,✅ 穩健價值,2025-12,2.77,36.5999984741,2025,14.68
60.64%,3030.TW,34.18%,377.69999999999993,7.59,1.6099999999999994,37.0,31.3,德律,🏰 高護城河,34.83,15.150913423351868,✅ 穩健價值,2025-12,10.49,381.5,2025,33.22
27.10%,4904.TW,14.21%,139.95,2.79,1.5499999999999998,9.41,2.92,遠傳,🚀 利潤擴張,7.02,10.257234399592711,✅ 穩健價值,2025-12,3.81,95.6999969482,2025,5.47
28.58%,2383.TW,19.80%,1544.1000000000001,31.23,1.5399999999999991,51.99,51.33,台光電,🚀 利潤擴張,47.96,45.56052069166504,⚠️ 追價風險,2025-12,41.67,4690.0,2025,46.42
N/A,6901.TW,N/A,-69.00000000000001,-1.36,1.5300000000000011,33.98,32.78,鑽石投資,🚀 利潤擴張,53.38,0.0,⚪ 數據不足,2025-12,-1.38,14.1000003815,2025,51.85
28.35%,1726.TW,10.08%,212.10000000000002,4.28,1.4499999999999997,12.04,5.97,永記,🚀 利潤擴張,4.17,5.445544554455445,✅ 穩健價值,2025-12,5.5,77.0,2025,2.72
N/A,6223.TWO,N/A,1187.5499999999997,23.65,1.3099999999999987,39.51,33.01,旺矽,🚀 利潤擴張,32.76,71.36541619300242,⚠️ 追價風險,2025-12,33.49,5650.0,2025,31.45
33.63%,2412.TW,17.33%,189.15,3.79,1.29,4.12,3.52,中華電,🚀 利潤擴張,3.96,10.904044409199047,✅ 穩健價值,2025-12,4.99,137.5,2025,2.67
78.38%,2883.TW,39.14%,54.6,1.09,1.2699999999999996,-34.81,-29.02,凱基金,🏰 高護城河,-10.99,5.879120774313187,✅ 穩健價值,2025-12,1.74,21.3999996185,2025,-12.26
18.31%,2206.TW,4.93%,224.70000000000002,4.6,1.2199999999999998,-1.93,-6.07,三陽工業,🌑 雙重衰退,-3.34,3.991989268164219,✅ 穩健價值,2025-12,5.78,59.7999992371,2025,-4.56
24.27%,2478.TW,12.13%,125.25000000000003,2.53,1.1399999999999997,13.57,10.63,大毅,🚀 利潤擴張,8.95,13.892215568862273,✅ 穩健價值,2025-12,3.45,116.0,2025,7.81
34.11%,2612.TW,23.81%,208.95,4.21,1.0699999999999994,94.01,7.95,中航,🚀 利潤擴張,6.43,3.97702810666906,✅ 穩健價值,2025-12,5.46,55.4000015259,2025,5.36
21.20%,3013.TW,14.33%,130.35000000000002,2.44,1.0299999999999994,15.64,11.48,晟銘電,🚀 利潤擴張,13.2,11.565017261219792,✅ 穩健價值,2025-12,4.03,100.5,2025,12.17
36.55%,3551.TWO,18.42%,309.9,6.12,1.0299999999999976,23.67,12.87,世禾,🚀 利潤擴張,17.2,9.535333978702807,✅ 穩健價值,2025-12,8.36,197.0,2025,16.17
N/A,7753.TWO,N/A,156.6,3.23,0.8800000000000008,10.53,16.17,星亞,🚀 利潤擴張,10.39,3.9559386242432955,✅ 穩健價值,2025-12,4.22,41.2999992371,2025,9.51
11.28%,2406.TW,-2.28%,-41.85,-0.92,0.8299999999999992,-217.24,-32.0,國碩,🌑 雙重衰退,-6.98,0.0,⚪ 數據不足,2025-12,-0.92,30.8999996185,2025,-7.81
97.58%,3293.TWO,59.33%,1405.9499999999998,27.9,0.8099999999999987,21.2,21.48,鈊象,🏰 高護城河,19.82,7.895017603755469,✅ 穩健價值,2025-12,38.51,740.0,2025,19.01
41.13%,4743.TWO,-478.52%,0.0,-2.11,0.7999999999999989,-31.06,-0.69,合一,🚀 利潤擴張,10.29,0.0,⚪ 數據不足,2025-12,-2.18,0.0,2025,9.49
N/A,8936.TWO,N/A,140.70000000000002,2.95,0.7800000000000011,28.82,17.98,國統,🚀 利潤擴張,21.07,5.330490405117271,✅ 穩健價值,2025-12,4.08,50.0,2025,20.29
8.10%,2414.TW,2.38%,119.4,2.38,0.5599999999999987,21.43,23.71,精技,🚀 利潤擴張,18.73,6.293969657550251,✅ 穩健價值,2025-12,3.17,50.0999984741,2025,18.17
N/A,8923.TWO,N/A,38.7,0.6,0.54,0.0,9.05,時報,🚀 利潤擴張,3.23,7.596899372674418,✅ 穩健價值,2025-12,0.96,19.6000003815,2025,2.69
-0.45%,4707.TWO,-7.50%,30.150000000000002,0.61,0.45999999999999996,-10.29,-1.16,磐亞,🌑 雙重衰退,-6.32,7.363184174477611,✅ 穩健價值,2025-12,0.89,14.8000001907,2025,-6.78
30.43%,4198.TWO,-23.61%,-73.8,-1.56,0.3800000000000008,16.58,-18.9,欣大健康,🌑 雙重衰退,-14.62,0.0,⚪ 數據不足,2025-12,-1.96,38.2999992371,2025,-15.0
31.15%,2852.TW,10.03%,116.55,2.43,0.3799999999999999,-5.81,-3.25,第一保,🌑 雙重衰退,-2.67,3.4813383831531532,✅ 穩健價值,2025-12,2.92,27.0499992371,2025,-3.05
N/A,7556.TWO,N/A,278.40000000000003,5.54,0.16000000000000014,25.35,19.5,意德士,🚀 利潤擴張,19.42,14.49353448275862,✅ 穩健價值,2025-12,7.1,269.0,2025,19.26
N/A,6525.TW,N/A,213.14999999999998,4.38,0.14000000000000057,21.33,15.99,捷敏-KY,🚀 利潤擴張,14.17,8.022519352568613,✅ 穩健價值,2025-12,5.88,114.0,2025,14.03
N/A,5211.TWO,N/A,-34.800000000000004,-0.68,0.030000000000001137,26.09,25.77,蒙恬,🚀 利潤擴張,34.19,0.0,⚪ 數據不足,2025-12,-0.77,17.6499996185,2025,34.16
N/A,8358.TWO,N/A,145.2,2.71,-0.17999999999999972,-5.9,11.75,金居,⚠️ 獲利稀釋,15.34,51.44628099173554,❌ 暫避觀望,2025-12,4.21,498.0,2025,15.52
14.11%,2645.TW,9.96%,199.80000000000004,4.16,-0.20000000000000107,10.05,13.98,長榮航太,⚠️ 獲利稀釋,11.43,12.199699699699698,⚪ 中性觀察,2025-12,5.46,162.5,2025,11.63
