gm,symbol,om,est_price,prev_eps,expansion,prev_eps_yoy,prev_rev_yoy,name,status,eps_yoy,pe,advice,date,eps,price,prev_year,rev_yoy
38.42%,4576.TW,13.23%,65.55,1.26,273.68,447.83,19.84,大銀微系統,🚀 利潤擴張,294.12,56.75057208237986,⚠️ 追價風險,2025-12,2.01,248.0,2025,20.44
-4.21%,2466.TW,-53.06%,-8.100000000000001,0.98,255.45000000000002,230.67,-6.66,冠西電,🧐 疑業外收益,241.18,0.0,⚪ 數據不足,2025-12,0.25,47.7000007629,2025,-14.27
9.17%,1608.TW,6.96%,174.45,4.75,254.79,241.94,-0.36,華榮,🚀 利潤擴張,254.81,2.82029228177988,💎 強力關注,2025-12,5.5,32.7999992371,2025,0.02
41.46%,1718.TW,18.72%,3.9000000000000004,0.19,250.24,-11.76,4.96,中纖,🧐 疑業外收益,250.0,24.884614577692307,⚠️ 追價風險,2025-12,0.09,6.4699997902,2025,-0.24
N/A,4949.TW,N/A,68.25,1.48,241.22,180.87,-1.75,有成精密,🧐 疑業外收益,240.74,21.0989010989011,⚪ 中性觀察,2025-12,1.91,96.0,2025,-0.48
29.82%,1438.TW,25.89%,-2.4000000000000004,-0.9,229.07999999999998,10.89,-98.23,三地開發,🔄 轉虧為盈,237.01,0.0,⚪ 數據不足,2025-12,1.74,20.5,2025,7.93
46.73%,1456.TW,248.16%,22.050000000000004,-0.9,227.67000000000002,15.89,-26.31,怡華,🔄 轉虧為盈,207.21,8.775509944557822,💎 強力關注,2025-12,3.41,12.8999996185,2025,-20.46
31.94%,3530.TW,14.09%,31.349999999999998,0.47,224.23000000000002,-50.0,-5.41,晶相光,🚀 利潤擴張,230.83,33.014354066985646,⚠️ 追價風險,2025-12,1.74,69.0,2025,6.6
5.45%,2034.TW,-1.87%,14.399999999999999,0.33,213.63,94.12,-4.98,允強,🧐 疑業外收益,200.0,20.7812507946875,⚪ 中性觀察,2025-12,0.21,19.9500007629,2025,-13.63
30.12%,4167.TWO,9.56%,83.1,1.43,204.79,237.21,-6.23,松瑞藥,🧐 疑業外收益,203.51,3.4927798522563176,💎 強力關注,2025-12,1.72,19.3500003815,2025,-1.28
42.43%,4744.TWO,14.38%,66.44999999999999,1.0,203.79,400.0,14.04,皇將,🚀 利潤擴張,216.0,7.618510158013544,💎 強力關注,2025-12,2.51,33.75,2025,12.21
N/A,6902.TW,N/A,31.349999999999998,0.23,201.66000000000003,119.47,20.7,GOGOLOOK,🚀 利潤擴張,222.58,62.440191387559814,⚠️ 追價風險,2025-12,1.58,130.5,2025,20.92
5.71%,2316.TW,-7.46%,468.90000000000003,10.81,200.22,260.07,8.72,楠梓電,🚀 利潤擴張,212.47,4.830454254638515,💎 強力關注,2025-12,13.38,151.0,2025,12.25
31.84%,1796.TWO,10.64%,20.249999999999996,0.31,199.70999999999998,150.0,36.52,金穎生技,🚀 利潤擴張,229.63,26.444445009555555,⚠️ 追價風險,2025-12,0.7,35.7000007629,2025,29.92
N/A,6840.TWO,N/A,51.15,1.18,197.42,76.12,5.51,東研信超,🚀 利潤擴張,205.88,18.592375814046925,⚪ 中性觀察,2025-12,1.58,63.4000015259,2025,8.46
29.43%,3191.TWO,-10.81%,7.2,0.55,197.22,219.57,-1.51,雲嘉南,🧐 疑業外收益,189.47,32.291666666666664,⚠️ 追價風險,2025-12,0.51,15.5,2025,-7.75
3.50%,3048.TW,1.71%,60.59999999999999,1.14,193.66,153.27,5.31,益登,🚀 利潤擴張,195.71,16.782178973217828,⚪ 中性觀察,2025-12,2.01,67.8000030518,2025,2.05
N/A,6202.TW,N/A,34.199999999999996,0.62,191.41,191.04,31.27,盛群,🚀 利潤擴張,213.64,25.833334002587723,⚠️ 追價風險,2025-12,0.76,58.9000015259,2025,22.23
