eps,symbol,prev_year,name,expansion,status,eps_yoy,rev_yoy,prev_eps_yoy,prev_rev_yoy,price,est_price,date,om,advice,gm,pe,prev_eps
7.21,2498.TW,2025,宏達電,281.70000000000005,🧐 疑業外收益,275.85,-5.85,352.24,-0.73,41.7999992371,359.25,2025-12,-79.17%,💎 強力關注,34.44%,1.745302682133612,7.88
4.01,9914.TW,2025,美利達,281.08,🧐 疑業外收益,271.37,-9.71,-18.34,-8.55,69.0,194.10000000000002,2025-12,N/A,💎 強力關注,N/A,5.332302936630602,4.81
4.02,6165.TW,2025,浪凡,275.27,🚀 利潤擴張,288.24,12.97,410.34,12.63,48.75,153.3,2025-12,N/A,💎 強力關注,N/A,4.770058708414872,3.02
2.01,4576.TW,2025,大銀微系統,273.68,🚀 利潤擴張,294.12,20.44,447.83,19.84,201.0,65.55,2025-12,13.23%,⚠️ 追價風險,38.42%,45.995423340961096,1.26
0.25,2466.TW,2025,冠西電,255.45000000000002,🧐 疑業外收益,241.18,-14.27,230.67,-6.66,44.0,-8.100000000000001,2025-12,-53.06%,⚪ 數據不足,-4.21%,0.0,0.98
5.5,1608.TW,2025,華榮,254.79,🚀 利潤擴張,254.81,0.02,241.94,-0.36,33.6500015259,174.45,2025-12,6.96%,💎 強力關注,9.17%,2.8933793229492695,4.75
0.09,1718.TW,2025,中纖,250.24,🧐 疑業外收益,250.0,-0.24,-11.76,4.96,8.8999996185,3.9000000000000004,2025-12,18.72%,⚠️ 追價風險,41.46%,34.23076776346154,0.19
1.91,4949.TW,2025,有成精密,241.22,🧐 疑業外收益,240.74,-0.48,180.87,-1.75,92.0,68.25,2025-12,N/A,⚪ 中性觀察,N/A,20.21978021978022,1.48
1.74,1438.TW,2025,三地開發,229.07999999999998,🔄 轉虧為盈,237.01,7.93,10.89,-98.23,21.8999996185,-2.4000000000000004,2025-12,25.89%,⚪ 數據不足,29.82%,0.0,-0.9
3.41,1456.TW,2025,怡華,227.67000000000002,🔄 轉虧為盈,207.21,-20.46,15.89,-26.31,13.8999996185,22.050000000000004,2025-12,248.16%,💎 強力關注,46.73%,9.455782053401359,-0.9
1.74,3530.TW,2025,晶相光,224.23000000000002,🚀 利潤擴張,230.83,6.6,-50.0,-5.41,62.0999984741,31.349999999999998,2025-12,14.09%,⚠️ 追價風險,31.94%,29.712917930191388,0.47
0.21,2034.TW,2025,允強,213.63,🧐 疑業外收益,200.0,-13.63,94.12,-4.98,19.9500007629,14.399999999999999,2025-12,-1.87%,⚪ 中性觀察,5.45%,20.7812507946875,0.33
1.72,4167.TWO,2025,松瑞藥,204.79,🧐 疑業外收益,203.51,-1.28,237.21,-6.23,19.9500007629,83.1,2025-12,9.56%,💎 強力關注,30.12%,3.601083170198556,1.43
2.51,4744.TWO,2025,皇將,203.79,🚀 利潤擴張,216.0,12.21,400.0,14.04,37.4500007629,66.44999999999999,2025-12,14.38%,💎 強力關注,42.43%,8.45372477717833,1.0
1.58,6902.TW,2025,GOGOLOOK,201.66000000000003,🚀 利潤擴張,222.58,20.92,119.47,20.7,144.5,31.349999999999998,2025-12,N/A,⚠️ 追價風險,N/A,69.13875598086125,0.23
13.38,2316.TW,2025,楠梓電,200.22,🚀 利潤擴張,212.47,12.25,260.07,8.72,157.0,468.90000000000003,2025-12,-7.46%,💎 強力關注,5.71%,5.022392834293026,10.81
0.7,1796.TWO,2025,金穎生技,199.70999999999998,🚀 利潤擴張,229.63,29.92,150.0,36.52,34.3499984741,20.249999999999996,2025-12,10.64%,⚠️ 追價風險,31.84%,25.44444331414815,0.31
1.58,6840.TWO,2025,東研信超,197.42,🚀 利潤擴張,205.88,8.46,76.12,5.51,65.1999969482,51.15,2025-12,N/A,⚪ 中性觀察,N/A,19.12023370914956,1.18
0.51,3191.TWO,2025,雲嘉南,197.22,🧐 疑業外收益,189.47,-7.75,219.57,-1.51,20.0,7.2,2025-12,-10.81%,⚠️ 追價風險,29.43%,41.666666666666664,0.55
