expansion,symbol,prev_eps,prev_year,eps,gm,price,name,rev_yoy,status,advice,est_price,prev_eps_yoy,pe,om,prev_rev_yoy,eps_yoy,date
160.61999999999998,5439.TWO,9.52,2025,13.74,N/A,385.5,高技,130.83,🚀 利潤擴張,✅ 穩健價值,435.15,280.8,13.28852119958635,N/A,130.37,291.45,2025-12
159.73000000000002,3489.TWO,-0.13,2025,-0.09,10.14%,21.75,森寶,-69.84,🧐 疑業外收益,⚪ 數據不足,-4.95,23.53,0.0,3.61%,-54.34,89.89,2025-12
157.18,4526.TW,2.61,2025,1.81,7.66%,39.9500007629,東台,-6.62,🧐 疑業外收益,💎 強力關注,106.8,271.05,5.610955163328651,-21.47%,-1.22,150.56,2025-12
153.81,3630.TWO,2.19,2025,1.86,4.18%,26.1499996185,新鉅科,19.21,🚀 利潤擴張,💎 強力關注,91.05,219.44,4.308072424794069,-22.27%,18.28,173.02,2025-12
152.56,6684.TWO,3.24,2025,1.57,N/A,45.8499984741,安格,-15.36,🧐 疑業外收益,💎 強力關注,189.75000000000003,203.85,3.624505808229248,N/A,-15.66,137.2,2025-12
152.03,6838.TW,-0.24,2025,-0.55,N/A,25.2000007629,台新藥,-93.38,🧐 疑業外收益,⚪ 數據不足,-13.5,77.78,0.0,N/A,-95.44,58.65,2025-12
147.76,4157.TWO,-0.22,2025,0.06,98.33%,9.0200004578,太景*-KY,72.24,🔄 轉虧為盈,⚪ 數據不足,-5.8500000000000005,-1000.0,0.0,81.17%,-79.84,220.0,2025-12
145.65,3252.TWO,-0.1,2025,0.13,43.11%,18.1000003815,海灣,-3.71,🔄 轉虧為盈,⚠️ 追價風險,2.4,54.55,113.125002384375,22.84%,-4.86,141.94,2025-12
143.77999999999997,3162.TWO,1.25,2025,1.7,11.59%,83.5999984741,精確,65.48,🚀 利潤擴張,⚪ 中性觀察,67.05000000000001,292.31,18.7024605087472,1.68%,89.71,209.26,2025-12
142.39000000000001,3673.TW,2.56,2025,2.71,5.83%,87.9000015259,TPK-KY,-8.77,🧐 疑業外收益,✅ 穩健價值,107.1,55.15,12.310924583459384,-0.68%,-8.66,133.62,2025-12
140.19,6236.TWO,0.05,2025,0.08,N/A,20.0,中湛,-20.68,🧐 疑業外收益,⚠️ 追價風險,4.050000000000001,111.11,74.07407407407408,N/A,-18.24,119.51,2025-12
138.32,6708.TWO,0.05,2025,0.25,N/A,40.5999984741,天擎,42.33,🚀 利潤擴張,⚠️ 追價風險,6.449999999999999,119.23,94.41860110255814,N/A,48.16,180.65,2025-12
137.15,5227.TWO,2.99,2025,0.17,N/A,24.6499996185,立凱-KY,-32.24,🧐 疑業外收益,⚠️ 追價風險,9.450000000000005,199.67,39.12698352142855,N/A,-19.06,104.91,2025-12
135.37,6485.TWO,-0.32,2025,0.71,N/A,108.0,點序,16.84,🔄 轉虧為盈,⚠️ 追價風險,18.9,70.64,85.71428571428571,N/A,14.7,152.21,2025-12
134.79,2408.TW,-1.45,2025,2.13,49.05%,312.0,南亞科,95.09,🔄 轉虧為盈,⚪ 數據不足,-28.5,-28.32,0.0,39.15%,32.43,229.88,2025-12
133.87,3709.TWO,3.61,2025,7.11,8.09%,86.3000030518,鑫聯大投控,44.32,🚀 利潤擴張,💎 強力關注,205.50000000000003,167.46,6.299270295751825,5.14%,55.41,178.19,2025-12
131.46,3466.TWO,-0.81,2025,-1.11,-8.98%,33.75,德晉,-72.48,🧐 疑業外收益,⚪ 數據不足,-57.45,65.77,0.0,-223.66%,-68.41,58.98,2025-12
130.47000000000003,3081.TWO,4.66,2025,3.44,54.76%,2885.0,聯亞,515.18,🏰 高護城河,⚠️ 追價風險,183.0,884.75,236.47540983606558,41.27%,82.29,645.65,2026-03
129.82,4934.TW,-0.67,2025,-0.95,-156.07%,17.3999996185,太極,-75.71,🧐 疑業外收益,⚪ 數據不足,-35.85,16.25,0.0,-456.27%,-81.44,54.11,2025-12
127.97999999999999,2607.TW,2.72,2025,3.56,18.52%,47.2999992371,榮運,-19.52,🧐 疑業外收益,💎 強力關注,130.35,139.38,5.443037886892981,6.32%,-19.69,108.46,2025-12
126.62,5386.TWO,3.03,2025,8.61,N/A,587.0,青雲,32.59,🚀 利潤擴張,⚠️ 追價風險,229.49999999999997,103.38,38.36601307189543,N/A,12.38,159.21,2025-12
126.13000000000001,6021.TWO,2.46,2025,3.76,N/A,34.9000015259,美好證,35.14,🚀 利潤擴張,💎 強力關注,66.44999999999999,128.3,7.8781041819187365,N/A,13.11,161.27,2025-12
126.13,3540.TWO,0.47,2025,0.74,27.46%,0.0,曜越,29.09,🚀 利潤擴張,⚪ 數據不足,0.0,147.47,0.0,-3.44%,30.74,155.22,2025-12
125.85999999999999,8473.TW,2.05,2025,2.55,N/A,42.8499984741,山林水,51.31,🚀 利潤擴張,💎 強力關注,105.44999999999999,130.34,6.095305615092461,N/A,62.88,177.17,2025-12
125.67999999999999,3105.TWO,1.57,2025,4.0,31.80%,560.0,穩懋,-4.69,🧐 疑業外收益,⚠️ 追價風險,69.75,-40.53,120.43010752688171,13.87%,-13.87,120.99,2025-12
122.4,6276.TWO,0.66,2025,0.92,N/A,27.5,安鈦克,20.19,🚀 利潤擴張,💎 強力關注,43.650000000000006,128.33,9.450171821305842,N/A,28.81,142.59,2025-12
119.85,1512.TW,0.04,2025,0.19,28.43%,6.8200001717,瑞利,8.09,🚀 利潤擴張,⚠️ 追價風險,3.75,111.76,27.2800006868,-3.62%,2.64,127.94,2025-12
117.96000000000001,2596.TWO,1.04,2025,1.86,32.97%,26.5,綠意,59.65,🚀 利潤擴張,💎 強力關注,67.5,425.0,5.888888888888889,26.41%,217.33,177.61,2025-12
116.91,8080.TWO,0.2,2025,0.12,N/A,27.5,泰霖,22.38,🚀 利潤擴張,⚠️ 追價風險,10.350000000000001,190.91,39.85507246376811,N/A,34.06,139.29,2025-12
114.62,4555.TW,-0.02,2025,0.19,31.93%,53.7000007629,氣立,7.47,🔄 轉虧為盈,⚠️ 追價風險,0.6000000000000001,97.22,1342.5000190724998,2.93%,8.77,122.09,2025-12
113.42999999999999,6198.TWO,-0.12,2025,-0.23,N/A,21.2999992371,瑞築,-90.1,🧐 疑業外收益,⚪ 數據不足,-7.5,55.56,0.0,N/A,-92.7,23.33,2025-12
113.31,4702.TWO,0.23,2025,0.88,35.38%,9.6899995804,中美實,-61.59,🧐 疑業外收益,⚠️ 追價風險,5.250000000000002,-14.81,27.68571308685713,-88.29%,-60.26,51.72,2025-12
112.57,3260.TWO,10.08,2025,23.18,48.37%,412.5,威剛,32.13,🚀 利潤擴張,💎 強力關注,592.05,19.56,10.450975424372942,35.36%,22.8,144.7,2025-12
109.96,2025.TW,-0.41,2025,-0.18,-19.82%,12.1000003815,千興,-22.64,🧐 疑業外收益,⚪ 數據不足,-17.700000000000003,28.07,0.0,14.50%,-15.81,87.32,2025-12
109.10000000000001,8455.TWO,0.02,2025,0.02,N/A,39.75,大拓-KY,-6.4,🧐 疑業外收益,⚪ 數據不足,-4.95,104.35,0.0,N/A,-7.04,102.7,2025-12
108.56,9955.TW,-0.37,2025,0.54,N/A,27.75,佳龍,26.06,🔄 轉虧為盈,⚪ 數據不足,-5.399999999999999,50.67,0.0,N/A,17.8,134.62,2025-12
107.85000000000001,4967.TW,3.47,2025,13.06,N/A,267.0,十銓,2.46,🚀 利潤擴張,✅ 穩健價值,279.75000000000006,-46.86,14.316353887399462,N/A,-15.55,110.31,2025-12
106.5,8477.TWO,-0.62,2025,-0.92,N/A,20.75,創業家,-52.73,🧐 疑業外收益,⚪ 數據不足,-38.4,80.0,0.0,N/A,-51.54,53.77,2025-12
106.29,2501.TW,1.91,2025,2.83,26.51%,21.8500003815,國建,1.8,🚀 利潤擴張,💎 強力關注,94.35,127.38,3.4737679461844198,17.13%,7.39,108.09,2025-12
104.65,6465.TWO,-0.75,2025,0.86,N/A,50.9000015259,威潤,63.6,🔄 轉虧為盈,⚪ 數據不足,-14.549999999999999,29.25,0.0,N/A,5.09,168.25,2025-12
103.75999999999999,3135.TW,1.5,2025,6.33,19.12%,242.0,凌航,39.88,🚀 利潤擴張,⚠️ 追價風險,131.09999999999997,-29.03,27.688787185354695,16.62%,34.74,143.64,2025-12
102.95,6150.TWO,1.55,2025,2.63,N/A,66.8000030518,撼訊,61.2,🚀 利潤擴張,✅ 穩健價值,79.8,156.36,12.556391551090227,N/A,77.79,164.15,2025-12
101.99,2465.TW,0.09,2025,0.43,10.44%,86.0,麗臺,5.42,🚀 利潤擴張,⚠️ 追價風險,19.2,102.43,67.1875,2.26%,32.51,107.41,2025-12
98.16,2926.TWO,0.34,2025,0.54,40.82%,36.0,誠品生活,1.84,🚀 利潤擴張,⚠️ 追價風險,19.05,241.67,28.346456692913385,-1.48%,2.58,100.0,2025-12
97.42,1541.TW,1.32,2025,2.32,19.55%,20.5499992371,錩泰,21.45,🚀 利潤擴張,💎 強力關注,65.7,41.94,4.691780647739726,7.07%,28.08,118.87,2025-12
96.7,2380.TW,0.47,2025,0.72,24.41%,5.5300002098,虹光,13.61,🚀 利潤擴張,💎 強力關注,29.099999999999998,133.57,2.850515572061856,0.24%,9.38,110.31,2025-12
96.47999999999999,4971.TWO,0.09,2025,1.65,N/A,744.0,IET-KY,50.49,🚀 利潤擴張,⚪ 數據不足,-7.0500000000000025,103.17,0.0,N/A,54.63,146.97,2025-12
96.02000000000001,5516.TWO,0.34,2025,0.16,N/A,10.25,雙喜,8.41,🚀 利潤擴張,⚪ 數據不足,-7.35,116.43,0.0,N/A,7.31,104.43,2025-12
95.32,3363.TWO,0.37,2025,0.16,12.43%,847.0,上詮,38.72,🚀 利潤擴張,⚠️ 追價風險,10.65,317.65,1192.957746478873,-9.15%,49.52,134.04,2025-12
