Stock,Name,Date,Close,上週估買(張),這週估買(張),淨增進貨(張),增長倍數,5D股價漲跌,狀態
4157.TWO,太景*-KY,20260527,9.02,169,292,122,1.7x,0.00%,★ 壓低偷買
3419.TW,譁裕,20260527,13.7,-39,82,121,-2.1x,-1.08%,★ 壓低偷買
9919.TW,康那香,20260527,14.15,-71,45,117,-0.6x,-0.70%,★ 壓低偷買
6146.TWO,耕興,20260527,223.0,-27,88,116,-3.2x,3.00%,▲ 順勢追意
6617.TWO,共信-KY,20260527,73.8,-4,110,115,新進貨,12.16%,▲ 順勢追意
7828.TWO,創新服務,20260527,1505.0,149,265,115,1.8x,41.31%,▲ 順勢追意
9917.TW,中保科,20260527,114.0,-106,7,113,-0.1x,0.88%,▲ 順勢追意
3349.TWO,寶德,20260527,18.15,66,177,111,2.7x,-4.47%,★ 壓低偷買
2838.TW,聯邦銀,20260527,20.5,-96,10,106,-0.1x,2.24%,▲ 順勢追意
6792.TW,詠業,20260527,69.6,30,134,104,4.5x,8.92%,▲ 順勢追意
4432.TWO,銘旺實,20260527,16.8,-98,3,101,-0.0x,0.00%,★ 壓低偷買
8068.TWO,全達,20260527,19.8,-214,-112,101,0.5x,-2.22%,無
6128.TW,上福,20260527,19.3,-43,57,101,-1.3x,2.66%,▲ 順勢追意
3447.TW,展達,20260527,36.05,-20,77,98,-3.8x,-0.69%,★ 壓低偷買
2101.TW,南港,20260527,29.75,185,282,97,1.5x,-3.25%,★ 壓低偷買
4707.TWO,磐亞,20260527,15.0,-215,-118,96,0.6x,4.90%,無
5272.TWO,笙科,20260527,22.8,-13,83,96,-6.0x,2.01%,▲ 順勢追意
1611.TW,中電,20260527,11.5,-30,65,95,-2.1x,3.14%,▲ 順勢追意
3058.TW,立德,20260527,8.08,48,142,94,2.9x,0.25%,★ 壓低偷買
3056.TW,富華新,20260527,13.3,-321,-227,94,0.7x,-3.27%,無
2233.TW,宇隆,20260527,365.0,-541,-447,93,0.8x,9.94%,無
1616.TW,億泰,20260527,21.25,-94,-2,91,0.0x,0.00%,無
2754.TWO,亞洲藏壽司,20260527,68.5,-147,-55,91,0.4x,-11.04%,無
6233.TWO,旺玖,20260527,25.4,97,188,90,1.9x,0.59%,▲ 順勢追意
2897.TW,王道銀行,20260527,10.0,-771,-681,89,0.9x,-0.50%,無
8176.TWO,智捷,20260527,9.99,-34,52,87,-1.5x,1.01%,▲ 順勢追意
6465.TWO,威潤,20260527,50.9,477,564,86,1.2x,4.73%,▲ 順勢追意
3703.TW,欣陸,20260527,20.1,-142,-55,86,0.4x,0.00%,無
6418.TWO,詠昇,20260527,29.75,-112,-26,86,0.2x,-1.16%,無
8011.TW,台通,20260527,17.55,284,369,85,1.3x,-1.40%,★ 壓低偷買
4532.TW,瑞智,20260527,23.6,107,192,85,1.8x,1.51%,▲ 順勢追意
1455.TW,集盛,20260527,8.12,-138,-53,84,0.4x,-0.61%,無
3057.TW,喬鼎,20260527,20.25,-38,44,83,-1.2x,10.96%,▲ 順勢追意
3432.TW,台端,20260527,18.85,-23,60,83,-2.6x,0.27%,★ 壓低偷買
1623.TW,大東電,20260527,238.5,7,87,80,12.1x,10.67%,▲ 順勢追意
6667.TWO,信紘科,20260527,264.5,-2,77,79,新進貨,5.17%,▲ 順勢追意
2613.TW,中櫃,20260527,21.65,-39,39,79,-1.0x,0.46%,★ 壓低偷買
7780.TW,大研生醫*,20260527,17.75,-171,-92,78,0.5x,-4.05%,無
3516.TWO,亞帝歐,20260527,23.5,-66,10,77,-0.2x,2.17%,▲ 順勢追意
00773B.TWO,中信優先金融債,20260527,35.66,7,84,76,11.0x,1.45%,▲ 順勢追意
2438.TW,翔耀,20260527,25.3,45,121,76,2.7x,17.67%,▲ 順勢追意
6573.TW,虹揚-KY,20260527,13.5,-29,46,75,-1.6x,3.05%,▲ 順勢追意
8072.TW,陞泰,20260527,27.65,-22,53,75,-2.4x,1.47%,▲ 順勢追意
2630.TW,亞航,20260527,41.25,32,105,73,3.3x,-3.51%,★ 壓低偷買
3625.TWO,西勝,20260527,14.4,-137,-65,72,0.5x,0.00%,無
2468.TW,華經,20260527,33.1,-24,48,72,-2.0x,1.53%,▲ 順勢追意
2102.TW,泰豐,20260527,18.2,-80,-8,72,0.1x,2.54%,無
2258.TW,鴻華先進-創,20260527,28.65,-46,24,71,-0.5x,7.10%,▲ 順勢追意
00780B.TWO,國泰A級金融債,20260527,36.9,-36,33,70,-0.9x,0.76%,▲ 順勢追意
3306.TWO,鼎天,20260527,46.65,-12,57,69,-4.6x,4.01%,▲ 順勢追意
6101.TWO,寬魚國際,20260527,40.6,0,68,69,新進貨,4.91%,▲ 順勢追意
6703.TWO,軒郁,20260527,109.5,-64,3,68,-0.1x,-3.95%,★ 壓低偷買
6657.TW,華安,20260527,38.6,-35,33,68,-0.9x,-1.03%,★ 壓低偷買
5905.TWO,南仁湖,20260527,7.83,-90,-22,68,0.2x,-2.37%,無
2488.TW,漢平,20260527,53.1,-1,66,68,新進貨,1.92%,▲ 順勢追意
7744.TWO,崴寶,20260527,497.0,-68,-1,66,0.0x,1.43%,無
6592.TW,和潤企業,20260527,60.4,-67,-1,66,0.0x,-0.98%,無
00761B.TWO,國泰A級公司債,20260527,34.2,-40,26,66,-0.7x,1.82%,▲ 順勢追意
5608.TW,四維航,20260527,14.45,-38,27,65,-0.7x,1.76%,▲ 順勢追意
5211.TWO,蒙恬,20260527,17.75,-96,-31,65,0.3x,-0.56%,無
1789.TW,神隆,20260527,19.0,-13,51,64,-3.8x,-0.52%,★ 壓低偷買
4108.TW,懷特,20260527,12.25,-41,22,64,-0.5x,2.08%,▲ 順勢追意
2025.TW,千興,20260527,12.1,-23,40,64,-1.8x,3.86%,▲ 順勢追意
4420.TWO,光明,20260527,38.15,-65,-1,63,0.0x,-4.63%,無
4588.TW,玖鼎電力,20260527,56.0,-77,-14,63,0.2x,0.90%,無
5512.TWO,力麒,20260527,6.96,-305,-242,63,0.8x,1.46%,無
3556.TWO,禾瑞亞,20260527,56.1,213,274,60,1.3x,8.72%,▲ 順勢追意
3652.TW,精聯,20260527,32.8,-1,58,59,新進貨,11.95%,▲ 順勢追意
4545.TW,銘鈺,20260527,36.5,-63,-3,59,0.1x,21.26%,無
7769.TW,鴻勁,20260527,7800.0,-54,4,58,-0.1x,11.75%,▲ 順勢追意
4744.TWO,皇將,20260527,34.15,-30,28,58,-0.9x,1.34%,▲ 順勢追意
4737.TW,華廣,20260527,60.0,-51,6,57,-0.1x,3.09%,▲ 順勢追意
1444.TW,力麗,20260527,5.79,-76,-18,57,0.2x,-2.36%,無
3508.TWO,位速,20260527,20.8,62,119,56,1.9x,4.52%,▲ 順勢追意
2483.TW,百容,20260527,25.4,217,274,56,1.3x,8.55%,▲ 順勢追意
2348.TW,海悅,20260527,67.9,-62,-7,54,0.1x,-1.74%,無
6112.TW,邁達特,20260527,42.2,-87,-32,54,0.4x,0.48%,無
912000.TW,晨訊科-DR,20260527,2.37,-55,-1,53,0.0x,1.28%,無
5519.TW,隆大,20260527,32.1,-34,18,52,-0.5x,-1.53%,★ 壓低偷買
6629.TWO,泰金-KY,20260527,119.0,4,57,52,新進貨,-2.86%,★ 壓低偷買
1432.TW,大魯閣,20260527,16.05,-19,32,52,-1.7x,-1.23%,★ 壓低偷買
6203.TWO,海韻電,20260527,70.8,-19,32,51,-1.7x,2.61%,▲ 順勢追意
3122.TWO,笙泉,20260527,33.35,-114,-63,51,0.5x,-5.52%,無
5907.TW,大洋-KY,20260527,5.02,-16,35,51,-2.2x,3.51%,▲ 順勢追意
1218.TW,泰山,20260527,18.45,-173,-123,49,0.7x,0.00%,無
6933.TW,AMAX-KY,20260527,164.0,-25,23,48,-0.9x,5.47%,▲ 順勢追意
8109.TWO,博大,20260527,121.5,-432,-384,48,0.9x,-3.95%,無
6967.TWO,汎瑋材料,20260527,72.3,-52,-4,47,0.1x,1.54%,無
6873.TW,泓德能源,20260527,91.8,46,94,47,2.0x,8.13%,▲ 順勢追意
5227.TWO,立凱-KY,20260527,24.65,1,47,46,新進貨,-3.71%,★ 壓低偷買
3027.TW,盛達,20260527,18.55,2,49,46,新進貨,7.85%,▲ 順勢追意
1506.TW,正道,20260527,10.1,-11,32,44,-2.9x,1.00%,▲ 順勢追意
3206.TWO,志豐,20260527,37.75,0,44,44,新進貨,-0.13%,★ 壓低偷買
2207.TW,和泰車,20260527,466.5,-70,-26,44,0.4x,0.00%,無
8045.TW,達運光電,20260527,65.0,-50,-6,44,0.1x,-8.96%,無
4523.TWO,永彰,20260527,28.7,-21,22,43,-1.1x,3.05%,▲ 順勢追意
6506.TWO,雙邦,20260527,19.1,-37,4,42,-0.1x,0.53%,▲ 順勢追意
2414.TW,精技,20260527,51.2,32,74,42,2.3x,3.85%,▲ 順勢追意
1110.TW,東泥,20260527,14.1,-14,28,42,-2.0x,1.44%,▲ 順勢追意
4702.TWO,中美實,20260527,9.69,-10,31,41,-3.0x,0.31%,★ 壓低偷買
2511.TW,太子,20260527,7.62,-125,-83,41,0.7x,-0.52%,無
8478.TW,東哥遊艇,20260527,150.0,-71,-29,41,0.4x,-0.33%,無
