Stock,Name,Date,Close,上週估買(張),這週估買(張),淨增進貨(張),增長倍數,5D股價漲跌,狀態
00403A.TW,主動統一升級50,20260527,10.78,-1940034,1314391,3254425,-0.7x,11.59%,▲ 順勢追意
6770.TW,力積電,20260527,74.8,467103,2283898,1816795,4.9x,29.41%,▲ 順勢追意
2344.TW,華邦電,20260527,155.0,83107,1227942,1144835,14.8x,34.20%,▲ 順勢追意
00981A.TW,主動統一台股增長,20260527,31.96,-258627,553905,812533,-2.1x,17.37%,▲ 順勢追意
2324.TW,仁寶,20260527,33.4,-178133,546112,724245,-3.1x,21.01%,▲ 順勢追意
6182.TWO,合晶,20260527,90.2,10085,664858,654772,65.9x,55.79%,▲ 順勢追意
2312.TW,金寶,20260527,37.35,37,604906,604868,16048.4x,31.98%,▲ 順勢追意
3481.TW,群創,20260527,50.2,-2654797,-2075053,579743,0.8x,35.86%,無
00992A.TW,主動群益科技創新,20260527,18.75,-100037,457984,558021,-4.6x,12.41%,▲ 順勢追意
1802.TW,台玻,20260527,72.8,-79239,427746,506986,-5.4x,13.93%,▲ 順勢追意
2303.TW,聯電,20260527,143.5,-193434,300928,494362,-1.6x,32.87%,▲ 順勢追意
2489.TW,瑞軒,20260527,50.7,32072,409496,377423,12.8x,19.15%,▲ 順勢追意
1717.TW,長興,20260527,84.5,-61420,303656,365076,-4.9x,16.23%,▲ 順勢追意
6282.TW,康舒,20260527,59.4,-1139,358818,359958,-314.9x,16.93%,▲ 順勢追意
2369.TW,菱生,20260527,40.15,-6498,320519,327017,-49.3x,39.17%,▲ 順勢追意
00999A.TW,主動野村臺灣高息,20260527,10.75,21766,325450,303683,15.0x,7.61%,▲ 順勢追意
9105.TW,泰金寶-DR,20260527,8.56,3864,280338,276473,72.5x,53.13%,▲ 順勢追意
2408.TW,南亞科,20260527,312.0,-188296,52456,240752,-0.3x,13.45%,▲ 順勢追意
4958.TW,臻鼎-KY,20260527,532.0,-92819,144959,237779,-1.6x,21.18%,▲ 順勢追意
4927.TW,泰鼎-KY,20260527,58.6,-19213,214329,233543,-11.2x,22.85%,▲ 順勢追意
3236.TWO,千如,20260527,56.9,-135222,85912,221134,-0.6x,29.61%,▲ 順勢追意
2377.TW,微星,20260527,126.5,-202629,17902,220531,-0.1x,15.53%,▲ 順勢追意
00631L.TW,元大台灣50正2,20260527,35.73,-25903,191467,217371,-7.4x,21.08%,▲ 順勢追意
3211.TWO,順達,20260527,464.0,-5591,202377,207969,-36.2x,33.72%,▲ 順勢追意
2449.TW,京元電子,20260527,315.5,-59128,136009,195138,-2.3x,13.69%,▲ 順勢追意
3231.TW,緯創,20260527,145.0,-44827,123847,168675,-2.8x,9.43%,▲ 順勢追意
1303.TW,南亞,20260527,95.5,-32913,134601,167514,-4.1x,18.19%,▲ 順勢追意
3105.TWO,穩懋,20260527,560.0,-114336,49813,164150,-0.4x,25.42%,▲ 順勢追意
2399.TW,映泰,20260527,48.0,-76196,64417,140614,-0.8x,13.74%,▲ 順勢追意
009816.TW,凱基台灣TOP50,20260527,15.15,-64927,67936,132863,-1.0x,13.57%,▲ 順勢追意
6265.TWO,方土昶,20260527,55.0,-19749,110000,129750,-5.6x,32.21%,▲ 順勢追意
5351.TWO,鈺創,20260527,82.6,-117030,9367,126398,-0.1x,11.02%,▲ 順勢追意
3673.TW,TPK-KY,20260527,87.9,-40725,83184,123910,-2.0x,22.59%,▲ 順勢追意
00891.TW,中信關鍵半導體,20260527,36.26,33666,153535,119868,4.6x,16.14%,▲ 順勢追意
00878.TW,國泰永續高股息,20260527,30.55,-40654,78503,119158,-1.9x,13.44%,▲ 順勢追意
2337.TW,旺宏,20260527,155.5,-367390,-249579,117810,0.7x,10.28%,無
00982A.TW,主動群益台灣強棒,20260527,24.52,84800,196487,111687,2.3x,16.43%,▲ 順勢追意
3305.TW,昇貿,20260527,160.0,-58188,47578,105766,-0.8x,18.52%,▲ 順勢追意
0050.TW,元大台灣50,20260527,102.55,-56961,46163,103125,-0.8x,10.86%,▲ 順勢追意
8043.TWO,蜜望實,20260527,132.0,-115240,-13453,101787,0.1x,15.28%,無
4906.TW,正文,20260527,44.75,11691,108774,97082,9.3x,19.02%,▲ 順勢追意
3006.TW,晶豪科,20260527,241.0,-11800,85071,96872,-7.2x,8.31%,▲ 順勢追意
3149.TW,正達,20260527,65.4,-5497,85433,90930,-15.5x,16.79%,▲ 順勢追意
1605.TW,華新,20260527,37.5,-9449,78277,87726,-8.3x,13.29%,▲ 順勢追意
3189.TW,景碩,20260527,702.0,23458,107771,84312,4.6x,39.29%,▲ 順勢追意
2464.TW,盟立,20260527,177.0,-49888,33253,83141,-0.7x,42.17%,▲ 順勢追意
4919.TW,新唐,20260527,206.5,-18152,56386,74539,-3.1x,25.15%,▲ 順勢追意
6278.TW,台表科,20260527,235.5,-97992,-24424,73567,0.2x,16.01%,無
8088.TWO,品安,20260527,61.0,-56282,16657,72940,-0.3x,18.45%,▲ 順勢追意
8039.TW,台虹,20260527,160.0,21322,94212,72890,4.4x,26.48%,▲ 順勢追意
3037.TW,欣興,20260527,1080.0,-30898,41474,72373,-1.3x,31.23%,▲ 順勢追意
5243.TW,乙盛-KY,20260527,127.0,-38295,33209,71504,-0.9x,21.53%,▲ 順勢追意
1727.TW,中華化,20260527,96.5,-15114,51238,66353,-3.4x,14.07%,▲ 順勢追意
00980A.TW,主動野村臺灣優選,20260527,24.58,10399,76357,65957,7.3x,14.86%,▲ 順勢追意
4931.TWO,新盛力,20260527,207.0,-20927,43789,64717,-2.1x,9.23%,▲ 順勢追意
2367.TW,燿華,20260527,67.1,-11498,53216,64715,-4.6x,4.84%,▲ 順勢追意
00935.TW,野村臺灣新科技50,20260527,62.1,3336,68049,64713,20.4x,21.41%,▲ 順勢追意
2495.TW,普安,20260527,50.6,4736,69354,64618,14.6x,34.93%,▲ 順勢追意
5347.TWO,世界,20260527,166.0,-61471,2824,64296,-0.0x,4.40%,▲ 順勢追意
4971.TWO,IET-KY,20260527,744.0,-60876,84,60961,-0.0x,6.29%,▲ 順勢追意
3715.TW,定穎投控,20260527,179.0,-11790,46234,58024,-3.9x,11.18%,▲ 順勢追意
2436.TW,偉詮電,20260527,78.1,3578,61145,57567,17.1x,8.77%,▲ 順勢追意
00922.TW,國泰台灣領袖50,20260527,39.27,-6666,50735,57402,-7.6x,12.84%,▲ 順勢追意
00919.TW,群益台灣精選高息,20260527,28.85,-33418,20669,54088,-0.6x,11.05%,▲ 順勢追意
0052.TW,富邦科技,20260527,60.45,-18662,31804,50467,-1.7x,11.02%,▲ 順勢追意
00401A.TW,主動摩根台灣鑫收,20260527,13.76,-10572,38405,48977,-3.6x,13.06%,▲ 順勢追意
2317.TW,鴻海,20260527,264.0,41222,90107,48885,2.2x,10.00%,▲ 順勢追意
2485.TW,兆赫,20260527,74.1,13117,61865,48748,4.7x,4.96%,▲ 順勢追意
6706.TW,惠特,20260527,216.5,-17053,30651,47705,-1.8x,34.89%,▲ 順勢追意
4973.TWO,廣穎,20260527,139.0,-29290,18072,47363,-0.6x,27.52%,▲ 順勢追意
00929.TW,復華台灣科技優息,20260527,30.04,8349,55131,46782,6.6x,19.82%,▲ 順勢追意
6244.TWO,茂迪,20260527,29.35,-43813,2902,46715,-0.1x,3.71%,▲ 順勢追意
00927.TW,群益半導體收益,20260527,40.86,4390,49625,45234,11.3x,21.50%,▲ 順勢追意
2892.TW,第一金,20260527,27.6,-161659,-117211,44448,0.7x,-0.54%,無
2498.TW,宏達電,20260527,44.65,-37972,6428,44400,-0.2x,-1.76%,★ 壓低偷買
00738U.TW,期元大道瓊白銀,20260527,61.9,-45710,-1466,44243,0.0x,3.60%,無
00961.TW,FT臺灣永續高息,20260527,12.06,-19874,22630,42505,-1.1x,9.64%,▲ 順勢追意
3706.TW,神達,20260527,84.2,-8643,33117,41760,-3.8x,4.86%,▲ 順勢追意
6456.TW,GIS-KY,20260527,79.0,3471,44870,41398,12.9x,24.21%,▲ 順勢追意
2472.TW,立隆電,20260527,337.5,-35370,6009,41380,-0.2x,32.35%,▲ 順勢追意
00994A.TW,主動第一金台股優,20260527,18.89,-10812,30441,41254,-2.8x,16.68%,▲ 順勢追意
6163.TWO,華電網,20260527,50.2,-36820,3595,40415,-0.1x,0.80%,▲ 順勢追意
2421.TW,建準,20260527,162.0,-4569,35076,39646,-7.7x,13.29%,▲ 順勢追意
6548.TWO,長科*,20260527,61.1,319,39941,39621,124.9x,25.72%,▲ 順勢追意
6016.TWO,康和證,20260527,26.7,-15603,23634,39237,-1.5x,22.48%,▲ 順勢追意
6285.TW,啟碁,20260527,311.5,3167,41651,38483,13.1x,11.65%,▲ 順勢追意
2609.TW,陽明,20260527,52.6,-5903,31933,37836,-5.4x,4.57%,▲ 順勢追意
6290.TWO,良維,20260527,328.5,-11758,24972,36730,-2.1x,25.38%,▲ 順勢追意
2338.TW,光罩,20260527,56.2,1399,37434,36034,26.7x,12.74%,▲ 順勢追意
00987A.TW,主動台新優勢成長,20260527,18.11,-3190,31975,35166,-10.0x,13.68%,▲ 順勢追意
2881.TW,富邦金,20260527,110.0,44473,79321,34847,1.8x,14.82%,▲ 順勢追意
3221.TWO,台嘉碩,20260527,56.4,-3613,28971,32584,-8.0x,17.75%,▲ 順勢追意
3289.TWO,宜特,20260527,169.5,-31920,-67,31853,0.0x,5.61%,無
6443.TW,元晶,20260527,41.05,-16528,15206,31734,-0.9x,0.12%,★ 壓低偷買
6664.TWO,群翊,20260527,454.5,-28911,2213,31125,-0.1x,15.80%,▲ 順勢追意
8150.TW,南茂,20260527,93.9,-29902,882,30785,-0.0x,26.21%,▲ 順勢追意
00637L.TW,元大滬深300正2,20260527,21.65,-33387,-2643,30744,0.1x,2.36%,無
2328.TW,廣宇,20260527,53.8,-1133,29088,30221,-25.7x,6.53%,▲ 順勢追意
5443.TWO,均豪,20260527,126.5,-15008,14453,29462,-1.0x,8.58%,▲ 順勢追意
8112.TW,至上,20260527,86.0,-36595,-7185,29409,0.2x,2.38%,無
3430.TWO,奇鈦科,20260527,162.5,-31934,-2742,29192,0.1x,2.52%,無
3294.TWO,英濟,20260527,39.8,-25981,3011,28992,-0.1x,-1.73%,★ 壓低偷買
00981B.TWO,第一金優選非投債,20260527,9.1,-3096,25193,28290,-8.1x,-0.33%,★ 壓低偷買
6015.TWO,宏遠證,20260527,17.95,-5079,23098,28178,-4.5x,23.79%,▲ 順勢追意
2353.TW,宏��,20260527,31.4,-17776,10306,28083,-0.6x,14.39%,▲ 順勢追意
00680L.TW,元大美債20正2,20260527,6.81,-3195,24679,27875,-7.7x,4.77%,▲ 順勢追意
00939.TW,統一台灣高息動能,20260527,20.08,-26459,1112,27572,-0.0x,11.00%,▲ 順勢追意
00993A.TW,主動安聯台灣,20260527,13.93,1642,28982,27339,17.6x,15.22%,▲ 順勢追意
4938.TW,和碩,20260527,82.1,-27514,-1276,26238,0.0x,6.35%,無
6215.TW,和椿,20260527,130.5,-10811,15395,26206,-1.4x,6.97%,▲ 順勢追意
6213.TW,聯茂,20260527,276.5,-3824,22106,25930,-5.8x,16.91%,▲ 順勢追意
00989A.TW,主動摩根美國科技,20260527,17.85,-7202,18436,25638,-2.6x,5.93%,▲ 順勢追意
2406.TW,國碩,20260527,34.9,-8727,16872,25599,-1.9x,16.14%,▲ 順勢追意
3498.TWO,陽程,20260527,155.5,-25251,347,25599,-0.0x,8.36%,▲ 順勢追意
3019.TW,亞光,20260527,149.5,-2890,21813,24703,-7.5x,-2.61%,★ 壓低偷買
6257.TW,矽格,20260527,233.5,8175,31365,23189,3.8x,12.80%,▲ 順勢追意
2316.TW,楠梓電,20260527,168.0,-23448,-268,23179,0.0x,22.18%,無
3135.TW,凌航,20260527,242.0,-17399,4727,22126,-0.3x,27.03%,▲ 順勢追意
3035.TW,智原,20260527,202.5,-2404,19654,22059,-8.2x,6.86%,▲ 順勢追意
5864.TWO,致和證,20260527,38.6,-8112,13494,21607,-1.7x,23.13%,▲ 順勢追意
2061.TWO,風青,20260527,33.6,-1055,20319,21375,-19.2x,50.67%,▲ 順勢追意
3376.TW,新日興,20260527,212.0,17089,37552,20463,2.2x,4.69%,▲ 順勢追意
2882.TW,國泰金,20260527,85.4,19685,40099,20414,2.0x,9.63%,▲ 順勢追意
6202.TW,盛群,20260527,60.4,1354,21756,20402,16.1x,8.63%,▲ 順勢追意
2357.TW,華碩,20260527,701.0,-16776,3492,20269,-0.2x,9.53%,▲ 順勢追意
2404.TW,漢唐,20260527,1235.0,8075,28339,20264,3.5x,20.49%,▲ 順勢追意
00930.TW,永豐ESG低碳高息,20260527,24.06,-12126,7901,20027,-0.7x,14.68%,▲ 順勢追意
3059.TW,華晶科,20260527,41.55,-19697,282,19979,-0.0x,-2.24%,★ 壓低偷買
2441.TW,超豐,20260527,136.0,-30129,-10393,19736,0.3x,32.68%,無
3265.TWO,台星科,20260527,189.5,-12121,6821,18943,-0.6x,11.14%,▲ 順勢追意
2393.TW,億光,20260527,62.7,-21991,-3104,18887,0.1x,-1.10%,無
2359.TW,所羅門,20260527,144.5,-16692,2013,18706,-0.1x,13.33%,▲ 順勢追意
3062.TW,建漢,20260527,29.2,5763,23994,18231,4.2x,4.29%,▲ 順勢追意
6168.TW,宏齊,20260527,28.0,319,18205,17886,57.0x,6.26%,▲ 順勢追意
2329.TW,華泰,20260527,58.5,-10608,7276,17884,-0.7x,13.81%,▲ 順勢追意
6217.TWO,中探針,20260527,276.0,-16089,1729,17818,-0.1x,15.48%,▲ 順勢追意
6284.TWO,佳邦,20260527,113.0,18501,36278,17777,2.0x,28.41%,▲ 順勢追意
2413.TW,環科,20260527,49.55,-9096,8584,17681,-0.9x,0.51%,▲ 順勢追意
2327.TW,國巨*,20260527,701.0,-26138,-8867,17270,0.3x,34.81%,無
3014.TW,聯陽,20260527,153.0,520,17732,17211,34.1x,10.87%,▲ 順勢追意
3036.TW,文曄,20260527,296.0,-17401,-227,17173,0.0x,6.09%,無
3324.TWO,雙鴻,20260527,1035.0,-20423,-3290,17133,0.2x,10.22%,無
6271.TW,同欣電,20260527,254.5,10733,27709,16976,2.6x,35.73%,▲ 順勢追意
5483.TWO,中美晶,20260527,162.0,-6200,10231,16432,-1.7x,20.00%,▲ 順勢追意
6125.TWO,廣運,20260527,65.8,304,16621,16316,54.6x,20.29%,▲ 順勢追意
2349.TW,錸德,20260527,13.85,258,16560,16301,64.0x,13.99%,▲ 順勢追意
2305.TW,全友,20260527,22.85,1043,17224,16181,16.5x,37.65%,▲ 順勢追意
4739.TW,康普,20260527,104.0,-3529,12632,16161,-3.6x,13.66%,▲ 順勢追意
6005.TW,群益證,20260527,35.0,-1248,14478,15727,-11.6x,14.38%,▲ 順勢追意
3537.TWO,堡達,20260527,67.2,6200,21687,15486,3.5x,16.26%,▲ 順勢追意
6207.TWO,雷科,20260527,103.5,22243,37689,15446,1.7x,28.25%,▲ 順勢追意
00888.TWO,永豐台灣ESG,20260527,35.13,-4748,10391,15139,-2.2x,17.77%,▲ 順勢追意
6120.TW,達運,20260527,13.9,-944,14136,15081,-15.0x,8.17%,▲ 順勢追意
2371.TW,大同,20260527,29.4,-10825,4127,14953,-0.4x,4.81%,▲ 順勢追意
4977.TW,眾達-KY,20260527,221.0,-17829,-2890,14938,0.2x,9.95%,無
3576.TW,聯合再生,20260527,19.1,14648,29555,14906,2.0x,8.83%,▲ 順勢追意
6190.TWO,萬泰科,20260527,80.4,-1650,13095,14746,-7.9x,3.61%,▲ 順勢追意
6133.TW,金橋,20260527,23.3,-14353,247,14601,-0.0x,-4.31%,★ 壓低偷買
8131.TW,福懋科,20260527,68.9,-1126,13185,14311,-11.7x,13.14%,▲ 順勢追意
6695.TW,芯鼎,20260527,60.9,230,14322,14092,62.2x,20.36%,▲ 順勢追意
00632R.TW,元大台灣50反1,20260527,10.5,-4718,9266,13984,-2.0x,-10.49%,★ 壓低偷買
00673R.TW,期元大S&P原油反1,20260527,12.53,-6441,7327,13768,-1.1x,11.78%,▲ 順勢追意
3227.TWO,原相,20260527,226.5,-10756,2775,13531,-0.3x,1.34%,▲ 順勢追意
3504.TW,揚明光,20260527,77.6,-10571,2679,13251,-0.3x,-5.71%,★ 壓低偷買
4720.TW,德淵,20260527,26.9,-11885,1167,13053,-0.1x,10.25%,▲ 順勢追意
1721.TW,三晃,20260527,30.15,-10361,2278,12640,-0.2x,7.68%,▲ 順勢追意
2354.TW,鴻準,20260527,59.7,-10416,2170,12587,-0.2x,3.83%,▲ 順勢追意
00712.TW,復華富時不動產,20260527,8.77,-12340,191,12531,-0.0x,0.80%,▲ 順勢追意
6218.TWO,豪勉,20260527,43.2,-9264,3242,12506,-0.4x,12.06%,▲ 順勢追意
6237.TWO,驊訊,20260527,51.1,-2374,9822,12196,-4.1x,5.25%,▲ 順勢追意
2014.TW,中鴻,20260527,18.0,-75,12024,12100,-158.4x,5.88%,▲ 順勢追意
3323.TWO,加百裕,20260527,38.5,-6437,5615,12053,-0.9x,11.76%,▲ 順勢追意
6510.TWO,精測,20260527,3195.0,-12227,-265,11962,0.0x,-5.61%,無
3362.TWO,先進光,20260527,112.5,-10317,1557,11874,-0.2x,-0.88%,★ 壓低偷買
00946.TW,群益科技高息成長,20260527,14.7,-3379,8440,11820,-2.5x,14.49%,▲ 順勢追意
3055.TW,蔚華科,20260527,112.5,-8803,2870,11674,-0.3x,0.45%,★ 壓低偷買
3709.TWO,鑫聯大投控,20260527,86.3,-4424,7238,11663,-1.6x,3.48%,▲ 順勢追意
00915.TW,凱基優選高股息30,20260527,29.0,2836,14481,11644,5.1x,7.41%,▲ 順勢追意
8070.TW,長華*,20260527,50.3,-2145,9454,11599,-4.4x,17.52%,▲ 順勢追意
3615.TWO,安可,20260527,47.3,-6381,5214,11595,-0.8x,11.95%,▲ 順勢追意
2885.TW,元大金,20260527,59.5,981,12445,11464,12.7x,7.99%,▲ 順勢追意
2493.TW,揚博,20260527,158.0,-1267,10072,11339,-7.9x,22.96%,▲ 順勢追意
6903.TWO,巨漢,20260527,421.5,-6680,4576,11256,-0.7x,13.77%,▲ 順勢追意
1101.TW,台泥,20260527,23.85,-23089,-12005,11083,0.5x,-1.24%,無
4743.TWO,合一,20260527,50.8,-10159,888,11048,-0.1x,3.67%,▲ 順勢追意
3689.TWO,湧德,20260527,130.5,-110,10898,11008,-98.3x,10.13%,▲ 順勢追意
2855.TW,統一證,20260527,44.9,-4185,6661,10847,-1.6x,14.54%,▲ 順勢追意
3363.TWO,上詮,20260527,847.0,-7068,3486,10555,-0.5x,9.01%,▲ 順勢追意
6761.TWO,穩得,20260527,223.5,416,10951,10534,26.3x,23.14%,▲ 順勢追意
009817.TW,國泰日本不動產,20260527,8.8,2841,13178,10336,4.6x,-1.35%,★ 壓低偷買
6153.TW,嘉聯益,20260527,18.25,-602,9733,10335,-16.1x,3.99%,▲ 順勢追意
3708.TW,上緯投控,20260527,131.0,162,10444,10282,64.4x,10.08%,▲ 順勢追意
6683.TWO,雍智科技,20260527,1780.0,-413,9778,10192,-23.6x,0.00%,★ 壓低偷買
0056.TW,元大高股息,20260527,49.64,-5994,4070,10065,-0.7x,12.72%,▲ 順勢追意
4749.TWO,新應材,20260527,1115.0,-4726,5159,9886,-1.1x,12.17%,▲ 順勢追意
5388.TW,中磊,20260527,83.3,706,10293,9587,14.6x,1.83%,▲ 順勢追意
00951.TW,台新日本半導體,20260527,17.16,-3624,5891,9515,-1.6x,12.82%,▲ 順勢追意
2812.TW,台中銀,20260527,18.8,-10343,-838,9505,0.1x,-0.53%,無
6026.TWO,福邦證,20260527,16.45,-4431,4958,9389,-1.1x,9.30%,▲ 順勢追意
00934.TW,中信成長高股息,20260527,27.05,-6402,2784,9187,-0.4x,10.00%,▲ 順勢追意
8105.TW,凌巨,20260527,16.8,-4091,4886,8977,-1.2x,8.74%,▲ 順勢追意
00679B.TWO,元大美債20年,20260527,26.33,-4100,4826,8927,-1.2x,2.05%,▲ 順勢追意
00983A.TW,主動中信ARK創新,20260527,11.61,-3760,5132,8892,-1.4x,3.75%,▲ 順勢追意
00688L.TW,國泰20年美債正2,20260527,6.8,-1946,6928,8874,-3.6x,4.94%,▲ 順勢追意
00918.TW,大華優利高填息30,20260527,28.56,-14219,-5590,8629,0.4x,10.78%,無
8054.TWO,安國,20260527,107.5,3448,12029,8580,3.5x,0.94%,▲ 順勢追意
8110.TW,華東,20260527,60.6,4402,12976,8574,2.9x,31.03%,▲ 順勢追意
2323.TW,中環,20260527,10.3,-8906,-367,8538,0.0x,9.93%,無
00936.TW,台新永續高息中小,20260527,20.16,4394,12751,8357,2.9x,5.11%,▲ 順勢追意
8071.TWO,能率網通,20260527,19.5,-7090,1218,8308,-0.2x,-0.76%,★ 壓低偷買
00947.TW,台新臺灣IC設計,20260527,38.74,1308,9592,8283,7.3x,16.83%,▲ 順勢追意
6191.TW,精成科,20260527,98.0,-1819,6457,8276,-3.5x,4.03%,▲ 順勢追意
3025.TW,星通,20260527,77.2,-199,7950,8150,-39.8x,30.41%,▲ 順勢追意
00665L.TW,富邦�琤肭磪囓�2,20260527,9.43,-13371,-5274,8097,0.4x,-2.88%,無
3490.TWO,單井,20260527,39.4,-16177,-8163,8013,0.5x,6.49%,無
2834.TW,臺企銀,20260527,16.15,-14516,-6547,7968,0.5x,0.62%,無
2332.TW,友訊,20260527,15.6,601,8481,7880,14.1x,11.83%,▲ 順勢追意
00713.TW,元大台灣高息低波,20260527,56.05,-2555,5281,7837,-2.1x,1.91%,▲ 順勢追意
00954.TW,中信日本半導體,20260527,18.38,-4903,2866,7769,-0.6x,13.46%,▲ 順勢追意
3704.TW,合勤控,20260527,45.25,11028,18740,7712,1.7x,16.93%,▲ 順勢追意
5452.TWO,佶優,20260527,32.85,111,7800,7689,69.9x,3.46%,▲ 順勢追意
3293.TWO,鈊象,20260527,756.0,-8357,-842,7515,0.1x,3.85%,無
2351.TW,順德,20260527,229.0,-1251,6217,7468,-5.0x,27.22%,▲ 順勢追意
8215.TW,明基材,20260527,29.2,-3021,4309,7330,-1.4x,9.57%,▲ 順勢追意
2465.TW,麗臺,20260527,86.0,-959,6235,7195,-6.5x,13.76%,▲ 順勢追意
5258.TW,虹堡,20260527,52.0,-4028,2987,7016,-0.7x,-10.34%,★ 壓低偷買
3339.TWO,泰谷,20260527,48.4,-10818,-3918,6899,0.4x,1.89%,無
3711.TW,日月光投控,20260527,642.0,-8331,-1599,6732,0.2x,34.87%,無
1326.TW,台化,20260527,45.45,-6364,361,6725,-0.1x,2.02%,▲ 順勢追意
1309.TW,台達化,20260527,14.8,-5156,1564,6720,-0.3x,-4.82%,★ 壓低偷買
2405.TW,輔信,20260527,16.4,862,7519,6656,8.7x,5.81%,▲ 順勢追意
3317.TWO,尼克森,20260527,82.3,26933,33585,6651,1.2x,13.52%,▲ 順勢追意
3078.TWO,僑威,20260527,56.8,-5749,849,6599,-0.1x,8.81%,▲ 順勢追意
00635U.TW,期元大S&P黃金,20260527,47.07,-7669,-1136,6532,0.1x,0.45%,無
3041.TW,揚智,20260527,25.9,745,7131,6386,9.6x,9.75%,▲ 順勢追意
2330.TW,台積電,20260527,2300.0,-5262,1098,6360,-0.2x,5.26%,▲ 順勢追意
8033.TW,雷虎,20260527,135.0,-5444,897,6341,-0.2x,1.50%,▲ 順勢追意
3138.TW,耀登,20260527,165.5,-3717,2501,6219,-0.7x,1.53%,▲ 順勢追意
8103.TW,瀚荃,20260527,106.0,-8511,-2292,6218,0.3x,1.92%,無
6104.TWO,創惟,20260527,99.0,821,6793,5972,8.3x,2.38%,▲ 順勢追意
00909.TW,國泰數位支付服務,20260527,49.38,-454,5442,5897,-12.0x,7.70%,▲ 順勢追意
3587.TWO,閎康,20260527,331.0,-7613,-1828,5784,0.2x,2.95%,無
8163.TW,達方,20260527,36.0,-72,5625,5698,-77.2x,9.09%,▲ 順勢追意
6532.TWO,瑞耘,20260527,97.0,-4384,1263,5647,-0.3x,0.21%,★ 壓低偷買
2221.TWO,大甲,20260527,41.95,-5253,374,5628,-0.1x,-2.44%,★ 壓低偷買
00894.TW,中信小資高價30,20260527,50.55,-1695,3769,5465,-2.2x,15.44%,▲ 順勢追意
5469.TW,瀚宇博,20260527,87.0,-1147,4283,5430,-3.7x,10.13%,▲ 順勢追意
2610.TW,華航,20260527,18.45,-9027,-3669,5358,0.4x,1.37%,無
00881.TW,國泰台灣科技龍頭,20260527,54.75,613,5955,5341,9.7x,14.88%,▲ 順勢追意
6291.TWO,沛亨,20260527,645.0,-1589,3697,5286,-2.3x,39.31%,▲ 順勢追意
4722.TW,國精化,20260527,270.5,-1161,4086,5248,-3.5x,14.14%,▲ 順勢追意
00900.TW,富邦特選高股息30,20260527,18.49,-8690,-3447,5243,0.4x,11.79%,無
4760.TWO,勤凱,20260527,387.0,-1597,3590,5188,-2.2x,37.23%,▲ 順勢追意
3583.TW,辛耘,20260527,876.0,-5114,-1,5113,0.0x,6.05%,無
3577.TWO,泓格,20260527,146.5,-3384,1451,4836,-0.4x,9.33%,▲ 順勢追意
4533.TWO,協易機,20260527,32.0,-263,4561,4825,-17.3x,0.95%,▲ 順勢追意
3217.TWO,優群,20260527,197.5,9289,14108,4819,1.5x,4.77%,▲ 順勢追意
1609.TW,大亞,20260527,36.75,90,4860,4770,53.9x,8.73%,▲ 順勢追意
1503.TW,士電,20260527,221.0,-850,3904,4754,-4.6x,22.10%,▲ 順勢追意
3563.TW,牧德,20260527,842.0,-2119,2601,4720,-1.2x,-0.82%,★ 壓低偷買
3491.TWO,昇達科,20260527,2080.0,888,5583,4695,6.3x,18.52%,▲ 順勢追意
6412.TW,群電,20260527,100.0,-1132,3436,4569,-3.0x,5.82%,▲ 順勢追意
3380.TW,明泰,20260527,35.5,-747,3794,4542,-5.1x,10.08%,▲ 順勢追意
2454.TW,聯發科,20260527,4640.0,-1660,2761,4421,-1.7x,43.65%,▲ 順勢追意
5371.TWO,中光電,20260527,71.5,3151,7572,4421,2.4x,1.42%,▲ 順勢追意
3017.TW,奇鋐,20260527,2700.0,-4469,-60,4409,0.0x,15.38%,無
6425.TWO,易發,20260527,102.5,1134,5487,4352,4.8x,16.74%,▲ 順勢追意
6269.TW,台郡,20260527,62.8,441,4730,4289,10.7x,8.28%,▲ 順勢追意
5285.TW,界霖,20260527,90.0,-641,3609,4250,-5.6x,11.94%,▲ 順勢追意
00965.TW,元大航太防衛科技,20260527,25.8,-3174,1064,4239,-0.3x,5.22%,▲ 順勢追意
4903.TWO,聯光通,20260527,44.9,-3395,818,4213,-0.2x,1.24%,▲ 順勢追意
6204.TWO,艾華,20260527,90.1,-2749,1418,4168,-0.5x,7.90%,▲ 順勢追意
8249.TW,菱光,20260527,56.5,-3926,127,4053,-0.0x,10.78%,▲ 順勢追意
2474.TW,可成,20260527,208.5,-6908,-2863,4045,0.4x,13.93%,無
2049.TW,上銀,20260527,409.0,2072,6101,4029,2.9x,13.77%,▲ 順勢追意
6538.TWO,倉和,20260527,123.0,-3167,816,3983,-0.3x,15.49%,▲ 順勢追意
3044.TW,健鼎,20260527,524.0,-1377,2600,3978,-1.9x,13.30%,▲ 順勢追意
9958.TW,世紀鋼,20260527,102.0,-3470,495,3966,-0.1x,0.99%,▲ 順勢追意
00941.TW,中信上游半導體,20260527,25.73,-1833,2103,3936,-1.1x,7.93%,▲ 順勢追意
00693U.TW,期街口S&P黃豆,20260527,21.92,107,4026,3919,37.4x,-2.14%,★ 壓低偷買
6550.TW,北極星藥業-KY,20260527,14.35,-556,3350,3907,-6.0x,-11.42%,★ 壓低偷買
6488.TWO,環球晶,20260527,930.0,-2233,1631,3864,-0.7x,45.77%,▲ 順勢追意
6558.TW,興能高,20260527,31.7,-3291,552,3844,-0.2x,-1.55%,★ 壓低偷買
