prev_eps_yoy,om,pe,prev_rev_yoy,eps_yoy,gm,name,est_price,prev_year,price,date,rev_yoy,status,eps,prev_eps,expansion,symbol,advice
55.83,N/A,0.0,5.03,445.45,N/A,三貝德,-20.1,2025,21.8999996185,2026-03,186.87,🔄 轉虧為盈,0.38,-0.76,258.58,8489.TWO,⚪ 數據不足
8050.0,8.07%,11.246882412493765,0.89,701.79,18.73%,事欣科,120.3,2025,90.1999969482,2026-03,473.51,🚀 利潤擴張,4.49,1.77,228.27999999999997,4916.TW,💎 強力關注
-66.67,N/A,5.238095108333334,-3.15,518.75,N/A,銘旺實,44.1,2025,15.3999996185,2026-03,292.4,🚀 利潤擴張,2.97,0.88,226.35000000000002,4432.TWO,💎 強力關注
51.72,-88.29%,9.346938619795917,-61.59,350.0,35.38%,中美實,14.700000000000001,2025,9.1599998474,2026-03,132.31,🚀 利潤擴張,0.45,0.88,217.69,4702.TWO,💎 強力關注
33.97,N/A,4.588271042236402,5.83,512.9,N/A,東哥遊艇,493.65000000000003,2025,151.0,2026-03,297.67,🚀 利潤擴張,3.8,13.25,215.22999999999996,8478.TW,💎 強力關注
-21.15,8.70%,6.457925636007827,3.39,925.0,13.61%,大亞,76.65,2025,33.0,2026-03,713.51,🚀 利潤擴張,0.66,1.65,211.49,1609.TW,💎 強力關注
-80.0,7.12%,0.0,3.55,213.33,19.34%,聯嘉投控,0.0,2025,20.3999996185,2026-03,26.54,🚀 利潤擴張,0.47,0.08,186.79000000000002,3717.TW,⚪ 數據不足
-280.2,N/A,0.0,-10.9,266.67,N/A,巨虹,-43.199999999999996,2025,41.4500007629,2026-03,80.73,🔄 轉虧為盈,0.33,-1.82,185.94,8084.TWO,⚪ 數據不足
25.64,14.85%,8.245614156762361,18.23,728.13,30.40%,東浦,94.05,2025,51.7000007629,2026-03,542.69,🚀 利潤擴張,2.65,2.02,185.43999999999994,3290.TWO,💎 強力關注
-177.27,N/A,0.0,-15.68,550.0,N/A,同協,-7.95,2025,15.25,2026-03,385.95,🔄 轉虧為盈,0.09,-0.17,164.05,5460.TWO,⚪ 數據不足
1640.0,N/A,0.0,32.98,276.67,N/A,未知,0.0,2025,0.0,2026-03,116.02,🚀 利潤擴張,0.53,1.54,160.65000000000003,4582.TWO,⚪ 數據不足
1640.0,N/A,0.0,32.98,276.67,N/A,聚恆-創,0.0,2025,26.8500003815,2026-03,116.02,🚀 利潤擴張,0.53,1.54,160.65000000000003,4582.TW,⚪ 數據不足
-219.05,-2.91%,0.0,-2.43,700.0,10.78%,鼎元,-6.6,2025,50.2999992371,2026-03,542.01,🔄 轉虧為盈,0.06,-0.25,157.99,2426.TW,⚪ 數據不足
54.55,8.42%,0.0,2.69,264.29,56.31%,圓剛,-25.049999999999997,2025,38.0999984741,2026-03,108.24,🔄 轉虧為盈,0.28,-0.19,156.05,2417.TW,⚪ 數據不足
-125.22,N/A,147.85714830714272,-4.25,366.67,N/A,成霖,1.050000000000001,2025,10.3500003815,2026-03,214.33,🔄 轉虧為盈,0.28,-0.29,152.34,9934.TW,⚠️ 追價風險
-77.02,N/A,29.069767441860453,7.13,323.08,N/A,六角,32.250000000000014,2025,62.5,2026-03,180.76,🚀 利潤擴張,1.1,1.09,142.32,2732.TWO,⚠️ 追價風險
-38.68,N/A,15.179407652386896,5.8,442.11,N/A,醫揚,96.15,2025,97.3000030518,2026-03,307.94,🚀 利潤擴張,1.03,2.88,134.17000000000002,6569.TWO,✅ 穩健價值
921.74,N/A,24.514991181657848,17.09,406.45,N/A,凌華,85.05,2025,139.0,2026-03,273.28,🚀 利潤擴張,1.57,2.35,133.17000000000002,6166.TW,⚠️ 追價風險
884.75,41.27%,126.22950819672131,82.29,645.65,54.76%,聯亞,183.0,2025,1540.0,2026-03,515.18,🏰 高護城河,3.44,4.66,130.47000000000003,3081.TWO,⚠️ 追價風險
