price,prev_eps,prev_rev_yoy,rev_yoy,om,prev_year,symbol,gm,eps_yoy,name,est_price,expansion,eps,status,prev_eps_yoy,date,advice,pe
10.8000001907,0.28,22.5,3.99,0.43%,2025,4924.TWO,27.32%,660.0,欣厚-KY,7.2,656.01,0.38,🚀 利潤擴張,460.0,2025-12,⚠️ 追價風險,22.500000397291664
18.25,0.48,14.66,16.76,-11.28%,2025,3002.TW,17.03%,620.0,歐格,17.099999999999998,603.24,0.36,🚀 利潤擴張,422.22,2025-12,⚪ 中性觀察,16.00877192982456
95.5,0.12,-0.22,9.55,15.37%,2025,2344.TW,41.86%,576.92,華邦電,3.4499999999999997,567.37,0.88,🚀 利潤擴張,-57.14,2025-12,⚠️ 追價風險,415.21739130434787
70.3000030518,0.66,24.16,26.61,-188.65%,2025,3054.TW,62.07%,590.0,立萬利,39.0,563.39,1.96,🏰 高護城河,288.57,2025-12,⚠️ 追價風險,27.03846271223077
0.0,5.5,-19.03,-17.0,N/A,2025,9949.TWO,N/A,544.54,琉園,0.0,561.54,5.29,🧐 疑業外收益,1270.21,2025-12,⚪ 數據不足,0.0
47.7000007629,-0.38,-4.33,0.1,N/A,2025,6282.TW,N/A,550.0,康舒,-13.950000000000003,549.9,0.18,🔄 轉虧為盈,-90.0,2025-12,⚪ 數據不足,0.0
15.25,0.49,-12.66,-10.43,-66.51%,2025,2491.TW,43.42%,457.5,吉祥全,2.5500000000000025,467.93,1.43,🧐 疑業外收益,179.03,2025-12,⚠️ 追價風險,89.7058823529411
31.8500003815,0.54,18.74,20.59,-18.51%,2025,3297.TWO,30.70%,461.54,杭特,18.15,440.95000000000005,0.47,🚀 利潤擴張,2600.0,2025-12,⚠️ 追價風險,26.322314364876032
236.0,-0.58,310.97,334.57,4.44%,2025,3555.TWO,18.45%,752.94,博士旺,-9.599999999999998,418.37000000000006,1.28,🔄 轉虧為盈,7.84,2025-12,⚪ 數據不足,0.0
27.3999996185,-0.11,-10.45,-9.02,15.14%,2025,2243.TW,22.27%,408.33,宏旭-KY,13.199999999999998,417.34999999999997,1.22,🔄 轉虧為盈,38.89,2025-12,⚠️ 追價風險,31.13636320284092
742.0,5.45,119.15,95.35,18.24%,2025,3167.TW,42.12%,474.47,大量,264.15000000000003,379.12,8.13,🚀 利潤擴張,790.16,2025-12,⚠️ 追價風險,42.13515048268029
9.6899995804,0.43,-6.34,-9.55,0.23%,2025,1413.TW,2.52%,364.71,宏洲,16.499999999999996,374.26,0.45,🧐 疑業外收益,326.32,2025-12,💎 強力關注,8.809090527636364
237.0,0.62,6.23,5.46,7.74%,2025,4764.TW,23.49%,377.27,雙鍵,38.849999999999994,371.81,1.22,🚀 利潤擴張,187.32,2025-12,⚠️ 追價風險,91.5057915057915
26.8500003815,1.26,13.03,12.01,N/A,2025,5490.TWO,N/A,382.35,同亨,68.4,370.34000000000003,1.69,🚀 利潤擴張,916.67,2025-12,💎 強力關注,5.888157978399122
17.2999992371,0.02,-10.3,-6.42,N/A,2025,8940.TW,N/A,358.33,新天地,42.0,364.75,0.55,🧐 疑業外收益,103.23,2025-12,💎 強力關注,6.178571156107143
64.1999969482,1.65,43.11,49.68,-15.39%,2025,3219.TWO,69.49%,406.67,倚強科,59.699999999999996,356.99,1.52,🏰 高護城河,179.66,2025-12,⚪ 中性觀察,16.13065249954774
17.2000007629,0.52,-0.15,0.41,-2.70%,2025,2409.TW,10.73%,327.5,友達,38.1,327.09,0.9,🚀 利潤擴張,185.25,2025-12,💎 強力關注,6.771653843661418
99.0,7.71,30.37,29.26,0.97%,2025,4439.TW,15.60%,346.24,冠星-KY,321.90000000000003,316.98,7.73,🚀 利潤擴張,114.76,2025-12,💎 強力關注,4.613233923578751
41.7999992371,-0.11,-14.04,-14.09,-12.67%,2025,2399.TW,8.40%,275.0,映泰,-2.7000000000000006,289.09,0.15,🔄 轉虧為盈,-222.22,2025-12,⚪ 數據不足,0.0
39.7000007629,7.88,-0.73,-5.85,-79.17%,2025,2498.TW,34.44%,275.85,宏達電,359.25,281.70000000000005,7.21,🧐 疑業外收益,352.24,2025-12,💎 強力關注,1.6576200736075155
56.5999984741,4.81,-8.55,-9.71,N/A,2025,9914.TW,N/A,271.37,美利達,194.10000000000002,281.08,4.01,🧐 疑業外收益,-18.34,2025-12,💎 強力關注,4.3740338851700145
0.0,3.02,12.63,12.97,N/A,2025,6165.TW,N/A,288.24,浪凡,0.0,275.27,4.02,🚀 利潤擴張,410.34,2025-12,⚪ 數據不足,0.0
199.0,1.26,19.84,20.44,13.23%,2025,4576.TW,38.42%,294.12,大銀微系統,65.55,273.68,2.01,🚀 利潤擴張,447.83,2025-12,⚠️ 追價風險,45.53775743707094
53.9000015259,0.98,-6.66,-14.27,-53.06%,2025,2466.TW,-4.21%,241.18,冠西電,-8.100000000000001,255.45000000000002,0.25,🧐 疑業外收益,230.67,2025-12,⚪ 數據不足,0.0
32.7000007629,4.75,-0.36,0.02,6.96%,2025,1608.TW,9.17%,254.81,華榮,174.45,254.79,5.5,🚀 利潤擴張,241.94,2025-12,💎 強力關注,2.8116939606964744
6.7100000381,0.19,4.96,-0.24,18.72%,2025,1718.TW,41.46%,250.0,中纖,3.9000000000000004,250.24,0.09,🧐 疑業外收益,-11.76,2025-12,⚠️ 追價風險,25.807692454230768
93.9000015259,1.48,-1.75,-0.48,N/A,2025,4949.TW,N/A,240.74,有成精密,68.25,241.22,1.91,🧐 疑業外收益,180.87,2025-12,⚪ 中性觀察,20.637362972725274
23.8500003815,-0.9,-98.23,7.93,25.89%,2025,1438.TW,29.82%,237.01,三地開發,-2.4000000000000004,229.07999999999998,1.74,🔄 轉虧為盈,10.89,2025-12,⚪ 數據不足,0.0
13.4499998093,-0.9,-26.31,-20.46,248.16%,2025,1456.TW,46.73%,207.21,怡華,22.050000000000004,227.67000000000002,3.41,🔄 轉虧為盈,15.89,2025-12,💎 強力關注,9.149659734217686
63.0999984741,0.47,-5.41,6.6,14.09%,2025,3530.TW,31.94%,230.83,晶相光,31.349999999999998,224.23000000000002,1.74,🚀 利潤擴張,-50.0,2025-12,⚠️ 追價風險,30.19138682971292
21.0,0.33,-4.98,-13.63,-1.87%,2025,2034.TW,5.45%,200.0,允強,14.399999999999999,213.63,0.21,🧐 疑業外收益,94.12,2025-12,⚪ 中性觀察,21.875
19.1000003815,1.43,-6.23,-1.28,9.56%,2025,4167.TWO,30.12%,203.51,松瑞藥,83.1,204.79,1.72,🧐 疑業外收益,237.21,2025-12,💎 強力關注,3.4476534984657037
32.25,1.0,14.04,12.21,14.38%,2025,4744.TWO,42.43%,216.0,皇將,66.44999999999999,203.79,2.51,🚀 利潤擴張,400.0,2025-12,💎 強力關注,7.279909706546276
109.5,0.23,20.7,20.92,N/A,2025,6902.TW,N/A,222.58,GOGOLOOK,31.349999999999998,201.66000000000003,1.58,🚀 利潤擴張,119.47,2025-12,⚠️ 追價風險,52.39234449760766
114.5,10.81,8.72,12.25,-7.46%,2025,2316.TW,5.71%,212.47,楠梓電,468.90000000000003,200.22,13.38,🚀 利潤擴張,260.07,2025-12,💎 強力關注,3.662827895073576
38.1500015259,0.31,36.52,29.92,10.64%,2025,1796.TWO,31.84%,229.63,金穎生技,20.249999999999996,199.70999999999998,0.7,🚀 利潤擴張,150.0,2025-12,⚠️ 追價風險,28.25926038955556
71.9000015259,1.18,5.51,8.46,N/A,2025,6840.TWO,N/A,205.88,東研信超,51.15,197.42,1.58,🚀 利潤擴張,76.12,2025-12,⚪ 中性觀察,21.0850444357478
13.6499996185,0.55,-1.51,-7.75,-10.81%,2025,3191.TWO,29.43%,189.47,雲嘉南,7.2,197.22,0.51,🧐 疑業外收益,219.57,2025-12,⚠️ 追價風險,28.437499205208333
39.4500007629,1.14,5.31,2.05,1.71%,2025,3048.TW,3.50%,195.71,益登,60.59999999999999,193.66,2.01,🚀 利潤擴張,153.27,2025-12,💎 強力關注,9.76485167398515
55.0,0.62,31.27,22.23,N/A,2025,6202.TW,N/A,213.64,盛群,34.199999999999996,191.41,0.76,🚀 利潤擴張,191.04,2025-12,⚠️ 追價風險,24.122807017543863
44.5999984741,-0.25,8.02,3.52,3.38%,2025,2413.TW,17.05%,193.18,環科,-9.6,189.66,0.41,🔄 轉虧為盈,62.12,2025-12,⚪ 數據不足,0.0
20.1499996185,0.1,-90.58,-87.0,-14.33%,2025,1516.TW,5.36%,100.65,川飛,0.30000000000000027,187.65,0.04,🧐 疑業外收益,-70.59,2025-12,⚠️ 追價風險,1007.4999809249991
45.7999992371,1.2,20.56,18.84,N/A,2025,6112.TW,N/A,203.33,邁達特,56.25,184.49,1.82,🚀 利潤擴張,-3.23,2025-12,✅ 穩健價值,12.213333129893334
14.8999996185,-0.04,11.15,6.56,N/A,2025,6246.TWO,N/A,186.36,臺龍,11.099999999999998,179.8,1.14,🔄 轉虧為盈,97.79,2025-12,⚪ 中性觀察,20.1351346195946
0.0,2.44,4.96,2.54,21.37%,2025,4746.TW,41.59%,180.15,台耀,0.0,177.61,3.67,🚀 利潤擴張,39.43,2025-12,⚪ 數據不足,0.0
24.1499996185,7.31,27.17,70.72,-11.23%,2025,3609.TWO,8.05%,248.27,三一東林,163.5,177.55,6.42,🚀 利潤擴張,314.37,2025-12,💎 強力關注,2.2155962952752293
12.8999996185,1.61,-11.95,-13.43,N/A,2025,6573.TW,N/A,163.4,虹揚-KY,20.7,176.83,1.23,🧐 疑業外收益,228.8,2025-12,💎 強力關注,9.347825810507247
173.5,4.25,22.77,23.89,N/A,2025,6719.TW,N/A,198.64,力智,213.00000000000003,174.75,6.58,🚀 利潤擴張,89.73,2025-12,✅ 穩健價值,12.218309859154928
47.8499984741,0.91,-0.97,-1.13,N/A,2025,6127.TWO,N/A,173.44,九豪,29.999999999999996,174.57,0.47,🧐 疑業外收益,275.0,2025-12,⚠️ 追價風險,23.924999237050002
37.0,0.49,-8.55,-3.75,14.30%,2025,4556.TWO,42.07%,170.59,旭然,24.750000000000004,174.34,0.92,🧐 疑業外收益,172.22,2025-12,⚠️ 追價風險,22.424242424242422
14.0,0.09,4.04,5.62,N/A,2025,5703.TWO,N/A,178.95,亞都,13.5,173.32999999999998,0.53,🚀 利潤擴張,175.0,2025-12,✅ 穩健價值,15.555555555555555
64.3000030518,0.49,39.08,50.65,N/A,2025,6209.TW,N/A,222.67,今國光,22.800000000000004,172.01999999999998,0.92,🚀 利潤擴張,190.57,2025-12,⚠️ 追價風險,42.30263358671052
58.4000015259,0.81,2.1,12.23,N/A,2025,6841.TWO,N/A,183.87,長佳智能,33.150000000000006,171.64000000000001,0.89,🚀 利潤擴張,1700.0,2025-12,⚠️ 追價風險,26.425340056968324
0.0,1.75,-4.54,27.9,N/A,2025,7610.TW,N/A,194.08,聯友金屬-創,0.0,166.18,5.45,🚀 利潤擴張,3.33,2025-12,⚪ 數據不足,0.0
32.1500015259,0.24,19.92,23.11,2.96%,2025,1587.TW,18.05%,188.1,吉茂,10.35,164.99,0.37,🚀 利潤擴張,155.81,2025-12,⚠️ 追價風險,46.594205110000004
230.5,0.16,13.26,10.09,1.35%,2025,2486.TW,15.86%,175.0,一詮,4.65,164.91,0.22,🚀 利潤擴張,300.0,2025-12,⚠️ 追價風險,743.5483870967741
0.0,1.13,21.0,164.5,N/A,2025,6994.TW,N/A,328.87,富威電力,0.0,164.37,6.34,🚀 利潤擴張,47.95,2025-12,⚪ 數據不足,0.0
101.5,17.41,97.52,78.68,N/A,2025,6596.TWO,N/A,242.99,寬宏藝術,693.9,164.31,18.83,🚀 利潤擴張,241.37,2025-12,💎 強力關注,2.19412019022914
40.5999984741,-0.24,25.19,62.85,N/A,2025,6265.TWO,N/A,223.81,方土昶,-11.25,160.96,0.68,🔄 轉虧為盈,-271.43,2025-12,⚪ 數據不足,0.0
401.0,9.52,130.37,130.83,N/A,2025,5439.TWO,N/A,291.45,高技,435.15,160.61999999999998,13.74,🚀 利潤擴張,280.8,2025-12,✅ 穩健價值,13.822819717338849
22.2000007629,-0.13,-54.34,-69.84,3.61%,2025,3489.TWO,10.14%,89.89,森寶,-4.95,159.73000000000002,-0.09,🧐 疑業外收益,23.53,2025-12,⚪ 數據不足,0.0
34.9500007629,2.61,-1.22,-6.62,-21.47%,2025,4526.TW,7.66%,150.56,東台,106.8,157.18,1.81,🧐 疑業外收益,271.05,2025-12,💎 強力關注,4.908707972317416
27.6000003815,2.19,18.28,19.21,-22.27%,2025,3630.TWO,4.18%,173.02,新鉅科,91.05,153.81,1.86,🚀 利潤擴張,219.44,2025-12,💎 強力關注,4.546952286902801
46.3499984741,3.24,-15.66,-15.36,N/A,2025,6684.TWO,N/A,137.2,安格,189.75000000000003,152.56,1.57,🧐 疑業外收益,203.85,2025-12,💎 強力關注,3.664031499928853
27.8999996185,-0.24,-95.44,-93.38,N/A,2025,6838.TW,N/A,58.65,台新藥,-13.5,152.03,-0.55,🧐 疑業外收益,77.78,2025-12,⚪ 數據不足,0.0
10.0500001907,-0.22,-79.84,72.24,81.17%,2025,4157.TWO,98.33%,220.0,太景*-KY,-5.8500000000000005,147.76,0.06,🔄 轉虧為盈,-1000.0,2025-12,⚪ 數據不足,0.0
19.2999992371,-0.1,-4.86,-3.71,22.84%,2025,3252.TWO,43.11%,141.94,海灣,2.4,145.65,0.13,🔄 轉虧為盈,54.55,2025-12,⚠️ 追價風險,120.62499523187499
81.6999969482,1.25,89.71,65.48,1.68%,2025,3162.TWO,11.59%,209.26,精確,67.05000000000001,143.77999999999997,1.7,🚀 利潤擴張,292.31,2025-12,⚪ 中性觀察,18.277404238970913
60.0999984741,2.56,-8.66,-8.77,-0.68%,2025,3673.TW,5.83%,133.62,TPK-KY,107.1,142.39000000000001,2.71,🧐 疑業外收益,55.15,2025-12,💎 強力關注,8.417366733067228
19.0499992371,0.05,-18.24,-20.68,N/A,2025,6236.TWO,N/A,119.51,中湛,4.050000000000001,140.19,0.08,🧐 疑業外收益,111.11,2025-12,⚠️ 追價風險,70.55555272999999
41.0,0.05,48.16,42.33,N/A,2025,6708.TWO,N/A,180.65,天擎,6.449999999999999,138.32,0.25,🚀 利潤擴張,119.23,2025-12,⚠️ 追價風險,95.34883720930235
20.3999996185,2.99,-19.06,-32.24,N/A,2025,5227.TWO,N/A,104.91,立凱-KY,9.450000000000005,137.15,0.17,🧐 疑業外收益,199.67,2025-12,⚠️ 追價風險,32.38095177539681
80.0999984741,-0.32,14.7,16.84,N/A,2025,6485.TWO,N/A,152.21,點序,18.9,135.37,0.71,🔄 轉虧為盈,70.64,2025-12,⚠️ 追價風險,63.57142736039683
237.5,-1.45,32.43,95.09,39.15%,2025,2408.TW,49.05%,229.88,南亞科,-28.5,134.79,2.13,🔄 轉虧為盈,-28.32,2025-12,⚪ 數據不足,0.0
82.0,3.61,55.41,44.32,5.14%,2025,3709.TWO,8.09%,178.19,鑫聯大投控,205.50000000000003,133.87,7.11,🚀 利潤擴張,167.46,2025-12,💎 強力關注,5.985401459854014
