prev_year,symbol,expansion,name,status,prev_eps_yoy,price,pe,rev_yoy,prev_eps,gm,date,eps,prev_rev_yoy,est_price,om,eps_yoy,advice
2025,9934.TW,152.34,成霖,🔄 轉虧為盈,-125.22,11.25,160.71428571428558,214.33,-0.29,N/A,2026-03,0.28,-4.25,1.050000000000001,N/A,366.67,⚠️ 追價風險
2025,2732.TWO,142.32,六角,🚀 利潤擴張,-77.02,65.0999984741,30.27906905772092,180.76,1.09,N/A,2026-03,1.1,7.13,32.250000000000014,N/A,323.08,⚠️ 追價風險
2025,6569.TWO,134.17000000000002,醫揚,🚀 利潤擴張,-38.68,93.5,14.586583463338533,307.94,2.88,N/A,2026-03,1.03,5.8,96.15,N/A,442.11,✅ 穩健價值
2025,6166.TW,133.17000000000002,凌華,🚀 利潤擴張,921.74,117.0,20.634920634920636,273.28,2.35,N/A,2026-03,1.57,17.09,85.05,N/A,406.45,⚪ 中性觀察
2025,3081.TWO,130.47000000000003,聯亞,🏰 高護城河,884.75,3370.0,276.2295081967213,515.18,4.66,54.76%,2026-03,3.44,82.29,183.0,41.27%,645.65,⚠️ 追價風險
2025,3356.TW,115.32000000000001,奇偶,🚀 利潤擴張,-20.59,61.7999992371,5.387968547262424,113.17,6.21,N/A,2026-03,2.21,-14.96,172.05,N/A,228.49,💎 強力關注
2025,6735.TWO,114.74000000000001,美達科技,🚀 利潤擴張,-84.51,63.5,0.0,268.59,0.33,N/A,2026-03,0.29,-4.81,-7.200000000000001,N/A,383.33,⚪ 數據不足
2025,2601.TW,109.06,益航,🏰 高護城河,-365.71,6.8600001335,0.0,-21.56,-1.63,102.69%,2026-03,-0.02,-7.78,-33.6,-12.62%,87.5,⚪ 數據不足
2025,7730.TW,108.44,暉盛-創,🚀 利潤擴張,-45.51,185.0,54.73372781065089,161.56,1.73,N/A,2026-03,0.37,-5.33,50.699999999999996,N/A,270.0,⚠️ 追價風險
2025,2911.TW,96.19000000000001,麗嬰房,🚀 利潤擴張,152.83,6.5399999619,0.0,67.27,2.15,N/A,2026-03,0.66,-16.81,-40.05,N/A,163.46,⚪ 數據不足
2025,3083.TWO,92.64,網龍,🏰 高護城河,-46.91,23.2999992371,26.781608318505747,57.36,0.43,87.57%,2026-03,0.3,-7.4,13.05,12.73%,150.0,⚠️ 追價風險
2025,6931.TW,89.48000000000002,青松健康,🚀 利潤擴張,104.41,41.5,13.973063973063972,990.52,1.39,N/A,2026-03,0.49,14.16,44.550000000000004,N/A,1080.0,✅ 穩健價值
2025,1599.TWO,88.79000000000002,宏佳騰,🔄 轉虧為盈,-169.49,23.0,0.0,486.21,-0.84,16.92%,2026-03,0.28,-18.58,-24.299999999999994,-21.33%,575.0,⚪ 數據不足
2025,4147.TWO,84.69999999999999,中裕,🔄 轉虧為盈,17.57,68.0999984741,0.0,81.97,-0.61,28.91%,2026-03,0.06,0.19,-18.3,-58.34%,166.67,⚪ 數據不足
2025,1339.TW,83.63,昭輝,🚀 利潤擴張,-51.9,43.0999984741,6.610429213819018,102.97,2.41,33.66%,2026-03,2.78,-14.02,97.8,13.17%,186.6,💎 強力關注
2025,2436.TW,83.04000000000002,偉詮電,🚀 利潤擴張,78.06,67.4000015259,12.344322623791207,309.82,3.02,30.84%,2026-03,0.7,15.32,81.9,3.76%,392.86,✅ 穩健價值
2025,6756.TW,81.14999999999999,威鋒電子,🚀 利潤擴張,-50.67,99.9000015259,32.97029753330033,97.11,1.11,N/A,2026-03,0.64,-8.83,45.449999999999996,N/A,178.26,⚠️ 追價風險
2025,3546.TWO,74.29000000000002,宇峻,🏰 高護城河,-64.44,71.6999969482,13.788460951576925,62.07,1.97,89.44%,2026-03,2.34,2.09,77.99999999999999,20.17%,136.36,✅ 穩健價值
2025,7823.TW,73.29,奧義賽博-KY創,🚀 利潤擴張,96.29,83.5,0.0,26.64,-1.49,N/A,2026-03,-0.15,22.72,0.0,N/A,99.93,⚪ 數據不足
2025,6169.TWO,71.78,昱泉,🌑 雙重衰退,-99.18,12.6999998093,0.0,-97.71,-2.43,N/A,2026-03,-0.68,19.25,-96.44999999999999,N/A,-25.93,⚪ 數據不足
2025,8354.TWO,71.62,冠好,🚀 利潤擴張,-91.14,17.3999996185,0.0,578.38,0.14,N/A,2026-03,0.3,0.63,-17.549999999999997,N/A,650.0,⚪ 數據不足
2025,4905.TWO,70.21000000000004,台聯電,🚀 利潤擴張,-5.15,90.6999969482,19.094736199621053,315.9,2.76,25.49%,2026-03,1.75,22.56,71.25,0.20%,386.11,⚪ 中性觀察
2025,7828.TWO,69.89999999999999,創新服務,🚀 利潤擴張,44.08,1650.0,0.0,51.84,6.33,N/A,2026-03,1.02,76.4,0.0,N/A,121.74,⚪ 數據不足
2025,2889.TW,68.69,國票金,🏰 高護城河,3.28,16.2000007629,10.588235792745097,58.58,0.63,90.85%,2026-03,0.25,4.6,22.95,38.94%,127.27,💎 強力關注
2025,4137.TW,67.19999999999999,麗豐-KY,🏰 高護城河,24.43,87.9000015259,5.128354814813302,40.15,7.13,82.18%,2026-03,1.41,-4.63,257.1,20.98%,107.35,💎 強力關注
2025,3632.TWO,64.48,研勤,🔄 轉虧為盈,-31.03,7.5100002289,0.0,110.52,-0.38,54.59%,2026-03,0.06,-28.72,-15.3,3.73%,175.0,⚪ 數據不足
2025,6986.TWO,63.99000000000001,和迅,🚀 利潤擴張,-24.06,41.7000007629,0.0,42.91,2.43,N/A,2026-03,0.6,2.38,0.0,N/A,106.9,⚪ 數據不足
2025,4562.TW,63.97,穎漢,🔄 轉虧為盈,-184.44,32.25,0.0,111.03,-1.28,31.44%,2026-03,0.11,-7.78,-38.1,-45.46%,175.0,⚪ 數據不足
2025,3064.TWO,63.5,泰偉,🏰 高護城河,-7120.0,0.0,0.0,-1.0,-3.51,93.22%,2026-03,-0.27,-29.69,0.0,-55.72%,62.5,⚪ 數據不足
2025,6005.TW,63.21000000000001,群益證,🚀 利潤擴張,17.33,31.1000003815,4.587020705235988,171.79,2.64,N/A,2026-03,1.34,12.14,101.7,N/A,235.0,💎 強力關注
2025,1533.TW,61.81999999999999,車王電,🚀 利潤擴張,152.25,31.9500007629,47.68656830283584,438.18,0.58,N/A,2026-03,0.84,19.69,10.049999999999997,N/A,500.0,⚠️ 追價風險
2025,1904.TW,61.76999999999998,正隆,🚀 利潤擴張,34.55,25.4500007629,16.966667175266668,538.23,0.74,20.98%,2026-03,0.56,-4.85,22.5,7.12%,600.0,⚪ 中性觀察
2025,6208.TWO,56.41999999999999,日揚,🚀 利潤擴張,-26.32,82.5999984741,10.882740246916997,150.03,2.52,N/A,2026-03,1.9,-4.59,113.85,N/A,206.45,💎 強力關注
2025,4747.TWO,55.839999999999975,強生,🚀 利潤擴張,-36.9,0.0,0.0,148.33,1.19,N/A,2026-03,1.46,-6.81,0.0,N/A,204.17,⚪ 數據不足
2025,8040.TWO,55.43000000000001,九暘,🔄 轉虧為盈,49.15,71.5999984741,0.0,189.01,-0.6,N/A,2026-03,0.13,2.65,-18.45,N/A,244.44,⚪ 數據不足
2025,4123.TWO,54.05000000000001,晟德,🚀 利潤擴張,905.92,31.8500003815,1.7480790549670693,185.42,12.33,41.95%,2026-03,2.62,-6.28,273.29999999999995,-106.23%,239.47,💎 強力關注
2025,6934.TW,52.519999999999996,心誠鎂,🌑 雙重衰退,-48.08,72.4000015259,0.0,-55.48,-3.92,N/A,2026-03,-1.43,-29.22,0.0,N/A,-2.96,⚪ 數據不足
2025,6574.TWO,51.74000000000001,霈方,🚀 利潤擴張,66.34,122.0,7.244655581947743,95.63,6.82,N/A,2026-03,3.29,6.51,252.6,N/A,147.37,💎 強力關注
2025,7711.TW,47.56,永擎,🚀 利潤擴張,38.44,0.0,0.0,91.93,13.04,N/A,2026-03,7.68,182.72,0.0,N/A,139.49,⚪ 數據不足
2025,3287.TWO,46.579999999999984,廣寰科,🚀 利潤擴張,-36.17,36.8499984741,17.38207475193396,359.48,1.5,N/A,2026-03,1.01,23.54,31.8,N/A,406.06,⚪ 中性觀察
