date,eps_yoy,gm,rev_yoy,advice,expansion,eps,prev_eps,prev_eps_yoy,prev_rev_yoy,om,name,prev_year,pe,symbol,status,price,est_price
2025-12,288.24,N/A,12.97,⚪ 數據不足,275.27,4.02,3.02,410.34,12.63,N/A,浪凡,2025,0.0,6165.TW,🚀 利潤擴張,0.0,0.0
2025-12,294.12,38.42%,20.44,⚠️ 追價風險,273.68,2.01,1.26,447.83,19.84,13.23%,大銀微系統,2025,52.17391304347826,4576.TW,🚀 利潤擴張,228.0,65.55
2025-12,241.18,-4.21%,-14.27,⚪ 數據不足,255.45000000000002,0.25,0.98,230.67,-6.66,-53.06%,冠西電,2025,0.0,2466.TW,🧐 疑業外收益,50.4000015259,-8.100000000000001
2025-12,254.81,9.17%,0.02,💎 強力關注,254.79,5.5,4.75,241.94,-0.36,6.96%,華榮,2025,2.9234737747205504,1608.TW,🚀 利潤擴張,34.0,174.45
2025-12,250.0,41.46%,-0.24,⚠️ 追價風險,250.24,0.09,0.19,-11.76,4.96,18.72%,中纖,2025,24.384615971538462,1718.TW,🧐 疑業外收益,6.3400001526,3.9000000000000004
2025-12,240.74,N/A,-0.48,⚪ 中性觀察,241.22,1.91,1.48,180.87,-1.75,N/A,有成精密,2025,20.593405922681317,4949.TW,🧐 疑業外收益,93.6999969482,68.25
2025-12,237.01,29.82%,7.93,⚪ 數據不足,229.07999999999998,1.74,-0.9,10.89,-98.23,25.89%,三地開發,2025,0.0,1438.TW,🔄 轉虧為盈,20.4500007629,-2.4000000000000004
2025-12,207.21,46.73%,-20.46,💎 強力關注,227.67000000000002,3.41,-0.9,15.89,-26.31,248.16%,怡華,2025,9.659863815850338,1456.TW,🔄 轉虧為盈,14.1999998093,22.050000000000004
2025-12,230.83,31.94%,6.6,⚠️ 追價風險,224.23000000000002,1.74,0.47,-50.0,-5.41,14.09%,晶相光,2025,31.19617078861244,3530.TW,🚀 利潤擴張,65.1999969482,31.349999999999998
2025-12,200.0,5.45%,-13.63,⚠️ 追價風險,213.63,0.21,0.33,94.12,-4.98,-1.87%,允強,2025,22.083334128020834,2034.TW,🧐 疑業外收益,21.2000007629,14.399999999999999
2025-12,203.51,30.12%,-1.28,💎 強力關注,204.79,1.72,1.43,237.21,-6.23,9.56%,松瑞藥,2025,3.384476534296029,4167.TWO,🧐 疑業外收益,18.75,83.1
2025-12,216.0,42.43%,12.21,💎 強力關注,203.79,2.51,1.0,400.0,14.04,14.38%,皇將,2025,7.313770096139955,4744.TWO,🚀 利潤擴張,32.4000015259,66.44999999999999
2025-12,222.58,N/A,20.92,⚠️ 追價風險,201.66000000000003,1.58,0.23,119.47,20.7,N/A,GOGOLOOK,2025,49.282296650717704,6902.TW,🚀 利潤擴張,103.0,31.349999999999998
2025-12,212.47,5.71%,12.25,💎 強力關注,200.22,13.38,10.81,260.07,8.72,-7.46%,楠梓電,2025,3.5988483685220727,2316.TW,🚀 利潤擴張,112.5,468.90000000000003
2025-12,229.63,31.84%,29.92,⚠️ 追價風險,199.70999999999998,0.7,0.31,150.0,36.52,10.64%,金穎生技,2025,27.81481424970371,1796.TWO,🚀 利潤擴張,37.5499992371,20.249999999999996
2025-12,205.88,N/A,8.46,⚪ 中性觀察,197.42,1.58,1.18,76.12,5.51,N/A,東研信超,2025,19.032258511994137,6840.TWO,🚀 利潤擴張,64.9000015259,51.15
2025-12,189.47,29.43%,-7.75,⚠️ 追價風險,197.22,0.51,0.55,219.57,-1.51,-10.81%,雲嘉南,2025,28.333334128124996,3191.TWO,🧐 疑業外收益,13.6000003815,7.2
2025-12,195.71,3.50%,2.05,💎 強力關注,193.66,2.01,1.14,153.27,5.31,1.71%,益登,2025,10.495049882648518,3048.TW,🚀 利潤擴張,42.4000015259,60.59999999999999
2025-12,213.64,N/A,22.23,⚠️ 追價風險,191.41,0.76,0.62,191.04,31.27,N/A,盛群,2025,24.210526650394737,6202.TW,🚀 利潤擴張,55.2000007629,34.199999999999996
2025-12,193.18,17.05%,3.52,⚪ 數據不足,189.66,0.41,-0.25,62.12,8.02,3.38%,環科,2025,0.0,2413.TW,🔄 轉虧為盈,46.0999984741,-9.6
2025-12,100.65,5.36%,-87.0,⚠️ 追價風險,187.65,0.04,0.1,-70.59,-90.58,-14.33%,川飛,2025,1085.000038144999,1516.TW,🧐 疑業外收益,21.7000007629,0.30000000000000027
2025-12,203.33,N/A,18.84,💎 強力關注,184.49,1.82,1.2,-3.23,20.56,N/A,邁達特,2025,11.82666625976,6112.TW,🚀 利潤擴張,44.3499984741,56.25
2025-12,186.36,N/A,6.56,⚠️ 追價風險,179.8,1.14,-0.04,97.79,11.15,N/A,臺龍,2025,22.905406436351356,6246.TWO,🔄 轉虧為盈,16.9500007629,11.099999999999998
2025-12,180.15,41.59%,2.54,⚪ 數據不足,177.61,3.67,2.44,39.43,4.96,21.37%,台耀,2025,0.0,4746.TW,🚀 利潤擴張,0.0,0.0
2025-12,248.27,8.05%,70.72,💎 強力關注,177.55,6.42,7.31,314.37,27.17,-11.23%,三一東林,2025,2.073394530412844,3609.TWO,🚀 利潤擴張,22.6000003815,163.5
2025-12,163.4,N/A,-13.43,💎 強力關注,176.83,1.23,1.61,228.8,-11.95,N/A,虹揚-KY,2025,9.202898412536232,6573.TW,🧐 疑業外收益,12.6999998093,20.7
2025-12,198.64,N/A,23.89,✅ 穩健價值,174.75,6.58,4.25,89.73,22.77,N/A,力智,2025,13.169014084507042,6719.TW,🚀 利潤擴張,187.0,213.00000000000003
2025-12,173.44,N/A,-1.13,⚠️ 追價風險,174.57,0.47,0.91,275.0,-0.97,N/A,九豪,2025,24.024999618550005,6127.TWO,🧐 疑業外收益,48.0499992371,29.999999999999996
2025-12,170.59,42.07%,-3.75,⚠️ 追價風險,174.34,0.92,0.49,172.22,-8.55,14.30%,旭然,2025,25.636363174,4556.TWO,🧐 疑業外收益,42.2999992371,24.750000000000004
2025-12,178.95,N/A,5.62,⚪ 數據不足,173.32999999999998,0.53,0.09,175.0,4.04,N/A,亞都,2025,0.0,5703.TWO,🚀 利潤擴張,0.0,0.0
2025-12,222.67,N/A,50.65,⚠️ 追價風險,172.01999999999998,0.92,0.49,190.57,39.08,N/A,今國光,2025,43.42105263157894,6209.TW,🚀 利潤擴張,66.0,22.800000000000004
2025-12,183.87,N/A,12.23,⚠️ 追價風險,171.64000000000001,0.89,0.81,1700.0,2.1,N/A,長佳智能,2025,27.87330247696832,6841.TWO,🚀 利潤擴張,61.5999984741,33.150000000000006
2025-12,194.08,N/A,27.9,⚪ 數據不足,166.18,5.45,1.75,3.33,-4.54,N/A,聯友金屬-創,2025,0.0,7610.TW,🚀 利潤擴張,0.0,0.0
2025-12,188.1,18.05%,23.11,⚠️ 追價風險,164.99,0.37,0.24,155.81,19.92,2.96%,吉茂,2025,46.956523950579715,1587.TW,🚀 利潤擴張,32.4000015259,10.35
