expansion,eps_yoy,est_price,date,prev_rev_yoy,prev_eps,prev_eps_yoy,symbol,rev_yoy,price,advice,eps,pe,name,om,gm,prev_year,status
556.87,1100.0,-36.6,2026-03,-2.21,-1.02,-197.14,4510.TWO,543.13,41.4000015259,⚪ 數據不足,0.2,0.0,高鋒,-1.97%,14.87%,2025,🔄 轉虧為盈
511.73,1200.0,15.75,2026-03,-19.66,0.7,-40.68,3285.TWO,688.27,42.7999992371,⚠️ 追價風險,0.26,40.76190403533334,微端,8.69%,28.61%,2025,🚀 利潤擴張
487.52,530.77,52.05,2026-03,20.92,1.58,222.58,6902.TW,43.25,134.0,⚠️ 追價風險,1.64,38.616714697406344,GOGOLOOK,N/A,N/A,2025,🚀 利潤擴張
484.25,820.0,-7.499999999999999,2026-03,5.06,-0.16,74.6,6241.TWO,335.75,15.25,⚪ 數據不足,0.46,0.0,鑫永洋,N/A,N/A,2025,🔄 轉虧為盈
472.41999999999996,1200.0,8.850000000000001,2026-03,-6.1,0.31,-42.59,8440.TWO,727.58,21.1499996185,⚠️ 追價風險,0.22,35.84745698050847,綠電,N/A,N/A,2025,🚀 利潤擴張
444.74,418.92,0.0,2026-03,-41.11,2.72,-1.45,4590.TW,-25.82,73.1999969482,⚪ 數據不足,1.21,0.0,富田-創,-0.34%,30.54%,2025,🧐 疑業外收益
412.3,600.0,17.400000000000002,2026-03,11.66,0.49,-34.67,2302.TW,187.7,47.0999984741,⚠️ 追價風險,0.25,40.60344696043103,麗正,11.05%,36.04%,2025,🚀 利潤擴張
390.63,1037.5,40.8,2026-03,9.55,0.88,576.92,2344.TW,646.87,206.5,⚠️ 追價風險,2.25,75.91911764705883,華邦電,15.37%,41.86%,2025,🚀 利潤擴張
381.05,387.5,0.0,2026-03,28.36,1.44,5.88,6908.TW,6.45,37.2000007629,⚪ 數據不足,0.41,0.0,宏�砦C戲-創,N/A,N/A,2025,🚀 利潤擴張
356.01,715.79,81.60000000000001,2026-03,-15.3,2.19,-49.65,6716.TWO,359.78,95.0,⚪ 中性觀察,1.59,17.463235294117645,應廣,N/A,N/A,2025,🚀 利潤擴張
342.59000000000003,380.0,19.499999999999996,2026-03,9.95,0.73,207.35,5210.TWO,37.41,30.0,⚠️ 追價風險,0.24,23.07692307692308,寶碩,N/A,N/A,2025,🚀 利潤擴張
339.47,1090.0,-8.4,2026-03,25.85,-0.2,90.52,5228.TWO,750.53,62.5999984741,⚪ 數據不足,0.99,0.0,鈺鎧,N/A,N/A,2025,🔄 轉虧為盈
338.21999999999997,517.65,92.55,2026-03,5.96,2.35,1.73,2754.TWO,179.43,67.9000015259,💎 強力關注,1.42,11.00486248393841,亞洲藏壽司,N/A,N/A,2025,🚀 利潤擴張
312.59000000000003,550.0,26.4,2026-03,-3.75,0.92,170.59,4556.TWO,237.41,70.0,⚠️ 追價風險,0.13,39.77272727272727,旭然,14.30%,42.07%,2025,🚀 利潤擴張
306.68,650.0,25.95,2026-03,-5.82,0.57,-29.63,3071.TWO,343.32,31.1499996185,⚪ 中性觀察,0.15,18.00578012630058,協禧,7.94%,30.11%,2025,🚀 利潤擴張
293.43999999999994,1143.3,2097.2999999999997,2026-03,23.29,41.98,3.78,8299.TWO,849.86,2310.0,⚪ 中性觀察,68.8,16.52124159633815,群聯,N/A,N/A,2025,🚀 利潤擴張
