advice,status,prev_eps_yoy,rev_yoy,prev_eps,expansion,prev_year,est_price,eps_yoy,gm,date,pe,name,price,symbol,eps,prev_rev_yoy,om
⚪ 數據不足,🚀 利潤擴張,1640.0,116.02,1.54,160.65000000000003,2025,0.0,276.67,N/A,2026-03,0.0,未知,0.0,4582.TWO,0.53,32.98,N/A
⚪ 數據不足,🚀 利潤擴張,1640.0,116.02,1.54,160.65000000000003,2025,0.0,276.67,N/A,2026-03,0.0,聚恆-創,27.5,4582.TW,0.53,32.98,N/A
⚪ 數據不足,🔄 轉虧為盈,-219.05,542.01,-0.25,157.99,2025,-6.6,700.0,10.78%,2026-03,0.0,鼎元,60.7999992371,2426.TW,0.06,-2.43,-2.91%
⚪ 數據不足,🔄 轉虧為盈,54.55,108.24,-0.19,156.05,2025,-25.049999999999997,264.29,56.31%,2026-03,0.0,圓剛,40.9000015259,2417.TW,0.28,2.69,8.42%
⚠️ 追價風險,🔄 轉虧為盈,-125.22,214.33,-0.29,152.34,2025,1.050000000000001,366.67,N/A,2026-03,152.857140132857,成霖,10.6999998093,9934.TW,0.28,-4.25,N/A
⚠️ 追價風險,🚀 利潤擴張,-77.02,180.76,1.09,142.32,2025,32.250000000000014,323.08,N/A,2026-03,29.302325581395337,六角,63.0,2732.TWO,1.1,7.13,N/A
✅ 穩健價值,🚀 利潤擴張,-38.68,307.94,2.88,134.17000000000002,2025,96.15,442.11,N/A,2026-03,14.92979671578783,醫揚,95.6999969482,6569.TWO,1.03,5.8,N/A
⚠️ 追價風險,🚀 利潤擴張,921.74,273.28,2.35,133.17000000000002,2025,85.05,406.45,N/A,2026-03,22.310405643738978,凌華,126.5,6166.TW,1.57,17.09,N/A
⚠️ 追價風險,🏰 高護城河,884.75,515.18,4.66,130.47000000000003,2025,183.0,645.65,54.76%,2026-03,161.06557377049182,聯亞,1965.0,3081.TWO,3.44,82.29,41.27%
💎 強力關注,🚀 利潤擴張,-20.59,113.17,6.21,115.32000000000001,2025,172.05,228.49,N/A,2026-03,5.021795856503923,奇偶,57.5999984741,3356.TW,2.21,-14.96,N/A
⚪ 數據不足,🚀 利潤擴張,-84.51,268.59,0.33,114.74000000000001,2025,-7.200000000000001,383.33,N/A,2026-03,0.0,美達科技,65.0999984741,6735.TWO,0.29,-4.81,N/A
⚪ 數據不足,🏰 高護城河,-365.71,-21.56,-1.63,109.06,2025,-33.6,87.5,102.69%,2026-03,0.0,益航,6.2600002289,2601.TW,-0.02,-7.78,-12.62%
⚠️ 追價風險,🚀 利潤擴張,-45.51,161.56,1.73,108.44,2025,50.699999999999996,270.0,N/A,2026-03,46.44970414201184,暉盛-創,157.0,7730.TW,0.37,-5.33,N/A
⚪ 數據不足,🚀 利潤擴張,152.83,67.27,2.15,96.19000000000001,2025,-40.05,163.46,N/A,2026-03,0.0,麗嬰房,6.8600001335,2911.TW,0.66,-16.81,N/A
⚠️ 追價風險,🏰 高護城河,-46.91,57.36,0.43,92.64,2025,13.05,150.0,87.57%,2026-03,29.080458893218392,網龍,25.2999992371,3083.TWO,0.3,-7.4,12.73%
✅ 穩健價值,🚀 利潤擴張,104.41,990.52,1.39,89.48000000000002,2025,44.550000000000004,1080.0,N/A,2026-03,12.659932146161614,青松健康,37.5999984741,6931.TW,0.49,14.16,N/A
⚪ 數據不足,🔄 轉虧為盈,-169.49,486.21,-0.84,88.79000000000002,2025,-24.299999999999994,575.0,16.92%,2026-03,0.0,宏佳騰,23.75,1599.TWO,0.28,-18.58,-21.33%
