gm,advice,pe,eps_yoy,eps,prev_eps,est_price,prev_rev_yoy,om,prev_eps_yoy,symbol,name,rev_yoy,status,price,date,prev_year,expansion
28.61%,⚠️ 追價風險,37.33333405990476,1200.0,0.26,0.7,15.75,-19.66,8.69%,-40.68,3285.TWO,微端,688.27,🚀 利潤擴張,39.2000007629,2026-03,2025,511.73
N/A,⚠️ 追價風險,37.46397694524496,530.77,1.64,1.58,52.05,20.92,N/A,222.58,6902.TW,GOGOLOOK,43.25,🚀 利潤擴張,130.0,2026-03,2025,487.52
N/A,⚪ 數據不足,0.0,820.0,0.46,-0.16,-7.499999999999999,5.06,N/A,74.6,6241.TWO,鑫永洋,335.75,🔄 轉虧為盈,17.7000007629,2026-03,2025,484.25
N/A,⚠️ 追價風險,35.25423599508474,1200.0,0.22,0.31,8.850000000000001,-6.1,N/A,-42.59,8440.TWO,綠電,727.58,🚀 利潤擴張,20.7999992371,2026-03,2025,472.41999999999996
30.54%,⚪ 數據不足,0.0,418.92,1.21,2.72,0.0,-41.11,-0.34%,-1.45,4590.TW,富田-創,-25.82,🧐 疑業外收益,94.5999984741,2026-03,2025,444.74
36.04%,⚠️ 追價風險,36.853448275862064,600.0,0.25,0.49,17.400000000000002,11.66,11.05%,-34.67,2302.TW,麗正,187.7,🚀 利潤擴張,42.75,2026-03,2025,412.3
41.86%,⚠️ 追價風險,60.477941176470594,1037.5,2.25,0.88,40.8,9.55,15.37%,576.92,2344.TW,華邦電,646.87,🚀 利潤擴張,164.5,2026-03,2025,390.63
N/A,⚪ 數據不足,0.0,387.5,0.41,1.44,0.0,28.36,N/A,5.88,6908.TW,宏�砦C戲-創,6.45,🚀 利潤擴張,36.7000007629,2026-03,2025,381.05
N/A,⚪ 中性觀察,16.636029411764703,715.79,1.59,2.19,81.60000000000001,-15.3,N/A,-49.65,6716.TWO,應廣,359.78,🚀 利潤擴張,90.5,2026-03,2025,356.01
N/A,⚠️ 追價風險,22.961538755000003,380.0,0.24,0.73,19.499999999999996,9.95,N/A,207.35,5210.TWO,寶碩,37.41,🚀 利潤擴張,29.8500003815,2026-03,2025,342.59000000000003
N/A,⚪ 數據不足,0.0,1090.0,0.99,-0.2,-8.4,25.85,N/A,90.52,5228.TWO,鈺鎧,750.53,🔄 轉虧為盈,50.0,2026-03,2025,339.47
N/A,💎 強力關注,11.069692552965964,517.65,1.42,2.35,92.55,5.96,N/A,1.73,2754.TWO,亞洲藏壽司,179.43,🚀 利潤擴張,68.3000030518,2026-03,2025,338.21999999999997
42.07%,⚠️ 追價風險,68.4659090909091,550.0,0.13,0.92,26.4,-3.75,14.30%,170.59,4556.TWO,旭然,237.41,🚀 利潤擴張,120.5,2026-03,2025,312.59000000000003
