代號,名稱,現價,當日外資(張),當日投信(張),當日自營(張),Date,上週估買(張),這週估買(張),淨增進貨(張),增長倍數,5D股價漲跌,狀態
1319.TW,東陽,81.6,0,0,0,20260522,-852,68,920,-0.1x,3.82%,▲ 順勢追意
2243.TW,宏旭-KY,22.8,0,0,0,20260522,-557,347,905,-0.6x,7.55%,▲ 順勢追意
6164.TW,華興,12.6,0,0,0,20260522,-243,656,900,-2.7x,7.23%,▲ 順勢追意
5299.TWO,杰力,107.0,0,0,0,20260522,-468,423,891,-0.9x,7.65%,▲ 順勢追意
2440.TW,太空梭,18.0,0,0,0,20260522,-128,738,866,-5.8x,2.56%,▲ 順勢追意
7547.TWO,碩網,68.2,0,0,0,20260522,56,918,861,16.2x,-3.94%,★ 壓低偷買
2535.TW,達欣工,77.5,0,0,0,20260522,-824,21,845,-0.0x,3.20%,▲ 順勢追意
4741.TWO,泓瀚,62.8,0,0,0,20260522,-13,829,843,-61.7x,7.90%,▲ 順勢追意
8121.TWO,越峰,39.55,0,0,0,20260522,1020,1861,841,1.8x,16.32%,▲ 順勢追意
6609.TWO,瀧澤科,46.35,0,0,0,20260522,532,1362,830,2.6x,12.77%,▲ 順勢追意
6869.TW,雲豹能源,80.7,0,0,0,20260522,-518,308,827,-0.6x,-0.49%,★ 壓低偷買
5278.TWO,尚凡*,24.6,0,0,0,20260522,-781,43,824,-0.1x,4.90%,▲ 順勢追意
8222.TW,寶一,36.35,0,0,0,20260522,-668,155,823,-0.2x,0.28%,★ 壓低偷買
4142.TW,國光生,17.5,0,0,0,20260522,-465,355,821,-0.8x,1.74%,▲ 順勢追意
3372.TWO,典範,20.25,0,0,0,20260522,224,1040,815,4.6x,3.58%,▲ 順勢追意
2390.TW,云辰,10.6,0,0,0,20260522,249,1060,810,4.2x,8.83%,▲ 順勢追意
00773B.TWO,中信優先金融債,35.42,0,0,0,20260522,-756,52,808,-0.1x,-0.14%,★ 壓低偷買
8046.TW,南電,934.0,0,0,0,20260522,2196,2999,802,1.4x,18.83%,▲ 順勢追意
4533.TWO,協易機,33.4,0,0,0,20260522,3546,4348,801,1.2x,3.73%,▲ 順勢追意
4414.TW,如興,8.04,0,0,0,20260522,-491,286,777,-0.6x,-14.01%,★ 壓低偷買
1776.TW,展宇,18.95,0,0,0,20260522,-705,32,738,-0.0x,-0.26%,★ 壓低偷買
3003.TW,健和興,61.9,0,0,0,20260522,66,799,732,12.0x,5.63%,▲ 順勢追意
2460.TW,建通,32.55,0,0,0,20260522,-657,47,704,-0.1x,1.72%,▲ 順勢追意
5434.TW,崇越,449.5,0,0,0,20260522,-276,420,697,-1.5x,11.54%,▲ 順勢追意
1503.TW,士電,197.0,0,0,0,20260522,-370,321,691,-0.9x,3.68%,▲ 順勢追意
6640.TWO,均華,1360.0,0,0,0,20260522,-499,187,686,-0.4x,-0.73%,★ 壓低偷買
7734.TWO,印能科技,3385.0,0,0,0,20260522,-561,121,683,-0.2x,-9.73%,★ 壓低偷買
2383.TW,台光電,5005.0,0,0,0,20260522,504,1178,674,2.3x,8.45%,▲ 順勢追意
2108.TW,南帝,27.95,0,0,0,20260522,-560,113,674,-0.2x,3.52%,▲ 順勢追意
3049.TW,精金,12.45,0,0,0,20260522,-154,508,662,-3.3x,2.05%,▲ 順勢追意
8050.TWO,廣積,53.8,0,0,0,20260522,179,836,657,4.7x,14.47%,▲ 順勢追意
6243.TW,迅杰,36.3,0,0,0,20260522,197,855,657,4.3x,8.04%,▲ 順勢追意
8431.TWO,匯鑽科,60.8,0,0,0,20260522,-23,628,652,-26.6x,3.93%,▲ 順勢追意
00770.TW,國泰北美科技,65.2,0,0,0,20260522,-52,589,642,-11.1x,0.85%,▲ 順勢追意
7402.TWO,邑錡,96.7,0,0,0,20260522,212,849,637,4.0x,-4.26%,★ 壓低偷買
1773.TW,勝一,184.5,0,0,0,20260522,54,690,636,12.7x,5.13%,▲ 順勢追意
7610.TW,聯友金屬-創,1250.0,0,0,0,20260522,-625,2,628,-0.0x,31.86%,▲ 順勢追意
00642U.TW,期元大S&P石油,30.88,0,0,0,20260522,1116,1735,618,1.6x,-0.39%,★ 壓低偷買
3483.TWO,力致,94.6,0,0,0,20260522,540,1156,615,2.1x,7.87%,▲ 順勢追意
2442.TW,新美齊,18.5,0,0,0,20260522,-422,190,613,-0.5x,1.37%,▲ 順勢追意
3402.TWO,漢科,139.5,0,0,0,20260522,-282,326,608,-1.2x,2.95%,▲ 順勢追意
2387.TW,精元,39.65,0,0,0,20260522,-418,164,582,-0.4x,3.80%,▲ 順勢追意
3556.TWO,禾瑞亞,54.7,0,0,0,20260522,-28,551,580,-19.1x,4.79%,▲ 順勢追意
6757.TW,台灣虎航,54.1,0,0,0,20260522,-455,118,574,-0.3x,4.24%,▲ 順勢追意
2461.TW,光群雷,16.75,0,0,0,20260522,-106,455,562,-4.3x,8.06%,▲ 順勢追意
