eps_yoy,advice,gm,om,rev_yoy,prev_rev_yoy,prev_year,name,price,pe,prev_eps_yoy,est_price,expansion,status,prev_eps,eps,symbol,date
275.0,⚪ 數據不足,8.40%,-12.67%,-14.09,-14.04,2025,映泰,46.5499992371,0.0,-222.22,-2.7000000000000006,289.09,🔄 轉虧為盈,-0.11,0.15,2399.TW,2025-12
275.85,💎 強力關注,34.44%,-79.17%,-5.85,-0.73,2025,宏達電,46.4000015259,1.9373695835448854,352.24,359.25,281.70000000000005,🧐 疑業外收益,7.88,7.21,2498.TW,2025-12
271.37,💎 強力關注,N/A,N/A,-9.71,-8.55,2025,美利達,67.8000030518,5.239567469227202,-18.34,194.10000000000002,281.08,🧐 疑業外收益,4.81,4.01,9914.TW,2025-12
288.24,⚪ 數據不足,N/A,N/A,12.97,12.63,2025,浪凡,0.0,0.0,410.34,0.0,275.27,🚀 利潤擴張,3.02,4.02,6165.TW,2025-12
294.12,⚠️ 追價風險,38.42%,13.23%,20.44,19.84,2025,大銀微系統,261.5,59.839816933638446,447.83,65.55,273.68,🚀 利潤擴張,1.26,2.01,4576.TW,2025-12
241.18,⚪ 數據不足,-4.21%,-53.06%,-14.27,-6.66,2025,冠西電,50.2999992371,0.0,230.67,-8.100000000000001,255.45000000000002,🧐 疑業外收益,0.98,0.25,2466.TW,2025-12
254.81,💎 強力關注,9.17%,6.96%,0.02,-0.36,2025,華榮,33.2999992371,2.8632845431728295,241.94,174.45,254.79,🚀 利潤擴張,4.75,5.5,1608.TW,2025-12
250.0,⚠️ 追價風險,41.46%,18.72%,-0.24,4.96,2025,中纖,6.4600000381,24.846153992692305,-11.76,3.9000000000000004,250.24,🧐 疑業外收益,0.19,0.09,1718.TW,2025-12
240.74,⚪ 中性觀察,N/A,N/A,-0.48,-1.75,2025,有成精密,98.1999969482,21.582416911692306,180.87,68.25,241.22,🧐 疑業外收益,1.48,1.91,4949.TW,2025-12
237.01,⚪ 數據不足,29.82%,25.89%,7.93,-98.23,2025,三地開發,20.7000007629,0.0,10.89,-2.4000000000000004,229.07999999999998,🔄 轉虧為盈,-0.9,1.74,1438.TW,2025-12
207.21,💎 強力關注,46.73%,248.16%,-20.46,-26.31,2025,怡華,12.8500003815,8.741496858163263,15.89,22.050000000000004,227.67000000000002,🔄 轉虧為盈,-0.9,3.41,1456.TW,2025-12
230.83,⚠️ 追價風險,31.94%,14.09%,6.6,-5.41,2025,晶相光,69.0,33.014354066985646,-50.0,31.349999999999998,224.23000000000002,🚀 利潤擴張,0.47,1.74,3530.TW,2025-12
200.0,⚪ 中性觀察,5.45%,-1.87%,-13.63,-4.98,2025,允強,19.7999992371,20.624999205312502,94.12,14.399999999999999,213.63,🧐 疑業外收益,0.33,0.21,2034.TW,2025-12
203.51,💎 強力關注,30.12%,9.56%,-1.28,-6.23,2025,松瑞藥,19.1000003815,3.4476534984657037,237.21,83.1,204.79,🧐 疑業外收益,1.43,1.72,4167.TWO,2025-12
216.0,💎 強力關注,42.43%,14.38%,12.21,14.04,2025,皇將,33.5,7.562076749435667,400.0,66.44999999999999,203.79,🚀 利潤擴張,1.0,2.51,4744.TWO,2025-12
222.58,⚠️ 追價風險,N/A,N/A,20.92,20.7,2025,GOGOLOOK,129.5,61.96172248803828,119.47,31.349999999999998,201.66000000000003,🚀 利潤擴張,0.23,1.58,6902.TW,2025-12
212.47,💎 強力關注,5.71%,-7.46%,12.25,8.72,2025,楠梓電,153.5,4.910428662827895,260.07,468.90000000000003,200.22,🚀 利潤擴張,10.81,13.38,2316.TW,2025-12
229.63,⚠️ 追價風險,31.84%,10.64%,29.92,36.52,2025,金穎生技,38.5,28.518518518518523,150.0,20.249999999999996,199.70999999999998,🚀 利潤擴張,0.31,0.7,1796.TWO,2025-12
205.88,⚪ 中性觀察,N/A,N/A,8.46,5.51,2025,東研信超,62.5,18.32844574780059,76.12,51.15,197.42,🚀 利潤擴張,1.18,1.58,6840.TWO,2025-12
189.47,⚠️ 追價風險,29.43%,-10.81%,-7.75,-1.51,2025,雲嘉南,16.5,34.375,219.57,7.2,197.22,🧐 疑業外收益,0.55,0.51,3191.TWO,2025-12
195.71,⚪ 中性觀察,3.50%,1.71%,2.05,5.31,2025,益登,74.5,18.440594059405946,153.27,60.59999999999999,193.66,🚀 利潤擴張,1.14,2.01,3048.TW,2025-12
213.64,⚠️ 追價風險,N/A,N/A,22.23,31.27,2025,盛群,60.7999992371,26.666666332061407,191.04,34.199999999999996,191.41,🚀 利潤擴張,0.62,0.76,6202.TW,2025-12
193.18,⚪ 數據不足,17.05%,3.38%,3.52,8.02,2025,環科,51.5,0.0,62.12,-9.6,189.66,🔄 轉虧為盈,-0.25,0.41,2413.TW,2025-12
100.65,⚠️ 追價風險,5.36%,-14.33%,-87.0,-90.58,2025,川飛,20.75,1037.499999999999,-70.59,0.30000000000000027,187.65,🧐 疑業外收益,0.1,0.04,1516.TW,2025-12
203.33,💎 強力關注,N/A,N/A,18.84,20.56,2025,邁達特,43.0499992371,11.479999796560001,-3.23,56.25,184.49,🚀 利潤擴張,1.2,1.82,6112.TW,2025-12
186.36,⚪ 中性觀察,N/A,N/A,6.56,11.15,2025,臺龍,16.0,21.621621621621625,97.79,11.099999999999998,179.8,🔄 轉虧為盈,-0.04,1.14,6246.TWO,2025-12
180.15,⚪ 數據不足,41.59%,21.37%,2.54,4.96,2025,台耀,0.0,0.0,39.43,0.0,177.61,🚀 利潤擴張,2.44,3.67,4746.TW,2025-12
248.27,💎 強力關注,8.05%,-11.23%,70.72,27.17,2025,三一東林,28.3500003815,2.6009174661926604,314.37,163.5,177.55,🚀 利潤擴張,7.31,6.42,3609.TWO,2025-12
163.4,💎 強力關注,N/A,N/A,-13.43,-11.95,2025,虹揚-KY,13.1499996185,9.528985230797103,228.8,20.7,176.83,🧐 疑業外收益,1.61,1.23,6573.TW,2025-12
198.64,⚪ 中性觀察,N/A,N/A,23.89,22.77,2025,力智,232.0,16.338028169014084,89.73,213.00000000000003,174.75,🚀 利潤擴張,4.25,6.58,6719.TW,2025-12
173.44,⚠️ 追價風險,N/A,N/A,-1.13,-0.97,2025,九豪,52.5,26.250000000000004,275.0,29.999999999999996,174.57,🧐 疑業外收益,0.91,0.47,6127.TWO,2025-12
170.59,⚠️ 追價風險,42.07%,14.30%,-3.75,-8.55,2025,旭然,41.0999984741,24.909089984303026,172.22,24.750000000000004,174.34,🧐 疑業外收益,0.49,0.92,4556.TWO,2025-12
178.95,✅ 穩健價值,N/A,N/A,5.62,4.04,2025,亞都,13.6499996185,15.166666242777778,175.0,13.5,173.32999999999998,🚀 利潤擴張,0.09,0.53,5703.TWO,2025-12
222.67,⚠️ 追價風險,N/A,N/A,50.65,39.08,2025,今國光,85.8000030518,56.44737042881578,190.57,22.800000000000004,172.01999999999998,🚀 利潤擴張,0.49,0.92,6209.TW,2025-12
183.87,⚠️ 追價風險,N/A,N/A,12.23,2.1,2025,長佳智能,59.2999992371,26.83257884031674,1700.0,33.150000000000006,171.64000000000001,🚀 利潤擴張,0.81,0.89,6841.TWO,2025-12
194.08,⚪ 數據不足,N/A,N/A,27.9,-4.54,2025,聯友金屬-創,0.0,0.0,3.33,0.0,166.18,🚀 利潤擴張,1.75,5.45,7610.TW,2025-12
188.1,⚠️ 追價風險,18.05%,2.96%,23.11,19.92,2025,吉茂,28.5499992371,41.376810488550724,155.81,10.35,164.99,🚀 利潤擴張,0.24,0.37,1587.TW,2025-12
175.0,⚠️ 追價風險,15.86%,1.35%,10.09,13.26,2025,一詮,270.5015258789,872.5855673512904,300.0,4.65,164.91,🚀 利潤擴張,0.16,0.22,2486.TW,2025-12
328.87,⚪ 數據不足,N/A,N/A,164.5,21.0,2025,富威電力,0.0,0.0,47.95,0.0,164.37,🚀 利潤擴張,1.13,6.34,6994.TW,2025-12
242.99,💎 強力關注,N/A,N/A,78.68,97.52,2025,寬宏藝術,98.0,2.1184608733246866,241.37,693.9,164.31,🚀 利潤擴張,17.41,18.83,6596.TWO,2025-12
223.81,⚪ 數據不足,N/A,N/A,62.85,25.19,2025,方土昶,48.0999984741,0.0,-271.43,-11.25,160.96,🔄 轉虧為盈,-0.24,0.68,6265.TWO,2025-12
291.45,✅ 穩健價值,N/A,N/A,130.83,130.37,2025,高技,387.5,13.357462943812479,280.8,435.15,160.61999999999998,🚀 利潤擴張,9.52,13.74,5439.TWO,2025-12
89.89,⚪ 數據不足,10.14%,3.61%,-69.84,-54.34,2025,森寶,22.0,0.0,23.53,-4.95,159.73000000000002,🧐 疑業外收益,-0.13,-0.09,3489.TWO,2025-12
150.56,💎 強力關注,7.66%,-21.47%,-6.62,-1.22,2025,東台,39.4500007629,5.540730444227528,271.05,106.8,157.18,🧐 疑業外收益,2.61,1.81,4526.TW,2025-12
173.02,💎 強力關注,4.18%,-22.27%,19.21,18.28,2025,新鉅科,27.6000003815,4.546952286902801,219.44,91.05,153.81,🚀 利潤擴張,2.19,1.86,3630.TWO,2025-12
137.2,💎 強力關注,N/A,N/A,-15.36,-15.66,2025,安格,47.75,3.7747035573122525,203.85,189.75000000000003,152.56,🧐 疑業外收益,3.24,1.57,6684.TWO,2025-12
58.65,⚪ 數據不足,N/A,N/A,-93.38,-95.44,2025,台新藥,25.8999996185,0.0,77.78,-13.5,152.03,🧐 疑業外收益,-0.24,-0.55,6838.TW,2025-12
220.0,⚪ 數據不足,98.33%,81.17%,72.24,-79.84,2025,太景*-KY,9.2600002289,0.0,-1000.0,-5.8500000000000005,147.76,🔄 轉虧為盈,-0.22,0.06,4157.TWO,2025-12
141.94,⚠️ 追價風險,43.11%,22.84%,-3.71,-4.86,2025,海灣,18.0499992371,112.81249523187499,54.55,2.4,145.65,🔄 轉虧為盈,-0.1,0.13,3252.TWO,2025-12
209.26,⚪ 中性觀察,11.59%,1.68%,65.48,89.71,2025,精確,87.5999984741,19.597315094876954,292.31,67.05000000000001,143.77999999999997,🚀 利潤擴張,1.25,1.7,3162.TWO,2025-12
