expansion,name,eps,gm,status,prev_year,symbol,om,prev_rev_yoy,est_price,eps_yoy,rev_yoy,date,pe,prev_eps_yoy,price,prev_eps,advice
197.22,雲嘉南,0.51,29.43%,🧐 疑業外收益,2025,3191.TWO,-10.81%,-1.51,7.2,189.47,-7.75,2025-12,28.437499205208333,219.57,13.6499996185,0.55,⚠️ 追價風險
193.66,益登,2.01,3.50%,🚀 利潤擴張,2025,3048.TW,1.71%,5.31,60.59999999999999,195.71,2.05,2025-12,9.665841395321785,153.27,39.0499992371,1.14,💎 強力關注
191.41,盛群,0.76,N/A,🚀 利潤擴張,2025,6202.TW,N/A,31.27,34.199999999999996,213.64,22.23,2025-12,23.81578913907895,191.04,54.2999992371,0.62,⚠️ 追價風險
189.66,環科,0.41,17.05%,🔄 轉虧為盈,2025,2413.TW,3.38%,8.02,-9.6,193.18,3.52,2025-12,0.0,62.12,44.7000007629,-0.25,⚪ 數據不足
187.65,川飛,0.04,5.36%,🧐 疑業外收益,2025,1516.TW,-14.33%,-90.58,0.30000000000000027,100.65,-87.0,2025-12,1005.000019074999,-70.59,20.1000003815,0.1,⚠️ 追價風險
184.49,邁達特,1.82,N/A,🚀 利潤擴張,2025,6112.TW,N/A,20.56,56.25,203.33,18.84,2025-12,11.82666625976,-3.23,44.3499984741,1.2,💎 強力關注
179.8,臺龍,1.14,N/A,🔄 轉虧為盈,2025,6246.TWO,N/A,11.15,11.099999999999998,186.36,6.56,2025-12,20.675675933378383,97.79,15.3000001907,-0.04,⚪ 中性觀察
177.61,台耀,3.67,41.59%,🚀 利潤擴張,2025,4746.TW,21.37%,4.96,0.0,180.15,2.54,2025-12,0.0,39.43,0.0,2.44,⚪ 數據不足
177.55,三一東林,6.42,8.05%,🚀 利潤擴張,2025,3609.TWO,-11.23%,27.17,163.5,248.27,70.72,2025-12,2.1743119965963302,314.37,23.7000007629,7.31,💎 強力關注
176.83,虹揚-KY,1.23,N/A,🧐 疑業外收益,2025,6573.TW,N/A,-11.95,20.7,163.4,-13.43,2025-12,9.275362457028987,228.8,12.8000001907,1.61,💎 強力關注
174.75,力智,6.58,N/A,🚀 利潤擴張,2025,6719.TW,N/A,22.77,213.00000000000003,198.64,23.89,2025-12,12.394366197183098,89.73,176.0,4.25,✅ 穩健價值
174.57,九豪,0.47,N/A,🧐 疑業外收益,2025,6127.TWO,N/A,-0.97,29.999999999999996,173.44,-1.13,2025-12,22.750000000000004,275.0,45.5,0.91,⚠️ 追價風險
174.34,旭然,0.92,42.07%,🧐 疑業外收益,2025,4556.TWO,14.30%,-8.55,24.750000000000004,170.59,-3.75,2025-12,22.727272727272727,172.22,37.5,0.49,⚠️ 追價風險
173.32999999999998,亞都,0.53,N/A,🚀 利潤擴張,2025,5703.TWO,N/A,4.04,13.5,178.95,5.62,2025-12,15.666667090555555,175.0,14.1000003815,0.09,✅ 穩健價值
172.01999999999998,今國光,0.92,N/A,🚀 利潤擴張,2025,6209.TW,N/A,39.08,22.800000000000004,222.67,50.65,2025-12,43.355264161776304,190.57,65.9000015259,0.49,⚠️ 追價風險
171.64000000000001,長佳智能,0.89,N/A,🚀 利潤擴張,2025,6841.TWO,N/A,2.1,33.150000000000006,183.87,12.23,2025-12,26.606334496425337,1700.0,58.7999992371,0.81,⚠️ 追價風險
166.18,聯友金屬-創,5.45,N/A,🚀 利潤擴張,2025,7610.TW,N/A,-4.54,0.0,194.08,27.9,2025-12,0.0,3.33,0.0,1.75,⚪ 數據不足
164.99,吉茂,0.37,18.05%,🚀 利潤擴張,2025,1587.TW,2.96%,19.92,10.35,188.1,23.11,2025-12,46.73913043478261,155.81,32.25,0.24,⚠️ 追價風險
