     Stock       Name  Score    Close                          BuyReason
  5302.TWO         太欣    3.5    12.65          【EPS連2成長 | 營收爆發(308.05%)】
  4744.TWO         皇將    3.5    32.10          【EPS連2成長 | 營收爆發(112.88%)】
  5340.TWO         建榮    3.5   114.50           【EPS連2成長 | 營收爆發(40.35%)】
   8162.TW     微矽電子-創    3.5    43.90                  ADX轉強 | 【EPS連2成長】
  3556.TWO        禾瑞亞    3.5    45.60          【EPS連2成長 | 營收爆發(113.89%)】
   4576.TW      大銀微系統    3.5   125.50           【EPS連2成長 | 營收爆發(69.83%)】
   2344.TW        華邦電    3.5   124.50           【EPS連2成長 | 營收爆發(94.16%)】
   3006.TW        晶豪科    3.5   170.00          【EPS連2成長 | 營收爆發(129.42%)】
   3004.TW        豐達科    3.5   111.00           【EPS連2成長 | 營收爆發(35.19%)】
   1514.TW         亞力    3.5   124.00           【EPS連2成長 | 營收爆發(68.91%)】
  1593.TWO         祺驊    3.0    32.95                     ADX轉強 | 【董監加碼】
   6965.TW      中傑-KY    3.0    82.00                     ADX轉強 | 【董監加碼】
   2548.TW         華固    3.0   114.50           【營收爆發(34609.57%) | 董監加碼】
  8390.TWO        金益鼎    3.0   102.50              【營收爆發(60.35%) | 董監加碼】
   6531.TW        愛普*    3.0   433.50              【營收爆發(93.77%) | 董監加碼】
   1216.TW         統一    3.0    73.60                     ADX轉強 | 【董監加碼】
   6209.TW        今國光    3.0    61.50               【營收爆發(55.4%) | 董監加碼】
  6219.TWO         富旺    3.0    16.00           【營收爆發(10807.69%) | 董監加碼】
   2836.TW        高雄銀    3.0    12.70              【營收爆發(30.58%) | 董監加碼】
   6213.TW         聯茂    3.0   132.00              【營收爆發(42.19%) | 董監加碼】
   2337.TW         旺宏    3.0   116.00              【營收爆發(51.41%) | 董監加碼】
  7744.TWO         崴寶    3.0   529.00              【營收爆發(73.83%) | 董監加碼】
   1459.TW         聯發    3.0    12.40                     ADX轉強 | 【董監加碼】
  5386.TWO         青雲    3.0   202.50             【營收爆發(406.81%) | 董監加碼】
   3543.TW         州巧    3.0    51.10                     ADX轉強 | 【董監加碼】
