om,name,prev_rev_yoy,price,eps_yoy,rev_yoy,date,gm,prev_eps_yoy,status,prev_year,advice,pe,prev_eps,est_price,symbol,expansion,eps
5.00%,千如,7.39,35.3499984741,700.0,10.91,2025-12,26.03%,250.0,🚀 利潤擴張,2025,⚠️ 追價風險,141.3999938964,0.12,3.75,3236.TWO,689.09,0.32
-5.65%,中環,-4.42,10.6000003815,685.19,-3.39,2025-12,23.42%,-2.63,🧐 疑業外收益,2025,⚠️ 追價風險,22.08333412812499,0.37,7.200000000000003,2323.TW,688.58,1.58
6.14%,飛寶企業,140.24,18.7000007629,783.33,114.77,2025-12,24.00%,-966.67,🔄 轉虧為盈,2025,⚪ 數據不足,0.0,-0.26,-9.45,4413.TWO,668.5600000000001,0.53
0.43%,欣厚-KY,22.5,10.0500001907,660.0,3.99,2025-12,27.32%,460.0,🚀 利潤擴張,2025,⚪ 中性觀察,20.937500397291664,0.28,7.2,4924.TWO,656.01,0.38
-11.28%,歐格,14.66,17.25,620.0,16.76,2025-12,17.03%,422.22,🚀 利潤擴張,2025,✅ 穩健價值,15.131578947368423,0.48,17.099999999999998,3002.TW,603.24,0.36
15.37%,華邦電,-0.22,121.5,576.92,9.55,2025-12,41.86%,-57.14,🚀 利潤擴張,2025,⚠️ 追價風險,528.2608695652174,0.12,3.4499999999999997,2344.TW,567.37,0.88
-188.65%,立萬利,24.16,68.5,590.0,26.61,2025-12,62.07%,288.57,🏰 高護城河,2025,⚠️ 追價風險,26.346153846153847,0.66,39.0,3054.TW,563.39,1.96
N/A,琉園,-19.03,0.0,544.54,-17.0,2025-12,N/A,1270.21,🧐 疑業外收益,2025,⚪ 數據不足,0.0,5.5,0.0,9949.TWO,561.54,5.29
N/A,康舒,-4.33,56.0,550.0,0.1,2025-12,N/A,-90.0,🔄 轉虧為盈,2025,⚪ 數據不足,0.0,-0.38,-13.950000000000003,6282.TW,549.9,0.18
-66.51%,吉祥全,-12.66,21.4500007629,457.5,-10.43,2025-12,43.42%,179.03,🧐 疑業外收益,2025,⚠️ 追價風險,126.17647507588224,0.49,2.5500000000000025,2491.TW,467.93,1.43
-18.51%,杭特,18.74,32.8499984741,461.54,20.59,2025-12,30.70%,2600.0,🚀 利潤擴張,2025,⚠️ 追價風險,27.14875906950413,0.54,18.15,3297.TWO,440.95000000000005,0.47
4.44%,博士旺,310.97,220.5,752.94,334.57,2025-12,18.45%,7.84,🔄 轉虧為盈,2025,⚪ 數據不足,0.0,-0.58,-9.599999999999998,3555.TWO,418.37000000000006,1.28
15.14%,宏旭-KY,-10.45,22.2000007629,408.33,-9.02,2025-12,22.27%,38.89,🔄 轉虧為盈,2025,⚠️ 追價風險,25.22727359420455,-0.11,13.199999999999998,2243.TW,417.34999999999997,1.22
18.24%,大量,119.15,760.0,474.47,95.35,2025-12,42.12%,790.16,🚀 利潤擴張,2025,⚠️ 追價風險,43.15729699034639,5.45,264.15000000000003,3167.TW,379.12,8.13
0.23%,宏洲,-6.34,9.6300001144,364.71,-9.55,2025-12,2.52%,326.32,🧐 疑業外收益,2025,💎 強力關注,8.754545558545455,0.43,16.499999999999996,1413.TW,374.26,0.45
7.74%,雙鍵,6.23,324.5,377.27,5.46,2025-12,23.49%,187.32,🚀 利潤擴張,2025,⚠️ 追價風險,125.2895752895753,0.62,38.849999999999994,4764.TW,371.81,1.22
N/A,同亨,13.03,28.3500003815,382.35,12.01,2025-12,N/A,916.67,🚀 利潤擴張,2025,💎 強力關注,6.2171053468201745,1.26,68.4,5490.TWO,370.34000000000003,1.69
N/A,新天地,-10.3,17.7000007629,358.33,-6.42,2025-12,N/A,103.23,🧐 疑業外收益,2025,💎 強力關注,6.321428843892858,0.02,42.0,8940.TW,364.75,0.55
-15.39%,倚強科,43.11,83.0,406.67,49.68,2025-12,69.49%,179.66,🏰 高護城河,2025,⚪ 中性觀察,20.854271356783922,1.65,59.699999999999996,3219.TWO,356.99,1.52
-2.70%,友達,-0.15,20.7000007629,327.5,0.41,2025-12,10.73%,185.25,🚀 利潤擴張,2025,💎 強力關注,8.14960659956693,0.52,38.1,2409.TW,327.09,0.9
0.97%,冠星-KY,30.37,96.5,346.24,29.26,2025-12,15.60%,114.76,🚀 利潤擴張,2025,💎 強力關注,4.496738117427772,7.71,321.90000000000003,4439.TW,316.98,7.73
-12.67%,映泰,-14.04,46.4500007629,275.0,-14.09,2025-12,8.40%,-222.22,🔄 轉虧為盈,2025,⚪ 數據不足,0.0,-0.11,-2.7000000000000006,2399.TW,289.09,0.15
-79.17%,宏達電,-0.73,41.2999992371,275.85,-5.85,2025-12,34.44%,352.24,🧐 疑業外收益,2025,💎 強力關注,1.7244258554112737,7.88,359.25,2498.TW,281.70000000000005,7.21
N/A,美利達,-8.55,59.5,271.37,-9.71,2025-12,N/A,-18.34,🧐 疑業外收益,2025,💎 強力關注,4.598145285935084,4.81,194.10000000000002,9914.TW,281.08,4.01
N/A,浪凡,12.63,0.0,288.24,12.97,2025-12,N/A,410.34,🚀 利潤擴張,2025,⚪ 數據不足,0.0,3.02,0.0,6165.TW,275.27,4.02
13.23%,大銀微系統,19.84,258.0,294.12,20.44,2025-12,38.42%,447.83,🚀 利潤擴張,2025,⚠️ 追價風險,59.03890160183066,1.26,65.55,4576.TW,273.68,2.01
-53.06%,冠西電,-6.66,50.2000007629,241.18,-14.27,2025-12,-4.21%,230.67,🧐 疑業外收益,2025,⚪ 數據不足,0.0,0.98,-8.100000000000001,2466.TW,255.45000000000002,0.25
6.96%,華榮,-0.36,33.7999992371,254.81,0.02,2025-12,9.17%,241.94,🚀 利潤擴張,2025,💎 強力關注,2.9062768045657785,4.75,174.45,1608.TW,254.79,5.5
18.72%,中纖,4.96,6.7100000381,250.0,-0.24,2025-12,41.46%,-11.76,🧐 疑業外收益,2025,⚠️ 追價風險,25.807692454230768,0.19,3.9000000000000004,1718.TW,250.24,0.09
N/A,有成精密,-1.75,98.8000030518,240.74,-0.48,2025-12,N/A,180.87,🧐 疑業外收益,2025,⚪ 中性觀察,21.71428638501099,1.48,68.25,4949.TW,241.22,1.91
25.89%,三地開發,-98.23,21.25,237.01,7.93,2025-12,29.82%,10.89,🔄 轉虧為盈,2025,⚪ 數據不足,0.0,-0.9,-2.4000000000000004,1438.TW,229.07999999999998,1.74
248.16%,怡華,-26.31,14.1000003815,207.21,-20.46,2025-12,46.73%,15.89,🔄 轉虧為盈,2025,💎 強力關注,9.591836994217685,-0.9,22.050000000000004,1456.TW,227.67000000000002,3.41
14.09%,晶相光,-5.41,70.0,230.83,6.6,2025-12,31.94%,-50.0,🚀 利潤擴張,2025,⚠️ 追價風險,33.49282296650718,0.47,31.349999999999998,3530.TW,224.23000000000002,1.74
-1.87%,允強,-4.98,20.2999992371,200.0,-13.63,2025-12,5.45%,94.12,🧐 疑業外收益,2025,⚪ 中性觀察,21.145832538645834,0.33,14.399999999999999,2034.TW,213.63,0.21
9.56%,松瑞藥,-6.23,19.1000003815,203.51,-1.28,2025-12,30.12%,237.21,🧐 疑業外收益,2025,💎 強力關注,3.4476534984657037,1.43,83.1,4167.TWO,204.79,1.72
14.38%,皇將,14.04,33.2000007629,216.0,12.21,2025-12,42.43%,400.0,🚀 利潤擴張,2025,💎 強力關注,7.494356831354401,1.0,66.44999999999999,4744.TWO,203.79,2.51
N/A,GOGOLOOK,20.7,101.0,222.58,20.92,2025-12,N/A,119.47,🚀 利潤擴張,2025,⚠️ 追價風險,48.32535885167464,0.23,31.349999999999998,6902.TW,201.66000000000003,1.58
-7.46%,楠梓電,8.72,135.5,212.47,12.25,2025-12,5.71%,260.07,🚀 利潤擴張,2025,💎 強力關注,4.334612923864364,10.81,468.90000000000003,2316.TW,200.22,13.38
