om,name,prev_rev_yoy,price,eps_yoy,rev_yoy,date,gm,prev_eps_yoy,status,prev_year,advice,pe,prev_eps,est_price,symbol,expansion,eps
N/A,萬潤,13.75,1220.0,13.93,-3.04,2025-12,N/A,29.69,🧐 疑業外收益,2025,⚠️ 追價風險,31.386673527141753,12.1,583.0500000000001,6187.TWO,16.97,15.46
N/A,碩網,11.11,69.1999969482,22.61,5.66,2025-12,N/A,41.18,🚀 利潤擴張,2025,💎 強力關注,11.14331673884058,2.13,93.14999999999999,7547.TWO,16.95,2.65
21.55%,立隆電,8.92,223.0,24.54,7.68,2025-12,32.60%,4.85,🚀 利潤擴張,2025,✅ 穩健價值,12.060573282855596,5.19,277.35,2472.TW,16.86,8.73
N/A,榮群,71.04,24.8500003815,31.78,15.15,2025-12,N/A,208.57,🚀 利潤擴張,2025,💎 強力關注,8.25581408023256,1.09,45.15,8034.TWO,16.630000000000003,1.42
N/A,建國,28.4,38.0499992371,32.54,15.92,2025-12,N/A,20.75,🚀 利潤擴張,2025,💎 強力關注,4.450292308432749,2.91,128.25,5515.TW,16.619999999999997,4.48
21.14%,中再保,-7.87,34.0999984741,16.56,0.05,2025-12,24.99%,-23.95,🚀 利潤擴張,2025,💎 強力關注,4.577181003234899,2.0,111.75,2851.TW,16.509999999999998,3.66
-22.91%,力銘,43.83,17.9500007629,41.55,25.06,2025-12,-4.13%,7.69,🚀 利潤擴張,2025,⚪ 數據不足,0.0,-1.8,-66.3,3593.TW,16.49,-1.4
N/A,大江,-3.22,119.5,12.64,-3.47,2025-12,N/A,16.0,🧐 疑業外收益,2025,💎 強力關注,6.223958333333334,5.89,288.0,8436.TWO,16.11,8.68
4.63%,華碩,23.74,673.0,41.92,25.86,2025-12,15.94%,11.41,🚀 利潤擴張,2025,💎 強力關注,4.42007093130172,44.63,2283.9,2357.TW,16.060000000000002,59.99
N/A,華星光,34.44,659.0,43.01,27.06,2025-12,N/A,37.64,🚀 利潤擴張,2025,⚠️ 追價風險,51.204351204351205,3.73,193.04999999999998,4979.TWO,15.95,5.43
10.89%,祺驊,12.07,31.8999996185,28.24,12.31,2025-12,31.32%,26.73,🚀 利潤擴張,2025,💎 強力關注,6.715789393368421,1.28,71.25,1593.TWO,15.929999999999998,2.18
N/A,太欣,22.1,10.8999996185,55.56,39.69,2025-12,N/A,0.0,🚀 利潤擴張,2025,⚪ 數據不足,0.0,-0.2,-8.85,5302.TWO,15.870000000000005,-0.12
N/A,成信實業*-創,95.06,28.4500007629,95.65,79.86,2025-12,N/A,87.3,🚀 利潤擴張,2025,⚪ 數據不足,0.0,-0.24,-8.85,6969.TW,15.790000000000006,-0.09
-32.45%,光環,19.64,107.0,34.88,19.09,2025-12,8.38%,45.03,🚀 利潤擴張,2025,⚪ 數據不足,0.0,-0.94,-41.099999999999994,3234.TWO,15.790000000000003,-1.4
9.94%,日月光投控,7.92,555.0,24.18,8.39,2025-12,19.52%,11.64,🚀 利潤擴張,2025,⚠️ 追價風險,26.954832442933462,5.99,308.85,3711.TW,15.79,9.37
-18.36%,易威,12.53,0.0,26.25,10.54,2025-12,41.11%,44.44,🚀 利潤擴張,2025,⚪ 數據不足,0.0,-0.35,0.0,1799.TWO,15.71,-0.59
N/A,業強,12.2,30.1499996185,16.81,1.16,2025-12,N/A,-22.86,🚀 利潤擴張,2025,⚪ 數據不足,0.0,-0.86,-49.95,6124.TWO,15.649999999999999,-0.99
N/A,宜鼎,41.37,1795.0,75.21,59.96,2025-12,N/A,33.7,🚀 利潤擴張,2025,⚠️ 追價風險,41.207529843893475,12.46,653.4000000000001,5289.TWO,15.249999999999993,21.72
18.42%,固緯,4.13,60.7999992371,20.66,5.54,2025-12,51.76%,26.58,🏰 高護城河,2025,💎 強力關注,8.95434451209131,2.0,101.85,2423.TW,15.120000000000001,2.92
N/A,立軒,12.72,22.4500007629,14.63,-0.4,2025-12,N/A,16.13,🧐 疑業外收益,2025,⚪ 數據不足,0.0,-0.31,-15.449999999999998,6222.TWO,15.030000000000001,-0.4
54.00%,台積電,36.39,2255.0,46.42,31.61,2025-12,62.33%,51.8,🏰 高護城河,2025,✅ 穩健價值,14.430152940423627,46.75,2344.0499999999997,2330.TW,14.810000000000002,66.26
N/A,聚和,4.39,46.6500015259,17.48,2.77,2025-12,N/A,9.22,🚀 利潤擴張,2025,💎 強力關注,6.261745171261745,2.35,111.75000000000001,6509.TWO,14.71,2.87
N/A,輝創,-0.96,39.5,11.54,-2.79,2025-12,N/A,-11.4,🧐 疑業外收益,2025,⚪ 數據不足,0.0,2.02,0.0,6722.TW,14.329999999999998,2.9
5.38%,福懋油,-5.83,31.5499992371,8.0,-6.25,2025-12,10.74%,-6.67,🧐 疑業外收益,2025,💎 強力關注,8.048469193137755,1.12,58.8,1225.TW,14.25,1.62
N/A,資拓宏宇,15.97,0.0,11.76,-2.37,2025-12,N/A,163.64,🧐 疑業外收益,2025,⚪ 數據不足,0.0,0.87,0.0,6614.TW,14.129999999999999,2.08
N/A,東聯互動,32.44,176.0,44.26,30.15,2025-12,N/A,75.19,🚀 利潤擴張,2025,⚪ 數據不足,0.0,11.58,0.0,7738.TWO,14.11,14.61
15.49%,中砂,15.28,668.0,30.18,16.1,2025-12,34.18%,9.71,🚀 利潤擴張,2025,⚠️ 追價風險,31.749049429657795,6.02,315.59999999999997,1560.TW,14.079999999999998,9.28
N/A,致和證,-34.55,33.8499984741,56.1,42.16,2025-12,N/A,-53.39,🚀 利潤擴張,2025,✅ 穩健價值,15.892018062957746,1.17,31.95,5864.TWO,13.940000000000005,2.56
N/A,德勝,-5.79,63.4000015259,13.14,-0.76,2025-12,N/A,5.03,🧐 疑業外收益,2025,💎 強力關注,11.026087221895652,1.67,86.25,8048.TWO,13.9,2.67
7.24%,欣陸,-3.98,20.5,25.87,11.98,2025-12,13.84%,-42.14,🚀 利潤擴張,2025,💎 強力關注,6.466876971608833,0.92,47.55,3703.TW,13.89,1.8
N/A,天瀚,-19.16,26.3999996185,14.29,0.42,2025-12,N/A,-375.0,🚀 利潤擴張,2025,⚪ 數據不足,0.0,-0.19,-7.199999999999999,6225.TW,13.87,-0.06
N/A,宣德,11.53,35.7000007629,21.15,7.36,2025-12,N/A,-11.11,🚀 利潤擴張,2025,💎 強力關注,6.071428701173468,1.54,88.20000000000002,5457.TWO,13.79,2.77
32.37%,高雄銀,13.69,11.8500003815,28.3,14.52,2025-12,89.95%,28.21,🏰 高護城河,2025,💎 強力關注,7.269938884355828,0.49,24.45,2836.TW,13.780000000000001,0.68
-33.95%,燁興,-17.76,7.2800002098,-9.8,-23.43,2025-12,-29.22%,0.0,🌑 雙重衰退,2025,⚪ 數據不足,0.0,-1.54,-76.95,2007.TW,13.629999999999999,-2.24
N/A,亞泰金屬,-2.39,515.0,22.08,8.58,2025-12,N/A,-7.17,🚀 利潤擴張,2025,⚠️ 追價風險,35.863509749303624,4.14,215.39999999999998,6727.TWO,13.499999999999998,6.8
1.57%,合勤控,6.34,37.0499992371,10.87,-2.6,2025-12,30.58%,633.33,🧐 疑業外收益,2025,💎 強力關注,11.761904519714285,1.13,47.25000000000001,3704.TW,13.469999999999999,1.56
N/A,驊陞,41.28,0.0,44.34,30.88,2025-12,N/A,137.1,🚀 利潤擴張,2025,⚪ 數據不足,0.0,2.94,0.0,6272.TW,13.460000000000004,3.43
-27.74%,泰鼎-KY,-4.71,52.7999992371,6.63,-6.83,2025-12,-13.35%,31.27,🧐 疑業外收益,2025,⚪ 數據不足,0.0,-4.9,-262.95000000000005,4927.TW,13.46,-8.65
N/A,樺漢,-3.72,362.0,10.59,-2.8,2025-12,N/A,28.02,🧐 疑業外收益,2025,💎 強力關注,6.413890857547838,17.04,846.5999999999999,6414.TW,13.39,23.26
N/A,捷創科技,23.91,237.0,47.62,34.56,2025-12,N/A,56.59,🚀 利潤擴張,2025,⚪ 數據不足,0.0,3.21,0.0,7810.TWO,13.059999999999995,6.25
N/A,富強鑫,9.61,23.8999996185,25.0,12.22,2025-12,N/A,-35.71,🚀 利潤擴張,2025,⚠️ 追價風險,27.471263929310346,0.27,13.05,6603.TWO,12.78,0.61
N/A,必應,33.28,72.8000030518,51.64,38.99,2025-12,N/A,68.94,🚀 利潤擴張,2025,💎 強力關注,3.7916668256145836,6.5,288.0,6625.TW,12.649999999999999,9.13
N/A,瀚荃,4.44,118.0,17.71,5.25,2025-12,N/A,2.54,🚀 利潤擴張,2025,✅ 穩健價值,14.251207729468597,2.47,124.20000000000002,8103.TW,12.46,3.92
10.97%,華通,4.46,260.0,17.23,4.87,2025-12,18.70%,9.06,🚀 利潤擴張,2025,⚪ 中性觀察,21.630615640599004,3.61,180.29999999999998,2313.TW,12.36,5.51
N/A,實威,13.82,175.0,22.25,9.96,2025-12,N/A,24.85,🚀 利潤擴張,2025,💎 強力關注,5.839172505839173,8.34,449.54999999999995,8416.TWO,12.29,13.46
1.48%,英業達,15.92,48.7000007629,19.21,6.95,2025-12,5.21%,35.04,🚀 利潤擴張,2025,💎 強力關注,8.353344899296742,1.85,87.44999999999999,2356.TW,12.260000000000002,2.42
7.02%,彬台,71.69,35.5,94.5,82.32,2025-12,13.52%,100.0,🚀 利潤擴張,2025,✅ 穩健價值,12.033898305084746,0.5,44.25,3379.TWO,12.180000000000007,2.12
N/A,信驊,52.48,18005.0,52.82,40.64,2025-12,N/A,67.72,🚀 利潤擴張,2025,⚠️ 追價風險,75.10845986984816,72.23,3595.8,5274.TWO,12.18,103.92
N/A,坤悅,56.94,24.2000007629,66.99,55.14,2025-12,N/A,61.14,🚀 利潤擴張,2025,💎 強力關注,1.95161296475,3.69,186.0,5206.TWO,11.849999999999994,3.44
2.40%,中鋼構,10.09,42.5999984741,18.15,6.36,2025-12,4.40%,13.5,🚀 利潤擴張,2025,💎 強力關注,5.710455559530831,2.27,111.9,2013.TW,11.79,3.19
23.11%,國光生,-35.17,17.5499992371,1.75,-9.99,2025-12,49.56%,-137.78,🧐 疑業外收益,2025,⚪ 數據不足,0.0,-1.09,-48.6,4142.TW,11.74,-0.57
28.21%,京元電子,27.65,301.0,41.67,30.08,2025-12,37.66%,52.55,🚀 利潤擴張,2025,✅ 穩健價值,12.049639711769418,7.17,374.69999999999993,2449.TW,11.590000000000003,9.01
N/A,康和證,-12.49,24.0,13.14,1.59,2025-12,N/A,-23.97,🚀 利潤擴張,2025,✅ 穩健價值,12.06030150753769,1.11,29.849999999999998,6016.TWO,11.55,1.98
-125.48%,蔚華科,-39.2,110.0,-20.55,-31.79,2025-12,16.83%,-19.72,🌑 雙重衰退,2025,⚪ 數據不足,0.0,-1.73,-99.60000000000001,3055.TW,11.239999999999998,-2.68
N/A,華景電,19.97,465.0,31.09,19.97,2025-12,N/A,34.48,🚀 利潤擴張,2025,💎 強力關注,11.433489058273913,12.09,610.05,6788.TWO,11.120000000000001,17.36
N/A,鉅橡,4.12,83.5,15.38,4.4,2025-12,N/A,-10.99,🚀 利潤擴張,2025,⚠️ 追價風險,30.474452554744524,0.81,41.1,8074.TWO,10.98,1.35
24.30%,金像電,49.83,1390.0,64.8,54.05,2025-12,33.66%,50.06,🚀 利潤擴張,2025,⚠️ 追價風險,31.76416819012797,13.61,656.4,2368.TW,10.75,19.47
17.08%,健鼎,11.61,481.0,21.94,11.54,2025-12,25.47%,25.96,🚀 利潤擴張,2025,💎 強力關注,10.060656766366868,14.75,717.1500000000001,3044.TW,10.400000000000002,19.45
4.34%,華經,25.51,33.5999984741,30.21,19.94,2025-12,11.41%,32.76,🚀 利潤擴張,2025,✅ 穩健價值,12.043010205770608,0.77,41.85,2468.TW,10.27,1.25
12.48%,宏璟,-70.82,33.7000007629,-80.68,-90.93,2025-12,61.03%,-55.04,🏰 高護城河,2025,⚠️ 追價風險,421.25000953625016,0.6,1.1999999999999993,2527.TW,10.25,0.93
2.59%,泰山,-6.62,0.0,4.73,-5.32,2025-12,16.49%,-16.8,🧐 疑業外收益,2025,⚪ 數據不足,0.0,1.07,0.0,1218.TW,10.05,1.59
1.75%,文曄,19.83,275.5,32.83,22.78,2025-12,3.74%,41.71,🚀 利潤擴張,2025,💎 強力關注,10.264530551415799,8.11,402.59999999999997,3036.TW,10.049999999999997,11.61
14.20%,臺慶科,20.14,194.0,30.29,20.3,2025-12,28.44%,58.06,🚀 利潤擴張,2025,✅ 穩健價值,7.575165950800469,7.84,384.15,3357.TWO,9.989999999999998,10.26
18.06%,虹冠電,22.45,55.5,39.18,29.32,2025-12,45.11%,26.19,🚀 利潤擴張,2025,✅ 穩健價值,6.7272727272727275,2.65,123.75,3257.TW,9.86,3.42
40.48%,玉山金,15.61,31.7999992371,30.06,20.44,2025-12,91.14%,23.66,🏰 高護城河,2025,✅ 穩健價值,5.966228749924953,1.62,79.95,2884.TW,9.619999999999997,2.12
-72.91%,首利,-27.03,10.8500003815,-25.0,-34.37,2025-12,5.75%,-117.24,🔄 轉虧為盈,2025,⚠️ 追價風險,49.31818355227272,-0.05,3.3,1471.TW,9.369999999999997,0.03
10.83%,東和鋼鐵,-2.5,66.1999969482,5.37,-3.84,2025-12,15.94%,-0.44,🧐 疑業外收益,2025,✅ 穩健價值,4.262717124803606,4.55,232.95,2006.TW,9.21,6.47
N/A,茂達,21.32,289.5,31.94,22.89,2025-12,N/A,24.31,🚀 利潤擴張,2025,✅ 穩健價值,9.58291956305859,9.27,453.15000000000003,6138.TWO,9.05,13.04
45.93%,華南金,1.87,32.5499992371,13.1,4.06,2025-12,97.25%,10.0,🏰 高護城河,2025,✅ 穩健價值,7.138157727434212,1.43,68.39999999999999,2880.TW,9.04,1.9
N/A,攸泰科技,5.88,47.6500015259,6.41,-2.54,2025-12,N/A,79.17,🧐 疑業外收益,2025,⚪ 數據不足,0.0,-0.1,-7.05,6928.TW,8.95,-0.73
N/A,光譜,-6.16,24.3999996185,2.44,-5.88,2025-12,N/A,12.28,🧐 疑業外收益,2025,✅ 穩健價值,11.244239455529955,0.65,32.55,5381.TWO,8.32,0.72
N/A,力泰,3.98,80.1999969482,10.9,2.6,2025-12,N/A,17.13,🚀 利潤擴張,2025,✅ 穩健價值,3.137715060571205,7.92,383.4,5520.TWO,8.3,9.97
-65.06%,大略-KY,8.04,3.2699999809,15.65,7.41,2025-12,-7.81%,55.65,🚀 利潤擴張,2025,⚪ 數據不足,0.0,-0.65,-39.300000000000004,4804.TWO,8.24,-1.54
N/A,宇智,12.82,46.5999984741,7.5,-0.56,2025-12,N/A,14.07,🧐 疑業外收益,2025,✅ 穩健價值,5.883838191174243,2.27,118.8,6470.TWO,8.06,3.87
N/A,智冠,-8.2,96.5999984741,4.25,-3.78,2025-12,N/A,-5.4,🧐 疑業外收益,2025,✅ 穩健價值,4.981949379788551,5.84,290.85,5478.TWO,8.03,7.93
8.19%,華泰,19.58,60.0,28.92,20.92,2025-12,15.35%,-2.16,🚀 利潤擴張,2025,✅ 穩健價值,12.145748987854253,1.41,74.1,2329.TW,8.0,2.45
31.26%,健策,52.19,3920.0,49.96,42.0,2025-12,41.25%,62.75,🚀 利潤擴張,2025,⚠️ 追價風險,43.219404630650494,26.92,1360.5,3653.TW,7.960000000000001,36.75
8.38%,鼎翰,40.71,189.5,38.68,31.04,2025-12,32.53%,23.16,🚀 利潤擴張,2025,✅ 穩健價值,4.115986099044309,13.9,690.6,3611.TWO,7.640000000000001,19.63
N/A,凌網,17.89,48.25,23.44,15.91,2025-12,N/A,-1.4,🚀 利潤擴張,2025,✅ 穩健價值,5.971534653465347,2.82,121.2,5212.TWO,7.530000000000001,4.74
14.85%,東浦,15.97,47.75,25.64,18.23,2025-12,30.40%,-0.64,🚀 利潤擴張,2025,✅ 穩健價值,12.119289340101522,1.22,59.1,3290.TWO,7.41,2.02
-5.62%,矽瑪,1.3,20.8999996185,6.35,-0.93,2025-12,15.28%,11.5,🧐 疑業外收益,2025,⚪ 數據不足,0.0,-1.0,-45.89999999999999,3511.TWO,7.279999999999999,-1.18
-1.88%,華新,-0.21,34.5,4.35,-2.83,2025-12,4.90%,-41.67,🧐 疑業外收益,2025,⚪ 中性觀察,19.942196531791907,0.52,25.95,1605.TW,7.18,0.75
13.88%,漢唐,30.93,993.0,46.52,39.37,2025-12,17.19%,52.4,🚀 利潤擴張,2025,✅ 穩健價值,8.97343213446593,34.07,1659.9,2404.TW,7.150000000000006,48.08
5.81%,禾伸堂,5.39,330.0,12.1,5.01,2025-12,17.62%,5.79,🚀 利潤擴張,2025,⚪ 中性觀察,20.52238805970149,4.75,241.20000000000002,3026.TW,7.09,6.58
N/A,生展,7.66,96.8000030518,13.09,6.1,2025-12,N/A,28.46,🚀 利潤擴張,2025,✅ 穩健價值,3.6680561974914743,8.62,395.85,8279.TWO,6.99,10.02
10.49%,光寶科,23.16,234.5,28.09,21.11,2025-12,21.72%,28.23,🚀 利潤擴張,2025,✅ 穩健價值,14.67459324155194,4.94,239.70000000000002,2301.TW,6.98,6.64
N/A,樂斯科,-7.37,30.0,-3.49,-10.2,2025-12,N/A,3.13,🌑 雙重衰退,2025,✅ 穩健價值,8.571428571428571,0.99,52.5,6662.TWO,6.709999999999999,1.66
2.52%,精聯,0.48,30.7000007629,7.2,0.59,2025-12,32.08%,10.59,🚀 利潤擴張,2025,✅ 穩健價值,10.165563166523178,0.94,45.3,3652.TW,6.61,1.34
N/A,上海商銀,3.26,40.0999984741,10.11,3.7,2025-12,N/A,17.51,🚀 利潤擴張,2025,✅ 穩健價值,4.896214709902319,2.56,122.85000000000002,5876.TW,6.409999999999999,3.06
N/A,惠特,38.55,168.5,2.97,-3.41,2025-12,N/A,7.98,🧐 疑業外收益,2025,⚪ 數據不足,0.0,-3.69,-168.45000000000002,6706.TW,6.380000000000001,-3.92
N/A,元太,29.4,195.5,18.59,12.29,2025-12,N/A,75.65,🚀 利潤擴張,2025,✅ 穩健價值,8.241989881956155,8.17,355.8,8069.TWO,6.300000000000001,9.14
N/A,軒郁,-15.54,116.0,-2.0,-8.29,2025-12,N/A,-23.43,🌑 雙重衰退,2025,✅ 穩健價值,5.31135531135531,5.77,327.6,6703.TWO,6.289999999999999,9.9
6.80%,瑞智,-0.93,23.1499996185,0.5,-5.76,2025-12,17.17%,2.8,🧐 疑業外收益,2025,✅ 穩健價值,4.239926670054946,1.5,81.89999999999999,4532.TW,6.26,2.05
N/A,矽力*-KY,0.55,476.5,8.14,1.94,2025-12,N/A,19.44,🚀 利潤擴張,2025,⚠️ 追價風險,33.55633802816901,4.31,213.00000000000003,6415.TW,6.200000000000001,6.4
N/A,長虹,-38.06,79.1999969482,-23.57,-29.66,2025-12,N/A,-17.65,🌑 雙重衰退,2025,✅ 穩健價值,7.864945079265144,2.24,151.04999999999998,5534.TW,6.09,6.0
14.37%,神基,9.96,98.5,16.67,10.6,2025-12,31.02%,15.04,🚀 利潤擴張,2025,✅ 穩健價值,4.688243693479295,6.36,315.15000000000003,3005.TW,6.070000000000002,8.43
N/A,台聯櫃,1.76,35.2999992371,7.69,1.81,2025-12,N/A,0.0,🚀 利潤擴張,2025,⚠️ 追價風險,33.61904689247619,0.32,15.75,5601.TWO,5.880000000000001,0.42
-65.33%,再生-KY,-18.71,5.0,-12.99,-18.82,2025-12,-19.71%,-18.1,🌑 雙重衰退,2025,⚪ 數據不足,0.0,-1.24,-62.85000000000001,1337.TW,5.83,-1.74
5.88%,興農,-2.3,41.2999992371,4.0,-1.68,2025-12,29.22%,6.7,🧐 疑業外收益,2025,✅ 穩健價值,5.916905334828081,2.07,104.69999999999999,1712.TW,5.68,2.6
N/A,擎邦,-2.12,47.75,7.03,1.36,2025-12,N/A,-0.87,🚀 利潤擴張,2025,✅ 穩健價值,4.12705272255834,3.44,173.55,6122.TWO,5.67,4.78
13.35%,太普高,-29.91,16.7000007629,-12.16,-17.82,2025-12,25.16%,-53.6,🌑 雙重衰退,2025,✅ 穩健價值,3.5381357548516945,1.21,70.80000000000001,3284.TWO,5.66,2.31
41.07%,台航,-5.48,0.0,3.25,-2.28,2025-12,46.23%,0.43,🧐 疑業外收益,2025,⚪ 數據不足,0.0,2.36,0.0,2617.TW,5.529999999999999,3.18
N/A,穩得,2.55,204.0,2.89,-2.32,2025-12,N/A,1.73,🧐 疑業外收益,2025,✅ 穩健價值,11.105062602068589,5.51,275.55,6761.TWO,5.21,7.34
N/A,群益證,6.33,31.7000007629,17.33,12.14,2025-12,N/A,5.65,🚀 利潤擴張,2025,✅ 穩健價值,5.428082322414384,1.87,87.6,6005.TW,5.189999999999998,2.64
38.59%,彰銀,7.51,20.6000003815,13.53,8.35,2025-12,88.90%,20.0,🏰 高護城河,2025,✅ 穩健價值,5.336787663601036,1.2,57.900000000000006,2801.TW,5.18,1.51
N/A,欣高,-27.73,34.3499984741,-14.34,-19.51,2025-12,N/A,-6.06,🌑 雙重衰退,2025,✅ 穩健價值,5.603588658091353,1.86,91.95000000000002,9931.TW,5.170000000000002,2.45
N/A,振樺電,69.45,239.5,35.66,30.67,2025-12,N/A,86.67,🚀 利潤擴張,2025,✅ 穩健價值,4.501033640293178,15.84,798.15,8114.TW,4.989999999999995,18.5
N/A,全國,-6.0,56.4000015259,-1.26,-6.2,2025-12,N/A,-1.14,🌑 雙重衰退,2025,✅ 穩健價值,9.860140126905595,1.74,85.8,9937.TW,4.94,2.36
3.28%,鴻海,16.23,250.0,23.02,18.13,2025-12,5.88%,34.73,🚀 利潤擴張,2025,✅ 穩健價值,7.518796992481203,10.38,498.75,2317.TW,4.890000000000001,13.61
10.58%,台灣大,-0.87,110.0,4.58,-0.31,2025-12,19.71%,1.8,🧐 疑業外收益,2025,✅ 穩健價值,9.345794392523365,3.49,176.54999999999998,3045.TW,4.89,4.77
N/A,良維,28.79,272.5,31.08,26.34,2025-12,N/A,42.86,🚀 利潤擴張,2025,✅ 穩健價值,12.908574135480816,6.2,316.65,6290.TWO,4.739999999999998,8.73
N/A,穎崴,32.04,9950.0,40.24,35.51,2025-12,N/A,39.53,🚀 利潤擴張,2025,⚠️ 追價風險,82.56576217741267,33.4,1807.6499999999999,6515.TW,4.730000000000004,46.93
-58.77%,正峰,22.91,12.1499996185,6.47,1.9,2025-12,32.24%,64.0,🚀 利潤擴張,2025,⚪ 數據不足,0.0,-0.36,-31.050000000000004,1538.TW,4.57,-1.59
-0.96%,長盛,7.91,22.6499996185,9.26,4.69,2025-12,27.24%,26.36,🚀 利潤擴張,2025,✅ 穩健價值,4.557343987625755,1.63,74.55,3492.TWO,4.569999999999999,1.77
7.94%,炎洲流通,23.81,67.1999969482,36.94,32.43,2025-12,25.09%,36.4,🚀 利潤擴張,2025,✅ 穩健價值,6.673286688003971,3.11,151.05,3171.TWO,4.509999999999998,4.3
N/A,博智,35.15,420.0,41.38,36.9,2025-12,N/A,1.87,🚀 利潤擴張,2025,⚠️ 追價風險,33.41288782816229,3.35,188.55,8155.TWO,4.480000000000004,6.88
23.34%,新應材,32.03,1175.0,32.78,28.3,2025-12,44.02%,32.29,🚀 利潤擴張,2025,⚠️ 追價風險,42.78951201747997,8.49,411.90000000000003,4749.TWO,4.48,11.33
35.36%,聯邦銀,-0.7,20.5499992371,8.94,4.5,2025-12,94.34%,-1.98,🏰 高護城河,2025,✅ 穩健價值,6.8729094438461535,0.91,44.85,2838.TW,4.4399999999999995,1.29
34.02%,名軒,-63.75,26.9500007629,-57.74,-62.17,2025-12,49.04%,-57.58,🌑 雙重衰退,2025,✅ 穩健價值,3.041760808453725,2.49,132.89999999999998,1442.TW,4.43,3.03
18.52%,鈞興-KY,4.55,194.0,4.45,0.1,2025-12,33.35%,7.67,🚀 利潤擴張,2025,✅ 穩健價值,7.8510724403075685,7.33,370.65,4571.TW,4.3500000000000005,9.61
6.82%,欣興,12.28,875.0,18.07,13.75,2025-12,15.77%,-37.88,🚀 利潤擴張,2025,⚠️ 追價風險,114.22976501305484,2.06,114.89999999999999,3037.TW,4.32,4.38
N/A,岳豐,-20.23,30.0499992371,-12.9,-17.2,2025-12,N/A,-25.0,🌑 雙重衰退,2025,⚠️ 追價風險,51.810343512241374,0.45,8.700000000000001,6220.TWO,4.299999999999999,0.81
5.11%,大成,-1.43,0.0,2.79,-1.49,2025-12,15.43%,-9.42,🧐 疑業外收益,2025,⚪ 數據不足,0.0,2.67,0.0,1210.TW,4.28,4.33
6.27%,崇越電,-2.28,121.0,1.47,-2.69,2025-12,17.90%,2.0,🧐 疑業外收益,2025,✅ 穩健價值,12.051792828685258,3.06,150.60000000000002,3388.TWO,4.16,4.15
5.39%,華立,-2.77,141.0,1.84,-2.3,2025-12,8.77%,-5.56,🧐 疑業外收益,2025,✅ 穩健價值,6.828087167070217,6.28,309.75000000000006,3010.TW,4.14,8.84
-15.09%,寶德,28.56,20.0,9.52,5.58,2025-12,15.17%,48.21,🚀 利潤擴張,2025,⚪ 數據不足,0.0,-0.64,-35.1,3349.TWO,3.9399999999999995,-1.02
N/A,微矽電子-創,28.35,54.2000007629,23.62,19.79,2025-12,N/A,96.15,🚀 利潤擴張,2025,✅ 穩健價值,12.66355158011682,1.53,64.2,8162.TW,3.830000000000002,1.57
6.31%,智易,8.39,181.0,11.7,8.19,2025-12,15.29%,12.4,🚀 利潤擴張,2025,✅ 穩健價值,5.782747603833866,9.52,469.49999999999994,3596.TW,3.51,12.6
N/A,伊雲谷,2.81,68.8000030518,1.77,-1.67,2025-12,N/A,-34.29,🧐 疑業外收益,2025,✅ 穩健價值,14.156379228765433,1.15,72.9,6689.TW,3.44,2.31
N/A,新普,-0.37,382.0,5.99,2.65,2025-12,N/A,3.45,🚀 利潤擴張,2025,✅ 穩健價值,5.23359364296479,21.26,1094.85,6121.TWO,3.3400000000000003,30.6
N/A,東捷資訊,14.74,41.0,16.48,13.17,2025-12,N/A,27.0,🚀 利潤擴張,2025,✅ 穩健價值,4.951690821256039,2.54,124.19999999999999,6697.TWO,3.3100000000000005,3.04
N/A,東生華,18.72,49.5499992371,23.05,19.79,2025-12,N/A,11.48,🚀 利潤擴張,2025,✅ 穩健價值,5.567415644617979,3.01,133.49999999999997,8432.TWO,3.2600000000000016,3.63
N/A,德記,3.96,37.8499984741,6.16,2.91,2025-12,N/A,1.13,🚀 利潤擴張,2025,✅ 穩健價值,6.5597917632755625,1.79,86.55000000000001,5902.TWO,3.25,2.24
N/A,韋僑,8.43,146.5,11.03,7.83,2025-12,N/A,9.43,🚀 利潤擴張,2025,✅ 穩健價值,13.010657193605685,3.25,168.9,6417.TWO,3.1999999999999993,4.83
15.45%,新盛力,4.97,202.5,26.02,22.86,2025-12,26.27%,-8.33,🚀 利潤擴張,2025,⚠️ 追價風險,29.305354558610713,1.55,103.64999999999999,4931.TWO,3.16,3.13
N/A,生華科,10.67,49.9500007629,10.09,7.0,2025-12,N/A,13.87,🚀 利潤擴張,2025,⚪ 數據不足,0.0,-2.06,-105.60000000000001,6492.TWO,3.09,-2.97
11.22%,佰鴻,-7.8,29.8500003815,0.0,-3.04,2025-12,30.45%,-8.25,🌑 雙重衰退,2025,✅ 穩健價值,10.585106518262412,0.89,42.3,3031.TW,3.04,1.09
8.91%,和桐,15.96,10.25,19.51,16.5,2025-12,14.20%,5.71,🚀 利潤擴張,2025,✅ 穩健價值,8.91304347826087,0.37,17.250000000000004,1714.TW,3.0100000000000016,0.5
17.59%,中興電,9.03,157.0,10.14,7.18,2025-12,27.00%,6.72,🚀 利潤擴張,2025,✅ 穩健價值,8.043032786885245,5.99,292.80000000000007,1513.TW,2.960000000000001,8.07
N/A,昇益,62.0,25.5499992371,-40.65,-43.58,2025-12,N/A,44.67,🌑 雙重衰退,2025,✅ 穩健價值,2.401315717772557,3.53,159.6,5455.TWO,2.9299999999999997,3.46
