status,symbol,om,advice,prev_year,date,prev_eps,rev_yoy,prev_rev_yoy,eps_yoy,pe,est_price,prev_eps_yoy,eps,gm,name,price,expansion
🔄 轉虧為盈,2413.TW,3.38%,⚪ 數據不足,2025,2025-12,-0.25,3.52,8.02,193.18,0.0,-9.6,62.12,0.41,17.05%,環科,49.2999992371,189.66
🧐 疑業外收益,1516.TW,-14.33%,⚠️ 追價風險,2025,2025-12,0.1,-87.0,-90.58,100.65,1064.9999618549991,0.30000000000000027,-70.59,0.04,5.36%,川飛,21.2999992371,187.65
🚀 利潤擴張,6112.TW,N/A,💎 強力關注,2025,2025-12,1.2,18.84,20.56,203.33,11.2,56.25,-3.23,1.82,N/A,邁達特,42.0,184.49
🔄 轉虧為盈,6246.TWO,N/A,⚪ 中性觀察,2025,2025-12,-0.04,6.56,11.15,186.36,19.45945894391892,11.099999999999998,97.79,1.14,N/A,臺龍,14.3999996185,179.8
🚀 利潤擴張,4746.TW,21.37%,⚪ 數據不足,2025,2025-12,2.44,2.54,4.96,180.15,0.0,0.0,39.43,3.67,41.59%,台耀,0.0,177.61
🚀 利潤擴張,3609.TWO,-11.23%,💎 強力關注,2025,2025-12,7.31,70.72,27.17,248.27,2.6651375446880734,163.5,314.37,6.42,8.05%,三一東林,29.0499992371,177.55
🧐 疑業外收益,6573.TW,N/A,💎 強力關注,2025,2025-12,1.61,-13.43,-11.95,163.4,9.492753899637682,20.7,228.8,1.23,N/A,虹揚-KY,13.1000003815,176.83
🚀 利潤擴張,6719.TW,N/A,⚪ 中性觀察,2025,2025-12,4.25,23.89,22.77,198.64,16.338028169014084,213.00000000000003,89.73,6.58,N/A,力智,232.0,174.75
🧐 疑業外收益,6127.TWO,N/A,⚠️ 追價風險,2025,2025-12,0.91,-1.13,-0.97,173.44,26.049999237050002,29.999999999999996,275.0,0.47,N/A,九豪,52.0999984741,174.57
🧐 疑業外收益,4556.TWO,14.30%,⚠️ 追價風險,2025,2025-12,0.49,-3.75,-8.55,170.59,23.39393846915151,24.750000000000004,172.22,0.92,42.07%,旭然,38.5999984741,174.34
