代號,名稱,Date,現價,上週估買(張),這週估買(張),淨增進貨(張),增長倍數,5D股價漲跌,狀態
009805.TW,新光美國電力基建,20260520,16.1,6219,60593,54373,9.7x,-5.63%,★ 壓低偷買
4979.TWO,華星光,20260520,562.0,-51663,1146,52809,-0.0x,-6.33%,★ 壓低偷買
00927.TW,群益半導體收益,20260520,33.63,-46969,4390,51360,-0.1x,-3.78%,★ 壓低偷買
00891.TW,中信關鍵半導體,20260520,31.22,-16247,33666,49914,-2.1x,-8.85%,★ 壓低偷買
3374.TWO,精材,20260520,231.0,28520,76061,47540,2.7x,-2.53%,★ 壓低偷買
3090.TW,日電貿,20260520,178.5,656,43698,43042,66.6x,45.71%,▲ 順勢追意
3645.TW,達邁,20260520,103.0,-6225,36798,43024,-5.9x,-5.07%,★ 壓低偷買
2891.TW,中信金,20260520,57.8,6418,49183,42765,7.7x,5.28%,▲ 順勢追意
3264.TWO,欣銓,20260520,206.5,-20740,21515,42256,-1.0x,-10.22%,★ 壓低偷買
2603.TW,長榮,20260520,212.5,-6,41501,41508,-5937.6x,1.19%,▲ 順勢追意
6125.TWO,廣運,20260520,54.7,-40948,304,41252,-0.0x,-7.29%,★ 壓低偷買
6485.TWO,點序,20260520,112.0,424,41349,40924,97.4x,37.93%,▲ 順勢追意
4989.TW,榮科,20260520,92.8,-38946,1305,40251,-0.0x,0.32%,★ 壓低偷買
2495.TW,普安,20260520,37.5,-32869,4736,37605,-0.1x,5.63%,▲ 順勢追意
6257.TW,矽格,20260520,207.0,-28880,8175,37056,-0.3x,-2.36%,★ 壓低偷買
6548.TWO,長科*,20260520,48.6,-36010,319,36330,-0.0x,-4.33%,★ 壓低偷買
3663.TWO,鑫科,20260520,78.6,-161,35913,36074,-223.0x,15.93%,▲ 順勢追意
2342.TW,茂矽,20260520,38.25,-21939,12121,34060,-0.6x,-6.71%,★ 壓低偷買
00984B.TWO,大華優利美A債15,20260520,16.02,-20957,12828,33786,-0.6x,-1.42%,★ 壓低偷買
00937B.TWO,群益ESG投等債20+,20260520,14.52,7889,41606,33716,5.3x,-1.43%,★ 壓低偷買
6207.TWO,雷科,20260520,80.7,-11023,22243,33267,-2.0x,18.16%,▲ 順勢追意
3028.TW,增你強,20260520,84.4,-21694,11251,32945,-0.5x,15.14%,▲ 順勢追意
8054.TWO,安國,20260520,106.5,-29372,3448,32821,-0.1x,5.45%,▲ 順勢追意
6672.TW,騰輝電子-KY,20260520,176.5,-10457,20180,30637,-1.9x,-10.86%,★ 壓低偷買
3033.TW,威健,20260520,51.4,16959,47501,30542,2.8x,19.67%,▲ 順勢追意
00993A.TW,主動安聯台灣,20260520,12.09,-28381,1642,30023,-0.1x,-7.07%,★ 壓低偷買
3624.TWO,光頡,20260520,90.0,36898,65362,28464,1.8x,35.14%,▲ 順勢追意
2436.TW,偉詮電,20260520,71.8,-23880,3578,27458,-0.1x,-1.37%,★ 壓低偷買
8039.TW,台虹,20260520,126.5,-5489,21322,26812,-3.9x,-8.33%,★ 壓低偷買
2881.TW,富邦金,20260520,95.8,17968,44473,26505,2.5x,1.16%,▲ 順勢追意
2401.TW,凌陽,20260520,26.9,6023,29961,23938,5.0x,7.82%,▲ 順勢追意
6425.TWO,易發,20260520,87.8,-21728,1134,22863,-0.1x,0.00%,★ 壓低偷買
6138.TWO,茂達,20260520,308.5,-19660,2461,22121,-0.1x,7.30%,▲ 順勢追意
6834.TW,天二科技,20260520,60.6,-3635,18453,22089,-5.1x,38.04%,▲ 順勢追意
3317.TWO,尼克森,20260520,72.5,4890,26933,22043,5.5x,6.15%,▲ 順勢追意
2374.TW,佳能,20260520,78.8,6874,28639,21765,4.2x,-1.38%,★ 壓低偷買
3580.TWO,友威科,20260520,99.9,-6915,14354,21269,-2.1x,-3.01%,★ 壓低偷買
2882.TW,國泰金,20260520,77.9,-1439,19685,21124,-13.7x,0.78%,▲ 順勢追意
8021.TW,尖點,20260520,361.0,-10511,9988,20500,-1.0x,-19.06%,★ 壓低偷買
3062.TW,建漢,20260520,28.0,-14503,5763,20266,-0.4x,0.54%,▲ 順勢追意
8111.TWO,立��,20260520,61.0,-19006,162,19168,-0.0x,-4.69%,★ 壓低偷買
8074.TWO,鉅橡,20260520,72.8,-17548,1552,19101,-0.1x,-8.89%,★ 壓低偷買
3005.TW,神基,20260520,98.5,-360,18310,18670,-50.8x,0.61%,▲ 順勢追意
00985B.TW,群益ESG投等債0-5,20260520,10.17,-43,18495,18539,-424.2x,0.10%,★ 壓低偷買
3376.TW,新日興,20260520,202.5,-1126,17089,18215,-15.2x,1.25%,▲ 順勢追意
2375.TW,凱美,20260520,111.5,11673,29319,17645,2.5x,16.15%,▲ 順勢追意
5291.TWO,邑昇,20260520,71.7,-5413,12160,17574,-2.2x,5.13%,▲ 順勢追意
8110.TW,華東,20260520,46.25,-13164,4402,17566,-0.3x,-6.47%,★ 壓低偷買
6269.TW,台郡,20260520,58.0,-16936,441,17378,-0.0x,3.57%,▲ 順勢追意
3217.TWO,優群,20260520,188.5,-7610,9289,16899,-1.2x,5.01%,▲ 順勢追意
00955.TWO,中信日本商社,20260520,15.65,-15141,1660,16801,-0.1x,-6.18%,★ 壓低偷買
3045.TW,台灣大,20260520,115.0,2758,19455,16696,7.1x,2.68%,▲ 順勢追意
6104.TWO,創惟,20260520,96.7,-15646,821,16467,-0.1x,-3.78%,★ 壓低偷買
3535.TW,晶彩科,20260520,122.0,-8667,7584,16251,-0.9x,-2.40%,★ 壓低偷買
3413.TW,京鼎,20260520,314.0,-5368,10872,16241,-2.0x,0.96%,▲ 順勢追意
8040.TWO,九暘,20260520,98.7,201,16056,15855,79.7x,19.78%,▲ 順勢追意
6284.TWO,佳邦,20260520,88.0,2796,18501,15705,6.6x,4.64%,▲ 順勢追意
3665.TW,貿聯-KY,20260520,1965.0,2421,17426,15004,7.2x,-21.40%,★ 壓低偷買
2606.TW,裕民,20260520,64.5,12584,27470,14886,2.2x,0.31%,★ 壓低偷買
4526.TW,東台,20260520,37.1,-5681,9114,14796,-1.6x,3.63%,▲ 順勢追意
00981D.TWO,主動中信非投等債,20260520,10.26,-9624,5116,14740,-0.5x,-0.97%,★ 壓低偷買
3675.TWO,德微,20260520,311.5,-7277,7375,14653,-1.0x,22.40%,▲ 順勢追意
4939.TWO,亞電,20260520,37.55,-13290,801,14092,-0.1x,-0.66%,★ 壓低偷買
00980A.TW,主動野村臺灣優選,20260520,21.4,-3685,10399,14085,-2.8x,-8.51%,★ 壓低偷買
3441.TWO,聯一光,20260520,48.15,-2491,11133,13624,-4.5x,23.46%,▲ 順勢追意
00687B.TWO,國泰20年美債,20260520,27.12,7565,21130,13564,2.8x,-1.88%,★ 壓低偷買
4768.TWO,晶呈科技,20260520,405.5,-12456,812,13268,-0.1x,-13.82%,★ 壓低偷買
6174.TWO,安��,20260520,43.45,-4194,8886,13080,-2.1x,8.63%,▲ 順勢追意
6432.TWO,今展科,20260520,52.7,-6494,6209,12704,-1.0x,10.25%,▲ 順勢追意
2302.TW,麗正,20260520,24.95,151,12835,12684,84.9x,-4.04%,★ 壓低偷買
4721.TWO,美琪瑪,20260520,83.7,-10271,2029,12300,-0.2x,-10.96%,★ 壓低偷買
3094.TW,聯傑,20260520,36.3,-3768,8350,12119,-2.2x,18.63%,▲ 順勢追意
6788.TWO,華景電,20260520,393.0,-10544,1506,12050,-0.1x,-13.44%,★ 壓低偷買
00947.TW,台新臺灣IC設計,20260520,33.16,-10587,1308,11896,-0.1x,-8.78%,★ 壓低偷買
8289.TWO,泰藝,20260520,55.3,-8143,3461,11604,-0.4x,1.84%,▲ 順勢追意
8016.TW,矽創,20260520,285.5,1975,13235,11260,6.7x,6.53%,▲ 順勢追意
2363.TW,矽統,20260520,60.1,33850,44951,11101,1.3x,0.33%,★ 壓低偷買
2365.TW,昆盈,20260520,35.15,2735,13561,10826,5.0x,1.15%,▲ 順勢追意
6451.TW,訊芯-KY,20260520,485.5,5532,16348,10815,3.0x,1.57%,▲ 順勢追意
6147.TWO,頎邦,20260520,215.5,42691,53505,10814,1.3x,12.24%,▲ 順勢追意
6141.TW,柏承,20260520,34.5,-1957,8849,10807,-4.5x,20.84%,▲ 順勢追意
6462.TWO,神盾,20260520,134.5,2440,13159,10719,5.4x,3.07%,▲ 順勢追意
00795B.TWO,中信美國公債20年,20260520,26.03,-3178,7433,10611,-2.3x,-3.13%,★ 壓低偷買
2615.TW,萬海,20260520,81.1,-1508,9002,10510,-6.0x,9.15%,▲ 順勢追意
6139.TW,亞翔,20260520,720.0,-4991,5487,10478,-1.1x,4.96%,▲ 順勢追意
2412.TW,中華電,20260520,139.0,-87,10371,10459,-117.9x,1.09%,▲ 順勢追意
3388.TWO,崇越電,20260520,92.8,-4179,5057,9237,-1.2x,-17.88%,★ 壓低偷買
6456.TW,GIS-KY,20260520,63.6,-5760,3471,9231,-0.6x,-8.62%,★ 壓低偷買
4571.TW,鈞興-KY,20260520,210.5,1261,10412,9151,8.3x,10.21%,▲ 順勢追意
6271.TW,同欣電,20260520,187.5,1681,10733,9051,6.4x,3.02%,▲ 順勢追意
6227.TWO,茂綸,20260520,114.0,-1996,6964,8960,-3.5x,6.54%,▲ 順勢追意
3596.TW,智易,20260520,181.5,-8600,89,8690,-0.0x,-0.82%,★ 壓低偷買
3704.TW,合勤控,20260520,38.7,2358,11028,8670,4.7x,5.88%,▲ 順勢追意
6806.TW,森崴能源,20260520,11.4,10,8618,8607,819.2x,-40.62%,★ 壓低偷買
00857B.TWO,永豐20年美公債,20260520,22.61,-6206,2083,8290,-0.3x,-1.82%,★ 壓低偷買
3008.TW,大立光,20260520,3200.0,1471,9723,8252,6.6x,12.28%,▲ 順勢追意
9914.TW,美利達,20260520,68.5,861,9072,8210,10.5x,8.90%,▲ 順勢追意
5871.TW,中租-KY,20260520,111.0,-6700,1478,8179,-0.2x,3.26%,▲ 順勢追意
1477.TW,聚陽,20260520,213.0,-6746,1417,8163,-0.2x,-6.99%,★ 壓低偷買
00985A.TW,主動野村台灣50,20260520,20.15,-2477,5363,7841,-2.2x,-5.89%,★ 壓低偷買
5392.TWO,能率,20260520,41.35,1548,9017,7469,5.8x,1.22%,▲ 順勢追意
3406.TW,玉晶光,20260520,550.0,-426,6994,7421,-16.4x,6.59%,▲ 順勢追意
1609.TW,大亞,20260520,33.8,-7321,90,7411,-0.0x,-2.17%,★ 壓低偷買
3691.TWO,碩禾,20260520,139.0,60,7385,7324,122.5x,-9.74%,★ 壓低偷買
2392.TW,正崴,20260520,35.6,-2,7264,7266,新進貨,-6.81%,★ 壓低偷買
2402.TW,毅嘉,20260520,61.9,-1718,5444,7163,-3.2x,-8.97%,★ 壓低偷買
00950B.TWO,凱基A級公司債,20260520,13.82,-5212,1922,7135,-0.4x,-1.29%,★ 壓低偷買
9105.TW,泰金寶-DR,20260520,5.59,-3255,3864,7120,-1.2x,-0.89%,★ 壓低偷買
4949.TW,有成精密,20260520,87.3,-4679,2239,6918,-0.5x,-1.91%,★ 壓低偷買
2485.TW,兆赫,20260520,70.6,6278,13117,6838,2.1x,5.06%,▲ 順勢追意
3312.TW,弘憶股,20260520,45.75,-108,6637,6746,-60.9x,-2.97%,★ 壓低偷買
6197.TW,佳必琪,20260520,217.0,-5913,783,6696,-0.1x,-6.87%,★ 壓低偷買
00662.TW,富邦NASDAQ,20260520,117.35,-1348,5295,6644,-3.9x,-0.84%,★ 壓低偷買
8155.TWO,博智,20260520,392.0,-5753,793,6546,-0.1x,-7.55%,★ 壓低偷買
6166.TW,凌華,20260520,115.5,8372,14884,6511,1.8x,3.59%,▲ 順勢追意
00696B.TWO,富邦美債20年,20260520,28.15,-4271,2074,6345,-0.5x,-1.92%,★ 壓低偷買
3360.TWO,尚立,20260520,14.35,-6162,108,6271,-0.0x,-14.84%,★ 壓低偷買
2070.TWO,精湛,20260520,63.0,-5869,308,6178,-0.1x,-5.26%,★ 壓低偷買
009815.TWO,大華美國MAG7+,20260520,11.12,-3572,2523,6095,-0.7x,-0.89%,★ 壓低偷買
6449.TW,鈺邦,20260520,268.5,4994,10794,5799,2.2x,23.17%,▲ 順勢追意
4510.TWO,高鋒,20260520,46.45,-1092,4532,5625,-4.1x,-0.32%,★ 壓低偷買
3162.TWO,精確,20260520,85.1,-4762,829,5591,-0.2x,-2.74%,★ 壓低偷買
2340.TW,台亞,20260520,34.45,-4557,1003,5560,-0.2x,-4.31%,★ 壓低偷買
6727.TWO,亞泰金屬,20260520,496.5,6791,12288,5496,1.8x,-7.20%,★ 壓低偷買
3537.TWO,堡達,20260520,57.8,709,6200,5491,8.7x,18.69%,▲ 順勢追意
2886.TW,兆豐金,20260520,40.3,2902,8292,5390,2.9x,1.90%,▲ 順勢追意
6669.TW,緯穎,20260520,4910.0,-4849,406,5256,-0.1x,-12.01%,★ 壓低偷買
00953B.TW,群益優選非投等債,20260520,9.57,13595,18815,5219,1.4x,0.10%,★ 壓低偷買
1314.TW,中石化,20260520,7.02,-3842,1233,5076,-0.3x,0.00%,★ 壓低偷買
00902.TW,中信電池及儲能,20260520,15.92,-4433,610,5044,-0.1x,-6.30%,★ 壓低偷買
6186.TWO,新潤,20260520,40.0,-4539,439,4978,-0.1x,4.58%,▲ 順勢追意
00985D.TWO,主動貝萊德優投等,20260520,9.97,-4864,26,4891,-0.0x,-1.09%,★ 壓低偷買
2630.TW,亞航,20260520,42.75,-4852,32,4884,-0.0x,-2.95%,★ 壓低偷買
3591.TW,艾笛森,20260520,25.9,-1756,3026,4783,-1.7x,9.28%,▲ 順勢追意
4741.TWO,泓瀚,20260520,53.5,-3881,899,4781,-0.2x,-16.93%,★ 壓低偷買
00970B.TWO,新光BBB投等債20+,20260520,9.18,-3023,1698,4721,-0.6x,-1.18%,★ 壓低偷買
00678.TW,群益那斯達克生技,20260520,34.83,-2578,2127,4706,-0.8x,-4.39%,★ 壓低偷買
3357.TWO,臺慶科,20260520,231.0,15620,20317,4696,1.3x,8.45%,▲ 順勢追意
5314.TWO,世紀*,20260520,67.6,-243,4383,4626,-18.0x,-5.45%,★ 壓低偷買
8091.TWO,翔名,20260520,253.5,443,4973,4529,11.2x,29.34%,▲ 順勢追意
6442.TW,光聖,20260520,1770.0,-2832,1655,4488,-0.6x,-1.94%,★ 壓低偷買
6274.TWO,台燿,20260520,1205.0,-3494,876,4371,-0.3x,-16.90%,★ 壓低偷買
6829.TWO,千附精密,20260520,184.0,-2088,2282,4370,-1.1x,-13.62%,★ 壓低偷買
3712.TW,永崴投控,20260520,14.95,-21,4243,4264,-198.5x,-24.87%,★ 壓低偷買
3661.TW,世芯-KY,20260520,4600.0,-1782,2394,4177,-1.3x,-3.77%,★ 壓低偷買
3701.TW,大眾控,20260520,51.4,-1599,2417,4016,-1.5x,-12.88%,★ 壓低偷買
7788.TW,松川精密,20260520,187.0,1127,5144,4016,4.6x,-0.27%,★ 壓低偷買
6208.TWO,日揚,20260520,93.8,49,3974,3925,80.4x,-1.37%,★ 壓低偷買
00875.TW,國泰網路資安,20260520,44.38,-2038,1840,3879,-0.9x,3.62%,▲ 順勢追意
2890.TW,永豐金,20260520,29.8,7993,11704,3710,1.5x,-2.45%,★ 壓低偷買
9933.TW,中鼎,20260520,38.75,142,3823,3681,26.9x,5.30%,▲ 順勢追意
6415.TW,矽力*-KY,20260520,507.0,-2055,1525,3580,-0.7x,8.45%,▲ 順勢追意
2880.TW,華南金,20260520,32.05,-206,3326,3533,-16.1x,-2.14%,★ 壓低偷買
4562.TW,穎漢,20260520,40.3,-166,3264,3431,-19.6x,11.94%,▲ 順勢追意
3443.TW,創意,20260520,4605.0,1158,4473,3314,3.9x,-13.60%,★ 壓低偷買
009817.TW,國泰日本不動產,20260520,8.92,-439,2841,3280,-6.5x,-1.98%,★ 壓低偷買
6205.TW,詮欣,20260520,72.5,-1469,1791,3260,-1.2x,-9.83%,★ 壓低偷買
00980D.TWO,主動聯博投等入息,20260520,20.12,-2817,395,3213,-0.1x,-1.13%,★ 壓低偷買
2349.TW,錸德,20260520,12.15,-2933,258,3192,-0.1x,-3.57%,★ 壓低偷買
2641.TWO,正德,20260520,17.55,-2751,426,3177,-0.2x,-0.28%,★ 壓低偷買
00675L.TW,富邦臺灣加權正2,20260520,255.7,-1781,1271,3052,-0.7x,-7.42%,★ 壓低偷買
9938.TW,百和,20260520,43.4,-605,2420,3026,-4.0x,-1.92%,★ 壓低偷買
3032.TW,偉訓,20260520,76.0,-2785,227,3012,-0.1x,-7.88%,★ 壓低偷買
009803.TW,玉山市值動能50,20260520,19.2,-1429,1568,2998,-1.1x,-5.23%,★ 壓低偷買
5536.TWO,聖暉*,20260520,916.0,2504,5498,2993,2.2x,-3.58%,★ 壓低偷買
00708L.TW,期元大S&P黃金正2,20260520,88.0,-2050,916,2967,-0.4x,-9.84%,★ 壓低偷買
5371.TWO,中光電,20260520,70.5,194,3151,2956,16.2x,3.22%,▲ 順勢追意
8473.TW,山林水,20260520,39.75,-121,2817,2938,-23.3x,18.13%,▲ 順勢追意
4164.TW,承業醫,20260520,28.3,-2876,55,2932,-0.0x,0.53%,▲ 順勢追意
6231.TWO,系微,20260520,278.0,-2518,338,2856,-0.1x,-9.15%,★ 壓低偷買
2885.TW,元大金,20260520,55.1,-1814,981,2795,-0.5x,-1.25%,★ 壓低偷買
1409.TW,新纖,20260520,16.65,1865,4648,2783,2.5x,-1.48%,★ 壓低偷買
3152.TWO,璟德,20260520,164.0,898,3660,2761,4.1x,-2.38%,★ 壓低偷買
00952.TW,凱基台灣AI50,20260520,16.55,-2024,636,2661,-0.3x,-5.97%,★ 壓低偷買
00963.TW,中信全球高股息,20260520,12.71,-1523,1101,2624,-0.7x,1.03%,▲ 順勢追意
00936.TW,台新永續高息中小,20260520,19.18,1901,4394,2492,2.3x,-2.59%,★ 壓低偷買
5471.TW,松翰,20260520,52.3,1680,4162,2481,2.5x,3.98%,▲ 順勢追意
3003.TW,健和興,20260520,59.0,-1202,1268,2470,-1.1x,1.90%,▲ 順勢追意
3528.TW,安馳,20260520,82.9,-1697,754,2452,-0.4x,1.47%,▲ 順勢追意
5475.TWO,德宏,20260520,278.0,-117,2271,2389,-19.3x,-10.61%,★ 壓低偷買
3455.TWO,由田,20260520,284.0,-2211,173,2384,-0.1x,-0.70%,★ 壓低偷買
6735.TWO,美達科技,20260520,107.5,-15,2355,2370,-154.4x,-22.66%,★ 壓低偷買
6698.TW,旭暉應材,20260520,31.35,-913,1398,2312,-1.5x,2.12%,▲ 順勢追意
1591.TWO,駿吉-KY,20260520,38.2,-1726,579,2306,-0.3x,-29.26%,★ 壓低偷買
6805.TW,富世達,20260520,1720.0,-503,1800,2303,-3.6x,-6.01%,★ 壓低偷買
3694.TW,海華,20260520,71.2,-1196,1058,2254,-0.9x,28.06%,▲ 順勢追意
8374.TW,羅昇,20260520,96.9,216,2421,2205,11.2x,7.31%,▲ 順勢追意
2439.TW,美律,20260520,85.3,-1060,1122,2182,-1.1x,1.31%,▲ 順勢追意
6742.TW,澤米,20260520,56.1,7,2158,2150,271.1x,45.34%,▲ 順勢追意
2368.TW,金像電,20260520,1235.0,229,2364,2134,10.3x,-8.52%,★ 壓低偷買
2404.TW,漢唐,20260520,1025.0,6059,8075,2016,1.3x,0.00%,★ 壓低偷買
5386.TWO,青雲,20260520,429.5,-1961,24,1986,-0.0x,3.49%,▲ 順勢追意
6179.TWO,亞通,20260520,24.6,323,2286,1963,7.1x,3.36%,▲ 順勢追意
8121.TWO,越峰,20260520,35.2,327,2286,1959,7.0x,4.14%,▲ 順勢追意
6472.TW,保瑞,20260520,383.5,-794,1164,1959,-1.5x,-4.84%,★ 壓低偷買
7750.TW,新代,20260520,2495.0,346,2233,1887,6.4x,-9.76%,★ 壓低偷買
6405.TW,悅城,20260520,53.5,-1827,25,1853,-0.0x,-10.98%,★ 壓低偷買
00881.TW,國泰台灣科技龍頭,20260520,47.66,-1227,613,1841,-0.5x,-4.78%,★ 壓低偷買
8927.TWO,北基,20260520,19.55,-1658,79,1737,-0.0x,-0.76%,★ 壓低偷買
2543.TW,皇昌,20260520,42.45,-106,1575,1681,-14.9x,1.07%,▲ 順勢追意
9941.TW,裕融,20260520,73.7,-1608,60,1668,-0.0x,-0.27%,★ 壓低偷買
4561.TWO,健椿,20260520,47.7,-1629,22,1652,-0.0x,0.42%,★ 壓低偷買
3030.TW,德律,20260520,347.0,-1140,475,1616,-0.4x,-16.18%,★ 壓低偷買
00959B.TWO,大華投等美債15Y+,20260520,9.2,-985,607,1593,-0.6x,-1.39%,★ 壓低偷買
3518.TW,柏騰,20260520,32.2,352,1929,1577,5.5x,-11.66%,★ 壓低偷買
6126.TWO,信音,20260520,34.05,35,1571,1536,44.1x,4.93%,▲ 順勢追意
5236.TWO,凌陽創新,20260520,172.0,146,1665,1518,11.4x,5.85%,▲ 順勢追意
6862.TW,三集瑞-KY,20260520,166.0,-1207,302,1510,-0.3x,3.11%,▲ 順勢追意
00931B.TWO,統一美債20年,20260520,13.07,-392,1070,1462,-2.7x,-1.95%,★ 壓低偷買
3022.TW,威強電,20260520,68.1,-1287,147,1435,-0.1x,0.74%,▲ 順勢追意
6909.TW,創控,20260520,50.7,-715,648,1363,-0.9x,-7.31%,★ 壓低偷買
6525.TW,捷敏-KY,20260520,113.5,-599,731,1330,-1.2x,7.08%,▲ 順勢追意
5484.TW,慧友,20260520,39.45,49,1350,1300,27.3x,2.73%,▲ 順勢追意
009801.TW,中信美國創新科技,20260520,11.89,121,1421,1300,11.7x,-1.33%,★ 壓低偷買
2360.TW,致茂,20260520,2065.0,269,1564,1294,5.8x,-14.14%,★ 壓低偷買
4933.TWO,友輝,20260520,72.5,-905,386,1291,-0.4x,4.92%,▲ 順勢追意
2345.TW,智邦,20260520,2355.0,-633,607,1240,-1.0x,-3.29%,★ 壓低偷買
1533.TW,車王電,20260520,38.0,0,1226,1225,新進貨,12.93%,▲ 順勢追意
6831.TW,邁科,20260520,720.0,2662,3870,1207,1.5x,4.65%,▲ 順勢追意
6643.TWO,M31,20260520,563.0,-794,408,1202,-0.5x,-14.18%,★ 壓低偷買
6229.TWO,研通,20260520,26.35,-899,278,1178,-0.3x,-7.87%,★ 壓低偷買
5521.TW,工信,20260520,10.55,-380,793,1174,-2.1x,-5.38%,★ 壓低偷買
2006.TW,東和鋼鐵,20260520,65.3,-1102,47,1150,-0.0x,-0.31%,★ 壓低偷買
3041.TW,揚智,20260520,23.6,-397,745,1142,-1.9x,-1.26%,★ 壓低偷買
2332.TW,友訊,20260520,13.95,-496,601,1097,-1.2x,2.20%,▲ 順勢追意
4771.TW,望隼,20260520,194.0,-204,891,1095,-4.4x,5.72%,▲ 順勢追意
2501.TW,國建,20260520,22.3,-449,644,1094,-1.4x,-0.67%,★ 壓低偷買
00933B.TWO,國泰10Y+金融債,20260520,15.7,506,1599,1093,3.2x,-1.38%,★ 壓低偷買
8011.TW,台通,20260520,17.8,-796,284,1080,-0.4x,-2.20%,★ 壓低偷買
6417.TWO,韋僑,20260520,125.0,-989,87,1076,-0.1x,-11.03%,★ 壓低偷買
6469.TWO,大樹,20260520,71.0,-874,202,1076,-0.2x,-0.42%,★ 壓低偷買
4147.TWO,中裕,20260520,48.85,-874,198,1072,-0.2x,-0.51%,★ 壓低偷買
8464.TW,億豐,20260520,309.0,-283,766,1049,-2.7x,-7.62%,★ 壓低偷買
3545.TW,敦泰,20260520,57.4,2733,3771,1037,1.4x,3.05%,▲ 順勢追意
00923.TW,群益台ESG低碳50,20260520,36.52,-651,374,1026,-0.6x,-4.35%,★ 壓低偷買
3176.TWO,基亞,20260520,37.25,-65,960,1025,-14.7x,19.58%,▲ 順勢追意
6245.TWO,立端,20260520,82.6,-71,929,1001,-13.0x,-0.24%,★ 壓低偷買
6411.TWO,晶焱,20260520,86.0,211,1212,1001,5.7x,4.88%,▲ 順勢追意
00904.TW,新光臺灣半導體30,20260520,36.78,412,1411,998,3.4x,-4.76%,★ 壓低偷買
6188.TWO,廣明,20260520,80.7,744,1692,948,2.3x,-2.77%,★ 壓低偷買
4555.TW,氣立,20260520,42.4,9,958,948,97.8x,2.42%,▲ 順勢追意
4306.TW,炎洲,20260520,13.8,87,1008,920,11.5x,5.34%,▲ 順勢追意
4513.TWO,福裕,20260520,14.6,-777,134,911,-0.2x,-0.68%,★ 壓低偷買
3093.TWO,港建*,20260520,47.8,-192,704,897,-3.7x,-11.15%,★ 壓低偷買
