advice,est_price,rev_yoy,eps,om,prev_eps,prev_year,date,prev_eps_yoy,prev_rev_yoy,status,gm,symbol,price,eps_yoy,expansion,pe,name
💎 強力關注,493.65000000000003,297.67,3.8,N/A,13.25,2025,2026-03,33.97,5.83,🚀 利潤擴張,N/A,8478.TW,160.0,512.9,215.22999999999996,4.861744150714068,東哥遊艇
💎 強力關注,76.65,713.51,0.66,8.70%,1.65,2025,2026-03,-21.15,3.39,🚀 利潤擴張,13.61%,1609.TW,39.7999992371,925.0,211.49,7.788649557162427,大亞
⚪ 數據不足,0.0,26.54,0.47,7.12%,0.08,2025,2026-03,-80.0,3.55,🚀 利潤擴張,19.34%,3717.TW,28.8999996185,213.33,186.79000000000002,0.0,聯嘉投控
⚪ 數據不足,-43.199999999999996,80.73,0.33,N/A,-1.82,2025,2026-03,-280.2,-10.9,🔄 轉虧為盈,N/A,8084.TWO,48.9000015259,266.67,185.94,0.0,巨虹
💎 強力關注,94.05,542.69,2.65,14.85%,2.02,2025,2026-03,25.64,18.23,🚀 利潤擴張,30.40%,3290.TWO,70.4000015259,728.13,185.43999999999994,11.228070418803828,東浦
⚪ 數據不足,-7.95,385.95,0.09,N/A,-0.17,2025,2026-03,-177.27,-15.68,🔄 轉虧為盈,N/A,5460.TWO,19.2999992371,550.0,164.05,0.0,同協
⚪ 數據不足,0.0,116.02,0.53,N/A,1.54,2025,2026-03,1640.0,32.98,🚀 利潤擴張,N/A,4582.TWO,0.0,276.67,160.65000000000003,0.0,未知
⚪ 數據不足,0.0,116.02,0.53,N/A,1.54,2025,2026-03,1640.0,32.98,🚀 利潤擴張,N/A,4582.TW,27.2999992371,276.67,160.65000000000003,0.0,聚恆-創
⚪ 數據不足,-6.6,542.01,0.06,-2.91%,-0.25,2025,2026-03,-219.05,-2.43,🔄 轉虧為盈,10.78%,2426.TW,79.0,700.0,157.99,0.0,鼎元
⚪ 數據不足,-25.049999999999997,108.24,0.28,8.42%,-0.19,2025,2026-03,54.55,2.69,🔄 轉虧為盈,56.31%,2417.TW,47.5,264.29,156.05,0.0,圓剛
⚠️ 追價風險,1.050000000000001,214.33,0.28,N/A,-0.29,2025,2026-03,-125.22,-4.25,🔄 轉虧為盈,N/A,9934.TW,10.5,366.67,152.34,149.99999999999986,成霖
⚠️ 追價風險,32.250000000000014,180.76,1.1,N/A,1.09,2025,2026-03,-77.02,7.13,🚀 利潤擴張,N/A,2732.TWO,65.5999984741,323.08,142.32,30.511627197255805,六角
⚪ 中性觀察,96.15,307.94,1.03,N/A,2.88,2025,2026-03,-38.68,5.8,🚀 利潤擴張,N/A,6569.TWO,105.5,442.11,134.17000000000002,16.458658346333852,醫揚
⚠️ 追價風險,85.05,273.28,1.57,N/A,2.35,2025,2026-03,921.74,17.09,🚀 利潤擴張,N/A,6166.TW,134.0,406.45,133.17000000000002,23.6331569664903,凌華
⚠️ 追價風險,183.0,515.18,3.44,41.27%,4.66,2025,2026-03,884.75,82.29,🏰 高護城河,54.76%,3081.TWO,2100.0,645.65,130.47000000000003,172.13114754098362,聯亞
💎 強力關注,172.05,113.17,2.21,N/A,6.21,2025,2026-03,-20.59,-14.96,🚀 利潤擴張,N/A,3356.TW,61.7999992371,228.49,115.32000000000001,5.387968547262424,奇偶
⚪ 數據不足,-7.200000000000001,268.59,0.29,N/A,0.33,2025,2026-03,-84.51,-4.81,🚀 利潤擴張,N/A,6735.TWO,88.9000015259,383.33,114.74000000000001,0.0,美達科技
⚪ 數據不足,-33.6,-21.56,-0.02,-12.62%,-1.63,2025,2026-03,-365.71,-7.78,🏰 高護城河,102.69%,2601.TW,6.0,87.5,109.06,0.0,益航
⚠️ 追價風險,50.699999999999996,161.56,0.37,N/A,1.73,2025,2026-03,-45.51,-5.33,🚀 利潤擴張,N/A,7730.TW,191.5,270.0,108.44,56.65680473372781,暉盛-創
⚪ 數據不足,-40.05,67.27,0.66,N/A,2.15,2025,2026-03,152.83,-16.81,🚀 利潤擴張,N/A,2911.TW,8.0,163.46,96.19000000000001,0.0,麗嬰房
⚠️ 追價風險,13.05,57.36,0.3,12.73%,0.43,2025,2026-03,-46.91,-7.4,🏰 高護城河,87.57%,3083.TWO,28.3999996185,150.0,92.64,32.64367772241379,網龍
✅ 穩健價值,44.550000000000004,990.52,0.49,N/A,1.39,2025,2026-03,104.41,14.16,🚀 利潤擴張,N/A,6931.TW,40.5,1080.0,89.48000000000002,13.636363636363635,青松健康
⚪ 數據不足,-24.299999999999994,486.21,0.28,-21.33%,-0.84,2025,2026-03,-169.49,-18.58,🔄 轉虧為盈,16.92%,1599.TWO,23.6000003815,575.0,88.79000000000002,0.0,宏佳騰
⚪ 數據不足,-18.3,81.97,0.06,-58.34%,-0.61,2025,2026-03,17.57,0.19,🔄 轉虧為盈,28.91%,4147.TWO,70.0,166.67,84.69999999999999,0.0,中裕
💎 強力關注,97.8,102.97,2.78,13.17%,2.41,2025,2026-03,-51.9,-14.02,🚀 利潤擴張,33.66%,1339.TW,44.75,186.6,83.63,6.863496932515337,昭輝
