symbol,expansion,advice,price,status,rev_yoy,eps,prev_eps_yoy,date,gm,prev_year,prev_eps,est_price,eps_yoy,name,pe,prev_rev_yoy,om
3064.TWO,63.5,⚪ 數據不足,17.1499996185,🏰 高護城河,-1.0,-0.27,-7120.0,2026-03,93.22%,2025,-3.51,-122.4,62.5,泰偉,0.0,-29.69,-55.72%
6005.TW,63.21000000000001,💎 強力關注,32.2000007629,🚀 利潤擴張,171.79,1.34,17.33,2026-03,N/A,2025,2.64,101.7,235.0,群益證,4.74926264939528,12.14,N/A
1533.TW,61.81999999999999,⚠️ 追價風險,31.1000003815,🚀 利潤擴張,438.18,0.84,152.25,2026-03,N/A,2025,0.58,10.049999999999997,500.0,車王電,46.417911017164194,19.69,N/A
1904.TW,61.76999999999998,⚪ 中性觀察,24.5499992371,🚀 利潤擴張,538.23,0.56,34.55,2026-03,20.98%,2025,0.74,22.5,600.0,正隆,16.366666158066668,-4.85,7.12%
6208.TWO,56.41999999999999,💎 強力關注,78.8000030518,🚀 利潤擴張,150.03,1.9,-26.32,2026-03,N/A,2025,2.52,113.85,206.45,日揚,10.3820820885112,-4.59,N/A
4747.TWO,55.839999999999975,💎 強力關注,25.2999992371,🚀 利潤擴張,148.33,1.46,-36.9,2026-03,N/A,2025,1.19,72.30000000000001,204.17,強生,5.248962497323651,-6.81,N/A
8040.TWO,55.43000000000001,⚪ 數據不足,79.1999969482,🔄 轉虧為盈,189.01,0.13,49.15,2026-03,N/A,2025,-0.6,-18.45,244.44,九暘,0.0,2.65,N/A
4123.TWO,54.05000000000001,💎 強力關注,30.5499992371,🚀 利潤擴張,185.42,2.62,905.92,2026-03,41.95%,2025,12.33,273.29999999999995,239.47,晟德,1.6767288275027443,-6.28,-106.23%
6934.TW,52.519999999999996,⚪ 數據不足,76.6999969482,🌑 雙重衰退,-55.48,-1.43,-48.08,2026-03,N/A,2025,-3.92,0.0,-2.96,心誠鎂,0.0,-29.22,N/A
6574.TWO,51.74000000000001,💎 強力關注,119.0,🚀 利潤擴張,95.63,3.29,66.34,2026-03,N/A,2025,6.82,252.6,147.37,霈方,7.066508313539193,6.51,N/A
7711.TW,47.56,⚪ 數據不足,0.0,🚀 利潤擴張,91.93,7.68,38.44,2026-03,N/A,2025,13.04,0.0,139.49,永擎,0.0,182.72,N/A
3287.TWO,46.579999999999984,⚪ 中性觀察,35.7999992371,🚀 利潤擴張,359.48,1.01,-36.17,2026-03,N/A,2025,1.5,31.8,406.06,廣寰科,16.8867920929717,23.54,N/A
9949.TWO,45.849999999999994,💎 強力關注,24.0,🚀 利潤擴張,66.65,0.03,544.54,2026-03,N/A,2025,5.29,146.54999999999998,112.5,琉園,2.4564994882292734,-17.0,N/A
6620.TWO,39.24,💎 強力關注,132.0,🚀 利潤擴張,15.93,0.46,31.64,2026-03,N/A,2025,4.85,172.35,55.17,漢達,11.488250652741515,108.17,N/A
2388.TW,35.860000000000014,⚪ 數據不足,77.9000015259,🚀 利潤擴張,264.14,0.08,-93.75,2026-03,20.64%,2025,0.12,-30.6,300.0,威盛,0.0,-40.0,-8.17%
3556.TWO,34.20000000000002,💎 強力關注,57.0,🏰 高護城河,156.04,1.19,-5.7,2026-03,50.66%,2025,2.15,81.9,190.24,禾瑞亞,10.43956043956044,1.24,14.95%
7821.TW,32.379999999999995,⚪ 數據不足,40.0,🚀 利潤擴張,10.24,0.87,91.67,2026-03,N/A,2025,2.99,0.0,42.62,神數,0.0,19.28,N/A
2072.TWO,28.590000000000003,⚪ 數據不足,0.0,🚀 利潤擴張,6.33,11.94,-17.2,2025-12,35.24%,2025,7.56,0.0,34.92,未知,0.0,15.19,30.89%
6794.TW,27.259999999999998,⚪ 數據不足,76.5,🧐 疑業外收益,-3.86,-0.36,-13.21,2026-03,N/A,2025,-1.89,-70.05,23.4,向榮生技,0.0,-5.58,N/A
1467.TW,27.04000000000002,⚪ 數據不足,8.1999998093,🔄 轉虧為盈,422.96,0.11,-197.83,2026-03,23.39%,2025,-0.45,-28.950000000000003,450.0,南緯,0.0,2.23,1.90%
7768.TW,26.23,⚪ 數據不足,276.5,🚀 利潤擴張,16.63,1.62,-27.83,2026-03,N/A,2025,3.24,0.0,42.86,頌勝科技,0.0,3.08,N/A
7768.TWO,26.23,⚪ 數據不足,0.0,🚀 利潤擴張,16.63,1.62,-27.83,2026-03,N/A,2025,3.24,0.0,42.86,未知,0.0,3.08,N/A
1623.TW,25.689999999999998,⚪ 數據不足,0.0,🚀 利潤擴張,12.42,4.33,11.37,2026-03,21.29%,2025,13.61,0.0,38.11,大東電,0.0,20.5,16.93%
2885.TW,20.689999999999998,💎 強力關注,69.6999969482,🏰 高護城河,62.36,1.08,-1.08,2026-03,80.00%,2025,2.74,105.6,83.05,元大金,9.900567748323862,6.4,33.03%
5604.TWO,19.960000000000004,✅ 穩健價值,31.6499996185,🚀 利潤擴張,25.49,0.32,-66.0,2026-03,N/A,2025,0.85,33.45,45.45,中連,14.192824941031391,0.36,N/A
6015.TWO,19.539999999999964,💎 強力關注,17.4500007629,🚀 利潤擴張,451.29,0.89,-11.63,2026-03,N/A,2025,0.76,24.599999999999998,470.83,宏遠證,10.640244367621952,0.56,N/A
5202.TWO,18.900000000000002,⚪ 數據不足,11.6999998093,🚀 利潤擴張,26.81,-0.19,-134.86,2026-03,N/A,2025,-0.61,-30.900000000000002,45.71,力新,0.0,-8.35,N/A
2880.TW,18.060000000000002,💎 強力關注,44.3499984741,🏰 高護城河,22.97,0.55,13.1,2026-03,97.25%,2025,1.9,70.8,41.03,華南金,9.396186117394068,4.06,45.93%
3581.TWO,17.97999999999999,⚠️ 追價風險,107.5,🚀 利潤擴張,216.8,0.31,35.0,2026-03,31.93%,2025,0.81,9.75,234.78,博磊,165.3846153846154,13.9,8.13%
