eps_yoy,prev_rev_yoy,pe,symbol,date,est_price,prev_year,rev_yoy,advice,om,status,price,prev_eps,prev_eps_yoy,eps,gm,name,expansion
120.99,-13.87,117.63440860215053,3105.TWO,2025-12,69.75,2025,-4.69,⚠️ 追價風險,13.87%,🧐 疑業外收益,547.0,1.57,-40.53,4.0,31.80%,穩懋,125.67999999999999
142.59,28.81,10.927834789381443,6276.TWO,2025-12,43.650000000000006,2025,20.19,💎 強力關注,N/A,🚀 利潤擴張,31.7999992371,0.66,128.33,0.92,N/A,安鈦克,122.4
127.94,2.64,29.2800006868,1512.TW,2025-12,3.75,2025,8.09,⚠️ 追價風險,-3.62%,🚀 利潤擴張,7.3200001717,0.04,111.76,0.19,28.43%,瑞利,119.85
177.61,217.33,6.666666666666667,2596.TWO,2025-12,67.5,2025,59.65,💎 強力關注,26.41%,🚀 利潤擴張,30.0,1.04,425.0,1.86,32.97%,綠意,117.96000000000001
139.29,34.06,41.23188516362318,8080.TWO,2025-12,10.350000000000001,2025,22.38,⚠️ 追價風險,N/A,🚀 利潤擴張,28.4500007629,0.2,190.91,0.12,N/A,泰霖,116.91
122.09,8.77,1011.2500190724998,4555.TW,2025-12,0.6000000000000001,2025,7.47,⚠️ 追價風險,2.93%,🔄 轉虧為盈,40.4500007629,-0.02,97.22,0.19,31.93%,氣立,114.62
23.33,-92.7,0.0,6198.TWO,2025-12,-7.5,2025,-90.1,⚪ 數據不足,N/A,🧐 疑業外收益,22.0,-0.12,55.56,-0.23,N/A,瑞築,113.42999999999999
51.72,-60.26,28.171427590571415,4702.TWO,2025-12,5.250000000000002,2025,-61.59,⚠️ 追價風險,-88.29%,🧐 疑業外收益,9.8599996567,0.23,-14.81,0.88,35.38%,中美實,113.31
144.7,22.8,10.134279199391944,3260.TWO,2025-12,592.05,2025,32.13,💎 強力關注,35.36%,🚀 利潤擴張,400.0,10.08,19.56,23.18,48.37%,威剛,112.57
87.32,-15.81,0.0,2025.TW,2025-12,-17.700000000000003,2025,-22.64,⚪ 數據不足,14.50%,🧐 疑業外收益,11.3999996185,-0.41,28.07,-0.18,-19.82%,千興,109.96
102.7,-7.04,0.0,8455.TWO,2025-12,-4.95,2025,-6.4,⚪ 數據不足,N/A,🧐 疑業外收益,22.3999996185,0.02,104.35,0.02,N/A,大拓-KY,109.10000000000001
134.62,17.8,0.0,9955.TW,2025-12,-5.399999999999999,2025,26.06,⚪ 數據不足,N/A,🔄 轉虧為盈,29.1499996185,-0.37,50.67,0.54,N/A,佳龍,108.56
110.31,-15.55,13.860589812332439,4967.TW,2025-12,279.75000000000006,2025,2.46,✅ 穩健價值,N/A,🚀 利潤擴張,258.5,3.47,-46.86,13.06,N/A,十銓,107.85000000000001
53.77,-51.54,0.0,8477.TWO,2025-12,-38.4,2025,-52.73,⚪ 數據不足,N/A,🧐 疑業外收益,13.9499998093,-0.62,80.0,-0.92,N/A,創業家,106.5
108.09,7.39,4.069952365898251,2501.TW,2025-12,94.35,2025,1.8,💎 強力關注,17.13%,🚀 利潤擴張,25.6000003815,1.91,127.38,2.83,26.51%,國建,106.29
168.25,5.09,0.0,6465.TWO,2025-12,-14.549999999999999,2025,63.6,⚪ 數據不足,N/A,🔄 轉虧為盈,46.0,-0.75,29.25,0.86,N/A,威潤,104.65
143.64,34.74,15.160183066361558,3135.TW,2025-12,131.09999999999997,2025,39.88,✅ 穩健價值,16.62%,🚀 利潤擴張,132.5,1.5,-29.03,6.33,19.12%,凌航,103.75999999999999
164.15,77.79,10.864661510733084,6150.TWO,2025-12,79.8,2025,61.2,💎 強力關注,N/A,🚀 利潤擴張,57.7999992371,1.55,156.36,2.63,N/A,撼訊,102.95
107.41,32.51,52.81249880789063,2465.TW,2025-12,19.2,2025,5.42,⚠️ 追價風險,2.26%,🚀 利潤擴張,67.5999984741,0.09,102.43,0.43,10.44%,麗臺,101.99
100.0,2.58,28.66141852433071,2926.TWO,2025-12,19.05,2025,1.84,⚠️ 追價風險,-1.48%,🚀 利潤擴張,36.4000015259,0.34,241.67,0.54,40.82%,誠品生活,98.16
118.87,28.08,5.605022656872146,1541.TW,2025-12,65.7,2025,21.45,💎 強力關注,7.07%,🚀 利潤擴張,24.5499992371,1.32,41.94,2.32,19.55%,錩泰,97.42
110.31,9.38,2.6288659302061856,2380.TW,2025-12,29.099999999999998,2025,13.61,💎 強力關注,0.24%,🚀 利潤擴張,5.0999999046,0.47,133.57,0.72,24.41%,虹光,96.7
146.97,54.63,0.0,4971.TWO,2025-12,-7.0500000000000025,2025,50.49,⚪ 數據不足,N/A,🚀 利潤擴張,763.0,0.09,103.17,1.65,N/A,IET-KY,96.47999999999999
104.43,7.31,0.0,5516.TWO,2025-12,-7.35,2025,8.41,⚪ 數據不足,N/A,🚀 利潤擴張,12.0500001907,0.34,116.43,0.16,N/A,雙喜,96.02000000000001
134.04,49.52,1156.338028169014,3363.TWO,2025-12,10.65,2025,38.72,⚠️ 追價風險,-9.15%,🚀 利潤擴張,821.0,0.37,317.65,0.16,12.43%,上詮,95.32
191.99,94.38,42.66359181320266,6739.TWO,2025-12,520.3499999999999,2025,96.69,⚠️ 追價風險,N/A,🚀 利潤擴張,1480.0,10.13,167.2,16.13,N/A,竹陞科技,95.30000000000001
118.18,15.42,175.16128786161292,6125.TWO,2025-12,4.65,2025,23.69,⚠️ 追價風險,N/A,🚀 利潤擴張,54.2999992371,0.13,123.21,0.1,N/A,廣運,94.49000000000001
100.43,5.19,6.290019119755179,3687.TWO,2025-12,159.3,2025,6.13,💎 強力關注,12.64%,🚀 利潤擴張,66.8000030518,4.47,151.12,4.67,39.69%,歐買尬,94.30000000000001
100.0,4.56,0.0,1453.TW,2025-12,-2.1,2025,7.27,⚪ 數據不足,-2853.40%,🏰 高護城河,12.1000003815,0.05,-58.33,0.04,912.85%,大將,92.73
