gm,est_price,symbol,prev_year,eps_yoy,prev_eps_yoy,rev_yoy,prev_eps,advice,name,status,pe,prev_rev_yoy,eps,date,expansion,om,price
N/A,0.0,4582.TW,2025,276.67,1640.0,116.02,1.54,⚪ 數據不足,聚恆-創,🚀 利潤擴張,0.0,32.98,0.53,2026-03,160.65000000000003,N/A,24.5
10.78%,-6.6,2426.TW,2025,700.0,-219.05,542.01,-0.25,⚪ 數據不足,鼎元,🔄 轉虧為盈,0.0,-2.43,0.06,2026-03,157.99,-2.91%,77.1999969482
56.31%,-25.049999999999997,2417.TW,2025,264.29,54.55,108.24,-0.19,⚪ 數據不足,圓剛,🔄 轉虧為盈,0.0,2.69,0.28,2026-03,156.05,8.42%,43.0
N/A,1.050000000000001,9934.TW,2025,366.67,-125.22,214.33,-0.29,⚠️ 追價風險,成霖,🔄 轉虧為盈,142.28571482999988,-4.25,0.28,2026-03,152.34,N/A,9.9600000381
N/A,32.250000000000014,2732.TWO,2025,323.08,-77.02,180.76,1.09,⚠️ 追價風險,六角,🚀 利潤擴張,30.232558139534873,7.13,1.1,2026-03,142.32,N/A,65.0
N/A,96.15,6569.TWO,2025,442.11,-38.68,307.94,2.88,⚪ 中性觀察,醫揚,🚀 利潤擴張,16.536661466458657,5.8,1.03,2026-03,134.17000000000002,N/A,106.0
N/A,85.05,6166.TW,2025,406.45,921.74,273.28,2.35,⚠️ 追價風險,凌華,🚀 利潤擴張,24.603174603174605,17.09,1.57,2026-03,133.17000000000002,N/A,139.5
54.76%,183.0,3081.TWO,2025,645.65,884.75,515.18,4.66,⚠️ 追價風險,聯亞,🏰 高護城河,166.8032786885246,82.29,3.44,2026-03,130.47000000000003,41.27%,2035.0
N/A,172.05,3356.TW,2025,228.49,-20.59,113.17,6.21,💎 強力關注,奇偶,🚀 利潤擴張,5.1264166728073235,-14.96,2.21,2026-03,115.32000000000001,N/A,58.7999992371
N/A,-7.200000000000001,6735.TWO,2025,383.33,-84.51,268.59,0.33,⚪ 數據不足,美達科技,🚀 利潤擴張,0.0,-4.81,0.29,2026-03,114.74000000000001,N/A,86.0
102.69%,-33.6,2601.TW,2025,87.5,-365.71,-21.56,-1.63,⚪ 數據不足,益航,🏰 高護城河,0.0,-7.78,-0.02,2026-03,109.06,-12.62%,5.3899998665
N/A,50.699999999999996,7730.TW,2025,270.0,-45.51,161.56,1.73,⚠️ 追價風險,暉盛-創,🚀 利潤擴張,52.9585798816568,-5.33,0.37,2026-03,108.44,N/A,179.0
N/A,-40.05,2911.TW,2025,163.46,152.83,67.27,2.15,⚪ 數據不足,麗嬰房,🚀 利潤擴張,0.0,-16.81,0.66,2026-03,96.19000000000001,N/A,7.2199997902
87.57%,13.05,3083.TWO,2025,150.0,-46.91,57.36,0.43,⚠️ 追價風險,網龍,🏰 高護城河,31.839081336666666,-7.4,0.3,2026-03,92.64,12.73%,27.7000007629
N/A,44.550000000000004,6931.TW,2025,1080.0,104.41,990.52,1.39,✅ 穩健價值,青松健康,🚀 利潤擴張,13.434343948114478,14.16,0.49,2026-03,89.48000000000002,N/A,39.9000015259
16.92%,-24.299999999999994,1599.TWO,2025,575.0,-169.49,486.21,-0.84,⚪ 數據不足,宏佳騰,🔄 轉虧為盈,0.0,-18.58,0.28,2026-03,88.79000000000002,-21.33%,23.3500003815
28.91%,-18.3,4147.TWO,2025,166.67,17.57,81.97,-0.61,⚪ 數據不足,中裕,🔄 轉虧為盈,0.0,0.19,0.06,2026-03,84.69999999999999,-58.34%,63.7999992371
