expansion,prev_eps,est_price,gm,symbol,advice,rev_yoy,date,name,price,prev_rev_yoy,prev_year,eps,status,prev_eps_yoy,pe,om,eps_yoy
164.99,0.24,10.35,18.05%,1587.TW,⚠️ 追價風險,23.11,2025-12,吉茂,27.4500007629,19.92,2025,0.37,🚀 利潤擴張,155.81,39.78260980130435,2.96%,188.1
164.91,0.16,4.65,15.86%,2486.TW,⚠️ 追價風險,10.09,2025-12,一詮,245.0,13.26,2025,0.22,🚀 利潤擴張,300.0,790.3225806451613,1.35%,175.0
164.37,1.13,0.0,N/A,6994.TW,⚪ 數據不足,164.5,2025-12,富威電力,0.0,21.0,2025,6.34,🚀 利潤擴張,47.95,0.0,N/A,328.87
164.31,17.41,693.9,N/A,6596.TWO,💎 強力關注,78.68,2025-12,寬宏藝術,94.0,97.52,2025,18.83,🚀 利潤擴張,241.37,2.03199308257674,N/A,242.99
160.96,-0.24,-11.25,N/A,6265.TWO,⚪ 數據不足,62.85,2025-12,方土昶,57.7000007629,25.19,2025,0.68,🔄 轉虧為盈,-271.43,0.0,N/A,223.81
160.61999999999998,9.52,435.15,N/A,5439.TWO,💎 強力關注,130.83,2025-12,高技,346.0,130.37,2025,13.74,🚀 利潤擴張,280.8,11.926921751120304,N/A,291.45
159.73000000000002,-0.13,-4.95,10.14%,3489.TWO,⚪ 數據不足,-69.84,2025-12,森寶,22.3999996185,-54.34,2025,-0.09,🧐 疑業外收益,23.53,0.0,3.61%,89.89
157.18,2.61,106.8,7.66%,4526.TW,💎 強力關注,-6.62,2025-12,東台,39.25,-1.22,2025,1.81,🧐 疑業外收益,271.05,5.512640449438202,-21.47%,150.56
153.81,2.19,91.05,4.18%,3630.TWO,💎 強力關注,19.21,2025-12,新鉅科,30.1000003815,18.28,2025,1.86,🚀 利潤擴張,219.44,4.95881390140033,-22.27%,173.02
152.56,3.24,189.75000000000003,N/A,6684.TWO,💎 強力關注,-15.36,2025-12,安格,49.4000015259,-15.66,2025,1.57,🧐 疑業外收益,203.85,3.905138460545454,N/A,137.2
152.03,-0.24,-13.5,N/A,6838.TW,⚪ 數據不足,-93.38,2025-12,台新藥,24.7999992371,-95.44,2025,-0.55,🧐 疑業外收益,77.78,0.0,N/A,58.65
147.76,-0.22,-5.8500000000000005,98.33%,4157.TWO,⚪ 數據不足,72.24,2025-12,太景*-KY,8.6000003815,-79.84,2025,0.06,🔄 轉虧為盈,-1000.0,0.0,81.17%,220.0
145.65,-0.1,2.4,43.11%,3252.TWO,⚠️ 追價風險,-3.71,2025-12,海灣,18.0,-4.86,2025,0.13,🔄 轉虧為盈,54.55,112.5,22.84%,141.94
143.77999999999997,1.25,67.05000000000001,11.59%,3162.TWO,⚪ 中性觀察,65.48,2025-12,精確,83.5999984741,89.71,2025,1.7,🚀 利潤擴張,292.31,18.7024605087472,1.68%,209.26
142.39000000000001,2.56,107.1,5.83%,3673.TW,💎 強力關注,-8.77,2025-12,TPK-KY,78.6999969482,-8.66,2025,2.71,🧐 疑業外收益,55.15,11.022408536162464,-0.68%,133.62
140.19,0.05,4.050000000000001,N/A,6236.TWO,⚠️ 追價風險,-20.68,2025-12,中湛,19.0,-18.24,2025,0.08,🧐 疑業外收益,111.11,70.37037037037037,N/A,119.51
138.32,0.05,6.449999999999999,N/A,6708.TWO,⚠️ 追價風險,42.33,2025-12,天擎,38.75,48.16,2025,0.25,🚀 利潤擴張,119.23,90.11627906976746,N/A,180.65
