=== 凱利策略分析 (資料日期: 20260306) ===
代號         |    最佳策略    |      勝率 |     期望報酬 | 今日狀態
6691.TW    |   brain    |   52.9% |    2.26% | 觀望
1439.TW    |   brain    |   42.1% |    0.80% | ☠ 立即止損
4915.TW    |   brain    |   53.2% |    0.35% | ☠ 立即止損
0052.TW    | long_trend |   55.6% |    0.82% | 🚪 趨勢結束
2241.TW    | strong_support |   56.4% |    0.76% | 觀望
1213.TW    | long_trend |   50.7% |    6.37% | 🚪 趨勢結束
4702.TWO   | long_trend |   50.0% |    0.53% | 🚪 趨勢結束
5234.TW    |   brain    |   50.4% |    1.75% | 觀望
2740.TWO   |   brain    |   40.3% |    0.42% | ☠ 立即止損
1805.TW    | reversion  |   72.2% |    5.94% | 觀望
2634.TW    | long_trend |   47.1% |    0.42% | 觀望
2237.TWO   | reversion  |   53.1% |    9.12% | 觀望
5487.TWO   | strong_support |   42.9% |    0.55% | 觀望
00936.TW   |   brain    |   48.1% |    0.27% | ☠ 立即止損
2363.TW    |   brain    |   43.4% |    1.02% | ☠ 立即止損
8096.TWO   |   brain    |   44.0% |    1.37% | ☠ 立即止損
6510.TWO   | long_trend |   62.3% |    6.99% | 觀望
3645.TW    |   brain    |   48.0% |    1.21% | 觀望
2414.TW    | strong_support |   58.6% |    0.51% | 觀望
7749.TW    | long_trend |    0.0% |    0.00% | 觀望
2355.TW    | reversion  |   70.6% |    4.00% | 💰 乖離修正賣出
6907.TWO   |   brain    |  100.0% |   42.82% | 觀望
2480.TW    | strong_support |   49.6% |    0.50% | 觀望
2233.TW    |   brain    |   50.8% |    0.43% | ☠ 立即止損
2330.TW    |   brain    |   53.9% |    0.78% | 觀望
2385.TW    | long_trend |   49.7% |    0.40% | 🚪 趨勢結束
1529.TW    | reversion  |   58.3% |    4.42% | 觀望
3004.TW    |   brain    |   43.8% |    0.48% | ☠ 立即止損
3230.TWO   |   brain    |   45.9% |    1.50% | 觀望
6170.TWO   | strong_support |   45.6% |    0.71% | 觀望
6727.TWO   |   brain    |   50.8% |    6.16% | 觀望
3363.TWO   |   brain    |   53.3% |    3.00% | 觀望
6121.TWO   | reversion  |   90.0% |    8.81% | 觀望
8162.TW    | strong_support |   42.9% |    0.75% | 觀望
8081.TW    |   brain    |   46.4% |    0.50% | 觀望
4943.TW    |   brain    |   48.7% |    2.13% | 觀望
1587.TW    | long_trend |   52.7% |    4.70% | 觀望
2017.TW    | long_trend |   56.2% |    2.62% | 觀望
2645.TW    |   brain    |   47.6% |    2.61% | 觀望
6534.TW    | strong_support |   46.3% |    1.29% | 觀望
009816.TW  | strong_support |    0.0% |    0.00% | 觀望
6679.TWO   | reversion  |   54.5% |    2.72% | 💰 乖離修正賣出
9110.TW    | long_trend |   43.5% |    3.22% | 🚪 趨勢結束
9914.TW    | reversion  |   69.2% |    3.26% | 觀望
2605.TW    |   brain    |   48.4% |    1.20% | ★★★ 強力買進
3652.TW    | long_trend |   49.1% |    3.09% | 🚪 趨勢結束
3162.TWO   | long_trend |   45.7% |    4.94% | 觀望
3491.TWO   | long_trend |   59.0% |    8.37% | 觀望
00857B.TWO | reversion  |    0.0% |    0.00% | 💰 乖離修正賣出
1436.TW    | long_trend |   56.0% |    1.76% | 🚪 趨勢結束
5864.TWO   | long_trend |   51.6% |    3.31% | 觀望
6785.TWO   | momentum_burst |   56.2% |    8.20% | 觀望
6603.TWO   | reversion  |   60.0% |    2.45% | 觀望
3483.TWO   | long_trend |   51.6% |    4.28% | 🚪 趨勢結束
6274.TWO   |   brain    |   51.2% |    1.00% | ☠ 立即止損
8210.TW    | long_trend |   58.3% |    4.65% | 觀望
2547.TW    | long_trend |   61.1% |    2.89% | 🚪 趨勢結束
8183.TWO   | long_trend |   47.8% |    1.34% | 觀望
8277.TWO   | reversion  |   61.3% |    1.54% | 觀望
2820.TW    | momentum_burst |   54.4% |    0.27% | 觀望
3042.TW    |   brain    |   49.3% |    0.46% | 觀望
1563.TW    | reversion  |  100.0% |    8.56% | 觀望
4934.TW    | reversion  |   53.8% |    1.11% | 💰 乖離修正賣出
00772B.TWO | reversion  |  100.0% |   13.09% | 💰 乖離修正賣出
6271.TW    | reversion  |   67.8% |    3.30% | 觀望
2441.TW    |   brain    |   50.7% |    0.31% | ☠ 立即止損
00992A.TW  | strong_support |    0.0% |    0.00% | 觀望
8464.TW    | reversion  |   72.7% |    4.04% | 觀望
2442.TW    | strong_support |   60.7% |    1.76% | 觀望
3257.TW    | reversion  |   54.7% |    0.34% | 觀望
8021.TW    |   brain    |   48.7% |    1.12% | 觀望
6929.TWO   | long_trend |    0.0% |  -10.72% | 🚪 趨勢結束
5381.TWO   |   brain    |   44.2% |    4.07% | 觀望
00780B.TWO | reversion  |  100.0% |    6.02% | 💰 乖離修正賣出
6565.TWO   |   brain    |   35.7% |   -0.07% | ☠ 立即止損
8067.TWO   | reversion  |   60.0% |    2.65% | 💰 乖離修正賣出
1402.TW    | strong_support |   53.3% |    0.18% | 🛡️ 支撐進場
1313.TW    | long_trend |   45.7% |    1.83% | 🚀 長線突破
3450.TW    |   brain    |   54.0% |    1.91% | 觀望
6629.TWO   |   brain    |   48.4% |    1.16% | ☠ 立即止損
3003.TW    | reversion  |   71.4% |    3.69% | 觀望
00688L.TW  | strong_support |   47.9% |   -0.04% | 觀望
4555.TW    | reversion  |   81.0% |    6.92% | 觀望
6584.TWO   |   brain    |   43.8% |    2.10% | 觀望
2444.TW    | long_trend |   52.2% |    1.79% | 觀望
2323.TW    | strong_support |   48.1% |    1.55% | 觀望
2368.TW    |   brain    |   51.8% |    2.03% | ☠ 立即止損
9933.TW    | reversion  |   70.6% |    2.55% | 觀望
5245.TWO   |   brain    |   45.0% |    1.64% | ☠ 立即止損
6152.TW    | reversion  |   62.3% |    2.94% | 💰 乖離修正賣出
6237.TWO   |   brain    |   45.9% |    1.03% | ☠ 立即止損
3689.TWO   |   brain    |   51.9% |    1.28% | ☠ 立即止損
3354.TWO   | strong_support |   51.7% |    1.24% | 觀望
2890.TW    | strong_support |   53.5% |    0.38% | 觀望
2486.TW    |   brain    |   43.3% |    1.74% | ☠ 立即止損
7712.TWO   |   brain    |   50.9% |    5.59% | 觀望
2066.TWO   | strong_support |   44.9% |    0.77% | 觀望
2454.TW    | reversion  |   56.2% |    1.08% | 觀望
5905.TWO   |   brain    |   46.0% |    0.42% | ☠ 立即止損
6664.TWO   |   brain    |   53.6% |    1.30% | ☠ 立即止損
00875.TW   | reversion  |  100.0% |    3.03% | 💰 乖離修正賣出
6257.TW    | strong_support |   53.0% |    0.61% | 觀望
6414.TW    | strong_support |   53.9% |    1.57% | 觀望
1569.TWO   | long_trend |   47.2% |    2.27% | 🚪 趨勢結束
4739.TW    | reversion  |   54.0% |    4.59% | 觀望
6233.TWO   | reversion  |   58.9% |    2.90% | 💰 乖離修正賣出
00990A.TW  |   brain    |   60.0% |    0.97% | 觀望
2482.TW    | long_trend |   50.7% |    2.77% | 🚪 趨勢結束
6869.TW    |   brain    |   50.4% |    4.46% | ★★★ 強力買進
00687B.TWO | reversion  |    0.0% |    0.00% | 💰 乖離修正賣出
3168.TW    | momentum_burst |   53.8% |    3.24% | 觀望
2236.TW    |   brain    |   48.6% |    1.24% | ☠ 立即止損
4804.TWO   | long_trend |   56.9% |    8.47% | 🚪 趨勢結束
00877.TWO  |   brain    |   52.7% |    0.56% | 觀望
3176.TWO   | reversion  |   47.2% |    4.07% | 觀望
6206.TW    | long_trend |   47.6% |    3.72% | 🚪 趨勢結束
4576.TW    | strong_support |   53.0% |    1.92% | 觀望
3178.TWO   | long_trend |   46.0% |    2.40% | 觀望
8043.TWO   |   brain    |   45.3% |    1.05% | ☠ 立即止損
2338.TW    | long_trend |   50.4% |    3.56% | 觀望
2597.TW    |   brain    |   47.9% |    0.86% | ☠ 立即止損
3374.TWO   |   brain    |   46.7% |    1.49% | 觀望
8086.TWO   |   brain    |   51.1% |    1.49% | 觀望
6757.TW    |   brain    |   55.7% |    2.71% | ☠ 立即止損
00725B.TWO | reversion  |  100.0% |   12.64% | 💰 乖離修正賣出
^TWII      | reversion  |  100.0% |    6.70% | 觀望
2855.TW    |   brain    |   50.8% |    0.76% | 觀望
3032.TW    |   brain    |   52.4% |    1.39% | ☠ 立即止損
1477.TW    | momentum_burst |   60.0% |    2.51% | 觀望
6505.TW    | reversion  |   53.3% |    1.67% | 💰 乖離修正賣出
2405.TW    | reversion  |   54.5% |    2.58% | 觀望
00752.TW   | reversion  |   90.9% |    6.98% | 觀望
3264.TWO   |   brain    |   55.9% |    1.25% | ☠ 立即止損
8358.TWO   | long_trend |   59.7% |    5.24% | 觀望
6983.TWO   |   brain    |   62.1% |    9.63% | 觀望
00878.TW   |   brain    |   57.5% |    0.11% | ☠ 立即止損
6568.TWO   |   brain    |   48.6% |    1.69% | 觀望
6174.TWO   | strong_support |   43.5% |    1.20% | 🛡️ 支撐進場
3623.TWO   |   brain    |   48.2% |    0.71% | 觀望
6477.TW    | momentum_burst |   44.6% |    1.62% | 觀望
6761.TWO   |   brain    |   40.0% |    1.66% | 觀望
5483.TWO   |   brain    |   51.9% |    0.98% | ☠ 立即止損
6742.TW    | reversion  |   48.6% |    0.37% | 觀望
1340.TW    | reversion  |   57.1% |    2.47% | 觀望
6770.TW    |   brain    |   47.4% |    3.65% | 觀望
00655L.TW  | reversion  |   61.9% |    3.17% | 觀望
2630.TW    | momentum_burst |   46.7% |    2.21% | 🔥 動能爆發
3624.TWO   | long_trend |   44.0% |    2.75% | 觀望
3135.TW    | long_trend |   42.9% |    2.34% | 觀望
3085.TWO   | momentum_burst |   38.9% |    4.68% | 觀望
8099.TWO   |   brain    |   47.0% |    2.16% | ☠ 立即止損
3073.TWO   | long_trend |   34.8% |    6.99% | 🚪 趨勢結束
2356.TW    | long_trend |   53.4% |    1.65% | 🚪 趨勢結束
6838.TW    |   brain    |   40.5% |    1.33% | ☠ 立即止損
6139.TW    |   brain    |   47.7% |    1.56% | ☠ 立即止損
7709.TWO   | long_trend |   76.9% |   22.87% | 觀望
1519.TW    |   brain    |   47.6% |    1.41% | ☠ 立即止損
2239.TW    | reversion  |   61.1% |    3.65% | 觀望
1235.TW    | long_trend |   54.9% |    2.29% | 🚪 趨勢結束
8087.TWO   | momentum_burst |   44.9% |    3.18% | 觀望
00887.TWO  | reversion  |   90.0% |    2.10% | 觀望
00983A.TW  | long_trend |    0.0% |    0.00% | 觀望
1504.TW    | long_trend |   47.5% |    0.60% | 🚪 趨勢結束
4979.TWO   |   brain    |   45.9% |    1.93% | 觀望
2436.TW    | strong_support |   47.0% |    0.37% | 觀望
2027.TW    |   brain    |   48.1% |    1.00% | ☠ 立即止損
00650L.TW  | reversion  |   76.0% |    3.79% | 觀望
7786.TW    | reversion  |    0.0% |    0.00% | 觀望
4971.TWO   |   brain    |   50.5% |    1.88% | 觀望
3711.TW    | long_trend |   48.0% |    0.58% | 觀望
5498.TWO   | long_trend |   59.6% |    5.91% | 觀望
8033.TW    |   brain    |   41.1% |    1.06% | ★★★ 強力買進
4967.TW    |   brain    |   49.6% |    2.79% | ☠ 立即止損
1785.TWO   | long_trend |   47.9% |    3.97% | 🚪 趨勢結束
3152.TWO   | momentum_burst |   49.6% |    1.59% | 觀望
009805.TW  |   brain    |   68.3% |    1.58% | 觀望
2467.TW    |   brain    |   52.9% |    1.72% | 觀望
6782.TW    |   brain    |   52.7% |    2.32% | 觀望
009817.TW  | strong_support |    0.0% |    0.00% | 觀望
3653.TW    |   brain    |   49.6% |    1.54% | ☠ 立即止損
8462.TW    | long_trend |   55.3% |    1.89% | 🚪 趨勢結束
00680L.TW  | strong_support |   53.1% |    0.28% | 觀望
8101.TW    | long_trend |   31.2% |   15.66% | 🚪 趨勢結束
