=== 凱利策略分析 (資料日期: 20260306) ===
代號         |    最佳策略    |      勝率 |     期望報酬 | 今日狀態
5301.TWO   |   brain    |   33.7% |    2.04% | ☠ 立即止損
1795.TW    |   brain    |   44.1% |    1.34% | ☠ 立即止損
2406.TW    | long_trend |   50.6% |    4.76% | 觀望
6147.TWO   | reversion  |   79.2% |    3.00% | 觀望
6667.TWO   |   brain    |   46.2% |    1.28% | 觀望
6231.TWO   |   brain    |   42.0% |    1.58% | ☠ 立即止損
00674R.TW  | reversion  |   50.0% |   -0.56% | 觀望
00751B.TWO | reversion  |  100.0% |   15.84% | 💰 乖離修正賣出
6657.TW    | strong_support |   54.5% |    5.74% | 觀望
6799.TW    | strong_support |   53.8% |    2.87% | 觀望
6689.TW    | long_trend |   57.4% |    3.50% | 🚪 趨勢結束
1536.TW    | strong_support |   52.4% |    0.91% | 觀望
6716.TWO   |   brain    |   40.3% |    1.94% | 觀望
3664.TWO   |   brain    |   40.5% |    0.32% | ☠ 立即止損
3665.TW    |   brain    |   52.4% |    1.40% | ★★★ 強力買進
3714.TW    | strong_support |   52.1% |    1.14% | 觀望
3218.TWO   | long_trend |   51.9% |    2.49% | 🚪 趨勢結束
6698.TW    | reversion  |   59.6% |    3.21% | 觀望
5228.TWO   | reversion  |   63.2% |    1.52% | 觀望
5880.TW    | reversion  |  100.0% |    7.38% | 觀望
2349.TW    | long_trend |   48.3% |   10.21% | 觀望
4161.TWO   | reversion  |   75.0% |    6.25% | 觀望
7734.TWO   | momentum_burst |   44.4% |    5.61% | 觀望
2401.TW    | reversion  |   62.5% |    3.30% | 觀望
6906.TW    | reversion  |   31.6% |    3.04% | 觀望
3563.TW    |   brain    |   52.2% |    2.40% | ★★★ 強力買進
6279.TWO   |   brain    |   48.4% |    0.36% | 觀望
3324.TWO   |   brain    |   50.9% |    1.54% | 觀望
3577.TWO   | momentum_burst |   45.0% |   -0.10% | 觀望
3357.TWO   | long_trend |   50.0% |    5.03% | 觀望
2254.TW    | reversion  |   71.4% |    2.05% | 💰 乖離修正賣出
2369.TW    | strong_support |   48.3% |    1.37% | 🛡️ 支撐進場
7751.TWO   |   brain    |   63.0% |    5.06% | 觀望
8489.TWO   | reversion  |   56.2% |    3.47% | 觀望
1773.TW    | strong_support |   52.5% |    0.82% | 觀望
6844.TWO   |   brain    |   45.4% |    0.73% | 觀望
6931.TW    |   brain    |   38.5% |    2.86% | ☠ 立即止損
4956.TW    |   brain    |   42.0% |    0.86% | 觀望
5876.TW    | reversion  |  100.0% |    4.72% | 觀望
4977.TW    | reversion  |   67.9% |    3.80% | 💰 乖離修正賣出
00632R.TW  |   brain    |   32.0% |   10.50% | 觀望
8935.TWO   | strong_support |   41.4% |    0.72% | 🛡️ 支撐進場
5227.TWO   | reversion  |   61.5% |    4.00% | 觀望
3521.TWO   | long_trend |   45.7% |    1.38% | 觀望
3564.TWO   | strong_support |   56.1% |    2.49% | 觀望
6419.TWO   | long_trend |   49.4% |    4.37% | 觀望
2845.TW    |   brain    |   49.6% |    0.13% | ☠ 立即止損
3266.TW    | reversion  |   63.2% |    2.66% | 觀望
2812.TW    | strong_support |   51.1% |    0.14% | 觀望
2867.TW    | reversion  |   69.2% |    3.75% | 觀望
4906.TW    | strong_support |   55.6% |    1.19% | 觀望
1203.TW    | reversion  |    0.0% |    0.00% | 觀望
2002.TW    |   brain    |   42.2% |    0.40% | ☠ 立即止損
2478.TW    |   brain    |   46.0% |    1.72% | ★★★ 強力買進
8291.TWO   | reversion  |   53.7% |    3.95% | 觀望
6865.TWO   | reversion  |   22.2% |   -1.02% | 觀望
6988.TW    |   brain    |   47.4% |    0.94% | ☠ 立即止損
5543.TWO   | long_trend |   48.9% |    1.55% | 觀望
6668.TW    | reversion  |   55.4% |    1.61% | 觀望
3691.TWO   | strong_support |   50.0% |    1.28% | 觀望
2897.TW    | reversion  |   83.3% |    2.74% | 💰 乖離修正賣出
3592.TW    | long_trend |   51.4% |    0.85% | 🚪 趨勢結束
4806.TWO   | long_trend |   40.4% |    2.05% | 🚪 趨勢結束
1718.TW    | reversion  |   84.6% |    6.09% | 觀望
6491.TW    | long_trend |   50.4% |    1.52% | 🚪 趨勢結束
00955.TWO  | long_trend |   66.0% |    1.20% | 觀望
3078.TWO   | long_trend |   57.0% |    3.34% | 🚪 趨勢結束
2484.TW    | reversion  |   65.8% |    3.73% | 觀望
6166.TW    | reversion  |   53.1% |   -0.15% | 觀望
1338.TW    | reversion  |   53.8% |    3.20% | 觀望
3023.TW    | reversion  |   57.9% |    3.22% | 觀望
00738U.TW  | long_trend |   54.8% |    2.12% | 觀望
6672.TW    | long_trend |   45.6% |    1.50% | 觀望
3694.TW    | reversion  |   64.9% |    2.99% | 觀望
6160.TWO   | momentum_burst |   44.8% |    1.10% | 觀望
5426.TWO   |   brain    |   41.6% |    0.77% | 觀望
8048.TWO   | long_trend |   55.1% |    5.06% | 觀望
2312.TW    | reversion  |   59.5% |    2.53% | 觀望
2208.TW    | long_trend |   44.4% |    3.50% | 觀望
009803.TW  |   brain    |   55.6% |    1.13% | 觀望
7584.TWO   | long_trend |   64.4% |    4.95% | 🚪 趨勢結束
8050.TWO   | reversion  |   70.0% |    3.79% | 觀望
3455.TWO   | reversion  |   77.3% |    4.96% | 觀望
2104.TW    | reversion  |   65.4% |    0.84% | 💰 乖離修正賣出
6122.TWO   |   brain    |   46.1% |    1.26% | ☠ 立即止損
2880.TW    | reversion  |  100.0% |    3.28% | 💰 乖離修正賣出
6435.TWO   |   brain    |   49.4% |    1.26% | 觀望
8476.TW    | reversion  |   55.9% |   23.78% | 觀望
6530.TWO   |   brain    |   45.3% |    1.36% | 觀望
6806.TW    | momentum_burst |   51.4% |    1.12% | 觀望
2755.TWO   |   brain    |   51.5% |    1.93% | 觀望
1605.TW    |   brain    |   47.7% |    0.59% | ☠ 立即止損
8038.TWO   | reversion  |   55.6% |    0.63% | 觀望
3006.TW    |   brain    |   49.2% |    1.38% | ☠ 立即止損
1442.TW    |   brain    |   47.4% |    0.67% | ☠ 立即止損
1303.TW    |   brain    |   47.7% |    0.63% | 觀望
00715L.TW  | long_trend |   57.3% |    3.04% | 🚀 長線突破
8349.TWO   |   brain    |   45.2% |    1.01% | ☠ 立即止損
2633.TW    | long_trend |   53.3% |    1.72% | 🚪 趨勢結束
4530.TWO   | reversion  |   73.5% |    3.66% | 觀望
3693.TWO   |   brain    |   47.3% |    3.06% | 觀望
6290.TWO   |   brain    |   50.0% |    1.09% | 觀望
2543.TW    |   brain    |   39.8% |    1.58% | ★★★ 強力買進
1762.TW    | reversion  |   66.7% |    4.98% | 觀望
2388.TW    |   brain    |   45.1% |    2.03% | ☠ 立即止損
3360.TWO   | reversion  |   67.4% |    2.48% | 觀望
3260.TWO   |   brain    |   53.3% |    1.33% | ☠ 立即止損
2035.TWO   | reversion  |    0.0% |    0.00% | 💰 乖離修正賣出
6418.TWO   | long_trend |   44.4% |    3.23% | 🚪 趨勢結束
5230.TWO   | reversion  |   65.0% |    1.87% | 觀望
3169.TWO   |   brain    |   44.7% |    1.42% | ★★★ 強力買進
1516.TW    | reversion  |   76.3% |    4.39% | 💰 乖離修正賣出
3413.TW    |   brain    |   51.5% |    1.42% | 觀望
2201.TW    | reversion  |   87.5% |    9.59% | 觀望
1323.TW    | reversion  |   80.0% |    3.28% | 觀望
3071.TWO   | reversion  |   83.7% |    4.92% | 觀望
00662.TW   |   brain    |   59.9% |    0.25% | ☠ 立即止損
8046.TW    |   brain    |   50.3% |    1.36% | 觀望
00931B.TWO | reversion  |    0.0% |    0.00% | 💰 乖離修正賣出
2948.TWO   |   brain    |   43.4% |    1.04% | 觀望
2419.TW    | long_trend |   55.9% |    2.82% | 觀望
2392.TW    | long_trend |   43.8% |    1.99% | 🚪 趨勢結束
4966.TWO   | strong_support |   51.7% |    0.77% | 觀望
6186.TWO   | long_trend |   56.4% |    2.36% | 🚪 趨勢結束
3045.TW    | reversion  |    0.0% |    0.00% | 💰 乖離修正賣出
6515.TW    |   brain    |   52.7% |    2.07% | 觀望
8102.TWO   | reversion  |   42.9% |    1.31% | 觀望
8416.TWO   | reversion  |   86.7% |    3.65% | 觀望
3715.TW    |   brain    |   56.1% |    5.11% | 觀望
3444.TWO   |   brain    |   43.7% |    1.45% | ☠ 立即止損
8027.TWO   | momentum_burst |   50.0% |    1.99% | 觀望
4991.TWO   | reversion  |   82.1% |    6.23% | 💰 乖離修正賣出
4542.TWO   |   brain    |   41.9% |    1.41% | 觀望
6415.TW    | reversion  |   64.6% |    4.93% | 觀望
6573.TW    | strong_support |   46.7% |    1.83% | 觀望
3597.TWO   | strong_support |   35.7% |    0.46% | 觀望
5536.TWO   |   brain    |   53.8% |    1.57% | 觀望
6104.TWO   |   brain    |   50.2% |    1.80% | ☠ 立即止損
2211.TW    | long_trend |   55.4% |    1.93% | 觀望
00949.TW   | strong_support |   76.3% |    1.86% | 🛡️ 支撐進場
2542.TW    |   brain    |   47.8% |    0.34% | ☠ 立即止損
6431.TW    | long_trend |   56.7% |    3.85% | 觀望
7721.TW    |   brain    |   37.3% |    0.73% | 觀望
4192.TWO   | long_trend |   52.5% |   10.63% | 🚪 趨勢結束
9917.TW    | momentum_burst |   57.7% |    0.15% | 觀望
8271.TW    |   brain    |   47.3% |    0.78% | ☠ 立即止損
7455.TWO   | momentum_burst |   60.0% |    0.31% | 觀望
8047.TWO   | long_trend |   37.3% |    5.26% | 觀望
4540.TW    |   brain    |   45.3% |    1.42% | 觀望
00904.TW   |   brain    |   63.2% |    1.26% | 觀望
6756.TW    | reversion  |   60.6% |    0.92% | 觀望
6919.TW    | momentum_burst |   68.2% |    6.75% | 觀望
3211.TWO   | long_trend |   51.3% |    2.47% | 觀望
2360.TW    | long_trend |   54.8% |    1.09% | 觀望
8016.TW    | reversion  |   58.0% |    1.81% | 觀望
3094.TW    | reversion  |   73.6% |    3.93% | 觀望
5484.TW    | long_trend |   52.1% |    8.00% | 🚪 趨勢結束
6284.TWO   | strong_support |   42.1% |    2.04% | 觀望
7783.TWO   | reversion  |   50.0% |    2.14% | 觀望
3014.TW    | reversion  |   69.0% |    2.41% | 觀望
3558.TWO   |   brain    |   45.1% |    0.73% | ☠ 立即止損
3406.TW    |   brain    |   48.3% |    2.15% | ☠ 立即止損
6794.TW    | reversion  |   33.3% |   -1.21% | 觀望
2383.TW    | long_trend |   58.4% |    1.91% | 觀望
7402.TWO   |   brain    |   43.9% |    2.16% | 觀望
6235.TW    | long_trend |   48.1% |    3.28% | 🚪 趨勢結束
3149.TW    |   brain    |   39.5% |    1.27% | 觀望
7717.TWO   |   brain    |   61.5% |    9.56% | 觀望
4580.TWO   | reversion  |   50.0% |    3.81% | 觀望
6739.TWO   |   brain    |   55.1% |    5.45% | 觀望
7702.TWO   |   brain    |   53.2% |    2.34% | ☠ 立即止損
2023.TW    | long_trend |   47.7% |    0.62% | 🚪 趨勢結束
3454.TW    | momentum_burst |   46.2% |    0.71% | 觀望
3543.TW    |   brain    |   45.6% |    1.37% | 觀望
2345.TW    |   brain    |   52.6% |    1.50% | 觀望
3018.TW    | reversion  |   58.3% |    2.98% | 💰 乖離修正賣出
6526.TW    | strong_support |   63.6% |    1.11% | 觀望
6843.TWO   | reversion  |   75.0% |    7.00% | 觀望
3686.TW    | long_trend |   45.3% |    3.74% | 觀望
6933.TW    | momentum_burst |   45.8% |    1.72% | 觀望
1337.TW    | reversion  |   55.8% |    1.66% | 觀望
7719.TWO   | long_trend |   50.0% |   31.92% | 觀望
3663.TWO   | reversion  |   67.4% |    4.03% | 觀望
6588.TWO   |   brain    |   45.3% |    2.69% | 觀望
4563.TWO   | reversion  |   68.8% |    4.91% | 觀望
3707.TWO   |   brain    |   47.2% |    0.82% | ☠ 立即止損
8103.TW    | strong_support |   59.3% |    0.76% | 觀望
3498.TWO   | reversion  |   60.2% |    2.27% | 💰 乖離修正賣出
2883.TW    | strong_support |   49.5% |    0.43% | 觀望
6788.TWO   |   brain    |   53.8% |    3.72% | 觀望
6793.TWO   | reversion  |   36.6% |    0.40% | 觀望
2308.TW    | long_trend |   63.7% |    2.89% | 觀望
6903.TWO   |   brain    |   54.3% |    2.44% | 觀望
2324.TW    |   brain    |   49.3% |    0.11% | ☠ 立即止損
00764B.TWO | momentum_burst |   52.4% |    0.03% | 觀望
00965.TW   |   brain    |   72.2% |    1.96% | 觀望
4513.TWO   |   brain    |   50.4% |    2.19% | ☠ 立即止損
6805.TW    |   brain    |   67.1% |    4.67% | 觀望
5292.TW    |   brain    |   51.9% |    0.54% | ☠ 立即止損
3013.TW    | reversion  |   41.4% |    0.87% | 觀望
3529.TWO   |   brain    |   50.6% |    1.91% | 觀望
8436.TWO   |   brain    |   43.7% |    0.55% | ☠ 立即止損
6182.TWO   |   brain    |   49.1% |    1.39% | ☠ 立即止損
6598.TW    | long_trend |   30.8% |   21.07% | 觀望
4931.TWO   | long_trend |   40.5% |   18.59% | 🚪 趨勢結束
2387.TW    | long_trend |   42.7% |    2.59% | 🚪 趨勢結束
00968B.TWO | momentum_burst |    0.0% |    0.00% | 觀望
2609.TW    | long_trend |   54.9% |   10.19% | 觀望
3057.TW    | strong_support |   42.9% |   -0.17% | 觀望
3632.TWO   | reversion  |   53.8% |    3.31% | 💰 乖離修正賣出
5013.TWO   | strong_support |   45.1% |    0.63% | 觀望
6548.TWO   |   brain    |   47.9% |    0.98% | ☠ 立即止損
5314.TWO   |   brain    |   49.9% |    2.76% | ☠ 立即止損
