正在分析 1052 檔標的，並同步產出 TXT, CSV 與 JSON 對照表...

===============================================================================================
 報告已產出至: report/20260306
 1. CSV: ma_full_report_20260306.csv
 2. TXT: ma_full_report_20260306.txt
 3. JSON: stock_best_ma.json (供未來程式調用)
===============================================================================================
     Stock  Best_Period  Win_Rate%  Total_Return%  Trades Status
  6643.TWO           10      32.24         117.00     152   ☁ 觀望
  8091.TWO           60      32.14         116.97      84   📈 持有
 00877.TWO           10      33.33         116.78      81   📈 持有
   3008.TW           20      32.56         116.59     129   ☁ 觀望
   1313.TW           60      27.54         116.13      69   📈 持有
   2385.TW           60      27.78         115.89      90   📈 持有
  00735.TW           20      33.78         115.75      74   📈 持有
   8438.TW           20      22.76         115.68     123   ☁ 觀望
   6655.TW           60      20.83         115.64      48   📈 持有
   5243.TW           20      31.03         114.71     145   ☁ 觀望
   6431.TW           20      25.60         114.60     125   ☁ 觀望
  3564.TWO           10      26.40         114.39     197   ☁ 觀望
   2379.TW           20      30.34         114.33     145   ☁ 觀望
   6243.TW           10      24.88         114.23     205   ☁ 觀望
  00910.TW           20      41.18         113.84      34   ☁ 觀望
  4966.TWO           60      38.75         113.53      80   ☁ 觀望
   1304.TW           60      26.87         112.48      67   📈 持有
   2031.TW           20      33.57         112.32     140   ☁ 觀望
  7810.TWO           20      31.25         111.43      16   ☁ 觀望
   2414.TW           60      36.84         111.15      57   ☁ 觀望
   2889.TW           60      29.51         111.06      61   ☁ 觀望
   6405.TW           10      27.36         109.95     201   📈 持有
   2365.TW           60      21.69         109.35      83   ☁ 觀望
   6116.TW           10      25.36         108.78     209   ☁ 觀望
  6244.TWO           20      22.22         107.95     153   📈 持有
   1721.TW           20      15.48         107.85     155   ☁ 觀望
  5425.TWO           10      34.80         107.20     204   ☁ 觀望
  8038.TWO           60      26.76         106.71      71   📈 持有
  3466.TWO           60      26.60         106.44      94   ☁ 觀望
   2605.TW           10      26.29         105.94     194   📈 持有
   4989.TW           20      24.78         105.91     113   📈 持有
  3354.TWO           20      28.10         105.69     153   📈 持有
  7712.TWO           10      23.08         105.68      39   📈 持有
   2006.TW           60      34.15         105.67      82   📈 持有
  4533.TWO           20      26.42         105.65     159   📈 持有
   2436.TW           60      34.09         104.97      88   📈 持有
   1442.TW           60      29.87         104.92      77   ☁ 觀望
   5871.TW           20      35.38         103.49     130   ☁ 觀望
  7777.TWO            5      19.51         102.89      41   ☁ 觀望
   0050.TW           10      30.53         102.11     190   📈 持有
   2331.TW            5      32.07         101.87     290   ☁ 觀望
   6869.TW            5      33.68         101.39      95   📈 持有
   2883.TW           60      31.03         101.33      87   📈 持有
  6983.TWO           20      26.67         101.08      30   📈 持有
  7719.TWO           60      37.50         101.03       8   ☁ 觀望
   2441.TW           60      38.98         100.67      59   📈 持有
  4510.TWO           20      21.15         100.04     156   ☁ 觀望
  4123.TWO           10      31.16          99.73     199   📈 持有
   3023.TW           60      29.11          99.72      79   📈 持有
  3360.TWO           20      28.67          99.50     143   📈 持有
   1504.TW           60      21.65          99.50      97   ☁ 觀望
   4949.TW           20      20.00          98.89      20   📈 持有
  3555.TWO           60      27.72          98.73     101   📈 持有
   2458.TW           60      31.34          97.93      67   ☁ 觀望
   2351.TW           10      31.28          97.64     211   ☁ 觀望
   2464.TW           10      31.52          96.32     184   ☁ 觀望
   6552.TW           10      29.19          96.27     161   ☁ 觀望
  6517.TWO           10      25.49          96.06     102   ☁ 觀望
   8150.TW           20      30.94          95.53     139   ☁ 觀望
  3597.TWO           60      35.62          95.50      73   ☁ 觀望
  3709.TWO           10      25.32          95.43     158   📈 持有
  3499.TWO           20      22.76          94.96     145   ☁ 觀望
   9945.TW           60      23.17          94.91      82   ☁ 觀望
  3152.TWO           20      28.68          94.68     129   ☁ 觀望
   4916.TW           20      27.48          94.60     131   ☁ 觀望
  4971.TWO            5      33.86          94.59     316   📈 持有
  6170.TWO           20      30.20          94.49     149   ☁ 觀望
   0056.TW           10      38.24          94.46     170   📈 持有
  6877.TWO           10      31.15          94.02      61   📈 持有
  7744.TWO           20      35.29          93.44      17   📈 持有
   2890.TW           60      25.40          92.58      63   📈 持有
  5351.TWO           10      27.57          92.31     214   ☁ 觀望
   6412.TW           20      25.69          92.22     144   📈 持有
  3227.TWO           20      27.81          91.78     151   ☁ 觀望
   2340.TW           10      31.63          91.68     196   ☁ 觀望
   7795.TW           20      37.50          91.61       8   ☁ 觀望
   1762.TW           10      27.36          91.43     201   📈 持有
   2882.TW           60      32.93          90.76      82   📈 持有
   2323.TW           20      29.20          90.42     137   ☁ 觀望
  6160.TWO           20      24.14          89.89     145   ☁ 觀望
  6716.TWO           20      25.71          89.83     105   📈 持有
   2401.TW           20      33.33          89.77     138   ☁ 觀望
  4939.TWO           60      27.16          89.66      81   📈 持有
  6190.TWO           60      28.72          88.94      94   📈 持有
   6525.TW           10      34.84          88.58     155   📈 持有
   6994.TW            5      29.09          88.32      55   📈 持有
  00881.TW           10      35.44          87.49      79   📈 持有
   3034.TW           60      23.68          86.13      76   ☁ 觀望
  3444.TWO           10      23.28          86.12     232   ☁ 觀望
   6757.TW           60      30.00          86.07      10   ☁ 觀望
   2891.TW           60      32.91          86.04      79   📈 持有
   8103.TW           10      29.86          85.75     211   ☁ 觀望
   6456.TW           10      32.54          85.47     169   📈 持有
   6799.TW           10      32.10          85.12      81   ☁ 觀望
