=== 短線動能 + 扣抵分析 (資料日期: 20260306) ===
代號         |     最佳策略     |      勝率 |     期望回報 | 今日狀態
3570.TWO   | bias_reversion |   49.8% |    0.47% | 觀望
1301.TW    | bias_reversion |   56.4% |    0.27% | 觀望
3207.TWO   | short_swing  |   44.8% |    1.76% | ⏱️ 短線撤退
6202.TW    | bias_reversion |   50.6% |   -0.08% | 觀望
912000.TW  | short_swing  |   45.5% |    1.19% | ⏱️ 短線撤退
1101.TW    |   rebound    |   48.2% |    0.01% | 觀望
3067.TWO   |   rebound    |   36.8% |   -0.28% | 觀望
3504.TW    |   rebound    |   53.1% |    0.53% | 觀望
2903.TW    | short_swing  |   49.8% |    0.38% | ⏱️ 短線撤退
5521.TW    |   rebound    |   46.2% |    0.59% | 觀望
4939.TWO   |   rebound    |   45.5% |    0.41% | 觀望
6669.TW    | bias_reversion |   51.1% |    0.38% | 觀望
2421.TW    |   rebound    |   47.7% |    0.37% | 觀望
1525.TW    | bias_reversion |   46.2% |    0.02% | 觀望
6239.TW    |   rebound    |   53.5% |    0.51% | 觀望
4577.TWO   | short_swing  |   47.1% |    1.88% | ⏱️ 短線撤退
00995A.TW  |   rebound    |  100.0% |    8.81% | 觀望
9907.TW    | short_swing  |   50.9% |    0.08% | ⚡ 短線攻擊
6830.TW    |   rebound    |   48.3% |    0.45% | 觀望
00891.TW   | short_swing  |   55.0% |    0.47% | ⏱️ 短線撤退
3010.TW    |   rebound    |   51.5% |    0.22% | 觀望
2886.TW    | bias_reversion |   44.6% |    0.06% | 觀望
2376.TW    | short_swing  |   52.0% |    0.58% | ⏱️ 短線撤退
6412.TW    | short_swing  |   43.0% |    0.02% | ⚡ 短線攻擊
6616.TWO   |   rebound    |   44.5% |   -0.10% | 觀望
3019.TW    | short_swing  |   45.3% |    1.26% | ⏱️ 短線撤退
3217.TWO   |   rebound    |   46.8% |    0.59% | 觀望
3545.TW    |   rebound    |   46.9% |    0.08% | 觀望
6134.TWO   | bias_reversion |   44.5% |    0.64% | 觀望
4534.TWO   | short_swing  |   40.8% |    0.58% | ⏱️ 短線撤退
6655.TW    |   rebound    |   48.1% |    0.37% | 觀望
2458.TW    |   rebound    |   53.8% |    0.05% | 觀望
1597.TW    | short_swing  |   46.0% |    0.71% | ⏱️ 短線撤退
4131.TWO   | short_swing  |   40.1% |    0.93% | ⏱️ 短線撤退
6462.TWO   | short_swing  |   46.6% |    0.40% | ⏱️ 短線撤退
3687.TWO   | short_swing  |   39.2% |    1.15% | ⏱️ 短線撤退
3147.TWO   | bias_reversion |   44.1% |    0.61% | 觀望
4523.TWO   |   rebound    |   44.2% |    1.05% | 觀望
00665L.TW  | short_swing  |   52.5% |    0.87% | ⏱️ 短線撤退
2328.TW    | short_swing  |   43.9% |    0.24% | ⏱️ 短線撤退
6691.TW    | short_swing  |   54.9% |    1.29% | ⏱️ 短線撤退
1439.TW    | short_swing  |   43.1% |    0.37% | ⏱️ 短線撤退
4915.TW    | short_swing  |   46.2% |   -0.05% | ⏱️ 短線撤退
0052.TW    |   rebound    |   50.4% |    0.23% | 觀望
2241.TW    |   rebound    |   44.5% |    0.02% | 觀望
1213.TW    | short_swing  |   38.9% |    0.02% | ⏱️ 短線撤退
4702.TWO   |   rebound    |   36.8% |   -0.16% | 🛡️ 十日撐買
5234.TW    |   rebound    |   50.2% |    0.63% | 觀望
2740.TWO   | short_swing  |   40.3% |    0.37% | ⏱️ 短線撤退
1805.TW    | bias_reversion |   40.0% |    0.05% | 觀望
2634.TW    |   rebound    |   41.9% |   -0.03% | 觀望
2237.TWO   |   rebound    |   39.9% |    0.58% | 觀望
5487.TWO   |   rebound    |   39.5% |   -0.16% | 觀望
00936.TW   |   rebound    |   51.5% |    0.19% | 觀望
2363.TW    | bias_reversion |   54.6% |    0.83% | 觀望
8096.TWO   | bias_reversion |   52.9% |    0.68% | 觀望
6510.TWO   | short_swing  |   53.3% |    2.00% | ⏱️ 短線撤退
3645.TW    |   rebound    |   51.9% |    0.70% | 觀望
2414.TW    |   rebound    |   48.6% |    0.30% | 觀望
7749.TW    |   rebound    |   37.5% |   -2.04% | 觀望
2355.TW    | bias_reversion |   54.1% |    0.23% | 觀望
2480.TW    |   rebound    |   50.2% |    0.21% | 觀望
2233.TW    |   rebound    |   47.4% |    0.44% | 觀望
2330.TW    |   rebound    |   54.2% |    0.31% | 觀望
2385.TW    |   rebound    |   49.1% |    0.03% | 🛡️ 十日撐買
1529.TW    | short_swing  |   38.5% |   -0.10% | ⏱️ 短線撤退
3004.TW    | short_swing  |   44.1% |    1.00% | ⏱️ 短線撤退
3230.TWO   | short_swing  |   42.0% |    0.92% | ⏱️ 短線撤退
6170.TWO   |   rebound    |   51.5% |    0.55% | 觀望
6727.TWO   | short_swing  |   51.3% |    4.12% | ⏱️ 短線撤退
3363.TWO   | short_swing  |   48.8% |    0.90% | ⏱️ 短線撤退
6121.TWO   |   rebound    |   49.1% |    0.26% | 觀望
8162.TW    |   rebound    |   34.8% |    0.11% | 觀望
8081.TW    |   rebound    |   49.0% |    0.27% | 觀望
4943.TW    | short_swing  |   46.9% |    1.60% | 觀望
1587.TW    |   rebound    |   43.8% |    0.55% | 觀望
2017.TW    |   rebound    |   38.9% |    0.18% | 觀望
2645.TW    | short_swing  |   44.3% |    0.96% | ⏱️ 短線撤退
6534.TW    | short_swing  |   51.3% |    1.70% | ⏱️ 短線撤退
6679.TWO   | short_swing  |   44.1% |    0.46% | ⏱️ 短線撤退
9110.TW    | short_swing  |   43.0% |    1.28% | ⏱️ 短線撤退
9914.TW    |   rebound    |   45.9% |   -0.06% | 觀望
2605.TW    | short_swing  |   47.5% |    1.21% | ⏱️ 短線撤退
3652.TW    |   rebound    |   47.2% |    0.89% | 觀望
3162.TWO   | short_swing  |   46.2% |    1.06% | ⏱️ 短線撤退
3491.TWO   | short_swing  |   49.9% |    0.94% | ⏱️ 短線撤退
00857B.TWO | short_swing  |   50.0% |   -0.35% | ⚡ 短線攻擊
1436.TW    | short_swing  |   47.6% |    0.57% | ⏱️ 短線撤退
5864.TWO   | short_swing  |   49.8% |    1.27% | ⏱️ 短線撤退
6785.TWO   | short_swing  |   46.0% |    1.54% | ⏱️ 短線撤退
6603.TWO   | bias_reversion |   47.2% |    0.21% | 觀望
3483.TWO   | short_swing  |   48.1% |    0.95% | ⏱️ 短線撤退
6274.TWO   | bias_reversion |   57.6% |    1.09% | 觀望
8210.TW    | short_swing  |   49.1% |    0.89% | ⏱️ 短線撤退
2547.TW    | short_swing  |   41.7% |   -0.10% | ⏱️ 短線撤退
8183.TWO   |   rebound    |   48.4% |    0.38% | 🛡️ 十日撐買
8277.TWO   |   rebound    |   39.5% |   -0.31% | 觀望
2820.TW    | bias_reversion |   37.8% |   -0.29% | 觀望
3042.TW    |   rebound    |   49.1% |    0.08% | 觀望
1563.TW    | short_swing  |   46.2% |    0.66% | ⏱️ 短線撤退
4934.TW    |   rebound    |   43.3% |   -0.11% | 🛡️ 十日撐買
00772B.TWO | bias_reversion |   44.9% |   -0.16% | 觀望
6271.TW    |   rebound    |   52.4% |   -0.04% | 觀望
2441.TW    |   rebound    |   55.2% |    0.41% | 觀望
8464.TW    | short_swing  |   42.0% |   -0.28% | ⏱️ 短線撤退
2442.TW    |   rebound    |   50.1% |    0.47% | 觀望
3257.TW    |   rebound    |   43.1% |    0.33% | 觀望
8021.TW    | bias_reversion |   51.9% |    0.72% | 觀望
6929.TWO   | short_swing  |   28.6% |    0.85% | ⏱️ 短線撤退
5381.TWO   | short_swing  |   44.8% |    2.59% | ⏱️ 短線撤退
00780B.TWO | bias_reversion |   81.8% |    1.85% | 觀望
6565.TWO   |   rebound    |   35.0% |   -0.38% | 觀望
8067.TWO   | bias_reversion |   42.2% |   -0.44% | 觀望
1402.TW    | bias_reversion |   51.0% |   -0.09% | 觀望
1313.TW    | bias_reversion |   54.8% |    0.82% | 觀望
3450.TW    | short_swing  |   51.6% |    0.59% | ⏱️ 短線撤退
6629.TWO   | short_swing  |   53.8% |    1.02% | ⏱️ 短線撤退
3003.TW    |   rebound    |   49.6% |    0.36% | 觀望
00688L.TW  | short_swing  |   49.1% |   -0.17% | ⏱️ 短線撤退
4555.TW    | bias_reversion |   48.2% |    0.52% | 觀望
6584.TWO   | short_swing  |   48.5% |    2.42% | ⏱️ 短線撤退
2444.TW    |   rebound    |   47.3% |    0.06% | 觀望
2323.TW    | short_swing  |   43.4% |    1.42% | ⏱️ 短線撤退
2368.TW    | short_swing  |   50.3% |    1.10% | ⏱️ 短線撤退
9933.TW    |   rebound    |   44.4% |   -0.03% | 觀望
5245.TWO   | short_swing  |   40.1% |    1.63% | ⏱️ 短線撤退
6152.TW    |   rebound    |   45.5% |    0.31% | 觀望
6237.TWO   | short_swing  |   43.4% |    0.75% | ⏱️ 短線撤退
3689.TWO   | short_swing  |   51.4% |    1.21% | ⏱️ 短線撤退
3354.TWO   | short_swing  |   37.9% |   -0.15% | ⚡ 短線攻擊
2890.TW    |   rebound    |   51.8% |    0.15% | 觀望
2486.TW    | short_swing  |   45.5% |    1.07% | ⏱️ 短線撤退
7712.TWO   | short_swing  |   52.2% |    3.59% | ⏱️ 短線撤退
2066.TWO   | bias_reversion |   47.4% |    0.11% | 觀望
2454.TW    |   rebound    |   51.6% |    0.50% | 觀望
5905.TWO   |   rebound    |   41.7% |    0.11% | 觀望
6664.TWO   | short_swing  |   51.0% |    0.41% | ⏱️ 短線撤退
00875.TW   | bias_reversion |   54.6% |    0.12% | 📉 乖離反彈
6257.TW    | bias_reversion |   62.5% |    0.97% | 觀望
6414.TW    |   rebound    |   51.0% |    0.29% | 觀望
1569.TWO   | short_swing  |   45.8% |    0.51% | ⏱️ 短線撤退
4739.TW    |   rebound    |   49.0% |    0.31% | 觀望
6233.TWO   |   rebound    |   44.9% |    1.36% | 🛡️ 十日撐買
00990A.TW  |   rebound    |  100.0% |    2.65% | 觀望
2482.TW    | short_swing  |   41.2% |   -0.01% | ⏱️ 短線撤退
6869.TW    | short_swing  |   53.3% |    2.93% | ⚡ 短線攻擊
00687B.TWO | short_swing  |   34.4% |   -0.59% | ⚡ 短線攻擊
3168.TW    | bias_reversion |   52.5% |    0.78% | 觀望
2236.TW    | short_swing  |   45.2% |    0.45% | ⏱️ 短線撤退
4804.TWO   | short_swing  |   46.2% |    1.83% | 觀望
00877.TWO  |   rebound    |   51.8% |    0.22% | 觀望
3176.TWO   |   rebound    |   40.9% |    0.41% | 觀望
6206.TW    | short_swing  |   46.1% |    0.22% | ⏱️ 短線撤退
4576.TW    | short_swing  |   49.7% |    0.77% | ⚡ 短線攻擊
3178.TWO   | short_swing  |   46.1% |    0.89% | ⏱️ 短線撤退
8043.TWO   | short_swing  |   41.0% |    0.72% | ⏱️ 短線撤退
2338.TW    | bias_reversion |   51.3% |    0.62% | 觀望
2597.TW    | short_swing  |   49.8% |    0.87% | ⏱️ 短線撤退
3374.TWO   | short_swing  |   42.6% |    0.70% | ⏱️ 短線撤退
8086.TWO   | short_swing  |   48.4% |    0.85% | ⏱️ 短線撤退
6757.TW    | short_swing  |   43.8% |    0.79% | ⏱️ 短線撤退
00725B.TWO | bias_reversion |   41.3% |   -0.37% | 觀望
^TWII      | bias_reversion |   60.0% |    0.13% | 觀望
2855.TW    | short_swing  |   50.0% |    0.60% | ⏱️ 短線撤退
3032.TW    | short_swing  |   52.9% |    1.20% | ⏱️ 短線撤退
1477.TW    |   rebound    |   47.5% |   -0.02% | 觀望
6505.TW    | bias_reversion |   44.5% |   -0.10% | 觀望
2405.TW    | bias_reversion |   49.0% |    0.45% | 觀望
00752.TW   | short_swing  |   49.4% |    0.35% | ⏱️ 短線撤退
3264.TWO   |   rebound    |   56.7% |    0.74% | 觀望
8358.TWO   | bias_reversion |   56.5% |    0.80% | 觀望
6983.TWO   | short_swing  |   58.7% |    5.22% | 觀望
00878.TW   |   rebound    |   54.1% |    0.04% | 觀望
6568.TWO   | short_swing  |   49.7% |    0.96% | ⏱️ 短線撤退
6174.TWO   |   rebound    |   42.3% |    0.32% | 觀望
3623.TWO   | short_swing  |   46.4% |    0.76% | ⏱️ 短線撤退
6477.TW    | bias_reversion |   51.5% |    0.89% | 觀望
6761.TWO   | short_swing  |   43.5% |    1.10% | ⏱️ 短線撤退
5483.TWO   | short_swing  |   52.1% |    0.96% | ⏱️ 短線撤退
6742.TW    |   rebound    |   51.0% |    0.38% | 觀望
1340.TW    | bias_reversion |   45.2% |    0.01% | 觀望
6770.TW    |   rebound    |   47.2% |    1.24% | 觀望
00655L.TW  |   rebound    |   50.9% |    0.25% | 觀望
2630.TW    |   rebound    |   45.3% |    0.48% | 觀望
3624.TWO   |   rebound    |   45.3% |    0.16% | 觀望
3135.TW    |   rebound    |   40.4% |    0.25% | 觀望
3085.TWO   | bias_reversion |   39.8% |    1.05% | 觀望
8099.TWO   | short_swing  |   51.1% |    1.38% | ⏱️ 短線撤退
3073.TWO   | short_swing  |   43.0% |    2.19% | ⏱️ 短線撤退
2356.TW    |   rebound    |   48.6% |    0.15% | 觀望
6838.TW    | short_swing  |   40.0% |    1.19% | ⏱️ 短線撤退
6139.TW    | short_swing  |   43.1% |    0.90% | ⏱️ 短線撤退
7709.TWO   | short_swing  |   50.0% |    2.67% | ⏱️ 短線撤退
1519.TW    | short_swing  |   45.9% |    1.24% | ⏱️ 短線撤退
2239.TW    | short_swing  |   42.4% |    0.32% | ⏱️ 短線撤退
1235.TW    | short_swing  |   53.6% |    1.39% | ⏱️ 短線撤退
8087.TWO   |   rebound    |   36.3% |    0.26% | 觀望
00887.TWO  | short_swing  |   48.4% |    5.41% | ⏱️ 短線撤退
00983A.TW  |   rebound    |   63.3% |    0.64% | 觀望
1504.TW    |   rebound    |   50.2% |    0.16% | 觀望
4979.TWO   | bias_reversion |   48.2% |    0.66% | 觀望
2436.TW    | bias_reversion |   50.1% |    0.27% | 觀望
2027.TW    | short_swing  |   48.9% |    0.63% | ⏱️ 短線撤退
00650L.TW  | short_swing  |   48.7% |    0.13% | ⏱️ 短線撤退
7786.TW    | bias_reversion |   25.0% |   -2.84% | 觀望
4971.TWO   | short_swing  |   45.6% |    0.42% | ⏱️ 短線撤退
3711.TW    |   rebound    |   54.7% |    0.25% | 觀望
5498.TWO   | short_swing  |   46.9% |    0.95% | ⏱️ 短線撤退
8033.TW    |   rebound    |   40.4% |    0.95% | 觀望
4967.TW    | short_swing  |   49.5% |    1.83% | ⏱️ 短線撤退
1785.TWO   |   rebound    |   44.7% |    0.35% | 觀望
3152.TWO   |   rebound    |   45.4% |    0.47% | 觀望
009805.TW  |   rebound    |   61.4% |    0.69% | 觀望
2467.TW    | short_swing  |   53.9% |    0.79% | 觀望
6782.TW    | short_swing  |   59.0% |    2.27% | ⏱️ 短線撤退
3653.TW    | bias_reversion |   55.1% |    1.04% | 觀望
8462.TW    |   rebound    |   45.7% |    0.40% | 觀望
00680L.TW  |   rebound    |   47.0% |   -0.21% | 🛡️ 十日撐買
8101.TW    | short_swing  |   34.3% |    0.24% | ⏱️ 短線撤退
