=== 短線動能 + 扣抵分析 (資料日期: 20260306) ===
代號         |     最佳策略     |      勝率 |     期望回報 | 今日狀態
3266.TW    |   rebound    |   42.3% |    0.25% | 觀望
2812.TW    |   rebound    |   51.5% |    0.15% | 觀望
2867.TW    | short_swing  |   43.3% |    0.35% | ⏱️ 短線撤退
4906.TW    | bias_reversion |   50.7% |    0.09% | 觀望
1203.TW    | bias_reversion |   48.5% |   -0.13% | 觀望
2002.TW    | short_swing  |   47.3% |    0.42% | ⏱️ 短線撤退
2478.TW    | short_swing  |   41.4% |    0.46% | ⏱️ 短線撤退
8291.TWO   |   rebound    |   32.8% |   -0.40% | 觀望
6865.TWO   | short_swing  |   38.2% |   -0.05% | ⏱️ 短線撤退
6988.TW    | short_swing  |   48.0% |    0.53% | ⏱️ 短線撤退
5543.TWO   |   rebound    |   44.9% |    0.60% | 觀望
6668.TW    |   rebound    |   45.6% |    0.59% | 觀望
3691.TWO   | short_swing  |   47.1% |    0.32% | ⏱️ 短線撤退
2897.TW    | bias_reversion |   50.9% |    0.54% | 觀望
3592.TW    | short_swing  |   51.8% |    0.62% | ⏱️ 短線撤退
4806.TWO   | short_swing  |   47.6% |    1.30% | ⏱️ 短線撤退
1718.TW    | bias_reversion |   51.6% |    0.27% | 觀望
6491.TW    |   rebound    |   44.3% |    0.38% | 觀望
00955.TWO  | short_swing  |   52.3% |    0.68% | ⏱️ 短線撤退
3078.TWO   |   rebound    |   51.3% |    0.37% | 觀望
2484.TW    |   rebound    |   45.7% |   -0.15% | 觀望
6166.TW    |   rebound    |   46.3% |   -0.08% | 觀望
1338.TW    | bias_reversion |   41.2% |   -0.14% | 觀望
3023.TW    |   rebound    |   47.5% |    0.15% | 觀望
00738U.TW  | bias_reversion |   56.6% |    0.54% | 觀望
6672.TW    |   rebound    |   47.6% |    0.36% | 觀望
3694.TW    |   rebound    |   44.5% |    0.07% | 觀望
6160.TWO   | short_swing  |   45.3% |    0.60% | ⏱️ 短線撤退
5426.TWO   | short_swing  |   50.4% |    1.70% | ⏱️ 短線撤退
8048.TWO   | short_swing  |   46.1% |    0.43% | 觀望
2312.TW    |   rebound    |   50.2% |    0.44% | 觀望
2208.TW    | bias_reversion |   49.5% |    0.46% | 觀望
009803.TW  |   rebound    |   71.7% |    1.58% | 觀望
7584.TWO   | bias_reversion |   50.3% |   -0.11% | 觀望
8050.TWO   | bias_reversion |   51.1% |   -0.01% | 觀望
3455.TWO   | bias_reversion |   54.1% |    0.78% | 觀望
2104.TW    |   rebound    |   45.8% |    0.04% | 觀望
6122.TWO   | short_swing  |   53.6% |    1.15% | ⏱️ 短線撤退
2880.TW    | bias_reversion |   65.7% |    0.74% | 觀望
6435.TWO   | short_swing  |   48.9% |    0.67% | ⏱️ 短線撤退
8476.TW    |   rebound    |   42.9% |    0.16% | 觀望
6530.TWO   |   rebound    |   44.1% |    0.74% | 觀望
6806.TW    | short_swing  |   47.3% |    1.45% | ⏱️ 短線撤退
2755.TWO   |   rebound    |   50.2% |    1.44% | 觀望
1605.TW    | bias_reversion |   48.4% |    0.42% | 觀望
8038.TWO   |   rebound    |   42.4% |    0.17% | 觀望
3006.TW    | short_swing  |   44.3% |    0.67% | ⏱️ 短線撤退
1442.TW    | short_swing  |   48.1% |    0.54% | ⏱️ 短線撤退
1303.TW    | short_swing  |   52.3% |    0.51% | ⏱️ 短線撤退
00715L.TW  |   rebound    |   55.8% |    2.17% | 觀望
8349.TWO   | short_swing  |   46.7% |    0.72% | ⏱️ 短線撤退
2633.TW    | short_swing  |   38.8% |    0.22% | ⏱️ 短線撤退
4530.TWO   |   rebound    |   39.9% |   -0.15% | 觀望
3693.TWO   | short_swing  |   44.4% |    1.30% | ⏱️ 短線撤退
6290.TWO   |   rebound    |   54.1% |    0.67% | 觀望
2543.TW    | bias_reversion |   48.4% |    1.19% | 觀望
1762.TW    | bias_reversion |   47.0% |    0.16% | 觀望
2388.TW    | short_swing  |   44.5% |    1.33% | ⏱️ 短線撤退
3360.TWO   |   rebound    |   45.2% |    0.23% | 觀望
3260.TWO   | short_swing  |   51.6% |    0.97% | ⏱️ 短線撤退
2035.TWO   | bias_reversion |   45.2% |   -0.13% | 觀望
6418.TWO   | bias_reversion |   46.3% |    0.27% | 觀望
5230.TWO   | short_swing  |   51.2% |    0.33% | ⏱️ 短線撤退
3169.TWO   | short_swing  |   43.1% |    0.51% | ⏱️ 短線撤退
1516.TW    |   rebound    |   41.3% |    0.28% | 觀望
3413.TW    | short_swing  |   51.1% |    0.89% | ⏱️ 短線撤退
2201.TW    | bias_reversion |   51.0% |    0.42% | 觀望
1323.TW    | bias_reversion |   47.0% |   -0.13% | 觀望
3071.TWO   |   rebound    |   51.8% |    0.92% | 觀望
00662.TW   |   rebound    |   54.9% |    0.07% | 觀望
8046.TW    | short_swing  |   48.3% |    0.60% | ⏱️ 短線撤退
00931B.TWO | short_swing  |   43.1% |   -0.75% | ⚡ 短線攻擊
2948.TWO   | short_swing  |   35.6% |    0.93% | 觀望
2419.TW    | bias_reversion |   51.5% |    0.05% | 觀望
2392.TW    | short_swing  |   43.8% |    0.41% | ⏱️ 短線撤退
4966.TWO   | short_swing  |   49.1% |    0.12% | ⏱️ 短線撤退
6186.TWO   | short_swing  |   57.4% |    0.98% | ⏱️ 短線撤退
3045.TW    | bias_reversion |   44.4% |   -0.01% | 觀望
6515.TW    | short_swing  |   51.4% |    1.57% | ⏱️ 短線撤退
8102.TWO   |   rebound    |   39.5% |    0.42% | 觀望
8416.TWO   |   rebound    |   44.2% |   -0.01% | 觀望
3715.TW    | short_swing  |   46.8% |    1.87% | ⏱️ 短線撤退
3444.TWO   |   rebound    |   47.6% |    0.86% | 觀望
8027.TWO   |   rebound    |   42.4% |    0.79% | 觀望
4991.TWO   |   rebound    |   51.1% |    0.94% | 觀望
4542.TWO   | bias_reversion |   47.9% |    0.82% | 觀望
6415.TW    |   rebound    |   50.2% |    0.69% | 觀望
6573.TW    |   rebound    |   42.6% |    0.17% | 觀望
3597.TWO   |   rebound    |   31.0% |    0.17% | 觀望
5536.TWO   | short_swing  |   54.0% |    1.18% | ⏱️ 短線撤退
6104.TWO   | short_swing  |   47.9% |    0.92% | ⏱️ 短線撤退
2211.TW    | short_swing  |   51.8% |    1.52% | ⏱️ 短線撤退
00949.TW   | bias_reversion |   69.6% |    2.00% | 觀望
2542.TW    |   rebound    |   50.5% |    0.13% | 觀望
6431.TW    | short_swing  |   51.8% |    1.20% | ⏱️ 短線撤退
7721.TW    |   rebound    |   40.4% |    0.71% | 觀望
4192.TWO   | short_swing  |   36.5% |    0.05% | ⏱️ 短線撤退
9917.TW    | bias_reversion |   42.5% |   -0.23% | 觀望
8271.TW    | short_swing  |   49.1% |    0.49% | ⏱️ 短線撤退
7455.TWO   | bias_reversion |   15.4% |   -0.50% | 觀望
8047.TWO   | bias_reversion |   45.9% |    0.92% | 📉 乖離反彈
4540.TW    | bias_reversion |   47.0% |    0.93% | 觀望
00904.TW   | short_swing  |   50.9% |    0.61% | ⏱️ 短線撤退
6756.TW    |   rebound    |   37.5% |    0.67% | 觀望
6919.TW    | short_swing  |   62.9% |    4.71% | ⏱️ 短線撤退
3211.TWO   |   rebound    |   49.1% |    0.38% | 觀望
2360.TW    |   rebound    |   56.6% |    1.15% | 觀望
8016.TW    |   rebound    |   47.6% |    0.13% | 觀望
3094.TW    |   rebound    |   43.8% |    0.14% | 觀望
5484.TW    |   rebound    |   42.9% |    0.90% | 觀望
6284.TWO   |   rebound    |   48.5% |    0.70% | 觀望
7783.TWO   | bias_reversion |   45.9% |    1.10% | 觀望
3014.TW    | bias_reversion |   51.5% |    0.11% | 觀望
3558.TWO   |   rebound    |   46.7% |    0.27% | 觀望
3406.TW    | short_swing  |   46.5% |    1.27% | ⏱️ 短線撤退
6794.TW    |   rebound    |   43.8% |    1.40% | 觀望
2383.TW    |   rebound    |   56.4% |    0.97% | 觀望
7402.TWO   | short_swing  |   43.6% |    0.96% | ⏱️ 短線撤退
6235.TW    |   rebound    |   48.9% |    0.52% | 觀望
3149.TW    | short_swing  |   42.5% |    0.32% | ⏱️ 短線撤退
7717.TWO   |   rebound    |  100.0% |   14.69% | 觀望
4580.TWO   |   rebound    |   45.5% |    0.21% | 觀望
6739.TWO   | short_swing  |   60.3% |    3.72% | ⏱️ 短線撤退
7702.TWO   | short_swing  |   48.5% |    1.21% | ⏱️ 短線撤退
2023.TW    | short_swing  |   40.1% |    0.32% | ⏱️ 短線撤退
3454.TW    |   rebound    |   45.4% |    0.18% | 🛡️ 十日撐買
3543.TW    |   rebound    |   45.1% |    0.68% | 觀望
2345.TW    | short_swing  |   52.6% |    0.59% | ⏱️ 短線撤退
3018.TW    | short_swing  |   47.8% |    1.47% | 觀望
6526.TW    |   rebound    |   38.3% |   -0.07% | 觀望
6843.TWO   | short_swing  |   45.8% |   -0.08% | ⏱️ 短線撤退
3686.TW    | bias_reversion |   40.6% |    0.37% | 觀望
6933.TW    | short_swing  |   29.8% |   -0.45% | ⏱️ 短線撤退
1337.TW    | short_swing  |   38.2% |   -0.49% | ⏱️ 短線撤退
7719.TWO   | short_swing  |   31.2% |    1.20% | ⏱️ 短線撤退
3663.TWO   | short_swing  |   44.4% |    0.57% | ⏱️ 短線撤退
6588.TWO   |   rebound    |   44.7% |    1.66% | 觀望
4563.TWO   | bias_reversion |   45.5% |    0.13% | 觀望
3707.TWO   | short_swing  |   46.8% |    0.54% | ⏱️ 短線撤退
8103.TW    |   rebound    |   50.6% |    0.33% | 觀望
3498.TWO   |   rebound    |   45.6% |    0.64% | 觀望
2883.TW    | short_swing  |   47.9% |    0.37% | ⏱️ 短線撤退
6788.TWO   | short_swing  |   52.4% |    2.02% | ⏱️ 短線撤退
6793.TWO   |   rebound    |   35.6% |   -0.70% | 觀望
2308.TW    | short_swing  |   46.0% |    0.16% | ⏱️ 短線撤退
6903.TWO   | short_swing  |   52.7% |    1.91% | ⏱️ 短線撤退
2324.TW    |   rebound    |   47.3% |    0.02% | 觀望
00764B.TWO | short_swing  |   44.6% |   -0.25% | 觀望
00965.TW   |   rebound    |   58.9% |    0.69% | 觀望
4513.TWO   | short_swing  |   51.8% |    1.50% | ⏱️ 短線撤退
6805.TW    | short_swing  |   60.3% |    3.93% | ⏱️ 短線撤退
5292.TW    | short_swing  |   53.9% |    1.31% | ⏱️ 短線撤退
3013.TW    | bias_reversion |   47.0% |    0.13% | 觀望
3529.TWO   | short_swing  |   49.6% |    1.47% | ⏱️ 短線撤退
8436.TWO   | short_swing  |   45.1% |    0.45% | ⏱️ 短線撤退
6182.TWO   | short_swing  |   47.2% |    0.58% | ⏱️ 短線撤退
6598.TW    | short_swing  |   43.2% |    0.93% | ⏱️ 短線撤退
4931.TWO   | short_swing  |   45.1% |    0.86% | ⏱️ 短線撤退
2387.TW    | short_swing  |   48.5% |    0.43% | ⏱️ 短線撤退
00968B.TWO | short_swing  |   33.3% |   -0.27% | ⚡ 短線攻擊
2609.TW    | short_swing  |   49.3% |    1.34% | ⚡ 短線攻擊
3057.TW    |   rebound    |   42.5% |    0.30% | 觀望
3632.TWO   | short_swing  |   37.6% |    0.36% | 觀望
5013.TWO   |   rebound    |   43.7% |    0.05% | 🛡️ 十日撐買
6548.TWO   |   rebound    |   53.9% |    1.35% | 觀望
5314.TWO   | short_swing  |   42.8% |    1.01% | ⏱️ 短線撤退
00713.TW   | bias_reversion |   70.9% |    0.95% | 觀望
4764.TW    | bias_reversion |   56.5% |    1.85% | 觀望
6472.TW    | short_swing  |   46.5% |    2.02% | ⏱️ 短線撤退
6863.TW    |   rebound    |   51.7% |    0.27% | 觀望
2365.TW    | short_swing  |   45.7% |    0.78% | ⏱️ 短線撤退
2425.TW    | short_swing  |   46.0% |    0.59% | ⏱️ 短線撤退
3594.TWO   |   rebound    |   47.4% |    0.31% | 觀望
6128.TW    |   rebound    |   43.4% |    0.08% | 觀望
