eps_yoy,prev_rev_yoy,rev_yoy,status,prev_eps,prev_eps_yoy,symbol,date,price,prev_year,name,pe,om,eps,expansion,advice,est_price,gm
1200.0,-19.66,688.27,🚀 利潤擴張,0.7,-40.68,3285.TWO,2026-03,40.0,2025,微端,38.095238095238095,8.69%,0.26,511.73,⚠️ 追價風險,15.75,28.61%
530.77,20.92,43.25,🚀 利潤擴張,1.58,222.58,6902.TW,2026-03,133.0,2025,GOGOLOOK,38.328530259366,N/A,1.64,487.52,⚠️ 追價風險,52.05,N/A
820.0,5.06,335.75,🔄 轉虧為盈,-0.16,74.6,6241.TWO,2026-03,18.7999992371,2025,鑫永洋,0.0,N/A,0.46,484.25,⚪ 數據不足,-7.499999999999999,N/A
1200.0,-6.1,727.58,🚀 利潤擴張,0.31,-42.59,8440.TWO,2026-03,20.9500007629,2025,綠電,35.50847586932203,N/A,0.22,472.41999999999996,⚠️ 追價風險,8.850000000000001,N/A
418.92,-41.11,-25.82,🧐 疑業外收益,2.72,-1.45,4590.TW,2026-03,95.0,2025,富田-創,0.0,-0.34%,1.21,444.74,⚪ 數據不足,0.0,30.54%
600.0,11.66,187.7,🚀 利潤擴張,0.49,-34.67,2302.TW,2026-03,45.7000007629,2025,麗正,39.39655238181034,11.05%,0.25,412.3,⚠️ 追價風險,17.400000000000002,36.04%
1037.5,9.55,646.87,🚀 利潤擴張,0.88,576.92,2344.TW,2026-03,180.5,2025,華邦電,66.36029411764706,15.37%,2.25,390.63,⚠️ 追價風險,40.8,41.86%
387.5,28.36,6.45,🚀 利潤擴張,1.44,5.88,6908.TW,2026-03,37.0,2025,宏�砦C戲-創,0.0,N/A,0.41,381.05,⚪ 數據不足,0.0,N/A
715.79,-15.3,359.78,🚀 利潤擴張,2.19,-49.65,6716.TWO,2026-03,93.9000015259,2025,應廣,17.261029692261026,N/A,1.59,356.01,⚪ 中性觀察,81.60000000000001,N/A
380.0,9.95,37.41,🚀 利潤擴張,0.73,207.35,5210.TWO,2026-03,30.8500003815,2025,寶碩,23.730769524230773,N/A,0.24,342.59000000000003,⚠️ 追價風險,19.499999999999996,N/A
1090.0,25.85,750.53,🔄 轉虧為盈,-0.2,90.52,5228.TWO,2026-03,49.2999992371,2025,鈺鎧,0.0,N/A,0.99,339.47,⚪ 數據不足,-8.4,N/A
517.65,5.96,179.43,🚀 利潤擴張,2.35,1.73,2754.TWO,2026-03,68.4000015259,2025,亞洲藏壽司,11.0858997610859,N/A,1.42,338.21999999999997,💎 強力關注,92.55,N/A
550.0,-3.75,237.41,🚀 利潤擴張,0.92,170.59,4556.TWO,2026-03,127.0,2025,旭然,72.1590909090909,14.30%,0.13,312.59000000000003,⚠️ 追價風險,26.4,42.07%
650.0,-5.82,343.32,🚀 利潤擴張,0.57,-29.63,3071.TWO,2026-03,28.3999996185,2025,協禧,16.416184750578036,7.94%,0.15,306.68,⚪ 中性觀察,25.95,30.11%
1143.3,23.29,849.86,🚀 利潤擴張,41.98,3.78,8299.TWO,2026-03,2105.0,2025,群聯,15.055070805321128,N/A,68.8,293.43999999999994,✅ 穩健價值,2097.2999999999997,N/A
546.67,-14.91,270.3,🔄 轉虧為盈,-0.43,-150.59,6615.TWO,2026-03,35.4000015259,2025,慧智,0.0,N/A,0.67,276.36999999999995,⚪ 數據不足,-2.2499999999999996,N/A
640.0,0.1,371.03,🚀 利潤擴張,0.18,550.0,6282.TW,2026-03,56.2000007629,2025,康舒,0.0,N/A,0.27,268.97,⚪ 數據不足,-9.150000000000002,N/A
445.45,5.03,186.87,🔄 轉虧為盈,-0.76,55.83,8489.TWO,2026-03,23.0499992371,2025,三貝德,0.0,N/A,0.38,258.58,⚪ 數據不足,-20.1,N/A
701.79,0.89,473.51,🚀 利潤擴張,1.77,8050.0,4916.TW,2026-03,113.0,2025,事欣科,14.089775561097257,8.07%,4.49,228.27999999999997,✅ 穩健價值,120.3,18.73%
518.75,-3.15,292.4,🚀 利潤擴張,0.88,-66.67,4432.TWO,2026-03,16.3999996185,2025,銘旺實,5.5782311627551024,N/A,2.97,226.35000000000002,💎 強力關注,44.1,N/A
